,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,SYCAMORE ROW;by John Grisham;4 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;New this week,DARK WITCH;by Nora Roberts;3 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;4 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;56 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;6 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;8 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;2 weeks on the list","AVATAR: THE LAST AIRBENDER: THE SEARCH, PART 3;by Gene Luen Yang and others;New this week","YU-GI-OH 5D'S, VOL. 5;by Masahiro Hikokubo and Masashi Sato;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;21 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;252 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,,,THINGS THAT MATTER;by Charles Krauthammer;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,DUST;by Patricia Cornwell;New this week,SYCAMORE ROW;by John Grisham;4 weeks on the list,DEAR LIFE;by Alice Munro;6 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;8 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;8 weeks on the list,QUIET;by Susan Cain;42 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;8 weeks on the list,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;3 weeks on the list,"THE SANDMAN OMNIBUS, VOL. 2;by Neil Gaiman and others;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;109 weeks on the list","NARUTO, VOL. 63;by Masashi Kishimoto;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;111 weeks on the list",DIVERGENT;by Veronica Roth;4 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,,,DOUBLE DOWN;by Mark Halperin and John Heilemann;,THE REASON I JUMP;by Naoki Higashida;
3,WHITE FIRE;by Douglas Preston and Lincoln Child;New this week,DUST;by Patricia Cornwell;New this week,THE STORYTELLER;by Jodi Picoult;2 weeks on the list,,,THE BULLY PULPIT;by Doris Kearns Goodwin;2 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;2 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;18 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;4 weeks on the list,HYPERBOLE AND A HALF;by Allie Brosh;3 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;2 weeks on the list,"THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;26 weeks on the list","ATTACK ON TITAN, VOL. 8;by Hajime Isayama;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,CINDERS;by Jan Brett;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;169 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GROUNDED;by Bob Rosen;,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;,,,THE BULLY PULPIT;by Doris Kearns Goodwin;,QUIET;by Susan Cain;
4,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;New this week,WHITE FIRE;by Douglas Preston and Lincoln Child;New this week,FIFTY SHADES OF GREY;by E. L. James;88 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;7 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;7 weeks on the list,OUTLIERS;by Malcolm Gladwell;128 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;7 weeks on the list,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;2 weeks on the list,HELLBOY: THE MIDNIGHT CIRCUS;by Mike Mignola and Duncan Fegredo;2 weeks on the list,THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;8 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS: THE MAD HATTER'S LATE NIGHT TEA PARTY, VOL. 1;by QuinRose and Riko Sakura;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;45 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;48 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,DOT COMPLICATED;by Randi Zuckerberg;,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,AN ASTRONAUT'S GUIDE TO LIFE ON EARTH;by Chris Hadfield;
5,THE GOLDFINCH;by Donna Tartt;4 weeks on the list,THE GOLDFINCH;by Donna Tartt;4 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;33 weeks on the list",,,DOUBLE DOWN;by Mark Halperin and John Heilemann;2 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;6 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;291 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;2 weeks on the list,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;2 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;104 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;14 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;23 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,I'M A FROG!;by Mo Willems;5 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;114 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,EVERYTHING STORE;by Brad Stone;,THE SOUTHERNER'S HANDBOOK;by David DiBenedetto and the editors of Garden and Gun;,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
6,SCORCHED;by Melody Anne;New this week,DOCTOR SLEEP;by Stephen King;8 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;33 weeks on the list,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;2 weeks on the list,DOUBLE DOWN;by Mark Halperin and John Heilemann;2 weeks on the list,WILD;by Cheryl Strayed;34 weeks on the list,DOUBLE DOWN;by Mark Halperin and John Heilemann;2 weeks on the list,GUINNESS WORLD RECORDS 2014.;;10 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;4 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;43 weeks on the list","NO MATTER HOW I LOOK AT IT, IT'S YOU GUYS' FAULT I'M NOT POPULAR!, VOL. 1;by Nico Tanigawa;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;29 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;315 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;,,,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
7,DARK WITCH;by Nora Roberts;3 weeks on the list,THE VALLEY OF AMAZEMENT;by Amy Tan;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;33 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;6 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;11 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;40 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;32 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;6 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;6 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;34 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,AN OTIS CHRISTMAS;by Loren Long;New this week,RANGER’S APPRENTICE;by John Flanagan;75 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,EXTORTION;by Peter Schweizer;,WHEAT BELLY;by William Davis;,,,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE WORLD UNTIL YESTERDAY;by Jared Diamond;
8,ENDER'S GAME;by Orson Scott Card;18 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;9 weeks on the list,THE ALCHEMIST;by Paulo Coelho;278 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;4 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;2 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;20 weeks on the list,UNDISPUTED TRUTH;by Mike Tyson with Larry Sloman;New this week,THERE'S MORE TO LIFE THAN THIS;by Theresa Caputo with Kristina Grish;7 weeks on the list,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;9 weeks on the list",BOXERS AND SAINTS BOXED SET;by Gene Luen Yang;3 weeks on the list,"MONSTER MUSUME, VOL. 1;by Okayado;5 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PRESS HERE;by Hervé Tullet;118 weeks on the list,LEGEND;by Marie Lu;2 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,,,UNBROKEN;by Laura Hillenbrand;,THE FRACKERS;by Gregory Zuckerman;
9,THE LONGEST RIDE;by Nicholas Sparks;9 weeks on the list,MIRAGE;by Clive Cussler with Jack Du Brul;2 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;13 weeks on the list,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;9 weeks on the list,GOOD TIDINGS AND GREAT JOY;by Sarah Palin;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;33 weeks on the list",JOHNNY CARSON;by Henry Bushkin;5 weeks on the list,THE 3-1-2-1 DIET;by Dolvett Quince;New this week,"BATGIRL, VOL. 3;by Gail Simone and others;3 weeks on the list",PERSEPOLIS;by Marjane Satrapi;21 weeks on the list,"VAMPIRE KNIGHT, VOL. 17;by Matsuri Hino;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE CHRISTMAS WISH;by Lori Evert. Illustrated by Per Breiehagen;New this week,HARRY POTTER;by J.K. Rowling;296 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,HATCHING TWITTER;by Nick Bilton;,THE 3-1-2-1 DIET;by Dolvett Quince;,,,FIVE DAYS IN NOVEMBER;by Clint Hill and Lisa McCubbin;,FOCUS;by Daniel Goleman;
10,DOCTOR SLEEP;by Stephen King;8 weeks on the list,THE ALL-GIRL FILLING STATION'S LAST REUNION;by Fannie Flagg;2 weeks on the list,THE HIT;by David Baldacci;9 weeks on the list,,,THE DEATH OF SANTINI;by Pat Conroy;3 weeks on the list,THE DEATH OF SANTINI;by Pat Conroy;3 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;15 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;30 weeks on the list,STITCHES;by Anne Lamott;3 weeks on the list,"JANE, THE FOX, AND ME;by Fanny Britt, Isabelle Arsenault and others;New this week",SMILE;by Raina Telgemeier;80 weeks on the list,"MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;7 weeks on the list,DORK DIARIES;by Rachel Renée Russell;93 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,,,MAN WHO KILLED KENNEDY;by Roger Stone with Mike Colapietro;,WHY CAN'T I GET BETTER?;by Richard I. Horowitz;
