,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,HARDCORE TWENTY-FOUR;by Janet Evanovich;New this week,OATHBRINGER;by Brandon Sanderson;New this week,THE SUN AND HER FLOWERS;by Rupi Kaur;7 weeks on the list,"PROMISE ME, DAD;by Joe Biden;New this week","PROMISE ME, DAD;by Joe Biden;New this week",BEING MORTAL;by Atul Gawande;11 weeks on the list,THE PIONEER WOMAN COOKS: COME AND GET IT!;by Ree Drummond;4 weeks on the list,WONDER;by R.J. Palacio;119 weeks on the list,HERE WE ARE;by Oliver Jeffers;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;453 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;6 weeks on the list,CAPITAL GAINES;by Chip Gaines;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
2,OATHBRINGER;by Brandon Sanderson;New this week,HARDCORE TWENTY-FOUR;by Janet Evanovich;New this week,MILK AND HONEY;by Rupi Kaur;84 weeks on the list,OBAMA;by Pete Souza;2 weeks on the list,OBAMA;by Pete Souza;2 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;3 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;5 weeks on the list,AUGGIE & ME;by R.J. Palacio;51 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;25 weeks on the list,HARRY POTTER;by J.K. Rowling;452 weeks on the list,THE HATE U GIVE;by Angie Thomas;38 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
3,END GAME;by David Baldacci;New this week,END GAME;by David Baldacci;New this week,IT;by Stephen King;14 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;5 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;5 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;400 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;49 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;21 weeks on the list,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;6 weeks on the list,DOG MAN;by Dav Pilkey;12 weeks on the list,THE BOOK OF DUST: LA BELLE SAUVAGE;by Philip Pullman;5 weeks on the list,PRINCIPLES;by Ray Dalio;,ENDURANCE;by Scott Kelly;,RELENTLESS;by Julian Edelman with Tom E. Curran;
4,THE MIDNIGHT LINE;by Lee Child;2 weeks on the list,THE MIDNIGHT LINE;by Lee Child;2 weeks on the list,COUNT TO TEN;by James Patterson and Ashwin Sanghi;New this week,BOBBY KENNEDY;by Chris Matthews;3 weeks on the list,BOBBY KENNEDY;by Chris Matthews;3 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;4 weeks on the list,YOU ARE A BADASS;by Jen Sincero;97 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;8 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;195 weeks on the list,DORK DIARIES;by Rachel Renée Russell;226 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;21 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,SAPIENS;by Yuval Noah Harari;,FIERCE;by Aly Raisman;
5,THE ROOSTER BAR;by John Grisham;4 weeks on the list,THE ROOSTER BAR;by John Grisham;4 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;41 weeks on the list,HACKS;by Donna Brazile;2 weeks on the list,HACKS;by Donna Brazile;2 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;14 weeks on the list,HIGHER IS WAITING;by Tyler Perry;New this week,MINECRAFT: THE ISLAND;by Max Brooks;16 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;15 weeks on the list,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;7 weeks on the list,FIERCE;by Aly Raisman;New this week,THE UNDOING PROJECT;by Michael Lewis;,THE UNDOING PROJECT;by Michael Lewis;,SHOE DOG;by Phil Knight;
6,ARTEMIS;by Andy Weir;New this week,ARTEMIS;by Andy Weir;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;32 weeks on the list,SISTERS FIRST;by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki;4 weeks on the list,GRANT;by Ron Chernow;6 weeks on the list,ON TYRANNY;by Timothy Snyder;38 weeks on the list,CAPITAL GAINES;by Chip Gaines;5 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;45 weeks on the list,AFTER THE FALL;by Dan Santat;5 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;93 weeks on the list,RENEGADES;by Marissa Meyer;2 weeks on the list,SOAR!;by T.D. Jakes;,END OF ALZHEIMER'S;by Dale Bredesen;,THE BOYS IN THE BOAT;by Daniel James Brown;
7,ORIGIN;by Dan Brown;7 weeks on the list,ORIGIN;by Dan Brown;7 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;33 weeks on the list,GRANT;by Ron Chernow;6 weeks on the list,SISTERS FIRST;by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki;4 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;147 weeks on the list",PRINCIPLES;by Ray Dalio;8 weeks on the list,THE DARK PROPHECY;by Rick Riordan;28 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;116 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;454 weeks on the list,LONG WAY DOWN;by Jason Reynolds;4 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,BEING MORTAL;by Atul Gawande;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;
8,TWO KINDS OF TRUTH;by Michael Connelly;3 weeks on the list,TWO KINDS OF TRUTH;by Michael Connelly;3 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;38 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;9 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;4 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;87 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;224 weeks on the list,JACKY HA-HA: MY LIFE IS A JOKE;by James Patterson and Chris Grabenstein;2 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;225 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;28 weeks on the list,WARCROSS;by Marie Lu;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",QUIET;by Susan Cain;,SHAKEN;by Tim Tebow;
9,COUNT TO TEN;by James Patterson and Ashwin Sanghi;New this week,TYPHOON FURY;by Clive Cussler and Boyd Morrison;2 weeks on the list,THE BLACK BOOK;by James Patterson and David Ellis;4 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;4 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;9 weeks on the list,SAME KIND OF DIFFERENT AS ME;by Ron Hall and Denver Moore with Lynn Vincent;112 weeks on the list,MAKE YOUR BED;by William H. McRaven;28 weeks on the list,THE PURLOINING OF PRINCE OLEOMARGARINE;by Mark Twain and Philip Stead. Illustrated by Erin Stead;8 weeks on the list,"WILD;created by Dan Kainen, written by Kathy Wollard;4 weeks on the list",BIG NATE;written and illustrated by Lincoln Peirce;133 weeks on the list,THE LANGUAGE OF THORNS;by Leigh Bardugo. Illustrated by Sara Kipin;7 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE FIRST MAJOR;by John Feinstein;
10,THE SUN AND HER FLOWERS;by Rupi Kaur;7 weeks on the list,EVERY BREATH YOU TAKE;by Mary Higgins Clark and Alafair Burke;2 weeks on the list,BEHIND CLOSED DOORS;by B. A. Paris;10 weeks on the list,WHAT HAPPENED;by Hillary Clinton;10 weeks on the list,WHAT HAPPENED;by Hillary Clinton;10 weeks on the list,COLLUSION;by Luke Harding;New this week,SMITTEN KITCHEN EVERY DAY;by Deb Perelman;3 weeks on the list,SNOW & ROSE;by Emily Winfield Martin;New this week,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;111 weeks on the list,WHAT WAS . . . ?;by various authors;3 weeks on the list,OTHERWORLD;by Jason Segel and Kirsten Miller;2 weeks on the list,THE SILK ROADS;by Peter Frankopan;,WHY WE SLEEP;by Matthew Walker;,ALI: A LIFE;by Jonathan Eig;
