,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE HILL WE CLIMB;by Amanda Gorman;New this week,THE HILL WE CLIMB;by Amanda Gorman;New this week,THE SONG OF ACHILLES;by Madeline Miller;24 weeks on the list,THE CODE BREAKER;by Walter Isaacson;4 weeks on the list,THE CODE BREAKER;by Walter Isaacson;4 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;128 weeks on the list,THE WOMEN OF THE BIBLE SPEAK;by Shannon Bream;New this week,THE ICKABOG;by J.K. Rowling;21 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;28 weeks on the list,AWESOME FRIENDLY KID;written and illustrated by Jeff Kinney;3 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;New this week,LATER;by Stephen King;,GREENLIGHTS;by Matthew McConaughey;,ATOMIC HABITS;by James Clear;,MOTHERING HEIGHTS;by Dav Pilkey;,THE VISCOUNT WHO LOVED ME;by Julia Quinn;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,THEY BOTH DIE AT THE END;by Adam Silvera;
2,THE RED BOOK;by James Patterson and David Ellis;New this week,THE FOUR WINDS;by Kristin Hannah;9 weeks on the list,LATER;by Stephen King;5 weeks on the list,GREENLIGHTS;by Matthew McConaughey;24 weeks on the list,GREENLIGHTS;by Matthew McConaughey;24 weeks on the list,BECOMING;by Michelle Obama;5 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;70 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;48 weeks on the list,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!;by Jory John. Illustrated by Pete Oswald;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;629 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;3 weeks on the list,THE FOUR WINDS;by Kristin Hannah;,A PROMISED LAND;by Barack Obama;,EVERYTHING WILL BE OKAY;by Dana Perino;,CAT KID COMIC CLUB;by Dav Pilkey;,CAMINO WINDS;by John Grisham;,WISH;by Barbara O'Connor;,WE WERE LIARS;by E. Lockhart;
3,THE FOUR WINDS;by Kristin Hannah;9 weeks on the list,THE RED BOOK;by James Patterson and David Ellis;New this week,WHERE THE CRAWDADS SING;by Delia Owens;New this week,THE BEAUTY OF LIVING TWICE;by Sharon Stone;New this week,CASTE;by Isabel Wilkerson;35 weeks on the list,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;51 weeks on the list,ATOMIC HABITS;by James Clear;71 weeks on the list,WOW IN THE WORLD;by Mindy Thomas and Guy Raz. Illustrated by Jack Teagle;5 weeks on the list,HOW TO CATCH THE EASTER BUNNY;by Adam Wallace and Andy Elkerton;10 weeks on the list,HARRY POTTER;by J.K. Rowling;628 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;166 weeks on the list,THE MIDNIGHT LIBRARY;by Matt Haig;,THE CODE BREAKER;by Walter Isaacson;,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;,GRIME AND PUNISHMENT;by Dav Pilkey;,AN OFFER FROM A GENTLEMAN;by Julia Quinn;,A LONG WALK TO WATER;by Linda Sue Park;,THE LAKE;by Natasha Preston;
4,THE MIDNIGHT LIBRARY;by Matt Haig;18 weeks on the list,THE MIDNIGHT LIBRARY;by Matt Haig;18 weeks on the list,THE ROSE CODE;by Kate Quinn;4 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;32 weeks on the list,THE BEAUTY OF LIVING TWICE;by Sharon Stone;New this week,MINOR FEELINGS;by Cathy Park Hong;3 weeks on the list,GET GOOD WITH MONEY;by Tiffany Aliche;New this week,BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;5 weeks on the list,PETE THE CAT: FIVE LITTLE BUNNIES;by James Dean and Kimberly Dean;5 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;108 weeks on the list,CHAIN OF IRON;by Cassandra Clare;5 weeks on the list,LIFE AFTER DEATH;by Sister Souljah;,THINK AGAIN;by Adam Grant;,NOMADLAND;by Jessica Bruder;,CLAUDIA AND THE NEW GIRL;by Ann M. Martin. Illustrated by Gabriela Epstein;,THE DUKE AND I;by Julia Quinn;,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;
5,WHERE THE CRAWDADS SING;by Delia Owens;124 weeks on the list,KLARA AND THE SUN;by Kazuo Ishiguro;5 weeks on the list,HOME BODY;by Rupi Kaur;20 weeks on the list,CASTE;by Isabel Wilkerson;35 weeks on the list,UNTAMED;by Glennon Doyle;56 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;135 weeks on the list,HOW TO DO THE WORK;by Nicole LePera;4 weeks on the list,AMARI AND THE NIGHT BROTHERS;by B.B. Alston;9 weeks on the list,WHAT THE ROAD SAID;by Cleo Wade. Illustrated by Lucie de Moyencourt;2 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;242 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;54 weeks on the list,WIN;by Harlan Coben;,CASTE;by Isabel Wilkerson;,BELIEVE IT;by Jamie Kern Lima;,FOR WHOM THE BALL ROLLS;by Dav Pilkey;,THE NUMBERS GAME;by Danielle Steel;,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;,SIX OF CROWS;by Leigh Bardugo;
6,WIN;by Harlan Coben;3 weeks on the list,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;23 weeks on the list,CIRCE;by Madeline Miller;43 weeks on the list,UNTAMED;by Glennon Doyle;56 weeks on the list,THINK AGAIN;by Adam Grant;9 weeks on the list,SAPIENS;by Yuval Noah Harari;138 weeks on the list,"EAT BETTER, FEEL BETTER;by Giada De Laurentiis;3 weeks on the list",WONDER;by R.J. Palacio;290 weeks on the list,WE ARE WATER PROTECTORS;by Carole Lindstrom. Illustrated by Michaela Goade;9 weeks on the list,SHADOW AND BONE TRILOGY;by Leigh Bardugo;4 weeks on the list,CONCRETE ROSE;by Angie Thomas;12 weeks on the list,THE ROSE CODE;by Kate Quinn;,UNTAMED;by Glennon Doyle;,DARE TO LEAD;by Brené Brown;,THE DARK SECRET;by Tui T. Sutherland. Illustrated by Mike Holmes;,HUSH;by James Patterson and Candice Fox;,OUT OF MY MIND;by Sharon M. Draper;,THE DOWNSTAIRS GIRL;by Stacey Lee;
7,LATER;by Stephen King;5 weeks on the list,WIN;by Harlan Coben;3 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;88 weeks on the list,THINK AGAIN;by Adam Grant;9 weeks on the list,THE SUM OF US;by Heather McGhee;7 weeks on the list,BORN A CRIME;by Trevor Noah;112 weeks on the list,EVERYTHING WILL BE OKAY;by Dana Perino;4 weeks on the list,REFUGEE;by Alan Gratz;124 weeks on the list,SPRING STINKS;by Ryan T. Higgins;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;567 weeks on the list,LORE;by Alexandra Bracken;13 weeks on the list,KLARA AND THE SUN;by Kazuo Ishiguro;,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FETCH-22;by Dav Pilkey;,JOURNEY OF THE PHARAOHS;by Clive Cussler and Graham Brown;,RESTART;by Gordon Korman;,THE BOOK THIEF;by Markus Zusak;
8,THE SONG OF ACHILLES;by Madeline Miller;3 weeks on the list,LIFE AFTER DEATH;by Sister Souljah;5 weeks on the list,IN FIVE YEARS;by Rebecca Serle;5 weeks on the list,BECOMING;by Michelle Obama;103 weeks on the list,A PROMISED LAND;by Barack Obama;20 weeks on the list,HOOD FEMINISM;by Mikki Kendall;6 weeks on the list,BEYOND ORDER;by Jordan B. Peterson;5 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;101 weeks on the list,EYES THAT KISS IN THE CORNERS;by Joanna Ho. Illustrated by Dung Ho;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;261 weeks on the list,THE COUSINS;by Karen M. McManus;18 weeks on the list,FIREFLY LANE;by Kristin Hannah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"CHAINSAW MAN, VOL. 1;by Tatsuki Fujimoto;",ROMANCING MISTER BRIDGERTON;by Julia Quinn;,THE WILD ROBOT;by Peter Brown;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
9,KLARA AND THE SUN;by Kazuo Ishiguro;5 weeks on the list,THE LOST APOTHECARY;by Sarah Penner;5 weeks on the list,FIREFLY LANE;by Kristin Hannah;42 weeks on the list,THE SUM OF US;by Heather McGhee;7 weeks on the list,THIS IS THE FIRE;by Don Lemon;3 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;66 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;201 weeks on the list,GROUND ZERO;by Alan Gratz;6 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;38 weeks on the list,MINECRAFT OFFICIAL NOVELS;by Max Brooks et al;3 weeks on the list,"GOOD GIRL, BAD BLOOD;by Holly Jackson;5 weeks on the list",THE VANISHING HALF;by Brit Bennett;,BECOMING;by Michelle Obama;,A WORLD WITHOUT EMAIL;by Cal Newport;,THE TWISTED ONES;by Scott Cawthon and Kira Breed-Wrisley;,WHEN HE WAS WICKED;by Julia Quinn;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,ALL THE BRIGHT PLACES;by Jennifer Niven;
10,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;19 weeks on the list,SUNFLOWER SISTERS;by Martha Hall Kelly;New this week,"RED, WHITE AND ROYAL BLUE;by Casey McQuiston;4 weeks on the list",HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;7 weeks on the list,A WORLD ON THE WING;by Scott Weidensaul;New this week,NOMADLAND;by Jessica Bruder;7 weeks on the list,"SET BOUNDARIES, FIND PEACE;by Nedra Glover Tawwab;3 weeks on the list",A TALE OF WITCHCRAFT...;by Chris Colfer;14 weeks on the list,ITTY-BITTY KITTY-CORN;by Shannon Hale. Illustrated by LeUyen Pham;New this week,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;62 weeks on the list,LEGENDBORN;by Tracy Deonn;8 weeks on the list,WILD SIGN;by Patricia Briggs;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,GET GOOD WITH MONEY;by Tiffany Aliche;,BRAWL OF THE WILD;by Dav Pilkey;,"TO SIR PHILLIP, WITH LOVE;by Julia Quinn;",CLEAN GETAWAY;by Nic Stone;,SERPENT AND DOVE;by Shelby Mahurin;
11,WILDE CHILD;by Eloisa James;New this week,ETERNAL;by Lisa Scottoline;2 weeks on the list,THE DUKE AND I;by Julia Quinn;14 weeks on the list,A PROMISED LAND;by Barack Obama;20 weeks on the list,JUST AS I AM;by Cicely Tyson with Michelle Burford;10 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;266 weeks on the list",,,,,,WHERE THE CRAWDADS SING;by Delia Owens;,TALKING TO STRANGERS;by Malcolm Gladwell;,,"DEMON SLAYER: KIMETSU NO YAIBA, VOL. 1;by Koyoharu Gotouge;",IT'S IN HIS KISS;by Julia Quinn;,,
12,THE DUKE AND I;by Julia Quinn;14 weeks on the list,THE VANISHING HALF;by Brit Bennett;44 weeks on the list,MILK AND HONEY;by Rupi Kaur;184 weeks on the list,ROCK ME ON THE WATER;by Ronald Brownstein;New this week,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;7 weeks on the list,JUST MERCY;by Bryan Stevenson;246 weeks on the list,,,,,,THE GUEST LIST;by Lucy Foley;,BORN A CRIME;by Trevor Noah;,,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",BY THE NECK;by William W. Johnstone and J.A. Johnstone;,,
13,THE ROSE CODE;by Kate Quinn;4 weeks on the list,OF WOMEN AND SALT;by Gabriela Garcia;New this week,IT ENDS WITH US;by Colleen Hoover;3 weeks on the list,HOOKED;by Michael Moss;New this week,ROCK ME ON THE WATER;by Ronald Brownstein;New this week,HIDDEN VALLEY ROAD;by Robert Kolker;5 weeks on the list,,,,,,READY PLAYER TWO;by Ernest Cline;,SAPIENS;by Yuval Noah Harari;,,NEW KID;by Jerry Craft;,ON THE WAY TO THE WEDDING;by Julia Quinn;,,
14,THE LOST APOTHECARY;by Sarah Penner;2 weeks on the list,WE BEGIN AT THE END;by Chris Whitaker;5 weeks on the list,THE SEVEN HUSBANDS OF EVELYN HUGO;by Taylor Jenkins Reid;5 weeks on the list,THIS IS THE FIRE;by Don Lemon;3 weeks on the list,BREATH;by James Nestor;19 weeks on the list,THE BODY;by Bill Bryson;10 weeks on the list,,,,,,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;,THE SUM OF US;by Heather McGhee;,,"MY HERO ACADEMIA, VOL. 2;by Kohei Horikoshi;",FAIRY-TALE FOREVER;by Debbie Macomber;,,
