,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE LATE SHOW;by Michael Connelly;2 weeks on the list,THE LATE SHOW;by Michael Connelly;2 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;16 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;49 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;13 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;384 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;33 weeks on the list,WONDER;by R.J. Palacio;103 weeks on the list,WHAT DO YOU DO WITH A PROBLEM?;by Kobi Yamada. Illustrated by Mae Besom;13 weeks on the list,HARRY POTTER;by J.K. Rowling;436 weeks on the list,THE HATE U GIVE;by Angie Thomas;22 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,THE BOYS IN THE BOAT;by Daniel James Brown;
2,THE WHISTLER;by John Grisham;19 weeks on the list,CAMINO ISLAND;by John Grisham;8 weeks on the list,MILK AND HONEY;by Rupi Kaur;68 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;53 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;53 weeks on the list,DUNKIRK;by Joshua Levine;4 weeks on the list,YOU ARE A BADASS;by Jen Sincero;81 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;2 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;9 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;20 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
3,WILDFIRE;by Ilona Andrews;New this week,THE LYING GAME;by Ruth Ware;New this week,READY PLAYER ONE;by Ernest Cline;24 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;13 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;9 weeks on the list",ON TYRANNY;by Timothy Snyder;22 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;211 weeks on the list,THE DARK PROPHECY;by Rick Riordan;13 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;180 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;77 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;10 weeks on the list,GRIT;by Angela Duckworth;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,UNBROKEN;by Laura Hillenbrand;
4,CAMINO ISLAND;by John Grisham;8 weeks on the list,PARADISE VALLEY;by C J. Box;New this week,TRULY MADLY GUILTY;by Liane Moriarty;New this week,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;9 weeks on the list",DEVIL'S BARGAIN;by Joshua Green;2 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;346 weeks on the list,MAKE YOUR BED;by William H. McRaven;17 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;31 weeks on the list,LITTLE EXCAVATOR;by Anna Dewdney;2 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;36 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;8 weeks on the list,RED NOTICE;by Bill Browder;,HOMO DEUS;by Yuval Noah Harari;,BUT SERIOUSLY;by John McEnroe;
5,HOUSE OF SPIES;by Daniel Silva;3 weeks on the list,HOUSE OF SPIES;by Daniel Silva;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;25 weeks on the list,DEVIL'S BARGAIN;by Joshua Green;2 weeks on the list,REDISCOVERING AMERICANISM;by Mark R. Levin;5 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;52 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;94 weeks on the list,DOG MAN;by Dav Pilkey;48 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;13 weeks on the list,DESCENDANTS;by Melissa de la Cruz;10 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;10 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",HIDDEN FIGURES;by Margot Lee Shetterly;,PAPI;by David Ortiz with Michael Holley;
6,READY PLAYER ONE;by Ernest Cline;New this week,INTO THE WATER;by Paula Hawkins;13 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;22 weeks on the list,THE MIRACLE OF DUNKIRK;by Walter Lord;2 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;14 weeks on the list,JUST MERCY;by Bryan Stevenson;71 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;137 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;5 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;96 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;437 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;58 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
7,PARADISE VALLEY;by C J. Box;New this week,THE PAINTED QUEEN;by Elizabeth Peters and Joan Hess;New this week,BEHIND CLOSED DOORS;by B. A. Paris;4 weeks on the list,REDISCOVERING AMERICANISM;by Mark R. Levin;5 weeks on the list,DANGEROUS;by Milo Yiannopoulos;4 weeks on the list,AN INCONVENIENT SEQUEL: TRUTH TO POWER;by Al Gore;New this week,THE PLANT PARADOX;by Steven R. Gundry;8 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;8 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;30 weeks on the list,MERCY WATSON;by Kate DiCamillo. Illustrated by Chris Van Dusen;7 weeks on the list,THE LAST MAGICIAN;by Lisa Maxwell;2 weeks on the list,INVISIBLE INFLUENCE;by Jonah Berger;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SHAKEN;by Tim Tebow;
8,THE WOMAN IN CABIN 10;by Ruth Ware;27 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;36 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;9 weeks on the list,DANGEROUS;by Milo Yiannopoulos;4 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;15 weeks on the list,RED NOTICE;by Bill Browder;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;117 weeks on the list,REFUGEE;by Alan Gratz;New this week,WE ARE IN A BOOK!;written and illustrated by Mo Willems;17 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;439 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;16 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,SEVEN BRIEF LESSONS ON PHYSICS;by Carlo Rovelli;,I GOT THIS;by Laurie Hernandez;
9,THE LYING GAME;by Ruth Ware;New this week,MURDER GAMES;by James Patterson and Howard Roughan;5 weeks on the list,THE WHISTLER;by John Grisham;3 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;15 weeks on the list,THE OPERATOR;by Robert O'Neill;8 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;34 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;62 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;7 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;213 weeks on the list,DORK DIARIES;by Rachel Renée Russell;217 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;37 weeks on the list,GET YOUR ------ TOGETHER;by Sarah Knight;,ON TRAILS;by Robert Moor;,TEAMMATE;by David Ross with Don Yaeger;
10,THE MOORES ARE MISSING;by James Patterson and others;New this week,THE IDENTICALS;by Elin Hilderbrand;7 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;17 weeks on the list,SAPIENS;by Yuval Noah Harari;9 weeks on the list,UNDERSTANDING TRUMP;by Newt Gingrich;7 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;133 weeks on the list",DARING GREATLY;by Brené Brown;70 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;30 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;107 weeks on the list",WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;19 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;53 weeks on the list,SHOE DOG;by Phil Knight;,EVERYTHING ALL AT ONCE;by Bill Nye;,BARBARIAN DAYS;by William Finnegan;
