,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,NEAR DARK;by Brad Thor;New this week,WHERE THE CRAWDADS SING;by Delia Owens;99 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;54 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;2 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;99 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;38 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;12 weeks on the list,ANTIRACIST BABY;by Ibram X. Kendi. Illustrated by Ashley Lukashevsky;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;240 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;18 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;,ATOMIC HABITS;by James Clear;,THE ADVENTURE ZONE: PETALS TO THE METAL;by Clint McElroy et al. Illustrated by Carey Pietsch;,THE GUARDIANS;by John Grisham;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,DEAR MARTIN;by Nic Stone;
2,THE ORDER;by Daniel Silva;2 weeks on the list,NEAR DARK;by Brad Thor;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;64 weeks on the list,THE ANSWER IS ...;by Alex Trebek;New this week,THE ANSWER IS ...;by Alex Trebek;New this week,ON TYRANNY;by Timothy Snyder;66 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;16 weeks on the list",WONDER;by R.J. Palacio;258 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;20 weeks on the list,THE BAD GUYS;by Aaron Blabey;88 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE SHADOW OF KYOSHI;by F.C. Yee;New this week",PEACE TALKS;by Jim Butcher;,WHITE FRAGILITY;by Robin DiAngelo;,THE BIGGEST BLUFF;by Maria Konnikova;,NEW KID;by Jerry Craft;,DESOLATION ROAD;by Christine Feehan;,A LONG WALK TO WATER;by Linda Sue Park;,WE WERE LIARS;by E. Lockhart;
3,WHERE THE CRAWDADS SING;by Delia Owens;98 weeks on the list,THE ORDER;by Daniel Silva;2 weeks on the list,THE NICKEL BOYS;by Colson Whitehead;4 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;18 weeks on the list,HOW TO DESTROY AMERICA IN THREE EASY STEPS;by Ben Shapiro;New this week,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;10 weeks on the list,ATOMIC HABITS;by James Clear;37 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;67 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;244 weeks on the list,DOG MAN;by Dav Pilkey;152 weeks on the list,THE HATE U GIVE;by Angie Thomas;178 weeks on the list,THE GUEST LIST;by Lucy Foley;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,DARE TO LEAD;by Brené Brown;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,THE WARNING;by James Patterson and Robison Wells;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,THE VANISHING HALF;by Brit Bennett;8 weeks on the list,THE VANISHING HALF;by Brit Bennett;8 weeks on the list,CAJUN JUSTICE;by James Patterson and Tucker Axum;2 weeks on the list,HOW TO DESTROY AMERICA IN THREE EASY STEPS;by Ben Shapiro;New this week,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;21 weeks on the list,WALKING WITH THE WIND;by John Lewis and Michael D'Orso;New this week,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;189 weeks on the list,REFUGEE;by Alan Gratz;104 weeks on the list,"SOFIA VALDEZ, FUTURE PREZ;by Andrea Beaty. Illustrated by David Roberts;12 weeks on the list",HARRY POTTER;by J.K. Rowling;592 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;131 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BREATH;by James Nestor;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,GUTS;by Raina Telgemeier;,REDEMPTION;by David Baldacci;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
5,THE GUEST LIST;by Lucy Foley;8 weeks on the list,28 SUMMERS;by Elin Hilderbrand;6 weeks on the list,THIS TENDER LAND;by William Kent Krueger;5 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;13 weeks on the list,THE ROOM WHERE IT HAPPENED;by John Bolton;5 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;10 weeks on the list,YOU ARE A BADASS;by Jen Sincero;216 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;67 weeks on the list,"GOOD NIGHT, LITTLE BLUE TRUCK;by Alice Schertle and Jill McElmurry;23 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;593 weeks on the list,HAWK;by James Patterson;3 weeks on the list,THE VANISHING HALF;by Brit Bennett;,THE ROOM WHERE IT HAPPENED;by John Bolton;,OUTLIERS;by Malcolm Gladwell;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,SUMMER AT LAKE HAVEN;by Raeanne Thayne;,BROWN GIRL DREAMING;by Jacqueline Woodson;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
6,28 SUMMERS;by Elin Hilderbrand;6 weeks on the list,THE GUEST LIST;by Lucy Foley;8 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;66 weeks on the list,THE ROOM WHERE IT HAPPENED;by John Bolton;5 weeks on the list,UNTAMED;by Glennon Doyle;20 weeks on the list,JUST MERCY;by Bryan Stevenson;215 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;317 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;39 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;8 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;34 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;21 weeks on the list,THE ORDER;by Daniel Silva;,UNTAMED;by Glennon Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","AVATAR, THE LAST AIRBENDER: THE PROMISE OMNIBUS;by Bryan Konietzko, Michael Dante DiMartino and Gene Luen Yang. Illustrated by Gurihiru;",THE OUTSIDER;by Stephen King;,FISH IN A TREE;by Lynda Mullaly Hunt;,LONG WAY DOWN;by Jason Reynolds;
7,AXIOM'S END;by Lindsay Ellis;New this week,AXIOM'S END;by Lindsay Ellis;New this week,THE NIGHTINGALE;by Kristin Hannah;49 weeks on the list,UNTAMED;by Glennon Doyle;20 weeks on the list,BEGIN AGAIN;by Eddie S. Glaude Jr.;4 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;13 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;24 weeks on the list,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;20 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;15 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;232 weeks on the list,THE BETROTHED;by Kiera Cass;12 weeks on the list,THE SUMMER HOUSE;by James Patterson and Brendan DuBois;,ALEXANDER HAMILTON;by Ron Chernow;,GRIT;by Angela Duckworth;,BECOMING BRIANNA;by Terri Libenson;,A SLICE OF HEAVEN;by Sherryl Woods;,THE CROSSOVER;by Kwame Alexander;,ALL THE BRIGHT PLACES;by Jennifer Niven;
8,PEACE TALKS;by Jim Butcher;2 weeks on the list,CAMINO WINDS;by John Grisham;13 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;62 weeks on the list,ON TYRANNY;by Timothy Snyder;22 weeks on the list,BREATH;by James Nestor;6 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;112 weeks on the list,RELATIONSHIP GOALS;by Michael Todd;13 weeks on the list,LITTLE LEADERS;by Vashti Harrison;39 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;81 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;541 weeks on the list,CLAP WHEN YOU LAND;by Elizabeth Acevedo;12 weeks on the list,28 SUMMERS;by Elin Hilderbrand;,HOW TO DESTROY AMERICA IN THREE EASY STEPS;by Ben Shapiro;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",ACT;by Kayla Miller;,BLUE MOON;by Lee Child;,GHOST BOYS;by Jewell Parker Rhodes;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,AMERICAN DIRT;by Jeanine Cummins;27 weeks on the list,PEACE TALKS;by Jim Butcher;2 weeks on the list,LADY IN THE LAKE;by Laura Lippman;3 weeks on the list,BEGIN AGAIN;by Eddie S. Glaude Jr.;4 weeks on the list,BECOMING;by Michelle Obama;85 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;196 weeks on the list,LIMITLESS;by Jim Kwik;3 weeks on the list,A TALE OF MAGIC...;by Chris Colfer;31 weeks on the list,WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;22 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;43 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;33 weeks on the list,PRETTY THINGS;by Janelle Brown;,BECOMING;by Michelle Obama;,TRAFFIC SECRETS;by Russell Brunson;,MARCH: BOOK THREE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,TWENTY-ONE WISHES;by Debbie Macomber;,RESTART;by Gordon Korman;,JUST MERCY;by Bryan Stevenson;
10,THE GUARDIANS;by John Grisham;25 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;27 weeks on the list,BEACH READ;by Emily Henry;9 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;10 weeks on the list,EDUCATED;by Tara Westover;127 weeks on the list,BORN A CRIME;by Trevor Noah;76 weeks on the list,TRIXIE & KATYA'S GUIDE TO MODERN WOMANHOOD;by Trixie Mattel and Katya Zamolodchikova;2 weeks on the list,CLEAN GETAWAY;by Nic Stone;9 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;22 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;298 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;121 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,TALKING TO STRANGERS;by Malcolm Gladwell;,THE RIDE OF A LIFETIME;by Robert Iger;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE DARK SIDE;by Danielle Steel;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,SIX OF CROWS;by Leigh Bardugo;
