,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,SIX YEARS;by Harlan Coben;New this week,SIX YEARS;by Harlan Coben;New this week,LIFE OF PI;by Yann Martel;25 weeks on the list,,,SIX YEARS;by Harlan Coben;,LEAN IN;by Sheryl Sandberg with Nell Scovell;2 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;22 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;2 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;295 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"EARTH 2, VOL. 1;by James Robinson and Nicola Scott;New this week","HAWKEYE, VOL. 1;by Matt Fraction and David Aja;New this week","YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;10 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;77 weeks on the list",THE INFERNAL DEVICES;by Cassandra Clare;New this week,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,SALT SUGAR FAT;by Michael Moss;
2,WAIT FOR YOU;by J. Lynn;3 weeks on the list,THE STORYTELLER;by Jodi Picoult;4 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;54 weeks on the list,,,THE STORYTELLER;by Jodi Picoult;,PROOF OF HEAVEN;by Eben Alexander;22 weeks on the list,SALT SUGAR FAT;by Michael Moss;4 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;6 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;22 weeks on the list,LIFE CODE;by Phil McGraw;6 weeks on the list,OBAMACARE SURVIVAL GUIDE;by Nick Tate;8 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;87 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;84 weeks on the list","ONE PIECE, VOL. 66;by Eiichiro Oda;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,EMERALDALICIOUS;by Victoria Kann;8 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;135 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,SALT SUGAR FAT;by Michael Moss;,OUTLIERS;by Malcolm Gladwell;,MY BELOVED WORLD;by Sonia Sotomayor;,QUIET;by Susan Cain;
3,THE STORYTELLER;by Jodi Picoult;4 weeks on the list,GONE GIRL;by Gillian Flynn;42 weeks on the list,FIFTY SHADES DARKER;by E. L. James;51 weeks on the list,,,GONE GIRL;by Gillian Flynn;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;6 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;25 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;8 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;38 weeks on the list,DARING GREATLY;by Brené Brown;6 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;605 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,KICK-ASS 2 PRELUDE: HIT-GIRL;by Mark Millar and John Romita Jr.;3 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;24 weeks on the list","ROSARIO+VAMPIRE SEASON II, VOL. 11;by Akihisa Ikeda;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE EASTER EGG;by Jan Brett;21 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;14 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,DRIVE;by Daniel H. Pink;,NO EASY DAY;by Mark Owen with Kevin Maurer;,THE POWER OF HABIT;by Charles Duhigg;
4,EXPOSED;by Kyra Davis;New this week,"ALEX CROSS, RUN;by James Patterson;5 weeks on the list",FIFTY SHADES FREED;by E. L. James;51 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;25 weeks on the list,SUM IT UP;by Pat Head Summitt with Sally Jenkins;3 weeks on the list,QUIET;by Susan Cain;8 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;25 weeks on the list,FIRSTHAND;by Ryan and Josh Shook;New this week,EAT TO LIVE;by Joel Fuhrman;88 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,"JUSTICE LEAGUE, VOL. 2;by Geoff Johns and Jim Lee;5 weeks on the list",DRAMA;by Raina Telgemeier;26 weeks on the list,"ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 4;by QuinRose;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;22 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;219 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EARN THE RIGHT TO WIN;by Tom Coughlin with David Fisher;,TIPPING POINT;by Malcolm Gladwell;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
5,"ALEX CROSS, RUN;by James Patterson;5 weeks on the list",A WEEK IN WINTER;by Maeve Binchy;6 weeks on the list,WORLD WAR Z;by Max Brooks;39 weeks on the list,,,LIFE OF PI;by Yann Martel;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;25 weeks on the list,UNBROKEN;by Laura Hillenbrand;123 weeks on the list,DRIFT;by Rachel Maddow;3 weeks on the list,BOSSYPANTS;by Tina Fey;87 weeks on the list,PATIENTS COME SECOND;by Paul Spiegelman and Britt Berrett;New this week,THE UNTETHERED SOUL;by Michael A. Singer;19 weeks on the list,QUIET;by Susan Cain;,AVATAR: THE LAST AIRBENDER — THE PROMISE;by Michael Dante DiMartino and Bryan Konietzko;New this week,"THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;15 weeks on the list","DEMON LOVE SPELL, VOL. 2;by Mayu Shinjo;3 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;84 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;New this week,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,BOOMERANG;by Michael Lewis;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BIG DATA;by Viktor Mayer-Schonberger and Kenneth Cukier;
6,GONE GIRL;by Gillian Flynn;42 weeks on the list,THE STRIKER;by Clive Cussler and Justin Scott;3 weeks on the list,THE PARIS WIFE;by Paula McLain;17 weeks on the list,,,THE LOST YEARS;by Mary Higgins Clark;,QUIET;by Susan Cain;18 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;29 weeks on the list,BOSSYPANTS;by Tina Fey;64 weeks on the list,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;6 weeks on the list,WHEAT BELLY;by William Davis;48 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;20 weeks on the list,SALT SUGAR FAT;by Michael Moss;,SPIDER-MAN: DYING WISH;by Dan Slott and Huberto Ramos;New this week,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;15 weeks on the list","MAXIMUM RIDE, VOL. 6;by James Patterson;10 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;46 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;80 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,DECISIVE;by Chip Heath and Dan Heath;,PREDICTABLY IRRATIONAL;by Dan Ariely;,UNBROKEN;by Laura Hillenbrand;,THE HAPPINESS PROJECT;by Gretchen Rubin;
7,A WEEK IN WINTER;by Maeve Binchy;6 weeks on the list,BREAKING POINT;by C. J. Box;2 weeks on the list,THE SILVER LININGS PLAYBOOK;by Matthew Quick;10 weeks on the list,,,"ALEX CROSS, RUN;by James Patterson;",SALT SUGAR FAT;by Michael Moss;4 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;10 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;3 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;6 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;12 weeks on the list,FROM MAMA'S TABLE TO MINE;by Bobby Deen;7 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;23 weeks on the list,"BATMAN, THE BLACK MIRROR;by Scott Snyder;2 weeks on the list","VAMPIRE KNIGHT, VOL. 16;by Matsuri Hino;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;50 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;76 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DETROIT;by Charlie LeDuff;,THE CHECKLIST MANIFESTO;by Atul Gawande;,A HIGHER CALL;by Adam Makos with Larry Alexander;,THE DRUNKEN BOTANIST;by Amy Stewart;
8,FALLING INTO YOU;by Jasinda Wilder;New this week,HALO: SILENTIUM;by Greg Bear;New this week,11TH HOUR;by James Patterson and Maxine Paetro;4 weeks on the list,,,THE INNOCENT;by David Baldacci;,BOSSYPANTS;by Tina Fey;47 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;5 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;123 weeks on the list,SALT SUGAR FAT;by Michael Moss;4 weeks on the list,THE DRUNKEN BOTANIST;by Amy Stewart;New this week,THE HONEST LIFE;by Jessica Alba;2 weeks on the list,SUM IT UP;by Pat Head Summitt with Sally Jenkins;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;26 weeks on the list,OLYMPIANS: POSEIDON;by George O'Connor;New this week,"NARUTO, VOL. 60;by Masashi Kishimoto;7 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,OTIS AND THE PUPPY;by Loren Long;2 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;25 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,END THIS DEPRESSION NOW!;by Paul Krugman;,COOLIDGE;by Amity Shlaes;,THEORETICAL MINIMUM;by Leonard Susskind;
9,THREE SISTERS;by Susan Mallery;2 weeks on the list,THE DINNER;by Herman Koch;6 weeks on the list,THE HARBINGER;by Jonathan Cahn;64 weeks on the list,,,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;,UNBROKEN;by Laura Hillenbrand;112 weeks on the list,UNTIL I SAY GOOD-BYE;by Susan Spencer-Wendel with Bret Witter;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;94 weeks on the list,UNBROKEN;by Laura Hillenbrand;113 weeks on the list,THE VIRGIN DIET;by J. J. Virgin;10 weeks on the list,POINT YOUR FACE AT THIS;by Demetri Martin;New this week,DRIFT;by Rachel Maddow;,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;5 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;147 weeks on the list","NARUTO, VOL. 59;by Masashi Kishimoto;14 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;45 weeks on the list,MATCHED TRILOGY;by Ally Condie;13 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;
10,THE HOST;by Stephenie Meyer;3 weeks on the list,A DANCE WITH DRAGONS;by George R. R. Martin;65 weeks on the list,THE LANGUAGE OF FLOWERS;by Vanessa Diffenbaugh;42 weeks on the list,,,A WEEK IN WINTER;by Maeve Binchy;,UNTIL I SAY GOOD-BYE;by Susan Spencer-Wendel with Bret Witter;2 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;New this week,IN THE GARDEN OF BEASTS;by Erik Larson;46 weeks on the list,UNTIL I SAY GOOD-BYE;by Susan Spencer-Wendel with Bret Witter;2 weeks on the list,SUPER IMMUNITY;by Joel Fuhrman;4 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;105 weeks on the list,UNBROKEN;by Laura Hillenbrand;,BUILDING STORIES;by Chris Ware;24 weeks on the list,"ADVENTURE TIME, VOL. 2;by Ryan North and Shelli Paroline;3 weeks on the list","SAILOR MOON, VOL. 9;by Naoko Takeuchi;6 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,EXCLAMATION MARK;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;New this week,DORK DIARIES;by Rachel Renée Russell;73 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,LEAN ENTREPRENEUR;by Brant Cooper and Patrick Vlaskovits;,BAILOUT;by Neil Barofsky;,DETROIT;by Charlie LeDuff;,UNLEASH THE POWER OF THE FEMALE BRAIN;by Daniel G. Amen;
