,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;New this week,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;New this week,FIFTY SHADES OF GREY;by E. L. James;44 weeks on the list,,,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;,PROOF OF HEAVEN;by Eben Alexander;12 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;15 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;12 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;12 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;2 weeks on the list,EAT TO LIVE;by Joel Fuhrman;78 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,BUILDING STORIES;by Chris Ware;15 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;14 weeks on the list","BLEACH, VOL. 54;by Tite Kubo;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;67 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;125 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,TAP DANCING TO WORK;by Carol J. Loomis;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,HOPELESS;by Colleen Hoover;3 weeks on the list,GONE GIRL;by Gillian Flynn;32 weeks on the list,FIFTY SHADES DARKER;by E. L. James;41 weeks on the list,,,GONE GIRL;by Gillian Flynn;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;15 weeks on the list,MY SHARE OF THE TASK;by Stanley McChrystal;New this week,TEAM OF RIVALS;by Doris Kearns Goodwin;49 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;15 weeks on the list,THE PLAN;by Lyn-Genet Recitas;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;595 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,GREEN LANTERN: REVENGE OF THE BLACK HAND;by Geoff Johns and Doug Mahnke;New this week,"SHOWCASE PRESENTS: WEIRD WAR TALES, VOL. 1;by various;New this week","LOVELESS, VOL. 10;by Yun Kouga;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,CHU'S DAY;by Neil Gaiman. Illustrated by Adam Rex;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;209 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;,TIPPING POINT;by Malcolm Gladwell;,THOMAS JEFFERSON;by Jon Meacham;
3,GONE GIRL;by Gillian Flynn;32 weeks on the list,TENTH OF DECEMBER;by George Saunders;New this week,FIFTY SHADES FREED;by E. L. James;41 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,MY SHARE OF THE TASK;by Stanley McChrystal;New this week,NO EASY DAY;by Mark Owen with Kevin Maurer;19 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;97 weeks on the list,AN INVISIBLE THREAD;by Laura L. Schroff;13 weeks on the list,NINJA INNOVATION;by Gary Shapiro;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;285 weeks on the list,MY SHARE OF THE TASK;by Stanley McChrystal;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;77 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;74 weeks on the list","MAXIMUM RIDE, VOL. 6;by James Patterson;5 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PRESS HERE;by Hervé Tullet;74 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;4 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,SAFE HAVEN;by Nicholas Sparks;7 weeks on the list,KINSEY AND ME;by Sue Grafton;New this week,LIFE OF PI;by Yann Martel;15 weeks on the list,,,TENTH OF DECEMBER;by George Saunders;,NO EASY DAY;by Mark Owen with Kevin Maurer;19 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;9 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;113 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;19 weeks on the list,WHEAT BELLY COOKBOOK;by William Davis;3 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;14 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;15 weeks on the list",FUN HOME;by Alison Bechdel;11 weeks on the list,"BLOOD LAD, VOL. 1;by Yuuki Kodama;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;36 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;15 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BOOMERANG;by Michael Lewis;,NO EASY DAY;by Mark Owen with Kevin Maurer;
5,FIFTY SHADES OF GREY;by E. L. James;46 weeks on the list,COLLATERAL DAMAGE;by Stuart Woods;New this week,THE PARIS WIFE;by Paula McLain;7 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;67 weeks on the list,THE WORLD UNTIL YESTERDAY;by Jared Diamond;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;84 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;68 weeks on the list,FAT CHANCE;by Robert H. Lustig;New this week,TO HEAVEN AND BACK;by Mary C. Neal;33 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;15 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;28 weeks on the list","GIRL FRIENDS: THE COMPLETE COLLECTION, VOL. 2;by Morinaga Milk;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,OLIVIA AND THE FAIRY PRINCESSES;by Ian Falconer;14 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;71 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,STEVE JOBS;by Walter Isaacson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,AMERICA AGAIN;by Stephen Colbert and others;
6,COLLATERAL DAMAGE;by Stuart Woods;New this week,THE HUSBAND LIST;by Janet Evanovich and Dorien Kelly;New this week,DEATH COMES TO PEMBERLEY;by P. D. James;2 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,THOMAS JEFFERSON;by Jon Meacham;9 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;68 weeks on the list,AN INVISIBLE THREAD;by Laura L. Schroff;2 weeks on the list,MY SHARE OF THE TASK;by Stanley McChrystal;New this week,THE END OF DIABETES;by Joel Fuhrman;New this week,MEATLESS;by the Martha Stewart Living staff;New this week,THE WORLD UNTIL YESTERDAY;by Jared Diamond;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;93 weeks on the list,"THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;7 weeks on the list","GUNSLINGER GIRL, OMNIBUS VOL. 6;by Yu Aida;New this week",WONDER;by R.J. Palacio;295 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;12 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;277 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;",THE CHECKLIST MANIFESTO;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
7,THE COINCIDENCE OF CALLIE AND KAYDEN;by Jessica Sorensen;4 weeks on the list,THE TWELVE TRIBES OF HATTIE;by Ayana Mathis;5 weeks on the list,WORLD WAR Z;by Max Brooks;29 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,AN INVISIBLE THREAD;by Laura L. Schroff;New this week,THE DUDE AND THE ZEN MASTER;by Jeff Bridges and Bernie Glassman;New this week,IN THE GARDEN OF BEASTS;by Erik Larson;37 weeks on the list,UNBROKEN;by Laura Hillenbrand;103 weeks on the list,WHEAT BELLY;by William Davis;38 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;96 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"TOTALLY MAD: 60 YEARS OF HUMOR, SATIRE, STUPIDITY AND STUPIDITY;by various;11 weeks on the list","AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;11 weeks on the list","NARUTO, VOL. 59;by Masashi Kishimoto;10 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,GOLDILOCKS AND THE THREE DINOSAURS;by Mo Willems;7 weeks on the list,DORK DIARIES;by Rachel Renée Russell;67 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THREE SIMPLE STEPS;by Trevor Blake;,LAST LION;by William Manchester and Paul Reid;
8,FIFTY SHADES DARKER;by E. L. James;46 weeks on the list,THE BLOOD GOSPEL;by James Rollins and Rebecca Cantrell;New this week,BARED TO YOU;by Sylvia Day;31 weeks on the list,,,KINSEY AND ME;by Sue Grafton;,TEAM OF RIVALS;by Doris Kearns Goodwin;10 weeks on the list,UNBROKEN;by Laura Hillenbrand;113 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;17 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;16 weeks on the list,THE VIRGIN DIET;by J. J. Virgin;4 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;10 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;,ARE YOU MY MOTHER?;by Alison Bechdel;32 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;15 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 1;by Quinrose;4 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,SAFARI;by Dan Kainen and Carol Kaufmann;6 weeks on the list,MATCHED TRILOGY;by Ally Condie;9 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,MASTERY;by Robert Greene;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;
9,FIFTY SHADES FREED;by E. L. James;44 weeks on the list,THE RACKETEER;by John Grisham;12 weeks on the list,REFLECTED IN YOU;by Sylvia Day;12 weeks on the list,,,LIFE OF PI;by Yann Martel;,UNBROKEN;by Laura Hillenbrand;103 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;14 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;44 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;2 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;11 weeks on the list,HUNGRY GIRL TO THE MAX!;by Lisa Lillien;12 weeks on the list,THE DUDE AND THE ZEN MASTER;by Jeff Bridges and Bernie Glassman;,THE BEST AMERICAN COMICS 2012;by Françoise Mouly;7 weeks on the list,SMILE;by Raina Telgemeier;48 weeks on the list,"LOVELESS: 2-IN-1, VOL. 2;by Yun Kouga;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;40 weeks on the list,THE MAZE RUNNER;by James Dashner;45 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE BIG SHORT;by Michael Lewis;,PATRIARCH;by David Nasaw;
10,THE FORGOTTEN;by David Baldacci;8 weeks on the list,DREAM EYES;by Jayne Ann Krentz;New this week,SAFE HAVEN;by Nicholas Sparks;17 weeks on the list,,,COLLATERAL DAMAGE;by Stuart Woods;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;29 weeks on the list,HALF THE SKY;by Nicholas D. Kristof and Sheryl WuDunn;39 weeks on the list,WILD;by Cheryl Strayed;43 weeks on the list,7 YEARS YOUNGER;by the editors of Good Housekeeping;2 weeks on the list,PRACTICAL PALEO;by Diane Sanfilippo;10 weeks on the list,UNBROKEN;by Laura Hillenbrand;,HABIBI;by Craig Thompson;21 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;111 weeks on the list,"PUELLA MAGI MADOKA MAGICA, VOL. 3;by Magica Quartet;5 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THIS MOOSE BELONGS TO ME;by Oliver Jeffers;4 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;71 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,MONEYBALL;by Michael Lewis;,JOY OF HATE;by Greg Gutfeld;
