,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,TOP SECRET TWENTY-ONE;by Janet Evanovich;New this week,TOP SECRET TWENTY-ONE;by Janet Evanovich;New this week,GONE GIRL;by Gillian Flynn;9 weeks on the list,,,HARD CHOICES;by Hillary Rodham Clinton;2 weeks on the list,HARD CHOICES;by Hillary Rodham Clinton;2 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;4 weeks on the list,ME;by Katharine Hepburn;New this week,INSTINCT;by T. D. Jakes;7 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;New this week,THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;14 weeks on the list,"MOBILE SUIT GUNDAM: THE ORIGIN, VOL. 6;by Yoshikazu Yasuhiko;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;52 weeks on the list,DIVERGENT;by Veronica Roth;35 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,HARD CHOICES;by Hillary Rodham Clinton;,QUIET;by Susan Cain;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,THE SILKWORM;by Robert Galbraith;New this week,THE SILKWORM;by Robert Galbraith;New this week,ORPHAN TRAIN;by Christina Baker Kline;44 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;25 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;5 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;46 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;47 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;63 weeks on the list,"GUARDIANS OF THE GALAXY/ALL-NEW X-MEN: THE TRIAL OF JEAN GREY;by Brian Michael Bendis, Sara Pichelli and Stuart Immonen;New this week",PERSEPOLIS;by Marjane Satrapi;26 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;54 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,I AM ROSA PARKS;by Brad Meltzer. Illustrated by Christopher Eliopoulos;New this week,THE MAZE RUNNER;by James Dashner;89 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,WHEAT BELLY;by William Davis;,ONE NATION;by Ben Carson with Candy Carson;,DAVID AND GOLIATH;by Malcolm Gladwell;,"TIGER, MEET MY SISTER;by Rick Reilly;"
3,ALL FALL DOWN;by Jennifer Weiner;New this week,WRITTEN IN MY OWN HEART'S BLOOD;by Diana Gabaldon;2 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;3 weeks on the list,,,ME;by Katharine Hepburn;New this week,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;11 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;188 weeks on the list,I KNOW WHY THE CAGED BIRD SINGS;by Maya Angelou;4 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;39 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;7 weeks on the list,"SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;13 weeks on the list","FAIRY TAIL, VOL. 39;by Hiro Mashima;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,MY NEW FRIEND IS SO FUN!;by Mo Willems;3 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;145 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,FLASH BOYS;by Michael Lewis;,THE EVERYGIRL'S GUIDE TO DIET AND FITNESS;by Maria Menounos;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MICHAEL JORDAN: THE LIFE;by Roland Lazenby;
4,MR. MERCEDES;by Stephen King;3 weeks on the list,MR. MERCEDES;by Stephen King;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;309 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;5 weeks on the list,UNBROKEN;by Laura Hillenbrand;174 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;114 weeks on the list,HARD CHOICES;by Hillary Rodham Clinton;2 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;16 weeks on the list,"MIRACLEMAN, BOOK 1;by Alan Moore, Garry Leach and Alan Davis;4 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;67 weeks on the list","ONE PIECE, VOL. 71;by Eiichiro Oda;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;142 weeks on the list",DORK DIARIES;by Rachel Renée Russell;100 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE PALEO KITCHEN;by Juli Bauer and George Bryant;,UNBROKEN;by Laura Hillenbrand;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,"WHEN THE GAME WAS OURS;by Larry Bird, Earvin ""Magic"" Johnson and Jackie MacMullan;"
5,WRITTEN IN MY OWN HEART'S BLOOD;by Diana Gabaldon;2 weeks on the list,ALL FALL DOWN;by Jennifer Weiner;New this week,THE SILVER STAR;by Jeannette Walls;3 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;158 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;159 weeks on the list,THAT SUMMER IN SICILY;by Marlena de Blasi;New this week,THE PALEO KITCHEN;by Juli Bauer and George Bryant;2 weeks on the list,NATHAN HALE'S HAZARDOUS TALES: ONE DEAD SPY;by Nathan Hale;6 weeks on the list,"BLACK SCIENCE, VOL. 1;by Rick Remender and Matteo Scalera;New this week","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;31 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;12 weeks on the list,THE SELECTION;by Kiera Cass;7 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,THE POWER OF HABIT;by Charles Duhigg;,THE SPORTS GENE;by David Epstein;
6,THE GOLDFINCH;by Donna Tartt;35 weeks on the list,THE GOLDFINCH;by Donna Tartt;35 weeks on the list,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;3 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;121 weeks on the list,THE CLOSER;by Mariano Rivera with Wayne Coffey;7 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;3 weeks on the list,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;14 weeks on the list,THE CONSCIOUS PARENT;by Shefali Tsabary;New this week,A GAME OF THRONES;by George R.R. Martin;23 weeks on the list,SMILE;by Raina Telgemeier;108 weeks on the list,"KAMISAMA KISS, VOL. 15;by Julietta Suzuki;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,I AM ABRAHAM LINCOLN;by Brad Meltzer. Illustrated by Christopher Eliopoulos;4 weeks on the list,GIVER QUARTET;by Lois Lowry;44 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,BLOOD FEUD;by Edward Klein;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
7,GONE GIRL;by Gillian Flynn;82 weeks on the list,ROGUES;edited by George R. R. Martin and Gardner Dozois;New this week,THE LONGEST RIDE;by Nicholas Sparks;7 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;5 weeks on the list,FLASH BOYS;by Michael Lewis;12 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;352 weeks on the list,I LIKE YOU JUST THE WAY I AM;by Jenny Mollen;New this week,#GIRLBOSS;by Sophia Amoruso;7 weeks on the list,"BATMAN, VOL. 4;by Scott Snyder and Greg Capullo;6 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;33 weeks on the list","NO. 6, VOL. 7;by Atsuko Asano and Hinoki Kino;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;27 weeks on the list,GRISHA TRILOGY;by Leigh Bardugo;New this week,LORE;by Alexandra Bracken;18 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",PRACTICAL PALEO;by Diane Sanfilippo;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,STUFF MATTERS;by Mark Miodownik;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
8,SHATTERED;by Kevin Hearne;New this week,THE ONE AND ONLY;by Emily Giffin;5 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;8 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;24 weeks on the list,CARSICK;by John Waters;3 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;87 weeks on the list,UNBROKEN;by Laura Hillenbrand;177 weeks on the list,WHEAT BELLY;by William Davis;57 weeks on the list,"BATMAN AND ROBIN, VOL. 4;by Peter Tomasi and Patrick Gleason;2 weeks on the list","SEX CRIMINALS, VOL. 1;by Matt Fraction and Chip Zdarsky;4 weeks on the list","SAY I LOVE YOU, VOL. 2;by Kanae Hazuki;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,I AM AMELIA EARHART;by Brad Meltzer. Illustrated by Christopher Eliopoulos;3 weeks on the list,THE TESTING;by Joelle Charbonneau;New this week,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,STRESS TEST;by Timothy F. Geithner;,GUY ON FIRE;by Guy Fieri with Ann Volkwein;,THE ROMANOV SISTERS;by Helen Rappaport;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,STRONGER;by Jeff Bauman with Bret Witter;
9,A GAME OF THRONES;by George R.R. Martin;44 weeks on the list,THE HURRICANE SISTERS;by Dorothea Benton Frank;3 weeks on the list,DOCTOR SLEEP;by Stephen King;2 weeks on the list,,,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;6 weeks on the list,A FIGHTING CHANCE;by Elizabeth Warren;9 weeks on the list,A LONG WAY GONE;by Ishmael Beah;79 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;22 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;59 weeks on the list,"NATHAN HALE'S HAZARDOUS TALES: TREATIES, TRENCHES, MUD, AND BLOOD;by Nathan Hale;6 weeks on the list",THIS ONE SUMMER;by Mariko Tamaki and Jillian Tamaki;4 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;22 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PRESS HERE;by Hervé Tullet;145 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;200 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE BIG FAT SURPRISE;by Nina Teicholz;,NO PLACE TO HIDE;by Glenn Greenwald;,PROOF: THE SCIENCE OF BOOZE;by Adam Rogers;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
10,ORPHAN TRAIN;by Christina Baker Kline;22 weeks on the list,THE MATCHMAKER;by Elin Hilderbrand;2 weeks on the list,A GAME OF THRONES;by George R.R. Martin;66 weeks on the list,,,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;9 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;26 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;11 weeks on the list,ETCHED IN SAND;by Regina Calcaterra;10 weeks on the list,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;7 weeks on the list,OVER EASY;by Mimi Pond;6 weeks on the list,SHACKLETON: ANTARCTIC ODYSSEY;by Nick Bertozzi;New this week,"ATTACK ON TITAN, VOL. 10;by Hajime Isayama;14 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LOCOMOTIVE;by Brian Floca;21 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;283 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THRIVE;by Arianna Huffington;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,STRESS TEST;by Timothy F. Geithner;,THE SPORTS GENE;by David Epstein;,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;
