,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,NEVER GO BACK;by Lee Child;New this week,NEVER GO BACK;by Lee Child;New this week,FIFTY SHADES OF GREY;by E. L. James;78 weeks on the list,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;New this week,SI-COLOGY 1;by Si Robertson with Mark Schlabach;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;8 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;9 weeks on the list,E-SQUARED;by Pam Grout;8 weeks on the list,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;New this week,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;4 weeks on the list,"ONE PIECE, VOL. 68;by Eiichiro Oda;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;11 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;104 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,WHEAT BELLY;by William Davis;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE LIBERTY AMENDMENTS;by Mark R. Levin;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
2,THE HUSBAND'S SECRET;by Liane Moriarty;5 weeks on the list,THE MAYAN SECRETS;by Clive Cussler and Thomas Perry;New this week,THE RACKETEER;by John Grisham;2 weeks on the list,,,THE LIBERTY AMENDMENTS;by Mark R. Levin;4 weeks on the list,THE LIBERTY AMENDMENTS;by Mark R. Levin;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;46 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;29 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;22 weeks on the list,"FABLES: THE DELUXE EDITION, BOOK SEVEN;by Bill Willingham and Mark Buckingham;New this week",PERSEPOLIS;by Marjane Satrapi;16 weeks on the list,"ATTACK ON TITAN, VOL. 6;by Hajime Isayama;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,FROG TROUBLE;by Sandra Boynton;New this week,THE HUNGER GAMES;by Suzanne Collins;159 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,INFILTRATED;by Jay W. Richards;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THIS TOWN;by Mark Leibovich;,QUIET;by Susan Cain;
3,STYXX;by Sherrilyn Kenyon;New this week,THE CUCKOO'S CALLING;by Robert Galbraith;8 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;7 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;8 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;18 weeks on the list",OUTLIERS;by Malcolm Gladwell;118 weeks on the list,KETCHUP IS A VEGETABLE;by Robin O'Bryant;New this week,MICHAEL SYMON'S 5 IN 5;by Michael Symon with Douglas Trattner;New this week,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;12 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;39 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;13 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;101 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;11 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;",DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;,THE SPORTS GENE;by David Epstein;
4,DARK LYCAN;by Christine Feehan;New this week,STYXX;by Sherrilyn Kenyon;New this week,THE SILENT WIFE;by A. S. A. Harrison;7 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;18 weeks on the list",ZEALOT;by Reza Aslan;8 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;131 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;18 weeks on the list",GOD IS NOT MAD AT YOU;by Joyce Meyer;New this week,"THE SANDMAN OMNIBUS, VOL. 1;by Neil Gaiman and others;New this week",THE COMPLETE PERSEPOLIS;by Marjane Satrapi;19 weeks on the list,"DEMON LOVE SPELL, VOL. 4;by Mayu Shinjo;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;5 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;305 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EAT TO LIVE;by Joel Fuhrman;,THE LEADERSHIP CONTRACT;by Vince Molinaro;,DRIVE;by Daniel H. Pink;,LAWRENCE IN ARABIA;by Scott Anderson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,SEDUCED;by Melody Anne;New this week,INFERNO;by Dan Brown;17 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;23 weeks on the list",,,ZEALOT;by Reza Aslan;8 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;26 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;328 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;22 weeks on the list,ONCE UPON A TIME;by Daniel T. Thomsen and Corinna Bechko;New this week,WATCHMEN;by Alan Moore and Dave Gibbons;118 weeks on the list,"NARUTO, VOL. 62;by Masashi Kishimoto;5 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;108 weeks on the list,GIVER QUARTET;by Lois Lowry;23 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;,STEVE JOBS;by Walter Isaacson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,COLLISION 2012;by Dan Balz;,THE HAPPINESS PROJECT;by Gretchen Rubin;
6,THE CUCKOO'S CALLING;by Robert Galbraith;8 weeks on the list,DARK LYCAN;by Christine Feehan;New this week,THE SECRET KEEPER;by Beverly Lewis;New this week,,,PROOF OF HEAVEN;by Eben Alexander;46 weeks on the list,SALINGER;by David Shields and Shane Salerno;New this week,QUIET;by Susan Cain;32 weeks on the list,ZEALOT;by Reza Aslan;8 weeks on the list,GREAT WORK;by David Sturt;New this week,"THE FLASH, VOL. 2;by Francis Manapul, Brian Buccellato and Marcus To;3 weeks on the list",FUN HOME;by Alison Bechdel;17 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;7 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;21 weeks on the list",ORIGAMI YODA;by Tom Angleberger. Illustrated;17 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,THE POWER OF HABIT;by Charles Duhigg;,THE CHECKLIST MANIFESTO;by Atul Gawande;,BUTLER;by Wil Haygood;,THE POWER OF HABIT;by Charles Duhigg;
7,THE MAYAN SECRETS;by Clive Cussler and Thomas Perry;New this week,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;16 weeks on the list,WINTER OF THE WORLD;by Ken Follett;2 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;26 weeks on the list,THIS TOWN;by Mark Leibovich;8 weeks on the list,WILD;by Cheryl Strayed;24 weeks on the list,BRILLIANT BLUNDERS;by Mario Livio;New this week,THE FASTDIET;by Michael Mosley and Mimi Spencer;11 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;11 weeks on the list,DRAMA;by Raina Telgemeier;42 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;5 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;74 weeks on the list,DORK DIARIES;by Rachel Renée Russell;86 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
8,FIFTY SHADES OF GREY;by E. L. James;59 weeks on the list,MADDADDAM;by Margaret Atwood;New this week,FIFTY SHADES DARKER;by E. L. James;75 weeks on the list,,,THIS TOWN;by Mark Leibovich;7 weeks on the list,LAWRENCE IN ARABIA;by Scott Anderson;5 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;10 weeks on the list,BUTLER;by Wil Haygood;6 weeks on the list,WHEAT BELLY;by William Davis;22 weeks on the list,HARK! A VAGRANT;by Kate Beaton;26 weeks on the list,DELILAH DIRK AND THE TURKISH LIEUTENANT;by Tony Cliff;2 weeks on the list,"JUDGE, VOL. 1;by Yoshiki Tonogai;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;New this week",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;242 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE REASON I JUMP;by Naoki Higashida;
9,THE RACKETEER;by John Grisham;16 weeks on the list,HOW THE LIGHT GETS IN;by Louise Penny;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;269 weeks on the list,,,BUTLER;by Wil Haygood;4 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;23 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;5 weeks on the list,THE LIBERTY AMENDMENTS;by Mark R. Levin;4 weeks on the list,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;9 weeks on the list",BEFORE WATCHMEN: COMEDIAN/RORSCHACH;by various;7 weeks on the list,SMILE;by Raina Telgemeier;70 weeks on the list,"ATTACK ON TITAN, VOL. 4;by Hajime Isayama;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,MR. TIGER GOES WILD;by Peter Brown;New this week,SEA BREEZE;by Abbi Glines;2 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,PRACTICAL PALEO;by Diane Sanfilippo;,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,MONEY CODE;by Joe John Duran;,KEEP IT PITHY;by Bill O'Reilly;,THE CHECKLIST MANIFESTO;by Atul Gawande;
10,STRIPPED;by  H.M. Ward;New this week,MISTRESS;by James Patterson and David Ellis;5 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;23 weeks on the list,,,LAWRENCE IN ARABIA;by Scott Anderson;5 weeks on the list,UNBROKEN;by Laura Hillenbrand;145 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;23 weeks on the list",THIS TOWN;by Mark Leibovich;7 weeks on the list,YOU'LL GET THROUGH THIS;by Max Lucado;New this week,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;33 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;12 weeks on the list","KINGDOM HEARTS II, VOL. 2;by Shiro Amano;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE BLESSING CUP;by Patricia Polacco;New this week,THE UNWANTEDS;by Lisa McMann;New this week,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,EATING ON THE WILD SIDE;by Jo Robinson;,CRAZY RICH;by Jerry Oppenheimer;,BOOMERANG;by Michael Lewis;,AMERICAN GUN;by Chris Kyle with William Doyle;,INSIDE OF A DOG;by Alexandra Horowitz;
