,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE LOST SYMBOL;by Dan Brown;6 weeks on the list,PUSH;by Sapphire;9 weeks on the list,,HAVE A LITTLE FAITH;by Mitch Albom;4 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;108 weeks on the list,KNOCKOUT;by Suzanne Somers;New this week,NEW MOON;by Mark Cotta Vaz;3 weeks on the list,THE BOOK OF GENESIS: ILLUSTRATED;by R. Crumb;2 weeks on the list,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS;by Max Brooks;3 weeks on the list,NARUTO 46;by Masashi Kishimoto;4 weeks on the list,CATCHING FIRE;by Suzanne Collins;8 weeks on the list,THE BOOK THIEF;by Markus Zusak;111 weeks on the list,LEGO STAR WARS;by Simon Beecroft;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;41 weeks on the list
2,THE SCARPETTA FACTOR;by Patricia Cornwell;New this week,THE SHACK;by William P. Young;75 weeks on the list,,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;New this week,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;9 weeks on the list,JIM CRAMER'S GETTING BACK TO EVEN;by James J. Cramer with Cliff Mason;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;434 weeks on the list,"ABSOLUTE DEATH;by Neil Gaiman, Chris Bachalo and Mark Buckingham;New this week","JACK OF FABLES, VOL. 6;by Bill Willingham and Matthew Sturges;New this week","ROSARIO   VAMPIRE, VOL. 9;by Akihisa Ikeda;3 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;59 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;40 weeks on the list,"JULIE ANDREWS’S COLLECTION OF POEMS, SONGS, AND LULLABIES;by Emma Walton Hamilton and Julie Andrews. Illustrated by James McMullan.;3 weeks on the list",THE TWILIGHT SAGA;by Stephenie Meyer;116 weeks on the list
3,PURSUIT OF HONOR;by Vince Flynn;2 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;27 weeks on the list,,WHAT THE DOG SAW;by Malcolm Gladwell;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;143 weeks on the list,THE CONSCIOUS COOK;by Tal Ronnen;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;117 weeks on the list,STITCHES: A MEMOIR;by David Small;5 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;35 weeks on the list,"SOUL EATER, VOL. 3;by Atsushi Ohkubo;New this week",THE MAGICIAN’S ELEPHANT;by Kate DiCamillo. Illustrated by Yoko Tanaka;7 weeks on the list,DARK VISIONS;by L. J. Smith;7 weeks on the list,"SKIPPYJON JONES, LOST IN SPICE;by Judy Schachner;6 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;120 weeks on the list
4,NINE DRAGONS;by Michael Connelly;2 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;18 weeks on the list,,TOO BIG TO FAIL;by Andrew Ross Sorkin;New this week,THE GLASS CASTLE;by Jeannette Walls;149 weeks on the list,GUINNESS WORLD RECORDS 2010;edited by Craig Glenday;6 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;80 weeks on the list,BATMAN: CACOPHONY;by Kevin Smith and Walter Flanagan;5 weeks on the list,BATMAN: THE LONG HALLOWEEN;by Jeph Loeb and Tim Sale;11 weeks on the list,"DEATH NOTE: L, CHANGE THE WORLD;by  M;New this week",TRICKS;by Ellen Hopkins;9 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;30 weeks on the list,WHERE THE WILD THINGS ARE;by Barb Bersche and Michelle Quint;4 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;26 weeks on the list
5,THE HELP;by Kathryn Stockett;30 weeks on the list,SAY YOU'RE ONE OF THEM;by Uwem Akpan;6 weeks on the list,,"ARGUING WITH IDIOTS;written and edited by Glenn Beck, Kevin Balfe and others;5 weeks on the list",THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;3 weeks on the list,THE KIND DIET;by Alicia Silverstone;2 weeks on the list,SKINNY BITCH;by Kim Barnouin;119 weeks on the list,THE WONDERFUL WIZARD OF OZ;by Eric Shanower and Skottie Young;6 weeks on the list,"BUFFY THE VAMPIRE SLAYER: SEASON 8, VOL. 5;by various;3 weeks on the list","YU-GI-OH! R, VOL. 1;by Kazuki Takahashi and Akira Ito;New this week",SHIVER;by Maggie Stiefvater;13 weeks on the list,BLUE MOON;by Alyson Noël;16 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;39 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart;3 weeks on the list
6,HEAT WAVE;by Richard Castle;2 weeks on the list,THE TIME TRAVELER'S WIFE;by Audrey Niffenegger;19 weeks on the list,,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;2 weeks on the list,TIPPING POINT;by Malcolm Gladwell;264 weeks on the list,"POSTSECRET: CONFESSIONS ON LIFE, DEATH, AND GOD;by Frank Warren;3 weeks on the list",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;57 weeks on the list,JOKER;by Brian Azzarello and Lee Bermejo;25 weeks on the list,BATMAN: ARKHAM ASYLUM;by Grant Morrison and Dave McKean;10 weeks on the list,"FULLMETAL ALCHEMIST, VOL. 20;by Hiromu Arakawa;6 weeks on the list",THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;55 weeks on the list,GRACELING;by Kristin Cashore;4 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;6 weeks on the list,BLUE BLOODS;by Melissa de la Cruz;10 weeks on the list
7,WOLF HALL;by Hilary Mantel;2 weeks on the list,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;25 weeks on the list,,TRUE COMPASS;by Edward M. Kennedy;6 weeks on the list,GLENN BECK’S ‘COMMON SENSE’;by Glenn Beck;20 weeks on the list,CRUSH IT!;by Gary Vaynerchuk;2 weeks on the list,BUY KETCHUP IN MAY AND FLY AT NOON;by Mark Di Vincenzo;New this week,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;33 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;30 weeks on the list,"CHIBI VAMPIRE, VOL. 14;by Yuna Kagesaki;3 weeks on the list","HUSH, HUSH;by Becca Fitzpatrick;2 weeks on the list",EVERMORE;by Alyson Noël;38 weeks on the list,OTIS;written and illustrated by Loren Long;5 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;61 weeks on the list
8,SOUTHERN LIGHTS;by Danielle Steel;New this week,THE ART OF RACING IN THE RAIN;by Garth Stein;20 weeks on the list,,OUTLIERS;by Malcolm Gladwell;49 weeks on the list,BLINK;by Malcolm Gladwell;106 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;39 weeks on the list",HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;28 weeks on the list,BATMAN: WHATEVER HAPPENED TO THE CAPED CRUSADER?;by Neil Gaiman and others;14 weeks on the list,"LOGICOMIX - AN EPIC SEARCH FOR TRUTH;by Apostolos Doxiadis, Christos H. Papadimitriou, Alecos Papadatos and Annie Di Donna;4 weeks on the list","VAMPIRE KISSES VOL. 3, BLOOD RELATIVES;by Ellen Schreiber, Elisa Kwon and  Rem;3 weeks on the list",RETURN TO THE HUNDRED ACRE WOOD;by David Benedictus. Illustrated by Mark Burgess;3 weeks on the list,CLOUDY WITH A CHANCE OF MEATBALLS: JUNIOR NOVELIZATION;by Stacia Deutsch and Rhody Cohon;6 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;100 weeks on the list,CIRQUE DU FREAK;by Darren Shan;21 weeks on the list
9,HALF BROKE HORSES;by Jeannette Walls;3 weeks on the list,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;7 weeks on the list,,THE GREATEST SHOW ON EARTH;by Richard Dawkins;5 weeks on the list,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;21 weeks on the list,HOW TO RAISE THE PERFECT DOG;by Cesar Millan with Melissa Jo Peltier;3 weeks on the list,"THE BIGGEST LOSER SIMPLE SWAPS;by  Cheryl Forberg, Melissa Roberson and others;2 weeks on the list","FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;19 weeks on the list",THE UMBRELLA ACADEMY: DALLAS;by Gerard Way and Gabriel Ba;New this week,"THE GENTLEMEN’S ALLIANCE, VOL. 10;by Arina Tanemura;New this week",THIRTEEN REASONS WHY;by Jay Asher;51 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;46 weeks on the list,STREGA NONA'S HARVEST;written and illustrated by Tomie dePaola;6 weeks on the list,THE 39 CLUES;by various authors;25 weeks on the list
10,THE LAST SONG;by Nicholas Sparks;7 weeks on the list,RUN FOR YOUR LIFE;by James Patterson and Michael Ledwidge;New this week,,WHERE MEN WIN GLORY;by Jon Krakauer;6 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;52 weeks on the list,"REINVENTING THE BODY, RESURRECTING THE SOUL;by Deepak Chopra;2 weeks on the list",RICH DAD'S CONSPIRACY OF THE RICH;by Robert T. Kiyosaki;5 weeks on the list,MERCY THOMPSON: HOMECOMING;by Patricia Briggs and David Lawrence;9 weeks on the list,BATMAN: HUSH;by Jeph Loeb and Jim Lee;10 weeks on the list,"BLEACH, VOL. 28;by Tite Kubo;7 weeks on the list",FIRE;by Kristin Cashore;3 weeks on the list,THIRST NO. 1;by Christopher Pike;12 weeks on the list,THE RUNAWAY MUMMY;by Michael Rex;3 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;28 weeks on the list
