,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,THE THIEF;by J.R. Ward;New this week,CIRCE;by Madeline Miller;New this week,READY PLAYER ONE;by Ernest Cline;54 weeks on the list,FASCISM: A Warning;by Madeleine Albright with Bill Woodward;New this week,FASCISM: A Warning;by Madeleine Albright with Bill Woodward;New this week,KILLERS OF THE FLOWER MOON;by David Grann;2 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;70 weeks on the list,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;2 weeks on the list,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;4 weeks on the list,DOG MAN;by Dav Pilkey;33 weeks on the list,THE FATES DIVIDE;by Veronica Roth;New this week,READY PLAYER ONE;by Ernest Cline;,HIDDEN FIGURES;by Margot Lee Shetterly;,SKIN IN THE GAME;by Nassim Nicholas Taleb;,A BRIEF HISTORY OF TIME;by Stephen Hawking;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
2,SHOOT FIRST;by Stuart Woods;New this week,AFTER ANNA;by Lisa Scottoline;New this week,MILK AND HONEY;by Rupi Kaur;105 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;43 weeks on the list,RUSSIAN ROULETTE;by Michael Isikoff and David Corn;5 weeks on the list,A BRIEF HISTORY OF TIME;by Stephen Hawking;18 weeks on the list,THE CLEAN 20;by Ian K. Smith;New this week,WONDER;by R.J. Palacio;140 weeks on the list,I'VE LOVED YOU SINCE FOREVER;by Hoda Kotb. Illustrated by Suzie Mason;6 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;474 weeks on the list,THE HATE U GIVE;by Angie Thomas;59 weeks on the list,THE GREAT ALONE;by Kristin Hannah;,A BRIEF HISTORY OF TIME;by Stephen Hawking;,PRINCIPLES;by Ray Dalio;,ENLIGHTENMENT NOW;by Steven Pinker;,TIGER WOODS;by Jeff Benedict and Armen Keteyian;
3,THE SIXTH DAY;by Catherine Coulter and J.T. Ellison;New this week,I'VE GOT MY EYES ON YOU;by Mary Higgins Clark;2 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;28 weeks on the list,EDUCATED;by Tara Westover;8 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;50 weeks on the list,EVICTED;by Matthew Desmond;31 weeks on the list,THE PLANT PARADOX COOKBOOK;by Steven R. Gundry;New this week,THE WILD ROBOT ESCAPES;by Peter Brown;5 weeks on the list,ISLANDBORN;by Junot Díaz. Illustrated by Leo Espinosa;5 weeks on the list,HARRY POTTER;by J.K. Rowling;473 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;6 weeks on the list,SILENT CHILD;by Sarah A. Denzil;,ALONE;by Michael Korda;,THE CEO NEXT DOOR;by Elena L. Botelho and Kim R. Powell with Tahl Raz;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,SHAKEN;by Tim Tebow;
4,AFTER ANNA;by Lisa Scottoline;New this week,THE THIEF;by J.R. Ward;New this week,CAMINO ISLAND;by John Grisham;6 weeks on the list,RUSSIAN ROULETTE;by Michael Isikoff and David Corn;5 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;7 weeks on the list,ON TYRANNY;by Timothy Snyder;49 weeks on the list,YOU ARE A BADASS;by Jen Sincero;118 weeks on the list,REBOUND;by Kwame Alexander. Illustrated by Dawud Anyabwile;2 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;129 weeks on the list,WARRIORS: A VISION OF SHADOWS;by Erin Hunter;4 weeks on the list,LONG WAY DOWN;by Jason Reynolds;11 weeks on the list,PARADOX BOUND;by Peter Clines;,BORN A CRIME;by Trevor Noah;,CRUSHING IT!;by Gary Vaynerchuk;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
5,READY PLAYER ONE;by Ernest Cline;21 weeks on the list,SHOOT FIRST;by Stuart Woods;New this week,THE LYING GAME;by Ruth Ware;6 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;7 weeks on the list,FACTFULNESS;by Hans Rosling with Ola Rosling and Anna Rosling Ronnlund;2 weeks on the list,BEING MORTAL;by Atul Gawande;32 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;238 weeks on the list,ARU SHAH AND THE END OF TIME;by Roshani Chokshi;3 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;216 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;114 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;42 weeks on the list,RED SPARROW;by Jason Matthews;,THE LAST BLACK UNICORN;by Tiffany Haddish;,DEAR MADAM PRESIDENT;by Jennifer Palmieri;,SAPIENS;by Yuval Noah Harari;,FINDING GOBI;by Dion Leonard with with Craig Borlase;
6,THE CUTTING EDGE;by Jeffery Deaver;New this week,THE FEMALE PERSUASION;by Meg Wolitzer;2 weeks on the list,THE PEOPLE VS. ALEX CROSS;by James Patterson;New this week,FACTFULNESS;by Hans Rosling with Ola Rosling and Anna Rosling Ronnlund;2 weeks on the list,EDUCATED;by Tara Westover;8 weeks on the list,JUST MERCY;by Bryan Stevenson;99 weeks on the list,I'VE BEEN THINKING ...;by Maria Shriver;7 weeks on the list,THE WILD ROBOT;by Peter Brown;22 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;31 weeks on the list,THE BAD GUYS;by Aaron Blabey;12 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;27 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;,THE POWER OF HABIT;by Charles Duhigg;,DON'T BULLSH*T YOURSELF!;by Jon Taffer;,BEING MORTAL;by Atul Gawande;,FIERCE;by Aly Raisman;
7,CAMINO ISLAND;by John Grisham;19 weeks on the list,THE SIXTH DAY;by Catherine Coulter and J.T. Ellison;New this week,SMALL GREAT THINGS;by Jodi Picoult;8 weeks on the list,NATURAL CAUSES;by Barbara Ehrenreich;New this week,NATURAL CAUSES;by Barbara Ehrenreich;New this week,THE DEATH AND LIFE OF THE GREAT LAKES;by Dan Egan;New this week,"GIRL, WASH YOUR FACE;by Rachel Hollis;New this week","HELLO, UNIVERSE;by Erin Entrada Kelly;9 weeks on the list",RESCUE & JESSICA;by Jessica Kensky and Patrick Downes. Illustrated by Scott Magoon;2 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;138 weeks on the list,THE HAZEL WOOD;by Melissa Albert;11 weeks on the list,AGENT IN PLACE;by Mark Greaney;,GRIT;by Angela Duckworth;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE FUTURE OF HUMANITY;by Michio Kaku;,FROM THE OUTSIDE;by Ray Allen with Michael Arkush;
8,CIRCE;by Madeline Miller;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;30 weeks on the list,END GAME;by David Baldacci;4 weeks on the list,TIGER WOODS;by Jeff Benedict and Armen Keteyian;3 weeks on the list,SECRET EMPIRES;by Peter Schweizer;4 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;112 weeks on the list,TRUE ROOTS;by Kristin Cavallari;2 weeks on the list,LITTLE LEADERS;by Vashti Harrison;18 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;4 weeks on the list,TRACK;by Jason Reynolds;New this week,FOR EVERY ONE;by Jason Reynolds;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;,EDUCATED;by Tara Westover;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THINKING, FAST AND SLOW;by Daniel Kahneman;",BARBARIAN DAYS;by William Finnegan;
9,I'VE GOT MY EYES ON YOU;by Mary Higgins Clark;2 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;30 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;45 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;49 weeks on the list,TIGER WOODS;by Jeff Benedict and Armen Keteyian;3 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;101 weeks on the list,GIADA'S ITALY;by Giada De Laurentiis;3 weeks on the list,THE CROSSOVER;by Kwame Alexander;21 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;45 weeks on the list,DORK DIARIES;by Rachel Renée Russell;247 weeks on the list,I HAVE LOST MY WAY;by Gayle Forman;3 weeks on the list,LOOK FOR ME;by Lisa Gardner;,ALEXANDER HAMILTON;by Ron Chernow;,THE POWER OF HABIT;by Charles Duhigg;,THE POWER OF HABIT;by Charles Duhigg;,BECOMING KAREEM;by Kareem Abdul-Jabbar and Raymond Obstfeld;
10,THE GREAT ALONE;by Kristin Hannah;10 weeks on the list,RED ALERT;by James Patterson and Marshall Karp;3 weeks on the list,MAGPIE MURDERS;by Anthony Horowitz;3 weeks on the list,HOMO DEUS;by Yuval Noah Harari;5 weeks on the list,FIRE AND FURY;by Michael Wolff;15 weeks on the list,THE OPERATOR;by Robert O'Neill;New this week,FOOD;by Mark Hyman;7 weeks on the list,REFUGEE;by Alan Gratz;9 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;232 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;47 weeks on the list,EMERGENCY CONTACT;by Mary H. K. Choi;2 weeks on the list,THE FINAL EMPIRE;by Brandon Sanderson;,HORSE SOLDIERS;by Doug Stanton;,WHEN;by Daniel H. Pink;,WHEN;by Daniel H. Pink;,I GOT THIS;by Laurie Hernandez;
