,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;6 weeks on the list,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;6 weeks on the list,SHARP OBJECTS;by Gillian Flynn;46 weeks on the list,EDUCATED;by Tara Westover;21 weeks on the list,CALYPSO;by David Sedaris;7 weeks on the list,KITCHEN CONFIDENTIAL;by Anthony Bourdain;41 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;14 weeks on the list",WILLA OF THE WOOD;by Robert Beatty;New this week,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;17 weeks on the list,HARRY POTTER;by J.K. Rowling;486 weeks on the list,THE HATE U GIVE;by Angie Thomas;72 weeks on the list,SOMETHING IN THE WATER;by Catherine Steadman;,KITCHEN CONFIDENTIAL;by Anthony Bourdain;,BAD BLOOD;by John Carreyrou;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,SHOE DOG;by Phil Knight;
2,SHARP OBJECTS;by Gillian Flynn;7 weeks on the list,THE GOOD FIGHT;by Danielle Steel;New this week,CRAZY RICH ASIANS;by Kevin Kwan;12 weeks on the list,KITCHEN CONFIDENTIAL;by Anthony Bourdain;7 weeks on the list,EDUCATED;by Tara Westover;21 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;9 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;20 weeks on the list,WONDER;by R.J. Palacio;153 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;229 weeks on the list,DOG MAN;by Dav Pilkey;46 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;19 weeks on the list,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;,CALYPSO;by David Sedaris;,PRINCIPLES;by Ray Dalio;,SAPIENS;by Yuval Noah Harari;,TIGER WOODS;by Jeff Benedict and Armen Keteyian;
3,THE GOOD FIGHT;by Danielle Steel;New this week,CLOCK DANCE;by Anne Tyler;New this week,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;6 weeks on the list,CALYPSO;by David Sedaris;7 weeks on the list,THE SOUL OF AMERICA;by Jon Meacham;10 weeks on the list,SAPIENS;by Yuval Noah Harari;9 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;83 weeks on the list,POPULARMMOS PRESENTS A HOLE NEW WORLD;by Pat and Jen from PopularMMOs. Illustrated by Dani Jones;4 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;236 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;487 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;New this week,THE OUTSIDER;by Stephen King;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,OUTLIERS;by Malcolm Gladwell;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,BELIEVE IT;by Nick Foles with Joshua Cooley;
4,THE PERFECT COUPLE;by Elin Hilderbrand;4 weeks on the list,THE OUTSIDER;by Stephen King;8 weeks on the list,LESS;by Andrew Sean Greer;8 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;23 weeks on the list,HOW TO CHANGE YOUR MIND;by Michael Pollan;9 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;15 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;12 weeks on the list,REFUGEE;by Alan Gratz;21 weeks on the list,AN ELEPHANT AND PIGGIE BIGGIE!;by Mo Willems;12 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;55 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;40 weeks on the list,THE SINGULARITY TRAP;by Dennis E. Taylor;,MAPS OF MEANING;by Jordan B. Peterson;,THE POWER OF HABIT;by Charles Duhigg;,THE POWER OF HABIT;by Charles Duhigg;,THE BOYS IN THE BOAT;by Daniel James Brown;
5,ALL WE EVER WANTED;by Emily Giffin;3 weeks on the list,ALL WE EVER WANTED;by Emily Giffin;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;72 weeks on the list,BAD BLOOD;by John Carreyrou;8 weeks on the list,INDIANAPOLIS;by Lynn Vincent and Sara Vladic;New this week,HILLBILLY ELEGY;by J.D. Vance;11 weeks on the list,YOU ARE A BADASS;by Jen Sincero;131 weeks on the list,MINECRAFT: THE CRASH;by Tracey Baptiste;New this week,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;19 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;127 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;52 weeks on the list,BRIEF CASES;by Jim Butcher;,BORN A CRIME;by Trevor Noah;,SHOE DOG;by Phil Knight;,"FIRST, WE MAKE THE BEAST BEAUTIFUL;by Sarah Wilson;",I'M KEITH HERNANDEZ;by Keith Hernandez;
6,CLOCK DANCE;by Anne Tyler;New this week,THE PERFECT COUPLE;by Elin Hilderbrand;4 weeks on the list,MILK AND HONEY;by Rupi Kaur;118 weeks on the list,THE SOUL OF AMERICA;by Jon Meacham;10 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;62 weeks on the list,OUTLIERS;by Malcolm Gladwell;261 weeks on the list,THE PLANT PARADOX COOKBOOK;by Steven R. Gundry;8 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;38 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;142 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;32 weeks on the list,LONG WAY DOWN;by Jason Reynolds;18 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;,EDUCATED;by Tara Westover;,MEASURE WHAT MATTERS;by John Doerr;,A BRIEF HISTORY OF TIME;by Stephen Hawking;,MEN IN BLAZERS PRESENT ENCYCLOPEDIA BLAZERTANNICA;by Roger Bennett and Michael Davies;
7,THE ROOSTER BAR;by John Grisham;18 weeks on the list,THE SUMMER WIVES;by Beatriz Williams;New this week,THE ROOSTER BAR;by John Grisham;4 weeks on the list,INDIANAPOLIS;by Lynn Vincent and Sara Vladic;New this week,BAD BLOOD;by John Carreyrou;6 weeks on the list,QUIET;by Susan Cain;162 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;251 weeks on the list,THE WILD ROBOT;by Peter Brown;35 weeks on the list,LLAMA LLAMA LOVES TO READ;by Anna Dewdney and Reed Duncan. Illustrated by J.T. Morrow;10 weeks on the list,DORK DIARIES;by Rachel Renée Russell;260 weeks on the list,THE HAZEL WOOD;by Melissa Albert;24 weeks on the list,YEAR ONE;by Nora Roberts;,THE POWER OF HABIT;by Charles Duhigg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",LEONARDO DA VINCI;by Walter Isaacson;,BARBARIAN DAYS;by William Finnegan;
8,THE OUTSIDER;by Stephen King;8 weeks on the list,SPINNING SILVER;by Naomi Novik;New this week,INTO THE WATER;by Paula Hawkins;11 weeks on the list,SAPIENS;by Yuval Noah Harari;30 weeks on the list,THE PLOT TO DESTROY DEMOCRACY;by Malcolm Nance;3 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;429 weeks on the list,MY DIARRHE;by Miranda Sings;New this week,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;34 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;134 weeks on the list",MERCY WATSON;by Kate DiCamillo. Illustrated by Chris Van Dusen;8 weeks on the list,LEAH ON THE OFFBEAT;by Becky Albertalli;12 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,BAD BLOOD;by John Carreyrou;,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,BEING MORTAL;by Atul Gawande;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
9,SPYMASTER;by Brad Thor;2 weeks on the list,SPYMASTER;by Brad Thor;2 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;58 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;56 weeks on the list,BARRACOON;by Zora Neale Hurston;10 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;51 weeks on the list,EVERYBODY ALWAYS;by Bob Goff;13 weeks on the list,"HELLO, UNIVERSE;by Erin Entrada Kelly;22 weeks on the list",WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;2 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;11 weeks on the list,LEGENDARY;by Stephanie Garber;7 weeks on the list,SHELTER IN PLACE;by Nora Roberts;,I'LL BE GONE IN THE DARK;by Michelle McNamara;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE RISE AND FALL OF THE DINOSAURS;by Steve Brusatte;,SHAKEN;by Tim Tebow;
10,THE SUMMER WIVES;by Beatriz Williams;New this week,WHEN LIFE GIVES YOU LULULEMONS;by Lauren Weisberger;6 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;41 weeks on the list,HOW TO CHANGE YOUR MIND;by Michael Pollan;9 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;18 weeks on the list,JUST MERCY;by Bryan Stevenson;112 weeks on the list,MAKE YOUR BED;by William H. McRaven;52 weeks on the list,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;15 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;43 weeks on the list,TREEHOUSE;by Andy Griffiths. illustrated by Terry Denton;3 weeks on the list,THE FATES DIVIDE;by Veronica Roth;10 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;,THINGS THAT MATTER;by Charles Krauthammer;,RADICAL CANDOR;by Kim Scott;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THINGS THAT MAKE WHITE PEOPLE UNCOMFORTABLE;by Michael Bennett and Dave Zirin;
