,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,WORDS OF RADIANCE;by Brandon Sanderson;New this week,WORDS OF RADIANCE;by Brandon Sanderson;New this week,ORPHAN TRAIN;by Christina Baker Kline;29 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;13 weeks on the list,UGANDA BE KIDDING ME;by Chelsea Handler;New this week,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;99 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;22 weeks on the list,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;2 weeks on the list,BEAUTIFUL DARKNESS;by Fabien Vehlmann and Kerascoët;2 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE RIFT, PART 1;by Gene Luen Yang, Gurihiru and others;New this week","ONE PIECE, VOL. 70;by Eiichiro Oda;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;37 weeks on the list,DIVERGENT;by Veronica Roth;20 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,DAVID AND GOLIATH;by Malcolm Gladwell;,SLOW GETTING UP;by Nate Jackson;
2,CRASHED;by K. Bromberg;New this week,THE BOOTLEGGER;by Clive Cussler and Justin Scott;New this week,COCKROACHES;by Jo Nesbo;4 weeks on the list,,,UGANDA BE KIDDING ME;by Chelsea Handler;New this week,THE FUTURE OF THE MIND;by Michio Kaku;2 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;12 weeks on the list,UGANDA BE KIDDING ME;by Chelsea Handler;New this week,THE BODY BOOK;by Cameron Diaz with Sandra Bark;9 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;106 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;122 weeks on the list","BLUE EXORCIST, VOL. 11;by Kazue Kato;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,LOCOMOTIVE;by Brian Floca;6 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;185 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;,SUPER SHRED;by Ian K. Smith;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,QUIET;by Susan Cain;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
3,THE BOOTLEGGER;by Clive Cussler and Justin Scott;New this week,THE GOLDFINCH;by Donna Tartt;20 weeks on the list,LIFE AFTER LIFE;by Kate Atkinson;9 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;16 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;24 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;173 weeks on the list,UNBROKEN;by Laura Hillenbrand;162 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;24 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;18 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;57 weeks on the list","POKÉMON ADVENTURES, VOL. 21;by Hidenori Kusaka and Satoshi Yamamoto;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,JOURNEY;by Aaron Becker;17 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;268 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,TWELVE YEARS A SLAVE;by Solomon Northup;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
4,THE GOLDFINCH;by Donna Tartt;20 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;9 weeks on the list,ME BEFORE YOU;by Jojo Moyes;32 weeks on the list,,,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;9 weeks on the list,UNBROKEN;by Laura Hillenbrand;160 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;72 weeks on the list,OH MYYY! (THERE GOES THE INTERNET);by George Takei;2 weeks on the list,I CAN SEE CLEARLY NOW;by Wayne W. Dyer;2 weeks on the list,NATHAN HALE'S HAZARDOUS TALES: ONE DEAD SPY;by Nathan Hale;2 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;53 weeks on the list","BLACK BIRD, VOL. 18;by Kanoko Sakurakouji;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;127 weeks on the list",ORIGAMI YODA;by Tom Angleberger. Illustrated;20 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",DUTY;by Robert M. Gates;,THE SIXTH EXTINCTION;by Elizabeth Kolbert;,ORR;by Bobby Orr;
5,THE HUSBAND'S SECRET;by Liane Moriarty;29 weeks on the list,PRIVATE L.A.;by James Patterson and Mark Sullivan;4 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;New this week,,,UNBROKEN;by Laura Hillenbrand;143 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;23 weeks on the list,WILD;by Cheryl Strayed;50 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;9 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;48 weeks on the list,FAIRY TALE COMICS: CLASSIC TALES TOLD BY EXTRAORDINARY CARTOONISTS;by Chris Duffy and others;6 weeks on the list,"THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;12 weeks on the list","NISEKOI: FALSE LOVE, VOL. 2;by Naoshi Komi;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;131 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;130 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE DOCTOR'S DIET;by Travis Stork;,UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",WHERE NOBODY KNOWS YOUR NAME;by John Feinstein;
6,THE INVENTION OF WINGS;by Sue Monk Kidd;9 weeks on the list,THE CHASE;by Janet Evanovich and Lee Goldberg;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;104 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;24 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;20 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;9 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;46 weeks on the list,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;7 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;17 weeks on the list",SMILE;by Raina Telgemeier;95 weeks on the list,NIJIGAHARA HOLOGRAPH;by Inio Asano Inio;New this week,WONDER;by R.J. Palacio;295 weeks on the list,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;13 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;331 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;,WHEAT BELLY;by William Davis;,THINGS THAT MATTER;by Charles Krauthammer;,THE POWER OF HABIT;by Charles Duhigg;,WOODEN;by Seth Davis;
7,PRIVATE L.A.;by James Patterson and Mark Sullivan;4 weeks on the list,BONE DEEP;by Randy Wayne White;New this week,THE ALCHEMIST;by Paulo Coelho;294 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;106 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;50 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;13 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;24 weeks on the list,LOW-HANGING FRUIT;by Jeremy Eden and Terri Long;New this week,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;10 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;19 weeks on the list,"PHANTOM THIEF JEANNE, VOL. 1;by Arina Tanemura;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;92 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;64 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TRIPLE PACKAGE;by Amy Chua and Jed Rubenfeld;,THE VIRGIN DIET COOKBOOK;by J. J. Virgin;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,THE FUTURE OF THE MIND;by Michio Kaku;,THE KID;by Ben Bradlee Jr.;
8,SYCAMORE ROW;by John Grisham;20 weeks on the list,CONCEALED IN DEATH;by J. D. Robb;3 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;9 weeks on the list,,,THE FUTURE OF THE MIND;by Michio Kaku;2 weeks on the list,DUTY;by Robert M. Gates;8 weeks on the list,OUTLIERS;by Malcolm Gladwell;144 weeks on the list,PHILOMENA;by Martin Sixsmith;3 weeks on the list,SUCCESS THROUGH STILLNESS;by Russell Simmons with Chris Morrow;New this week,"GUARDIANS OF THE GALAXY, VOL. 1;by Brian Michael Bendis and Steve McNiven;4 weeks on the list","LEGO NINJAGO #9, NIGHT OF THE NINDROIDS;by Greg Farshtey and Jolyon Yates;4 weeks on the list","MIDNIGHT SECRETARY, VOL. 4;by Tomu Ohmi;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;13 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;53 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DECIDE;by Steve McClatchy;,WHEAT BELLY 30-MINUTE (OR LESS!) COOKBOOK;by William Davis;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,MY AGE OF ANXIETY;by Scott Stossel;,MANNING;by Peyton Manning and Archie Manning with John Underwood;
9,ORPHAN TRAIN;by Christina Baker Kline;7 weeks on the list,STILL LIFE WITH BREAD CRUMBS;by Anna Quindlen;6 weeks on the list,DARK PLACES;by Gillian Flynn;35 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;23 weeks on the list,THE SIXTH EXTINCTION;by Elizabeth Kolbert;4 weeks on the list,QUIET;by Susan Cain;58 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;128 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;14 weeks on the list","LOCKE & KEY, VOL. 6;by Joe Hill and Gabriel Rodriguez;5 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;157 weeks on the list","FAIRY TAIL, VOL. 35;by Hiro Mashima;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;9 weeks on the list",LUNAR CHRONICLES;by Marissa Meyer;4 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,DECODED COMPANY;by Leerom Segal and others;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,THE BULLY PULPIT;by Doris Kearns Goodwin;,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;,BORN TO RUN;by Christopher McDougall;
10,THE CHASE;by Janet Evanovich and Lee Goldberg;2 weeks on the list,SYCAMORE ROW;by John Grisham;20 weeks on the list,BEAUTIFUL DAY;by Elin Hilderbrand;New this week,,,OH MYYY! (THERE GOES THE INTERNET);by George Takei;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;22 weeks on the list,PHILOMENA;by Martin Sixsmith;8 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;17 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;44 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;16 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;25 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;39 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;42 weeks on the list",THE MAZE RUNNER;by James Dashner;74 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;,THE FAST METABOLISM DIET COOKBOOK;by Haylie Pomroy;,HRC;by Jonathan Allen and Amie Parnes;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,EAT AND RUN;by Scott Jurek with Steve Friedman;
