,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,ENTWINED WITH YOU;by Sylvia Day;New this week,INFERNO;by Dan Brown;4 weeks on the list,ENTWINED WITH YOU;by Sylvia Day;New this week,,,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;New this week,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;5 weeks on the list",PROOF OF HEAVEN;by Eben Alexander;33 weeks on the list,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;New this week,EAT TO LIVE;by Joel Fuhrman;5 weeks on the list,"THE NEW TEEN TITANS OMNIBUS, VOL. 3;by Marv Wolfman and George Perez;New this week","THE WALKING DEAD, VOL. 18;by Robert Kirkman and Charlie Adlard;New this week","YU-GI-OH! ZEXAL, VOL. 3;by Shin Yoshida and Naohito Miyoshi;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;88 weeks on the list",DORK DIARIES;by Rachel Renée Russell;74 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,QUIET;by Susan Cain;
2,INFERNO;by Dan Brown;4 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;3 weeks on the list,JOYLAND;by Stephen King;New this week,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;5 weeks on the list",LEAN IN;by Sheryl Sandberg with Nell Scovell;13 weeks on the list,WILD;by Cheryl Strayed;11 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;33 weeks on the list,THE 100;by Jorge Cruise;3 weeks on the list,WATCHMEN: THE DELUXE EDITION;by Alan Moore Dave Gibbons;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;95 weeks on the list",LONE WOLF AND CUB OMNIBUS VOL. 1;by Kazuo Koike and Goseki Kojima;New this week,WILLA OF DARK HOLLOW;by Robert Beatty;New this week,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;11 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;146 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;",BUNKER HILL;by Nathaniel Philbrick;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
3,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;3 weeks on the list,REVENGE WEARS PRADA;by Lauren Weisberger;New this week,WORLD WAR Z;by Max Brooks;50 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;13 weeks on the list,AMERICAN GUN;by Chris Kyle with William Doyle;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;19 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;13 weeks on the list,FINERMAN'S RULES;by Karen Finerman;New this week,ABSOLUTE TOP 10;by Alan Moore and Gene Ha;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;35 weeks on the list","ONE PIECE, VOL. 67;by Eiichiro Oda;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;33 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;91 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,OUTLIERS;by Malcolm Gladwell;,MY GREEK DRAMA;by Gianna Angelopoulos;,BRAIN ON FIRE;by Susannah Cahalan;
4,JOYLAND;by Stephen King;New this week,THE KILL ROOM;by Jeffery Deaver;New this week,BEAUTIFUL RUINS;by Jess Walter;10 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;33 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;4 weeks on the list,QUIET;by Susan Cain;19 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;7 weeks on the list,THE END OF DIABETES;by Joel Fuhrman;New this week,"AQUAMAN, VOL. 2;by Geoff Johns and Ivan Reis;3 weeks on the list",GRIMM FAIRY TALES OMNIBUS;by Joe Brusha and Ralph Tedesco;New this week,"POKEMON BLACK AND WHITE, VOL. 10;by Hidenori Kusaka;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;292 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,THE MILLIONAIRE DROPOUT;by Vince Stanzione;,KEEP IT PITHY;by Bill O'Reilly;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;
5,REVENGE WEARS PRADA;by Lauren Weisberger;New this week,LADIES' NIGHT;by Mary Kay Andrews;New this week,FLIGHT BEHAVIOR;by Barbara Kingsolver;New this week,,,AMERICAN GUN;by Chris Kyle with William Doyle;New this week,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;105 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;5 weeks on the list",WHEAT BELLY;by William Davis;9 weeks on the list,THE SIMON AND KIRBY LIBRARY: SCIENCE FICTION;by Joe Simon and Jack Kirby;New this week,"LEGO NINJAGO #7, STONE COLD;by Greg Farshtey and Jolyton Yates;2 weeks on the list","SKIP BEAT, VOL. 31;by Yoshiki Nakamura;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;8 weeks on the list",BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;25 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,REALITY-BASED RULES OF THE WORKPLACE;by Cy Wakeman;,DRIVE;by Daniel H. Pink;,UNBROKEN;by Laura Hillenbrand;,GULP;by Mary Roach;
6,WORLD WAR Z;by Max Brooks;3 weeks on the list,ZERO HOUR;by Clive Cussler and Graham Brown;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;65 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;7 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;7 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;315 weeks on the list,THE UNWINDING;by George Packer;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;9 weeks on the list,"ACTION COMICS, VOL. 2;by Grant Morrison and Rags Morales;5 weeks on the list",DRAMA;by Raina Telgemeier;34 weeks on the list,"ALICE IN THE COUNTRY OF JOKER: CIRCUS AND LIAR'S GAME, VOL. 2;by QuinRose;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;95 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;230 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,UNSTOPPABLES;by Bill Schley;,TIPPING POINT;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,WHOLE;by T. Colin Campbell with Howard Jacobson;
7,THE HIT;by David Baldacci;7 weeks on the list,DEEPLY ODD;by Dean Koontz;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;256 weeks on the list,,,THE GUNS AT LAST LIGHT;by Rick Atkinson;4 weeks on the list,DAD IS FAT;by Jim Gaffigan;5 weeks on the list,CONTROL;by Glenn Beck and others;6 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;4 weeks on the list,VADER'S LITTLE PRINCESS;by Jeffrey Brown;7 weeks on the list,"SCOTT PILGRIM COLOR, VOL. 3;by Bryan Lee O'Malley;4 weeks on the list",SMILE;by Raina Telgemeier;62 weeks on the list,"POKEMON ADVENTURES, DIAMOND AND PEARL/PLATINUM, VOL. 8;by Hidenori Kusaka;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;61 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;72 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE CHECKLIST MANIFESTO;by Atul Gawande;,MY BELOVED WORLD;by Sonia Sotomayor;,THE HAPPINESS PROJECT;by Gretchen Rubin;
8,A GAME OF THRONES;by George R.R. Martin;37 weeks on the list,THE HIT;by David Baldacci;7 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;10 weeks on the list,,,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;3 weeks on the list,KEEP IT PITHY;by Bill O'Reilly;5 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;118 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;49 weeks on the list,LIFE CODE;by Phil McGraw;9 weeks on the list,"THE AUTHORITY, VOL. 1;by Warren Ellis and Bryan Hitch;3 weeks on the list","AQUAMAN, VOL. 1;by Geoff Johns and Ivan Reis;2 weeks on the list","NARUTO, VOL. 61;by Masashi Kishimoto;5 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;12 weeks on the list,THEODORE BOONE;by John Grisham;11 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,START;by Jon Acuff;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
9,THE KILL ROOM;by Jeffery Deaver;New this week,SILKEN PREY;by John Sandford;5 weeks on the list,A GAME OF THRONES;by George R.R. Martin;51 weeks on the list,,,THE UNWINDING;by George Packer;2 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;10 weeks on the list,A LONG WAY GONE;by Ishmael Beah;58 weeks on the list,THE TAO OF MARTHA;by Jen Lancaster;New this week,SUBLIMINALLY EXPOSED;by Steven Dayan;New this week,"INDESTRUCTIBLE HULK, VOL. 1;by Mark Waid and Leinil Francis Yu;New this week",RELISH;by Lucy Knisley;4 weeks on the list,"SOUL EATER, VOL. 14;by Atsushi Ohkubo;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;8 weeks on the list,THE MAZE RUNNER;by James Dashner;49 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,RUMSFELD'S RULES;by Donald Rumsfeld;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,DIRTY WARS;by Jeremy Scahill;,THE POWER OF HABIT;by Charles Duhigg;
10,BEAUTY FROM SURRENDER;by Georgia Cates;2 weeks on the list,GONE GIRL;by Gillian Flynn;53 weeks on the list,LIFE OF PI;by Yann Martel;36 weeks on the list,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;35 weeks on the list,REVOLUTIONARY SUMMER;by Joseph J. Ellis;New this week,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;17 weeks on the list,THE CENTER HOLDS;by Jonathan Alter;New this week,DARTH VADER AND SON;by Jeffrey Brown;3 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;11 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;26 weeks on the list","SAILOR MOON, VOL. 11;by Naoko Takeuchi;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,FANCY NANCY: FANCIEST DOLL IN THE UNIVERSE;by Jane O'Connor. Illustrated by Robin Preiss Glasser;6 weeks on the list,GIVER QUARTET;by Lois Lowry;11 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GIVE AND TAKE;by Adam Grant;,HOW TO RETIRE HAPPY;by Stan Hinden;,FROZEN IN TIME;by Mitchell Zuckoff;,THE AUTISTIC BRAIN;by Temple Grandin and Richard Panek;
