,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,ANATHEM;by Neal Stephenson;New this week,THE SHACK;by William P. Young;17 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;New this week","EAT, PRAY, LOVE;by Elizabeth Gilbert;86 weeks on the list",THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;23 weeks on the list,A NEW EARTH;by Eckhart Tolle;33 weeks on the list,THE MAZE OF BONES;by Rick Riordan;New this week,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;33 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;58 weeks on the list
2,THE BOOK OF LIES;by Brad Meltzer;2 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;2 weeks on the list,,THE WAR WITHIN;by Bob Woodward;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;85 weeks on the list,BREAKTHROUGH;by Suzanne Somers;New this week,SKINNY BITCH;by Kim Barnouin;62 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;74 weeks on the list,THE BOOK THIEF;by Markus Zusak;53 weeks on the list,"MY DAD, JOHN McCAIN;by Meghan McCain. Illustrated by Dan Andreasen;New this week",WARRIORS;by Erin Hunter;58 weeks on the list
3,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;7 weeks on the list,THE CHOICE;by Nicholas Sparks;4 weeks on the list,,STORI TELLING;by Tori Spelling with Hilary Liftin;16 weeks on the list,SARAH;by Kaylene Johnson;2 weeks on the list,THE SECRET;by Rhonda Byrne;88 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;378 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;35 weeks on the list,MATH DOESN’T SUCK;by Danica McKellar;6 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;3 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;72 weeks on the list
4,AMERICAN WIFE;by Curtis Sittenfeld;2 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;54 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;21 weeks on the list",A LONG WAY GONE;by Ishmael Beah;6 weeks on the list,MYSTICAL TRAVELER;by Sylvia Browne;New this week,SOUL WISDOM;by Zhi Gang Sha;10 weeks on the list,IDENTICAL;by Ellen Hopkins;3 weeks on the list,BATTLE AT TETH;by Kirsten Mayer;7 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;44 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;3 weeks on the list
5,DARK CURSE;by Christine Feehan;2 weeks on the list,BAREFOOT;by Elin Hilderbrand;14 weeks on the list,,THE FIRST BILLION IS THE HARDEST;by T. Boone Pickens;2 weeks on the list,"CHANGE YOUR BRAIN, CHANGE YOUR LIFE;by Daniel G. Amen;14 weeks on the list",THE GONE FISHIN’ PORTFOLIO;by Alexander Green;New this week,THE POWER OF NOW;by Eckhart Tolle;48 weeks on the list,THE DANGEROUS DAYS OF DANIEL X;by James Patterson and Michael Ledwidge;8 weeks on the list,THE NEW PADAWAN;by Eric Stevens;7 weeks on the list,GINGERBREAD FRIENDS;written and illustrated by Jan Brett;New this week,BOOKS OF EMBER;by Jeanne DuPrau;27 weeks on the list
6,THE HOST;by Stephenie Meyer;19 weeks on the list,THE ALCHEMIST;by Paulo Coelho;53 weeks on the list,,THE LIMITS OF POWER;by Andrew Bacevich;5 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;38 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;42 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;64 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;43 weeks on the list,The iNHERITANCE CYCLE;by Christopher Paolini;New this week,TOO MANY TOYS;written and illustrated by David Shannon;2 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;108 weeks on the list
7,THE KEEPSAKE;by Tess Gerritsen;New this week,NIGHTS IN RODANTHE;by Nicholas Sparks;6 weeks on the list,,THE OBAMA NATION;by Jerome R. Corsi;7 weeks on the list,INTO THE WILD;by Jon Krakauer;164 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;29 weeks on the list",THE PURPOSE-DRIVEN LIFE;by Rick Warren;33 weeks on the list,KISS MY MATH;by Danica McKellar;6 weeks on the list,THE ALCHEMYST;by Michael Scott;3 weeks on the list,BATS AT THE LIBRARY;written and illustrated by Brian Lies;6 weeks on the list,HARRY POTTER;by J.K. Rowling;200 weeks on the list
8,DEVIL BONES;by Kathy Reichs;3 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;54 weeks on the list,,FLEECED;by Dick Morris and Eileen McGann;12 weeks on the list,CHANGE WE CAN BELIEVE IN;with a foreword by Barack Obama;New this week,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;18 weeks on the list,"MONEY, AND THE LAW OF ATTRACTION;by Esther and Jerry Hicks;5 weeks on the list",THE INVENTION OF HUGO CABRET;by Brian Selznick;76 weeks on the list,RULES;by Cynthia Lord;2 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;2 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;193 weeks on the list
9,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;14 weeks on the list,THE ALMOST MOON;by Alice Sebold;New this week,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;15 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;99 weeks on the list,THE TRUTH ABOUT CHEATING;by M. Gary Neuman;New this week,HUNGRY GIRL;by Lisa Lillien;18 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;New this week,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;6 weeks on the list,GOODNIGHT GOON;written and illustrated by Michael Rex;3 weeks on the list,NIGHT WORLD;by L. J. Smith;2 weeks on the list
10,THE GYPSY MORPH;by Terry Brooks;3 weeks on the list,THE ROAD;by Cormac McCarthy;54 weeks on the list,,THE CASE AGAINST BARACK OBAMA;by David Freddoso;6 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;113 weeks on the list,SIX DISCIPLINES EXECUTION REVOLUTION;by Gary Harpst;4 weeks on the list,SKINNY BITCH IN THE KITCH;by Rory Freedman;16 weeks on the list,GHOSTGIRL;by Tonya Hurley;2 weeks on the list,LIFE AS WE KNEW IT;by Susan Beth Pfeffer;New this week,ON A SCARY SCARY NIGHT;by Walter Wick;New this week,THE CLIQUE;by Lisi Harrison;3 weeks on the list
11,SILKS;by Dick Francis and Felix Francis;3 weeks on the list,SECOND CHANCE;by Jane Green;16 weeks on the list,,THE HOUSE AT SUGAR BEACH;by Helene Cooper;2 weeks on the list,MIKE’S ELECTION GUIDE;by Michael Moore;3 weeks on the list,DECEPTIVELY DELICIOUS;by Jessica Seinfeld;,REPOSITION YOURSELF;by T. D. Jakes;,,,,
