,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,FEARLESS FOURTEEN;by Janet Evanovich;2 weeks on the list,THE SHACK;by William P. Young;6 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;4 weeks on the list,WISDOM OF OUR FATHERS;by Tim Russert;7 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;12 weeks on the list,A NEW EARTH;by Eckhart Tolle;22 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;63 weeks on the list,ALICIA;by Lisi Harrison.;4 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;33 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;47 weeks on the list
2,SAIL;by James Patterson and Howard Roughan;3 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;43 weeks on the list,,FLEECED;by Dick Morris and Eileen McGann;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;74 weeks on the list,THE SECRET;by Rhonda Byrne;77 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;37 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;24 weeks on the list,THE BOOK THIEF;by Markus Zusak;42 weeks on the list,ALPHABET;by Matthew Van Fleet;12 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;61 weeks on the list
3,TAILSPIN;by Catherine Coulter;New this week,THE KITE RUNNER;by Khaled Hosseini;43 weeks on the list,,WHAT HAPPENED;by Scott McClellan;5 weeks on the list,BIG RUSS AND ME;by Tim Russert;10 weeks on the list,END OF DAYS;by Sylvia Browne;New this week,SKINNY BITCH;by Kim Barnouin;51 weeks on the list,WARRIORS: CATS OF THE CLANS;by Erin Hunter. Illustrated by Wayne McLoughlin;New this week,DYLAN;by Lisi Harrison;8 weeks on the list,A VISITOR FOR BEAR;by Bonny Becker. Illustrated by Kady MacDonald Denton;3 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;16 weeks on the list
4,ROGUE;by Danielle Steel;New this week,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;26 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;10 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;75 weeks on the list",THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;8 weeks on the list,YOU CAN HEAL YOUR LIFE;by Louise L. Hay;27 weeks on the list,THE MAGICIAN;by Michael Scott;New this week,TEMPTED;by Cecily von Ziegesar;4 weeks on the list,ZEN TIES;written and illustrated by Jon J. Muth;24 weeks on the list,PENDRAGON;by D. J. MacHale;65 weeks on the list
5,THE HOST;by Stephenie Meyer;8 weeks on the list,NINETEEN MINUTES;by Jodi Picoult;21 weeks on the list,,THE MONSTER OF FLORENCE;by Douglas Preston with Mario Spezi;3 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;27 weeks on the list,WOMEN AND MONEY;by Suze Orman;20 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;367 weeks on the list,LOCK AND KEY;by Sarah Dessen;10 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;23 weeks on the list,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;23 weeks on the list",JUNIE B. JONES;by Barbara Park;177 weeks on the list
6,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;42 weeks on the list,,AUDITION;by Barbara Walters;8 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;102 weeks on the list,QUANTUM WELLNESS;by Kathy Freston;6 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;53 weeks on the list,SEEKERS: THE QUEST BEGINS;by Erin Hunter;5 weeks on the list,CAMP ROCK;by Lucy Ruggles;5 weeks on the list,DON’T BUMP THE GLUMP!;written and illustrated by Shel Silverstein;12 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;21 weeks on the list
7,THE LAST ORACLE;by James Rollins;New this week,THE LAST SUMMER (OF YOU AND ME);by Ann Brashares;8 weeks on the list,,MY STROKE OF INSIGHT;by Jill Bolte Taylor;4 weeks on the list,MARLEY AND ME;by John Grogan;16 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;31 weeks on the list,HUNGRY GIRL;by Lisa Lillien;9 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;65 weeks on the list,MASSIE;by Lisi Harrison;13 weeks on the list,DIRT ON MY SHIRT;by Jeff Foxworthy. Illustrated by Steve Bjorkman;16 weeks on the list,CLEMENTINE;by Sara Pennypacker. Illustrated by Marla Frazee;New this week
8,CHASING HARRY WINSTON;by Lauren Weisberger;5 weeks on the list,THE ROAD;by Cormac McCarthy;43 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;9 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;39 weeks on the list,WHEN MARKETS COLLIDE;by Mohamed A. El-Erian;2 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;25 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;32 weeks on the list,INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL;by James Luceno;6 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;15 weeks on the list,THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;128 weeks on the list
9,THE BEACH HOUSE;by Jane Green;2 weeks on the list,MY SISTER’S KEEPER;by Jodi Picoult;21 weeks on the list,,BIG RUSS AND ME;by Tim Russert;14 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;88 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;New this week,"HELLO, CUPCAKE!;by Karen Tack;8 weeks on the list",THE MYSTERIOUS BENEDICT SOCIETY AND THE PERILOUS JOURNEY;by Trenton Lee Stewart. Illustrated by Diana Sudyka;3 weeks on the list,WALL-E;by Irene Trimble;4 weeks on the list,READ ALL ABOUT IT!;by Laura Bush and Jenna Bush;10 weeks on the list,HARRY POTTER;by J.K. Rowling;189 weeks on the list
10,LOVE THE ONE YOU'RE WITH;by Emily Giffin;7 weeks on the list,THE MEMORY KEEPER’S DAUGHTER;by Kim Edwards;43 weeks on the list,,ONE MINUTE TO MIDNIGHT;by Michael Dobbs;New this week,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;9 weeks on the list",GHOSTS AMONG US;by James Van Praagh;5 weeks on the list,THE SPEED OF TRUST;by Stephen M. R. Covey;11 weeks on the list,LITTLE BROTHER;by Cory Doctorow;7 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;2 weeks on the list,"HELP ME, MR. MUTT!;by Janet Stevens Stevens and Susan Stevens Crummel. Illustrated by Janet Stevens;4 weeks on the list",VAMPIRE KISSES;by Ellen Schreiber;New this week
