,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,OUTLANDER;by Diana Gabaldon;2 weeks on the list,THE MAGICIAN'S LAND;by Lev Grossman;New this week,GONE GIRL;by Gillian Flynn;16 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;165 weeks on the list,AMERICA;by Dinesh D'Souza;5 weeks on the list,UNBROKEN;by Laura Hillenbrand;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;184 weeks on the list,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;5 weeks on the list,SECONDS;by Bryan Lee O'Malley;4 weeks on the list,"THE WALKING DEAD, VOL. 21;by Robert Kirkman and Charlie Adlard;2 weeks on the list","ROSARIO+VAMPIRE, SEASON II, VOL. 13;by Akihisa Ikeda;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;59 weeks on the list,DIVERGENT;by Veronica Roth;42 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,OUTLIERS;by Malcolm Gladwell;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,UNBROKEN;by Laura Hillenbrand;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,BIG LITTLE LIES;by Liane Moriarty;2 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;119 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;12 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;12 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;11 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;29 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;70 weeks on the list,THANOS: THE INFINITY REVELATION;by Jim Starlin;New this week,PERSEPOLIS;by Marjane Satrapi;33 weeks on the list,"ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;7 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,PETE THE CAT AND THE NEW GUY;by Kimberly Dean and James Dean;New this week,THE MAZE RUNNER;by James Dashner;96 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,LAUNCH;by Jeff Walker;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,BLOOD FEUD;by Edward Klein;,QUIET;by Susan Cain;,LUCKIEST MAN;by Jonathan Eig;
3,GONE GIRL;by Gillian Flynn;89 weeks on the list,THE LOST ISLAND;by Douglas Preston and Lincoln Child;New this week,ORPHAN TRAIN;by Christina Baker Kline;51 weeks on the list,,,AMERICA;by Dinesh D'Souza;5 weeks on the list,IN THE KINGDOM OF ICE;by Hampton Sides;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;195 weeks on the list,THE FIRST FAMILY DETAIL;by Ronald Kessler;New this week,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;New this week,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;14 weeks on the list,"GUARDIANS OF THE GALAXY, VOL. 1;by Brian Michael Bendis and Steve McNiven;New this week","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;61 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;149 weeks on the list",GIVER QUARTET;by Lois Lowry;51 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,BUSINESS ADVENTURES;by John Brooks;,WHEAT BELLY;by William Davis;,AMERICA;by Dinesh D'Souza;,THE POWER OF HABIT;by Charles Duhigg;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
4,TAKING IT ALL;by Maya Banks;New this week,SEVERED SOULS;by Terry Goodkind;New this week,THE ALCHEMIST;by Paulo Coelho;316 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;128 weeks on the list,THE FIRST FAMILY DETAIL;by Ronald Kessler;New this week,OUTLIERS;by Malcolm Gladwell;166 weeks on the list,THE PATH BETWEEN THE SEAS;by David McCullough;New this week,#GIRLBOSS;by Sophia Amoruso;14 weeks on the list,"THE GRAVEYARD BOOK, VOL. 1;by Neil Gaiman, P. Craig Russell and others;2 weeks on the list","SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;20 weeks on the list","FAIRY TAIL, VOL. 40;by Hiro Mashima;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;22 weeks on the list",LUX;by Jennifer L. Armentrout;New this week,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HARD CHOICES;by Hillary Rodham Clinton;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FREE+STYLE;by Carl Paoli and Anthony Sherbondy;
5,DARK SKYE;by Kresley Cole;New this week,THE GOLDFINCH;by Donna Tartt;42 weeks on the list,FIFTY SHADES DARKER;by E. L. James;98 weeks on the list,,,THE FIRST FAMILY DETAIL;by Ronald Kessler;New this week,HARD CHOICES;by Hillary Rodham Clinton;9 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;53 weeks on the list,IN THE KINGDOM OF ICE;by Hampton Sides;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;46 weeks on the list,BATMAN: A CELEBRATION OF 75 YEARS;by Various;3 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;74 weeks on the list","BLACK BUTLER, VOL. 17;by Yana Toboso;3 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;19 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;152 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,THE DOCTOR'S DIET;by Travis Stork;,ONE NATION;by Ben Carson with Candy Carson;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
6,UGLY LOVE;by Colleen Hoover;New this week,THE HEIST;by Daniel Silva;4 weeks on the list,OUTLANDER;by Diana Gabaldon;New this week,,,IN THE KINGDOM OF ICE;by Hampton Sides;New this week,A SPY AMONG FRIENDS;by Ben Macintyre;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;359 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;150 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;23 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;127 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;45 weeks on the list","DRAGONAR ACADEMY, VOL. 3;by Shiki Mizuchi and Ran;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;152 weeks on the list,THE SELECTION;by Kiera Cass;14 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,I NEVER HAD IT MADE;by Jackie W. Robinson;
7,FIFTY SHADES OF GREY;by E. L. James;68 weeks on the list,THE BOOK OF LIFE;by Deborah Harkness;4 weeks on the list,DARK PLACES;by Gillian Flynn;54 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;32 weeks on the list,THE INVISIBLE BRIDGE;by Rick Perlstein;New this week,THE HOT ZONE;by Richard Preston;47 weeks on the list,THE HOT ZONE;by Richard Preston;2 weeks on the list,HOW THE WORLD SEES YOU;by Sally Hogshead;2 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;8 weeks on the list,SMILE;by Raina Telgemeier;113 weeks on the list,"FOOD WARS!, VOL. 1;by Yuto Tsukudo and Shun Saeki;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;34 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;339 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE PALEO KITCHEN;by Juli Bauer and George Bryant;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,NEIL ARMSTRONG: A LIFE OF FLIGHT;by Jay Barbree;,THE SPORTS GENE;by David Epstein;
8,THE LOST ISLAND;by Douglas Preston and Lincoln Child;New this week,TOM CLANCY: SUPPORT AND DEFEND;by Mark Greaney;3 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;15 weeks on the list,,,THE HOT ZONE;by Richard Preston;New this week,BLOOD FEUD;by Edward Klein;7 weeks on the list,WILD;by Cheryl Strayed;72 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;54 weeks on the list,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;13 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 2;by Tom Taylor, Mike S. Miller, Tom Derenick;6 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;38 weeks on the list","NARUTO, VOL. 66;by Masashi Kishimoto;6 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;103 weeks on the list,BLOODLINES;by Richelle Mead;8 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SUPER SHRED;by Ian K. Smith;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,HOW DOGS LOVE US;by Gregory Berns;,THE EMERALD MILE;by Kevin Fedarko;
9,THE GOLDFINCH;by Donna Tartt;42 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;14 weeks on the list,SHARP OBJECTS;by Gillian Flynn;21 weeks on the list,,,A SPY AMONG FRIENDS;by Ben Macintyre;2 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;43 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;31 weeks on the list,A SPY AMONG FRIENDS;by Ben Macintyre;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;66 weeks on the list,A GAME OF THRONES;by George R.R. Martin;28 weeks on the list,THE SHADOW HERO;by Gene Luen Yang and Sonny Liew;4 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;35 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;26 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;205 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,HOW THE WORLD SEES YOU;by Sally Hogshead;,PRACTICAL PALEO;by Diane Sanfilippo;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,WAR OF THE WHALES;by Joshua Horwitz;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
10,THE MAGICIAN'S LAND;by Lev Grossman;New this week,THE SILKWORM;by Robert Galbraith;8 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;23 weeks on the list,,,THE INVISIBLE BRIDGE;by Rick Perlstein;New this week,UNBROKEN;by Laura Hillenbrand;181 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;68 weeks on the list,ZELDA FITZGERALD;by Sally Cline;New this week,THE GIFTS OF IMPERFECTION;by Brené Brown;46 weeks on the list,HOW TO BE HAPPY;by Eleanor Davis;New this week,THE STAR WARS;by J. W. Rinzler and Mike Mayhew;2 weeks on the list,"BLEACH, VOL. 61;by Tite Kubo;New this week",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,JOURNEY;by Aaron Becker;37 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;4 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,FLASH BOYS;by Michael Lewis;,AGAINST ALL GRAIN;by Danielle Walker;,WILD SWANS;by Jung Chang;,INSIDE OF A DOG;by Alexandra Horowitz;,WHEELMEN;by Reed Albergotti and Vanessa O'Connell;
