,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,SYCAMORE ROW;by John Grisham;8 weeks on the list,SYCAMORE ROW;by John Grisham;8 weeks on the list,DEAR LIFE;by Alice Munro;10 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;8 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;8 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;87 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;34 weeks on the list,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;7 weeks on the list,THE FIFTH BEATLE: THE BRIAN EPSTEIN STORY;by Vivek Tiwary and  Andrew C. Robinson;4 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;113 weeks on the list","ONE PIECE, VOL. 69;by Eiichiro Oda;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;New this week,DIVERGENT;by Veronica Roth;8 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THINGS THAT MATTER;by Charles Krauthammer;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,THE GOLDFINCH;by Donna Tartt;8 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;5 weeks on the list,DARK WITCH;by Nora Roberts;7 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;12 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;12 weeks on the list,LONG WALK TO FREEDOM;by Nelson Mandela;2 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;10 weeks on the list,GUINNESS WORLD RECORDS 2014.;;14 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;6 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;47 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;27 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;25 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;256 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,DOUBLE DOWN;by Mark Halperin and John Heilemann;,THE REASON I JUMP;by Naoki Higashida;
3,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;2 weeks on the list,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;2 weeks on the list,THE STORYTELLER;by Jodi Picoult;6 weeks on the list,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;6 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;6 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;60 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;12 weeks on the list,HYPERBOLE AND A HALF;by Allie Brosh;7 weeks on the list,"THE WALKING DEAD, BOOK 6;by Robert Kirkman and Charlie Adlard;21 weeks on the list","BATMAN, VOL. 1;by Scott Snyder and Greg Capullo;6 weeks on the list","ATTACK ON TITAN, VOL. 9;by Hajime Isayama;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;115 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;173 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GROUNDED;by Bob Rosen;,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;,THE BULLY PULPIT;by Doris Kearns Goodwin;,QUIET;by Susan Cain;
4,INNOCENCE;by Dean Koontz;New this week,THE GOLDFINCH;by Donna Tartt;8 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;92 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;11 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;11 weeks on the list,OUTLIERS;by Malcolm Gladwell;132 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;11 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;2 weeks on the list","THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;98 weeks on the list",THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;12 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;16 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;49 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;118 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,DOT COMPLICATED;by Randi Zuckerberg;,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,AN ASTRONAUT'S GUIDE TO LIFE ON EARTH;by Chris Hadfield;
5,THE GODS OF GUILT;by Michael Connelly;2 weeks on the list,DOCTOR SLEEP;by Stephen King;12 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;37 weeks on the list",,,THE BULLY PULPIT;by Doris Kearns Goodwin;6 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;6 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;22 weeks on the list,LONG WALK TO FREEDOM;by Nelson Mandela;3 weeks on the list,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;6 weeks on the list,FAIREST: IN ALL THE LAND;by Bill Willingham and others;3 weeks on the list,"THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;3 weeks on the list","DEMON LOVE SPELL, VOL. 5;by Mayu Shinjo;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;33 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;52 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,EVERYTHING STORE;by Brad Stone;,THE SOUTHERNER'S HANDBOOK;by David DiBenedetto and the editors of Garden and Gun;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
6,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;5 weeks on the list,CROSS MY HEART;by James Patterson;3 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;37 weeks on the list,,,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;4 weeks on the list,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;4 weeks on the list,QUIET;by Susan Cain;46 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;8 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;12 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;9 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;18 weeks on the list,"YU-GI-OH 5D'S, VOL. 5;by Masahiro Hikokubo and Masashi Sato;5 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;16 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;319 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
7,TAKEDOWN TWENTY;by Janet Evanovich;4 weeks on the list,THE GODS OF GUILT;by Michael Connelly;2 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;17 weeks on the list,,,HUMANS OF NEW YORK;by Brandon Stanton;4 weeks on the list,HUMANS OF NEW YORK;by Brandon Stanton;9 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;50 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;6 weeks on the list,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;6 weeks on the list,"HAWKEYE, VOL. 1;by Matt Fraction and David Aja;3 weeks on the list",SMILE;by Raina Telgemeier;84 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;14 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;17 weeks on the list,HARRY POTTER;by J.K. Rowling;300 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,EXTORTION;by Peter Schweizer;,WHEAT BELLY;by William Davis;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE WORLD UNTIL YESTERDAY;by Jared Diamond;
8,CROSS MY HEART;by James Patterson;3 weeks on the list,TAKEDOWN TWENTY;by Janet Evanovich;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;282 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;10 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;10 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;44 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;117 weeks on the list,THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;3 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;107 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;10 weeks on the list,"SAILOR MOON SHORT STORIES, VOL. 2;by Naoko Takeuchi;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;84 weeks on the list,LEGEND;by Marie Lu;5 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,UNBROKEN;by Laura Hillenbrand;,THE FRACKERS;by Gregory Zuckerman;
9,KING AND MAXWELL;by David Baldacci;4 weeks on the list,INNOCENCE;by Dean Koontz;New this week,A DOG'S PURPOSE;by W. Bruce Cameron;17 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;4 weeks on the list,LET ME OFF AT THE TOP!;by Ron Burgundy;4 weeks on the list,WILD;by Cheryl Strayed;38 weeks on the list,QUIET;by Susan Cain;47 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;4 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;35 weeks on the list,BOXERS;by Gene Luen Yang;3 weeks on the list,"MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;5 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;5 weeks on the list",IVY AND BEAN;by Annie Barrows. Illustrated by Sophie Blackall;6 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,HATCHING TWITTER;by Nick Bilton;,THE 3-1-2-1 DIET;by Dolvett Quince;,FIVE DAYS IN NOVEMBER;by Clint Hill and Lisa McCubbin;,FOCUS;by Daniel Goleman;
10,DOCTOR SLEEP;by Stephen King;12 weeks on the list,KING AND MAXWELL;by David Baldacci;4 weeks on the list,ME BEFORE YOU;by Jojo Moyes;20 weeks on the list,,,LET ME OFF AT THE TOP!;by Ron Burgundy;3 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;15 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;37 weeks on the list",THE BULLY PULPIT;by Doris Kearns Goodwin;6 weeks on the list,BREAK OUT!;by Joel Osteen;11 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;8 weeks on the list,DRAMA;by Raina Telgemeier;50 weeks on the list,"NARUTO, VOL. 63;by Masashi Kishimoto;6 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"I'D KNOW YOU ANYWHERE, MY LOVE;by Nancy Tillman;3 weeks on the list",THE MAZE RUNNER;by James Dashner;63 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,MAN WHO KILLED KENNEDY;by Roger Stone with Mike Colapietro;,WHY CAN'T I GET BETTER?;by Richard I. Horowitz;
11,A BEAUTIFUL WEDDING;by Jamie McGuire;New this week,THE LONGEST RIDE;by Nicholas Sparks;13 weeks on the list,THE RACKETEER;by John Grisham;11 weeks on the list,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;13 weeks on the list,ONE SUMMER;by Bill Bryson;7 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;161 weeks on the list,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;4 weeks on the list,DARTH VADER AND SON;by Jeffrey Brown;6 weeks on the list,,,,,,,,,EAT TO LIVE COOKBOOK;by Joel Fuhrman;,,
12,THE LONGEST RIDE;by Nicholas Sparks;13 weeks on the list,S.;by Doug Dorst;7 weeks on the list,JOYLAND;by Stephen King;21 weeks on the list,,,LONG WALK TO FREEDOM;by Nelson Mandela;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;148 weeks on the list,TIPPING POINT;by Malcolm Gladwell;428 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;23 weeks on the list,GRUMPY CAT;by Grumpy Cat staff;7 weeks on the list,,,,,,,,,THE PIONEER WOMAN COOKS;by Ree Drummond;,,
13,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;15 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;22 weeks on the list,THE HARBINGER;by Jonathan Cahn;92 weeks on the list,,,ONE SUMMER;by Bill Bryson;7 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;26 weeks on the list",HOW CHILDREN SUCCEED;by Paul Tough;24 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;7 weeks on the list,THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;4 weeks on the list,,,,,,,,,AGAINST ALL GRAIN;by Danielle Walker;,,
14,TRUE;by Laurann Dohner;New this week,INFERNO;by Dan Brown;26 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;37 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;132 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;13 weeks on the list,UNLIKELY LOVES;by Jennifer Holland;10 weeks on the list,UNBROKEN;by Laura Hillenbrand;150 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;36 weeks on the list,,,,,,,,,WHAT ARE YOU HUNGRY FOR?;by Deepak Chopra;,,
