,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,LETHAL WHITE;by Robert Galbraith;New this week,LETHAL WHITE;by Robert Galbraith;New this week,CRAZY RICH ASIANS;by Kevin Kwan;22 weeks on the list,FEAR;by Bob Woodward;2 weeks on the list,FEAR;by Bob Woodward;2 weeks on the list,SAPIENS;by Yuval Noah Harari;19 weeks on the list,WHISKEY IN A TEACUP;by Reese Witherspoon;New this week,WONDER;by R.J. Palacio;163 weeks on the list,PRINCESSES SAVE THE WORLD;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;New this week,DOG MAN;by Dav Pilkey;56 weeks on the list,THE HATE U GIVE;by Angie Thomas;82 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,FEAR;by Bob Woodward;,LEADERSHIP;by Doris Kearns Goodwin;,SAPIENS;by Yuval Noah Harari;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
2,TIME'S CONVERT;by Deborah Harkness;New this week,JUROR #3;by James Patterson and Nancy Allen;2 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;3 weeks on the list,IN PIECES;by Sally Field;New this week,IN PIECES;by Sally Field;New this week,GRIT;by Angela Duckworth;5 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;24 weeks on the list",THE ATLAS OBSCURA EXPLORER'S GUIDE FOR THE WORLD'S MOST ADVENTUROUS KID;by Dylan Thuras and Rosemary Mosco. Illustrated by Joy Ang;New this week,PRINCESSES WEAR PANTS;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;10 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;10 weeks on the list,WILDCARD;by Marie Lu;New this week,MAVERICKS;by Craig Alanson;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,BIG GAME;by Mark Leibovich;
3,ORIGIN;by Dan Brown;30 weeks on the list,TIME'S CONVERT;by Deborah Harkness;New this week,CHINA RICH GIRLFRIEND;by Kevin Kwan;9 weeks on the list,LEADERSHIP;by Doris Kearns Goodwin;New this week,LEADERSHIP;by Doris Kearns Goodwin;New this week,KITCHEN CONFIDENTIAL;by Anthony Bourdain;51 weeks on the list,CRAVINGS: HUNGRY FOR MORE;by Chrissy Teigen and Adeena Sussman;New this week,REFUGEE;by Alan Gratz;31 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;4 weeks on the list,HARRY POTTER;by J.K. Rowling;496 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;29 weeks on the list,LETHAL WHITE;by Robert Galbraith;,EDUCATED;by Tara Westover;,BAD BLOOD;by John Carreyrou;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,SHOE DOG;by Phil Knight;
4,JUROR #3;by James Patterson and Nancy Allen;2 weeks on the list,SEA PRAYER;by Khaled Hosseini. Illustrated by Dan Williams;New this week,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;16 weeks on the list,EDUCATED;by Tara Westover;31 weeks on the list,THESE TRUTHS;by Jill Lepore;New this week,HILLBILLY ELEGY;by J.D. Vance;21 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;93 weeks on the list,THE WILD ROBOT;by Peter Brown;45 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;239 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;7 weeks on the list,LONG WAY DOWN;by Jason Reynolds;28 weeks on the list,LEVERAGE IN DEATH;by J.D. Robb;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,GRIT;by Angela Duckworth;,ACCESSORY TO WAR;by Neil deGrasse Tyson and Avis Lang;,THE MAN I NEVER MET;by Adam Schefter;
5,CRAZY RICH ASIANS;by Kevin Kwan;15 weeks on the list,SHADOW TYRANTS;by Clive Cussler and Boyd Morrison;2 weeks on the list,THE FALLEN;by David Baldacci;2 weeks on the list,THESE TRUTHS;by Jill Lepore;New this week,EDUCATED;by Tara Westover;31 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;25 weeks on the list,YOU ARE A BADASS;by Jen Sincero;141 weeks on the list,THE STORM RUNNER;by J.C. Cervantes;New this week,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;22 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;497 weeks on the list,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;8 weeks on the list,VINCE FLYNN: RED WAR;by Kyle Mills;,IN PIECES;by Sally Field;,PRINCIPLES;by Ray Dalio;,QUIET;by Susan Cain;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
6,WHY NOT TONIGHT;by Susan Mallery;New this week,LEVERAGE IN DEATH;by J.D. Robb;3 weeks on the list,RICH PEOPLE PROBLEMS;by Kevin Kwan;7 weeks on the list,THE DEEP STATE;by Jason Chaffetz;New this week,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;3 weeks on the list,JUST MERCY;by Bryan Stevenson;122 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;261 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;43 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;151 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;137 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;50 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;,SAPIENS;by Yuval Noah Harari;,AI SUPERPOWERS;by Kai-Fu Lee;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,BELICHICK;by Ian O'Connor;
7,VAMPIRES LIKE IT HOT;by Lynsay Sands;New this week,WHERE THE CRAWDADS SING;by Delia Owens;3 weeks on the list,LESS;by Andrew Sean Greer;18 weeks on the list,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;3 weeks on the list,THE DEEP STATE;by Jason Chaffetz;New this week,SHOE DOG;by Phil Knight;19 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;22 weeks on the list,AMAL UNBOUND;by Aisha Saeed;3 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;246 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;142 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;62 weeks on the list,SHARP OBJECTS;by Gillian Flynn;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,DOPESICK;by Beth Macy;,FOOTBALL FOR A BUCK;by Jeff Pearlman;
8,WHERE THE CRAWDADS SING;by Delia Owens;2 weeks on the list,IN HIS FATHER'S FOOTSTEPS;by Danielle Steel;3 weeks on the list,A SIMPLE FAVOR;by Darcey Bell;4 weeks on the list,SAPIENS;by Yuval Noah Harari;40 weeks on the list,THE RUSSIA HOAX;by Gregg Jarrett;9 weeks on the list,BLACK KLANSMAN;by Ron Stallworth;8 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;30 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;41 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;145 weeks on the list,STALKING JACK THE RIPPER;by Kerri Maniscalco;New this week,THUNDERHEAD;by Neal Shusterman;21 weeks on the list,DOWN THE RIVER UNTO THE SEA;by Walter Mosley;,BORN A CRIME;by Trevor Noah;,WINNERS TAKE ALL;by Anand Giridharadas;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
9,CHINA RICH GIRLFRIEND;by Kevin Kwan;7 weeks on the list,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;16 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;82 weeks on the list,THE RUSSIA HOAX;by Gregg Jarrett;9 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;72 weeks on the list,WHAT HAPPENED;by Hillary Clinton;New this week,UNFU*K YOURSELF;by Gary John Bishop;4 weeks on the list,MINECRAFT: THE CRASH;by Tracey Baptiste;11 weeks on the list,BE KIND;by Pat Zietlow Miller. Illustrated by Jen Hill;9 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;4 weeks on the list,THE HAZEL WOOD;by Melissa Albert;34 weeks on the list,HEART-SHAPED BOX;by Joe Hill;,THE POWER OF HABIT;by Charles Duhigg;,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","BASKETBALL: A LOVE STORY;by Jackie MacMullan, Rafe Bartholomew and Dan Klores;"
10,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;3 weeks on the list,TEXAS RANGER;by James Patterson and Andrew Bourelle;6 weeks on the list,MILK AND HONEY;by Rupi Kaur;128 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;63 weeks on the list,ACCESSORY TO WAR;by Neil deGrasse Tyson and Avis Lang;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;11 weeks on the list,MAKE YOUR BED;by William H. McRaven;61 weeks on the list,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;22 weeks on the list,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;25 weeks on the list,GIVER QUARTET;by Lois Lowry;153 weeks on the list,SADIE;by Courtney Summers;2 weeks on the list,THE EXTRAORDINARY LIFE OF SAM HELL;by Robert Dugoni;,A LITTLE HISTORY OF ECONOMICS;by Niall Kishtainy;,BILLION DOLLAR WHALE;by Tom Wright and Bradley Hope;,HOW TO BE A GOOD CREATURE;by Sy Montgomery. Illustrated by Rebecca Green;,FLY GIRLS;by Keith O'Brien;
