,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE CUBAN AFFAIR;by Nelson DeMille;New this week,THE CUBAN AFFAIR;by Nelson DeMille;New this week,IT;by Stephen King;6 weeks on the list,WHAT HAPPENED;by Hillary Clinton;2 weeks on the list,WHAT HAPPENED;by Hillary Clinton;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;392 weeks on the list,TB12 METHOD;by Tom Brady;New this week,WONDER;by R.J. Palacio;111 weeks on the list,PRINCESSES WEAR PANTS;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;2 weeks on the list,DOG MAN;by Dav Pilkey;4 weeks on the list,ONE DARK THRONE;by Kendare Blake;New this week,PRINCIPLES;by Ray Dalio;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,TB12 METHOD;by Tom Brady;
2,IT;by Stephen King;7 weeks on the list,TO BE WHERE YOU ARE;by Jan Karon;New this week,THE HANDMAID'S TALE;by Margaret Atwood;33 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;New this week,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;New this week,BEING MORTAL;by Atul Gawande;3 weeks on the list,PRINCIPLES;by Ray Dalio;New this week,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;13 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;17 weeks on the list,HARRY POTTER;by J.K. Rowling;444 weeks on the list,THE HATE U GIVE;by Angie Thomas;30 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,END OF ALZHEIMER'S;by Dale Bredesen;,UNSTOPPABLE;by Maria Sharapova with Rich Cohen;
3,HAUNTED;by James Patterson and James O. Born;New this week,A COLUMN OF FIRE;by Ken Follett;2 weeks on the list,ADULTOLESCENCE;by Gabbie Hanna;New this week,UNBELIEVABLE;by Katy Tur;2 weeks on the list,UNBELIEVABLE;by Katy Tur;2 weeks on the list,ON TYRANNY;by Timothy Snyder;30 weeks on the list,BRAVING THE WILDERNESS;by Brené Brown;2 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;10 weeks on the list,IT TAKES A VILLAGE;by Hillary Rodham Clinton. Illustrated by Marla Frazee;2 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;85 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;4 weeks on the list,GRIT;by Angela Duckworth;,BEING MORTAL;by Atul Gawande;,FINDING GOBI;by Dion Leonard with with Craig Borlase;
4,A COLUMN OF FIRE;by Ken Follett;2 weeks on the list,HAUNTED;by James Patterson and James O. Born;New this week,MILK AND HONEY;by Rupi Kaur;76 weeks on the list,THE AUTOBIOGRAPHY OF GUCCI MANE;by Gucci Mane with Neil Martinez-Belkin;New this week,THE AUTOBIOGRAPHY OF GUCCI MANE;by Gucci Mane with Neil Martinez-Belkin;New this week,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;3 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;41 weeks on the list,THE DARK PROPHECY;by Rick Riordan;21 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;188 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;445 weeks on the list,WARCROSS;by Marie Lu;2 weeks on the list,HIT REFRESH;by Satya Nadella with Greg Shaw and Jill Tracie Nichols;,SAPIENS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
5,TO BE WHERE YOU ARE;by Jan Karon;New this week,THE GIRL WHO TAKES AN EYE FOR AN EYE;by David Lagercrantz;2 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;24 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;57 weeks on the list,THE PARADIGM;by Jonathan Cahn;New this week,JUST MERCY;by Bryan Stevenson;79 weeks on the list,7 LESSONS FROM HEAVEN;by Mary C. Neal;New this week,LAUGH OUT LOUD;by James Patterson and Chris Grabenstein. Illustrated by Jeff Ebbeler;4 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;104 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;18 weeks on the list,HUNTING PRINCE DRACULA;by Kerri Maniscalco;New this week,LIFE 3.0;by Max Tegmark;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,STRONGER;by Jeff Bauman with Bret Witter;
6,THE GIRL WHO TAKES AN EYE FOR AN EYE;by David Lagercrantz;2 weeks on the list,A LEGACY OF SPIES;by John le Carré;3 weeks on the list,THE FIX;by David Baldacci;2 weeks on the list,THE PARADIGM;by Jonathan Cahn;New this week,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;21 weeks on the list,BORN TO RUN;by Bruce Springsteen;2 weeks on the list,YOU ARE A BADASS;by Jen Sincero;89 weeks on the list,AUGGIE & ME;by R.J. Palacio;43 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;16 weeks on the list,THE SCHOOL FOR GOOD AND EVIL;by Soman Chainani;4 weeks on the list,BERNIE SANDERS GUIDE TO POLITICAL REVOLUTION;by Bernie Sanders. Illustrated by Jude Buffum;4 weeks on the list,IT TAKES TWO;by Jonathan Scott and Drew Scott;,LIFE 3.0;by Max Tegmark;,SHOE DOG;by Phil Knight;
7,A LEGACY OF SPIES;by John le Carré;3 weeks on the list,ENEMY OF THE STATE;by Kyle Mills;3 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;30 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;21 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;61 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;156 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;219 weeks on the list,THE WILD ROBOT;by Peter Brown;13 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;135 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;447 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;14 weeks on the list,BLUE OCEAN SHIFT;by W. Chan Kim and Renée Mauborgne;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
8,THE HANDMAID'S TALE;by Margaret Atwood;24 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;2 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;17 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;61 weeks on the list,FANTASYLAND;by Kurt Andersen;3 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;139 weeks on the list",MAKE YOUR BED;by William H. McRaven;25 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;40 weeks on the list,RUNNY BABBIT RETURNS;by Shel Silverstein;New this week,MICHAEL VEY;by Richard Paul Evans;11 weeks on the list,"JANE, UNLIMITED;by Kristin Cashore;New this week",OUTLIERS;by Malcolm Gladwell;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,SHAKEN;by Tim Tebow;
9,ENEMY OF THE STATE;by Kyle Mills;3 weeks on the list,THE ROMANOV RANSOM;by Clive Cussler and Robin Burcell;2 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;25 weeks on the list,FANTASYLAND;by Kurt Andersen;3 weeks on the list,THE VIETNAM WAR;by Geoffrey C. Ward;3 weeks on the list,ROGUE HEROES;by Ben Macintyre;2 weeks on the list,END OF ALZHEIMER'S;by Dale Bredesen;5 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;15 weeks on the list,"WILD;created by Dan Kainen, written by Kathy Wollard;New this week",I SURVIVED;by Lauren Tarshis;30 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;18 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THINKING, FAST AND SLOW;by Daniel Kahneman;",I GOT THIS;by Laurie Hernandez;
10,BEFORE WE WERE YOURS;by Lisa Wingate;8 weeks on the list,Y IS FOR YESTERDAY;by Sue Grafton;5 weeks on the list,READY PLAYER ONE;by Ernest Cline;32 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;17 weeks on the list","AL FRANKEN, GIANT OF THE SENATE;by Al Franken;17 weeks on the list",OUTLIERS;by Malcolm Gladwell;242 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;102 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;15 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;221 weeks on the list,DESCENDANTS;by Melissa de la Cruz;18 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;16 weeks on the list,INVISIBLE INFLUENCE;by Jonah Berger;,HIDDEN FIGURES;by Margot Lee Shetterly;,WHAT MADE MADDY RUN;by Kate Fagan;
