,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,A COURT OF SILVER FLAMES;by Sarah J. Maas;New this week,A COURT OF SILVER FLAMES;by Sarah J. Maas;New this week,FIREFLY LANE;by Kristin Hannah;36 weeks on the list,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;New this week,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;122 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;64 weeks on the list",THE ICKABOG;by J.K. Rowling;15 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;36 weeks on the list,DOG MAN;by Dav Pilkey;182 weeks on the list,CONCRETE ROSE;by Angie Thomas;6 weeks on the list,THE FOUR WINDS;by Kristin Hannah;,GREENLIGHTS;by Matthew McConaughey;,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;,CAT KID COMIC CLUB;by Dav Pilkey;,THE VISCOUNT WHO LOVED ME;by Julia Quinn;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,THE FOUR WINDS;by Kristin Hannah;3 weeks on the list,THE FOUR WINDS;by Kristin Hannah;3 weeks on the list,THE SONG OF ACHILLES;by Madeline Miller;18 weeks on the list,JUST AS I AM;by Cicely Tyson with Michelle Burford;4 weeks on the list,JUST AS I AM;by Cicely Tyson with Michelle Burford;4 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;129 weeks on the list,KEEP SHARP;by Sanjay Gupta with Kristin Loberg;7 weeks on the list,LITTLE LEADERS;by Vashti Harrison;56 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;32 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;623 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;160 weeks on the list,FIREFLY LANE;by Kristin Hannah;,A PROMISED LAND;by Barack Obama;,ATOMIC HABITS;by James Clear;,CLAUDIA AND THE NEW GIRL;by Ann M. Martin. Illustrated by Gabriela Epstein;,THE DUKE AND I;by Julia Quinn;,A LONG WALK TO WATER;by Linda Sue Park;,THEY BOTH DIE AT THE END;by Adam Silvera;
3,FIREFLY LANE;by Kristin Hannah;5 weeks on the list,THE MIDNIGHT LIBRARY;by Matt Haig;12 weeks on the list,HOME BODY;by Rupi Kaur;14 weeks on the list,THE SUM OF US;by Heather McGhee;New this week,THE SUM OF US;by Heather McGhee;New this week,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;45 weeks on the list,ATOMIC HABITS;by James Clear;65 weeks on the list,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;29 weeks on the list,WE ARE WATER PROTECTORS;by Carole Lindstrom. Illustrated by Michaela Goade;3 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;63 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;48 weeks on the list,FAITHLESS IN DEATH;by J.D. Robb;,THINK AGAIN;by Adam Grant;,BELIEVE IT;by Jamie Kern Lima;,GRIME AND PUNISHMENT;by Dav Pilkey;,THE NUMBERS GAME;by Danielle Steel;,CITY SPIES;by James Ponti;,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;
4,RELENTLESS;by Mark Greaney;New this week,THE VANISHING HALF;by Brit Bennett;38 weeks on the list,THE DUKE AND I;by Julia Quinn;8 weeks on the list,WALK IN MY COMBAT BOOTS;by James Patterson and Matt Eversmann with Chris Mooney;2 weeks on the list,WALK IN MY COMBAT BOOTS;by James Patterson and Matt Eversmann with Chris Mooney;2 weeks on the list,THE BODY;by Bill Bryson;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;332 weeks on the list,GROUND ZERO;by Alan Gratz;3 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;27 weeks on the list,HARRY POTTER;by J.K. Rowling;622 weeks on the list,LORE;by Alexandra Bracken;7 weeks on the list,THE MIDNIGHT LIBRARY;by Matt Haig;,CASTE;by Isabel Wilkerson;,NOMADLAND;by Jessica Bruder;,IN LOVE & PAJAMAS;by Catana Chetwynd;,RECKLESS ROAD;by Christine Feehan;,WISH;by Barbara O'Connor;,SIX OF CROWS;by Leigh Bardugo;
5,THE DUKE AND I;by Julia Quinn;8 weeks on the list,THE SANATORIUM;by Sarah Pearse;3 weeks on the list,FAIR WARNING;by Michael Connelly;3 weeks on the list,CASTE;by Isabel Wilkerson;29 weeks on the list,A PROMISED LAND;by Barack Obama;14 weeks on the list,NOMADLAND;by Jessica Bruder;New this week,YOU ARE A BADASS;by Jen Sincero;227 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;42 weeks on the list,HOW TO CATCH A LEPRECHAUN;by Adam Wallace. Illustrated by Andy Elkerton;19 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;102 weeks on the list,THE HATE U GIVE;by Angie Thomas;208 weeks on the list,A COURT OF SILVER FLAMES;by Sarah J. Maas;,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;,DARE TO LEAD;by Brené Brown;,THE DARK SECRET;by Tui T. Sutherland. Illustrated by Mike Holmes;,AN OFFER FROM A GENTLEMAN;by Julia Quinn;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,THE BOOK THIEF;by Markus Zusak;
6,MISSING AND ENDANGERED;by J.A. Jance;New this week,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;17 weeks on the list,28 SUMMERS;by Elin Hilderbrand;2 weeks on the list,A PROMISED LAND;by Barack Obama;14 weeks on the list,CASTE;by Isabel Wilkerson;29 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;60 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;55 weeks on the list,LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY;by Vashti Harrison with Kwesi Johnson;22 weeks on the list,THE TALE OF THE MANDARIN DUCK;by Bette Midler. Photographed by Michiko Kakutani;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;255 weeks on the list,THE COUSINS;by Karen M. McManus;12 weeks on the list,READY PLAYER TWO;by Ernest Cline;,JUST AS I AM;by Cicely Tyson with Michelle Burford;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FETCH-22;by Dav Pilkey;,REVENGE;by James Patterson and Andrew Holmes;,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;,ALL THE STARS AND TEETH;by Adalyn Grace;
7,THE MIDNIGHT LIBRARY;by Matt Haig;12 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;129 weeks on the list,CIRCE;by Madeline Miller;37 weeks on the list,BETWEEN TWO KINGDOMS;by Suleika Jaouad;2 weeks on the list,GREENLIGHTS;by Matthew McConaughey;18 weeks on the list,BORN A CRIME;by Trevor Noah;106 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;36 weeks on the list",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;95 weeks on the list,AMBITIOUS GIRL;by Meena Harris. Illustrated by Marissa Valdez;5 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;110 weeks on the list,STAR WARS: INTO THE DARK;by Claudia Gray;3 weeks on the list,THE VISCOUNT WHO LOVED ME;by Julia Quinn;,FOUR HUNDRED SOULS;edited by Ibram X. Kendi and Keisha N. Blain;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,NEW KID;by Jerry Craft;,A MINUTE TO MIDNIGHT;by David Baldacci;,BLACK HEROES;by Arlisha Norwood. Illustrated by Anastasia Magloire Williams;,SERPENT AND DOVE;by Shelby Mahurin;
8,THE VANISHING HALF;by Brit Bennett;38 weeks on the list,THE RUSSIAN;by James Patterson and James O. Born;4 weeks on the list,THE GIRL FROM THE CHANNEL ISLANDS;by Jenny Lecoat;3 weeks on the list,GREENLIGHTS;by Matthew McConaughey;18 weeks on the list,BETWEEN TWO KINGDOMS;by Suleika Jaouad;2 weeks on the list,SAPIENS;by Yuval Noah Harari;132 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;199 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;91 weeks on the list,SULWE;by Lupita Nyong'o. Illustrated by Vashti Harrison;14 weeks on the list,RUSH REVERE;by Rush Limbaugh with Kathryn Adams Limbaugh;27 weeks on the list,THE GILDED ONES;by Namina Forna;2 weeks on the list,THE SANATORIUM;by Sarah Pearse;,UNTAMED;by Glennon Doyle;,RADICAL CANDOR;by Kim Scott;,FOR WHOM THE BALL ROLLS;by Dav Pilkey;,THE LOST AND FOUND BOOKSHOP;by Susan Wiggs;,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
9,THE SANATORIUM;by Sarah Pearse;3 weeks on the list,FAITHLESS IN DEATH;by J.D. Robb;2 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;74 weeks on the list,UNTAMED;by Glennon Doyle;50 weeks on the list,UNTAMED;by Glennon Doyle;50 weeks on the list,ON TYRANNY;by Timothy Snyder;84 weeks on the list,CAN'T HURT ME;by David Goggins;19 weeks on the list,AMARI AND THE NIGHT BROTHERS;by B.B. Alston;4 weeks on the list,PETE THE CAT: THE GREAT LEPRECHAUN CHASE;by James Dean;5 weeks on the list,THE BAD GUYS;by Aaron Blabey;113 weeks on the list,THE INHERITANCE GAMES;by Jennifer Lynn Barnes;9 weeks on the list,THE VANISHING HALF;by Brit Bennett;,BECOMING;by Michelle Obama;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",BRAWL OF THE WILD;by Dav Pilkey;,ROMANCING MISTER BRIDGERTON;by Julia Quinn;,OUT OF MY MIND;by Sharon M. Draper;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
10,FAITHLESS IN DEATH;by J.D. Robb;2 weeks on the list,MISSING AND ENDANGERED;by J.A. Jance;New this week,THE 20TH VICTIM;by James Patterson and Maxine Paetro;New this week,THINK AGAIN;by Adam Grant;3 weeks on the list,FOUR HUNDRED SOULS;edited by Ibram X. Kendi and Keisha N. Blain;3 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;33 weeks on the list,FORGIVING WHAT YOU CAN'T FORGET;by Lysa TerKeurst;10 weeks on the list,WONDER;by R.J. Palacio;284 weeks on the list,GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;39 weeks on the list,FIVE NIGHTS AT FREDDY'S;by Scott Cawthon and Kira Breed-Wrisley;5 weeks on the list,THESE VIOLENT DELIGHTS;by Chloe Gong;5 weeks on the list,THE DUKE AND I;by Julia Quinn;,THE SUM OF US;by Heather McGhee;,OUTLIERS;by Malcolm Gladwell;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;","TO SIR PHILLIP, WITH LOVE;by Julia Quinn;",THE MIRACULOUS JOURNEY OF EDWARD TULANE;by Kate DiCamillo. Illustrated by Bagram Ibatoulline;,CROOKED KINGDOM;by Leigh Bardugo;
