,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,PLUM SPOOKY;by Janet Evanovich;2 weeks on the list,THE SHACK;by William P. Young;35 weeks on the list,,OUTLIERS;by Malcolm Gladwell;9 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;131 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;41 weeks on the list,SUZE ORMAN’S 2009 ACTION PLAN;by Suze Orman;3 weeks on the list,3 WILLOWS;by Ann Brashares;New this week,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;51 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;14 weeks on the list",THE TWILIGHT SAGA;by Stephenie Meyer;76 weeks on the list
2,THE HOST;by Stephenie Meyer;36 weeks on the list,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;2 weeks on the list,,GUILTY;by Ann Coulter;2 weeks on the list,MARLEY AND ME;by John Grogan;45 weeks on the list,THE POWER OF SOUL;by Zhi Gang Sha;2 weeks on the list,BROKEN OPEN;by Elizabeth Lesser;New this week,ONE FALSE NOTE;by Gordon Korman;7 weeks on the list,THE BOOK THIEF;by Markus Zusak;71 weeks on the list,WABI SABI;by Mark Reibstein. Illustrated by Ed Young;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;New this week
3,BLACK OPS;by W. E. B. Griffin;3 weeks on the list,REVOLUTIONARY ROAD;by Richard Yates;7 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;18 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;56 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;9 weeks on the list,TWILIGHT;by Mark Cotta Vaz;14 weeks on the list,THE MAZE OF BONES;by Rick Riordan;19 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;2 weeks on the list,BARACK;by Jonah Winter. Illustrated by Ag Ford;2 weeks on the list,HARRY POTTER;by J.K. Rowling;207 weeks on the list
4,MOUNTING FEARS;by Stuart Woods;New this week,THE READER;by Bernhard Schlink;7 weeks on the list,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;10 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;103 weeks on the list,THE ULTRAMIND SOLUTION;by Mark Hyman;2 weeks on the list,SKINNY BITCH;by Kim Barnouin;80 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;19 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;11 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;62 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;21 weeks on the list
5,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;32 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;8 weeks on the list,,AMERICAN LION;by Jon Meacham;10 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;68 weeks on the list,THE SECRET;by Rhonda Byrne;106 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;394 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;13 weeks on the list,TWEAK;by Nic Sheff;2 weeks on the list,NAKED MOLE RAT GETS DRESSED;written and illustrated by Mo Willems;2 weeks on the list,INKHEART;by Cornelia Funke;17 weeks on the list
6,SCARPETTA;by Patricia Cornwell;7 weeks on the list,PEOPLE OF THE BOOK;by Geraldine Brooks;3 weeks on the list,,WHY WE SUCK;by Denis Leary;9 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;25 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;12 weeks on the list,HE’S JUST NOT THAT INTO YOU;by Greg Behr­endt and Liz Tuccillo;2 weeks on the list,HOW TO TALK TO GIRLS;by Alec Greven. Illustrated by Kei Acedera;7 weeks on the list,PRIVILEGE;by Kate Brian;2 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;14 weeks on the list,INHERITANCE;by Christopher Paolini;18 weeks on the list
7,CROSS COUNTRY;by James Patterson;9 weeks on the list,STILL ALICE;by Lisa Genova;2 weeks on the list,,THE AMERICAN JOURNEY OF BARACK OBAMA;by the editors of Life magazine;10 weeks on the list,THE MIDDLE PLACE;by Kelly Corrigan;4 weeks on the list,WHAT’S AGE GOT TO DO WITH IT?;by Robin McGraw;2 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;17 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;16 weeks on the list,SLAM;by Nick Hornby;15 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;13 weeks on the list,NIGHT WORLD;by L. J. Smith;7 weeks on the list
8,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;18 weeks on the list,FIREFLY LANE;by Kristin Hannah;2 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;17 weeks on the list,TIPPING POINT;by Malcolm Gladwell;224 weeks on the list,THE BEST LIFE DIET COOKBOOK;by Bob Greene;2 weeks on the list,THE BIGGEST LOSER FAMILY COOKBOOK;by Devin Alexander and The Biggest Loser Experts and Cast with Melissa Roberson;3 weeks on the list,IDENTICAL;by Ellen Hopkins;12 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;24 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;19 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;85 weeks on the list
9,FIRE AND ICE;by Julie Garwood;3 weeks on the list,CHANGE OF HEART;by Jodi Picoult;7 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;19 weeks on the list",90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;117 weeks on the list,THE GREAT DEPRESSION AHEAD;by Harry S. Dent Jr;New this week,A NEW EARTH;by Eckhart Tolle;49 weeks on the list,"BURNING UP;by Joe, Kevin and Nick Jonas;9 weeks on the list",YES WE CAN;by Garen Thomas;5 weeks on the list,BEE AND ME;by Elle J. McGuinness. Illustrated by Heather Brown;3 weeks on the list,PRINCESS DIARIES;by Meg Cabot;48 weeks on the list
10,THE HOUR I FIRST BELIEVED;by Wally Lamb;10 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;20 weeks on the list,,THE ASCENT OF MONEY;by Niall Ferguson;6 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;104 weeks on the list",THE 4 DAY DIET;by Ian K. Smith;New this week,THE TWILIGHT COMPANION;by Lois H. Gresh;3 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;89 weeks on the list,,CHANGE HAS COME;with words by Barack Obama. Illustrated by Kadir Nelson.;New this week,BLUE BLOODS;by Melissa de la Cruz;5 weeks on the list
