,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE OVERTON WINDOW;by Glenn Beck;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;52 weeks on the list,,_____ MY DAD SAYS;by Justin Halpern;7 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;176 weeks on the list",DELIVERING HAPPINESS;by Tony Hsieh;2 weeks on the list,THE BELLY FAT CURE;by Jorge Cruise;22 weeks on the list,TWILIGHT;by Mark Cotta Vaz;14 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;15 weeks on the list,"NARUTO, VOL. 48;by Masashi Kishimoto;3 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;7 weeks on the list",THE BOOK THIEF;by Markus Zusak;145 weeks on the list,STAR WARS;by Rufus Butler Seder;6 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;150 weeks on the list
2,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;4 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;13 weeks on the list,,MEDIUM RAW;by Anthony Bourdain;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;177 weeks on the list,WOMEN FOOD AND GOD;by Geneen Roth;14 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;465 weeks on the list,JUSTICE LEAGUE: CRY FOR JUSTICE;by James Robinson and Mauro Cascioli;2 weeks on the list,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;7 weeks on the list,"VAMPIRE KNIGHT, VOL. 10;by Matsuri Hino;3 weeks on the list",THEODORE BOONE: KID LAWYER;by John Grisham;4 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;73 weeks on the list,LADYBUG GIRL AT THE BEACH;by David Soman and Jacky Davis. Illustrated by David Soman;5 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;154 weeks on the list
3,THE LION;by Nelson DeMille;2 weeks on the list,LITTLE BEE;by Chris Cleave;18 weeks on the list,,THE BIG SHORT;by Michael Lewis;14 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;25 weeks on the list",HEROES FOR MY SON;by Brad Meltzer;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;151 weeks on the list,NEIL YOUNG'S GREENDALE;by Josh Dysart and Cliff Chiang;New this week,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;11 weeks on the list,"SOUL EATER, VOL. 3;by Atsushi Ohkubo;New this week",THE HUNGER GAMES;by Suzanne Collins;93 weeks on the list,"THE FORBIDDEN GAME (THE HUNTER, THE CHASE, THE KILL);by L. J. Smith;2 weeks on the list",LEGO STAR WARS;by Simon Beecroft;26 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;75 weeks on the list
4,THE PASSAGE;by Justin Cronin;2 weeks on the list,SWIMSUIT;by James Patterson and Maxine Paetro;New this week,,THE LAST STAND;by Nathaniel Philbrick;7 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;86 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;92 weeks on the list,GEEK DAD;by Ken Denmead;2 weeks on the list,KICK-ASS;by Mark Millar and John Romita Jr.;16 weeks on the list,SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;3 weeks on the list,"BLEACH, VOL. 31;by Tite Kubo;3 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;2 weeks on the list,BEEZUS AND RAMONA;by Beverly Cleary. Illustrated by Tracy Dockray;2 weeks on the list,"CITY DOG, COUNTRY FROG;by Mo Willems. Illustrated by Jon J Muth;2 weeks on the list",PRETTY LITTLE LIARS;by Sara Shepard;15 weeks on the list
5,WHIPLASH;by Catherine Coulter;New this week,BEST FRIENDS FOREVER;by Jennifer Weiner;7 weeks on the list,,SPOKEN FROM THE HEART;by Laura Bush;7 weeks on the list,BLINK;by Malcolm Gladwell;140 weeks on the list,SWITCH;by Chip Heath and Dan Heath;17 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;83 weeks on the list,WEDNESDAY COMICS;by Various;3 weeks on the list,"FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;2 weeks on the list","HELLSING, VOL. 10;by Kohta Hirano;3 weeks on the list",CATCHING FIRE;by Suzanne Collins;42 weeks on the list,SHIVER;by Maggie Stiefvater;3 weeks on the list,THE VERY FAIRY PRINCESS: HERE COMES THE FLOWER GIRL!;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;5 weeks on the list,THE 39 CLUES;by various authors;50 weeks on the list
6,THE HELP;by Kathryn Stockett;64 weeks on the list,SOUTH OF BROAD;by Pat Conroy;7 weeks on the list,,WAR;by Sebastian Junger;6 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;172 weeks on the list,MIKE AND MIKE'S RULES FOR SPORTS AND LIFE;by Mike Greenberg and Mike Golic with Andrew Chaikivsky;5 weeks on the list,"WHAT'S NEW, CUPCAKE?;by Karen Tack and Alan Richardson;10 weeks on the list",FLASH: REBIRTH;by Geoff Johns and Ethan Van Sciver;7 weeks on the list,SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;11 weeks on the list,"BLACK BUTLER, VOL. 2;by Yana Toboso;5 weeks on the list",INFINITY (CHRONICLES OF NICK);by Sherrilyn Kenyon;4 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;62 weeks on the list,OVER THE RAINBOW;illustrated by Eric Puybaret;3 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;94 weeks on the list
7,FRANKENSTEIN: LOST SOULS;by Dean Koontz;New this week,CUTTING FOR STONE;by Abraham Verghese;21 weeks on the list,,CHELSEA CHELSEA BANG BANG;by Chelsea Handler;15 weeks on the list,THE BLIND SIDE;by Michael Lewis;38 weeks on the list,EVERY OTHER MONDAY;by John Kasich with Daniel Paisner;New this week,SKINNY BITCH;by Kim Barnouin;140 weeks on the list,"BATMAN AND ROBIN, VOL. 1;by Grant Morrison, Frank Quitely and Philip Tan;10 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;33 weeks on the list","YU-GI-OH! R, VOL. 5;by Akira Ito;3 weeks on the list",THE CARRIE DIARIES;by Candace Bushnell;8 weeks on the list,PINKALICIOUS AND THE PINK DRINK;written and illustrated by Victoria Kann;4 weeks on the list,THE LION AND THE MOUSE;by Jerry Pinkney;33 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;45 weeks on the list
8,THE SPY;by Clive Cussler and Justin Scott;3 weeks on the list,SARAH’S KEY;by Tatiana de Rosnay;71 weeks on the list,,UNCHARTED TERRITORI;by Tori Spelling with Hilary Liftin;New this week,MENNONITE IN A LITTLE BLACK DRESS;by Rhoda Janzen;10 weeks on the list,THE SECRET;by Rhonda Byrne;162 weeks on the list,"FOOD RULES;by Michael Pollan, Illustrated by Maira Kalman;25 weeks on the list",BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;67 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;69 weeks on the list,"NEGIMA! MAGISTER NEGI MAGI, VOL. 26;by Ken Akamatsu;4 weeks on the list",PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE);by Mary-Jane Knight. Designed by Philip Chidlow;13 weeks on the list,IF I STAY;by Gayle Forman;11 weeks on the list,CAN I PLAY TOO?;written and illustrated by Mo Willems;2 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;27 weeks on the list
9,LOWCOUNTRY SUMMER;by Dorothea Benton Frank;New this week,A RELIABLE WIFE;by Robert Goolrick;24 weeks on the list,,THE PACIFIC;by Hugh Ambrose;15 weeks on the list,A LONG WAY GONE;by Ishmael Beah;31 weeks on the list,CLICK;by Ori Brafman and Rom Brafman;New this week,"COOK THIS, NOT THAT!;by David Zinczenko and Matt Goulding;22 weeks on the list",THE BOOK OF GENESIS: ILLUSTRATED;by R. Crumb;31 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;61 weeks on the list,"NARUTO, VOL. 47;by Masashi Kishimoto;18 weeks on the list",FALLEN;by Lauren Kate;28 weeks on the list,SAVVY;by Ingrid Law;12 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;36 weeks on the list,THE SECRETS OF THE IMMORTAL NICHOLAS FLAMEL;by Michael Scott;6 weeks on the list
10,SPIES OF THE BALKANS;by Alan Furst;New this week,THE MAGICIANS;by Lev Grossman;3 weeks on the list,,"CHANGE YOUR BRAIN, CHANGE YOUR BODY;by Daniel G. Amen;11 weeks on the list",TIPPING POINT;by Malcolm Gladwell;298 weeks on the list,LIFE IS WHAT YOU MAKE IT;by Peter Buffett;3 weeks on the list,AWKWARD FAMILY PHOTOS;by Mike Bender and Doug Chernack;5 weeks on the list,"JONAH HEX: NO WAY BACK;by Justin Gray, Jimmy Palmiotti and Tony DeZuniga;2 weeks on the list",PRIDE AND PREJUDICE AND ZOMBIES;by Jane Austen and Seth Grahame-Smith;6 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS, VOL. 3;by  Quinrose and Soumei Hoshino;3 weeks on the list",BIG NATE: IN A CLASS BY HIMSELF;written and illustrated by Lincoln Peirce;12 weeks on the list,SCAT;by Carl Hiaasen;8 weeks on the list,MARLEY AND THE KITTENS;by John Grogan. Illustrated by Richard Cowdrey;5 weeks on the list,WARRIORS;by Erin Hunter;89 weeks on the list
