,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,FIFTY SHADES OF GREY;by E. L. James;7 weeks on the list,CALICO JOE;by John Grisham;New this week,FIFTY SHADES OF GREY;by E. L. James;5 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,A NIGHT TO REMEMBER;by Walter Lord;New this week,DRIFT;by Rachel Maddow;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;74 weeks on the list,A NIGHT TO REMEMBER;by Walter Lord;New this week,THE PIONEER WOMAN COOKS;by Ree Drummond;5 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;9 weeks on the list",DRIFT;by Rachel Maddow;,FLEX MENTALLO: MAN OF MUSCLE MYSTERY;by Grant Morrison and Frank Quitely;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;40 weeks on the list","BLEACH, VOL. 39;by Tite Kubo;2 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;45 weeks on the list,THE LOST HERO;by Rick Riordan;2 weeks on the list,THE LORAX;by Dr. Seuss;9 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;86 weeks on the list,,,
2,FIFTY SHADES DARKER;by E. L. James;7 weeks on the list,GUILTY WIVES;by James Patterson and David Ellis;3 weeks on the list,THE LUCKY ONE;by Nicholas Sparks;20 weeks on the list,,,CALICO JOE;by John Grisham;,DRIFT;by Rachel Maddow;3 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;2 weeks on the list,BOSSYPANTS;by Tina Fey;15 weeks on the list,LIFEBOAT NO. 8;by Elizabeth Kaye;New this week,THE BLOOD SUGAR SOLUTION;by Mark Hyman;7 weeks on the list,THE HUNGER GAMES TRIBUTE GUIDE;by Emily Seife;10 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;,"COURTNEY CRUMRIN, VOL. 1;by Ted Naifeh;New this week","THE WALKING DEAD, VOL. 15;by Robert Kirkman and Charlie Adlard;16 weeks on the list","BLUE EXORCIST, VOL. 7;by Kazue Kato;New this week",THE FAULT IN OUR STARS;by John Green;14 weeks on the list,DIVERGENT;by Veronica Roth;7 weeks on the list,THE DUCKLING GETS A COOKIE!?;by Mo Willems;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;170 weeks on the list,,,
3,CALICO JOE;by John Grisham;New this week,THE LOST YEARS;by Mary Higgins Clark;2 weeks on the list,ZERO DAY;by David Baldacci;3 weeks on the list,,,THE LUCKY ONE;by Nicholas Sparks;,MRS. KENNEDY AND ME;by Clint Hill;2 weeks on the list,THE BIG MISS;by Hank Haney;3 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;58 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;2 weeks on the list,LET IT GO;by T. D. Jakes;4 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;557 weeks on the list,THE BIG MISS;by Hank Haney;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;53 weeks on the list",NINJAGO: MASK OF THE SENSEI;by Greg Farshtey and Paulo Herique;7 weeks on the list,"ROSARIO+VAMPIRE, SEASON II, VOL. 8;by Akihisa Ikeda;2 weeks on the list",CHOMP;by Carl Hiaasen;3 weeks on the list,THE BOOK THIEF;by Markus Zusak;240 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;28 weeks on the list",BIG NATE;written and illustrated by Lincoln Peirce;54 weeks on the list,,,
4,FIFTY SHADES FREED;by E. L. James;6 weeks on the list,COME HOME;by Lisa Scottoline;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;8 weeks on the list,,,CHASING FIRE;by Nora Roberts;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;64 weeks on the list,IMAGINE;by Jonah Lehrer;4 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;10 weeks on the list,DROP DEAD HEALTHY;by A. J. Jacobs;New this week,THE 17 DAY DIET;by Mike Moreno;51 weeks on the list,THE MAGIC;by Rhonda Byrne;6 weeks on the list,IMAGINE;by Jonah Lehrer;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;10 weeks on the list","THE WALKING DEAD, VOL. 3;by Robert Kirkman and Cliff Rathburn;8 weeks on the list","MAGIC KNIGHT RAYEARTH 2, OMNIBUS EDITION;by Clamp;New this week","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;2 weeks on the list",BETWEEN SHADES OF GRAY;by Ruta Sepetys;2 weeks on the list,PRESS HERE;by Hervé Tullet;43 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart;11 weeks on the list,,,
5,THE LUCKY ONE;by Nicholas Sparks;9 weeks on the list,THE SHOEMAKER’S WIFE;by Adriana Trigiani;2 weeks on the list,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;2 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,THE BIG MISS;by Hank Haney;3 weeks on the list,TRICKLE DOWN TYRANNY;by Michael Savage;2 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;13 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;64 weeks on the list,WEEKNIGHTS WITH GIADA;by Giada De Laurentiis;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;246 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"THE WALKING DEAD, RISE OF THE GOVERNOR;by Robert Kirkman and Jay Bonansinga;13 weeks on the list",NINJAGO: THE CHALLENGE OF SAMUKAI;by Greg Farshtey and Paulo Herique;6 weeks on the list,"BAKUMAN, VOL. 10;by Tsugumi Ohba;2 weeks on the list",THE CALLING;by Kelley Armstrong;New this week,WAR HORSE;by Michael Morpurgo;23 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;19 weeks on the list,WARRIORS;by Erin Hunter;110 weeks on the list,,,
6,GUILTY WIVES;by James Patterson and David Ellis;3 weeks on the list,SACRÉ BLEU;by Christopher Moore;2 weeks on the list,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;7 weeks on the list,,,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;,THE POWER OF HABIT;by Charles Duhigg;7 weeks on the list,A NATURAL WOMAN;by Carole King;New this week,MOONWALKING WITH EINSTEIN;by Joshua Foer;7 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;7 weeks on the list,HEROES FOR MY DAUGHTER;by Brad Meltzer;New this week,FORKS OVER KNIVES;edited by Gene Stone;30 weeks on the list,TRICKLE DOWN TYRANNY;by Michael Savage;,"THE WALKING DEAD, BOOK 6;by Robert Kirkman and Charlie Adlard;19 weeks on the list","THE WALKING DEAD, VOL. 4;by Robert Kirkman and Charlie Adlard;3 weeks on the list","TORADORA, VOL. 4;by Yuyuko Takemiya;New this week",SEEDS OF REBELLION;by Brandon Mull;5 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;44 weeks on the list,FANCY NANCY AND THE MERMAID BALLET;by Jane O'Connor. Illustrated by Robin Preiss Glasser;10 weeks on the list,KINGDOM KEEPERS;by Ridley Pearson;3 weeks on the list,,,
7,ON THE ISLAND;by Tracey Garvis-Graves;New this week,BETRAYAL;by Danielle Steel;3 weeks on the list,THE HELP;by Kathryn Stockett;54 weeks on the list,,,THE AFFAIR;by Lee Child;,IMAGINE;by Jonah Lehrer;4 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;7 weeks on the list,OUTLIERS;by Malcolm Gladwell;45 weeks on the list,STEVE JOBS;by Walter Isaacson;25 weeks on the list,REVERSE INNOVATION;by Vijay Govindarajan and Chris Trimble;New this week,"WHAT DO YOU WANT TO DO BEFORE YOU DIE?;Ben Nemtin, Dave Lingwood, Duncan Penn and Jonnie Penn;3 weeks on the list",A NATURAL WOMAN;by Carole King;,A GAME OF THRONES;by George R.R. Martin;3 weeks on the list,"THE WALKING DEAD, VOL. 9;by Robert Kirkman and Charlie Adlard;10 weeks on the list","20TH CENTURY BOYS, VOL. 20;by Naoki Urasawa;New this week",THE FAME GAME;by Lauren Conrad;2 weeks on the list,MATCHED;by Ally Condie;30 weeks on the list,A BALL FOR DAISY;by Chris Raschka;5 weeks on the list,SHADOW FALLS;by C. C. Hunter;New this week,,,
8,A GAME OF THRONES;by George R.R. Martin;27 weeks on the list,STAY CLOSE;by Harlan Coben;4 weeks on the list,THE FIDDLER;by Beverly Lewis;New this week,,,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;,DROP DEAD HEALTHY;by A. J. Jacobs;New this week,WILD;by Cheryl Strayed;4 weeks on the list,BORN TO RUN;by Christopher McDougall;55 weeks on the list,ESCAPE FROM CAMP 14;by Blaine Harden;3 weeks on the list,DO YOURSELF A FAVOR ... FORGIVE;by Joyce Meyer;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;58 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,"LEGENDS OF THE DARK KNIGHT: JIM APARO, VOL. 1;by Jim Aparo;New this week","THE WALKING DEAD, VOL. 10;by Robert Kirkman and Charlie Adlard;18 weeks on the list","NURA: RISE OF THE YOKAI CLAN, VOL. 8;by Hiroshi Shiibashi;New this week",THE SON OF NEPTUNE;by Rick Riordan;28 weeks on the list,A WORLD WITHOUT HEROES;by Brandon Mull;9 weeks on the list,THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;25 weeks on the list,GONE;by Michael Grant;4 weeks on the list,,,
9,COME HOME;by Lisa Scottoline;New this week,THE LIMPOPO ACADEMY OF PRIVATE DETECTION;by Alexander McCall Smith;2 weeks on the list,A GAME OF THRONES;by George R.R. Martin;31 weeks on the list,,,GUILTY WIVES;by James Patterson and David Ellis;,STEVE JOBS;by Walter Isaacson;25 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;15 weeks on the list,THE HUNGER PAINS;by The Harvard Lampoon;4 weeks on the list,DRIFT;by Rachel Maddow;3 weeks on the list,THE LEAN;by Kathy Freston;3 weeks on the list,EAT TO LIVE;by Joel Fuhrman;40 weeks on the list,WILD;by Cheryl Strayed;,"THE WALKING DEAD, BOOK 3;by Robert Kirkman and Charlie Adlard;10 weeks on the list","THE WALKING DEAD, VOL. 14;by Robert Kirkman and Charlie Adlard;10 weeks on the list","SAYONARA, ZETSUBOU-SENSEI, VOL. 14;by Koji Kumeta;New this week",THE INVENTION OF HUGO CABRET;by Brian Selznick;109 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;35 weeks on the list",GRANDPA GREEN;by Lane Smith;3 weeks on the list,THE MAZE RUNNER;by James Dashner;18 weeks on the list,,,
10,THE MARRIAGE BARGAIN;by Jennifer Probst;2 weeks on the list,A DANCE WITH DRAGONS;by George R. R. Martin;37 weeks on the list,THE TIGER'S WIFE;by Téa Obreht;24 weeks on the list,,,THE LOST YEARS;by Mary Higgins Clark;,LIFEBOAT NO. 8;by Elizabeth Kaye;New this week,STEVE JOBS;by Walter Isaacson;25 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;13 weeks on the list,THE BIG MISS;by Hank Haney;3 weeks on the list,WISHES FULFILLED;by Wayne W. Dyer;7 weeks on the list,THE HUNGER GAMES;by Kate Egan;10 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,"THE WALKING DEAD, BOOK 7;by Robert Kirkman and Charlie Adlard;14 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;114 weeks on the list","SKIP BEAT!, VOL. 27;by  Yoshiki Nakamura;2 weeks on the list",WONDER;by R.J. Palacio;4 weeks on the list,DELIRIUM;by Lauren Oliver;6 weeks on the list,ME ... JANE;by Patrick McDonnell;13 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;245 weeks on the list,,,
