,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,EVERY BREATH;by Nicholas Sparks;New this week,EVERY BREATH;by Nicholas Sparks;New this week,CRAZY RICH ASIANS;by Kevin Kwan;26 weeks on the list,KILLING THE SS;by Bill O'Reilly and Martin Dugard;2 weeks on the list,SHADE;by Pete Souza;New this week,SAPIENS;by Yuval Noah Harari;23 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;28 weeks on the list",MAX EINSTEIN: THE GENIUS EXPERIMENT;by James Patterson and Chris Grabenstein. Illustrated by Beverly Johnson;2 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;26 weeks on the list,DOG MAN;by Dav Pilkey;60 weeks on the list,THE HATE U GIVE;by Angie Thomas;86 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,SHIP OF FOOLS;by Tucker Carlson;,DARE TO LEAD;by Brené Brown;,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;,THE MAMBA MENTALITY;by Kobe Bryant;
2,UNSHELTERED;by Barbara Kingsolver;New this week,THE NEXT PERSON YOU MEET IN HEAVEN;by Mitch Albom;2 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;7 weeks on the list,SHIP OF FOOLS;by Tucker Carlson;3 weeks on the list,SHIP OF FOOLS;by Tucker Carlson;3 weeks on the list,BEAUTIFUL BOY;by David Sheff;6 weeks on the list,"GMORNING, GNIGHT!;by Lin-Manuel Miranda. Illustrated by Jonny Sun;New this week",WONDER;by R.J. Palacio;167 weeks on the list,ELBOW GREASE;by John Cena. Illustrated by Howard McWilliam;2 weeks on the list,DORK DIARIES;by Rachel Renée Russell;262 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;2 weeks on the list",THE RECKONING;by John Grisham;,EDUCATED;by Tara Westover;,LEADERSHIP;by Doris Kearns Goodwin;,SAPIENS;by Yuval Noah Harari;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
3,HOLY GHOST;by John Sandford;2 weeks on the list,UNSHELTERED;by Barbara Kingsolver;New this week,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;20 weeks on the list,SHADE;by Pete Souza;New this week,KILLING THE SS;by Bill O'Reilly and Martin Dugard;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;15 weeks on the list,DARE TO LEAD;by Brené Brown;2 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;47 weeks on the list,CONSTRUCTION SITE ON CHRISTMAS NIGHT;by Sherri Duskey Rinker. Illustrated by A. G. Ford;New this week,HARRY POTTER;by J.K. Rowling;500 weeks on the list,BRIDGE OF CLAY;by Markus Zusak;2 weeks on the list,EVERY BREATH;by Nicholas Sparks;,FEAR;by Bob Woodward;,ATOMIC HABITS;by James Clear;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,RACING TO THE FINISH;by Dale Earnhardt Jr. with Ryan McGee;
4,THE NEXT PERSON YOU MEET IN HEAVEN;by Mitch Albom;2 weeks on the list,A SPARK OF LIGHT;by Jodi Picoult;3 weeks on the list,LESS;by Andrew Sean Greer;22 weeks on the list,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;New this week,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;New this week,GRIT;by Angela Duckworth;9 weeks on the list,THE HAPPY COOKBOOK;by Steve Doocy and Kathy Doocy;3 weeks on the list,LOUISIANA'S WAY HOME;by Kate DiCamillo;3 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;155 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;14 weeks on the list,WHAT IF IT'S US;by Becky Albertalli and Adam Silvera;2 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,MASTERING THE MARKET CYCLE;by Howard Marks;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THE BIG FELLA;by Jane Leavy;
5,DESPERATE MEASURES;by Stuart Woods;New this week,AMBUSH;by James Patterson and James O. Born;2 weeks on the list,CHINA RICH GIRLFRIEND;by Kevin Kwan;13 weeks on the list,THIS WILL ONLY HURT A LITTLE;by Busy Philipps;New this week,FEAR;by Bob Woodward;6 weeks on the list,KITCHEN CONFIDENTIAL;by Anthony Bourdain;55 weeks on the list,ATOMIC HABITS;by James Clear;New this week,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;New this week,CAN I BE YOUR DOG?;by Troy Cummings;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;501 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;54 weeks on the list,THE WITCH ELM;by Tana French;,KILLING THE SS;by Bill O'Reilly and Martin Dugard;,THE LAWS OF HUMAN NATURE;by Robert Greene;,LEONARDO DA VINCI;by Walter Isaacson;,SHOE DOG;by Phil Knight;
6,A SPARK OF LIGHT;by Jodi Picoult;3 weeks on the list,HOLY GHOST;by John Sandford;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;132 weeks on the list,FEAR;by Bob Woodward;6 weeks on the list,THIS WILL ONLY HURT A LITTLE;by Busy Philipps;New this week,KILLERS OF THE FLOWER MOON;by David Grann;29 weeks on the list,OTTOLENGHI SIMPLE;by Yotam Ottolenghi with Tara Wigley and Esme Howarth;New this week,REFUGEE;by Alan Gratz;35 weeks on the list,THE SNOWY NAP;by Jan Brett;New this week,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;17 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;33 weeks on the list,DARK SACRED NIGHT;by Michael Connelly;,THE FIFTH RISK;by Michael Lewis;,THIRST;by Scott Harrison with Lisa Sweetingham;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
7,AMBUSH;by James Patterson and James O. Born;2 weeks on the list,THE WITCH ELM;by Tana French;2 weeks on the list,THE FALLEN;by David Baldacci;6 weeks on the list,THE FIFTH RISK;by Michael Lewis;3 weeks on the list,PRESIDENTS OF WAR;by Michael Beschloss;2 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;365 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;97 weeks on the list,THE MAGIC MISFITS: THE SECOND STORY;by Neil Patrick Harris and Alec Azam;4 weeks on the list,TOMORROW I'LL BE BRAVE;by Jessica Hische;New this week,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;100 weeks on the list,GLIMMER OF HOPE;by The Founders Of March for Our Lives;New this week,A SPARK OF LIGHT;by Jodi Picoult;,SAPIENS;by Yuval Noah Harari;,BAD BLOOD;by John Carreyrou;,ACCESSORY TO WAR;by Neil deGrasse Tyson and Avis Lang;,UNBROKEN;by Laura Hillenbrand;
8,WHERE THE CRAWDADS SING;by Delia Owens;6 weeks on the list,VINCE FLYNN: RED WAR;by Kyle Mills;4 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;55 weeks on the list,EDUCATED;by Tara Westover;35 weeks on the list,THE FIFTH RISK;by Michael Lewis;3 weeks on the list,CODE GIRLS;by Liza Mundy;3 weeks on the list,WHISKEY IN A TEACUP;by Reese Witherspoon;5 weeks on the list,MINECRAFT: THE CRASH;by Tracey Baptiste;13 weeks on the list,QUIET;by Tomie dePaola;2 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;141 weeks on the list,A VERY LARGE EXPANSE OF SEA;by Tahereh Mafi;New this week,HOLY GHOST;by John Sandford;,THE POWER OF HABIT;by Charles Duhigg;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE SAWBONES BOOK;by Sydnee McElroy and Justin McElroy;,BELICHICK;by Ian O'Connor;
9,THE WITCH ELM;by Tana French;2 weeks on the list,WINTER IN PARADISE;by Elin Hilderbrand;2 weeks on the list,RICH PEOPLE PROBLEMS;by Kevin Kwan;11 weeks on the list,PRESIDENTS OF WAR;by Michael Beschloss;2 weeks on the list,ALMOST EVERYTHING;by Anne Lamott;New this week,LEONARDO DA VINCI;by Walter Isaacson;3 weeks on the list,YOU ARE A BADASS;by Jen Sincero;145 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;70 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;243 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;10 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;13 weeks on the list,LETHAL WHITE;by Robert Galbraith;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,BEING MORTAL;by Atul Gawande;,THE LAST PASS;by Gary M. Pomerantz;
10,CRAZY RICH ASIANS;by Kevin Kwan;19 weeks on the list,WHEN WE WERE YOUNG;by Karen Kingsbury;New this week,THE HANDMAID'S TALE;by Margaret Atwood;86 weeks on the list,ALMOST EVERYTHING;by Anne Lamott;New this week,IN THE HURRICANE'S EYE;by Nathaniel Philbrick;New this week,FIRST MAN;by James R. Hansen;3 weeks on the list,THE NOMA GUIDE TO FERMENTATION;by René Redzepi and David Zilber;New this week,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;25 weeks on the list,CARMELA FULL OF WISHES;by Matt de la Peña. Illustrated by Christian Robinson;2 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;8 weeks on the list,LONG WAY DOWN;by Jason Reynolds;30 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;,BORN A CRIME;by Trevor Noah;,AI SUPERPOWERS;by Kai-Fu Lee;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,BIG GAME;by Mark Leibovich;
