,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,RECKLESS;by S. C. Stephens;New this week,FROST BURNED;by Patricia Briggs;New this week,FIFTY SHADES OF GREY;by E. L. James;52 weeks on the list,,,FROST BURNED;by Patricia Briggs;,PROOF OF HEAVEN;by Eben Alexander;20 weeks on the list,SUM IT UP;by Pat Head Summitt with Sally Jenkins;New this week,PROOF OF HEAVEN;by Eben Alexander;20 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;36 weeks on the list,LIFE CODE;by Phil McGraw;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;293 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,THE SLEEPER OMNIBUS;by Ed Brubaker and Sean Phillips;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;82 weeks on the list","ROSARIO+VAMPIRE SEASON II, VOL. 11;by Akihisa Ikeda;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,EMERALDALICIOUS;by Victoria Kann;6 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;133 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,OUTLIERS;by Malcolm Gladwell;,MY BELOVED WORLD;by Sonia Sotomayor;
2,WAIT FOR YOU;by J. Lynn;New this week,THE STRIKER;by Clive Cussler and Justin Scott;New this week,LIFE OF PI;by Yann Martel;23 weeks on the list,,,THE STRIKER;by Clive Cussler and Justin Scott;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;23 weeks on the list,SALT SUGAR FAT;by Michael Moss;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;6 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;20 weeks on the list,THE BLOOD SUGAR SOLUTION COOKBOOK;by Mark Hyman;New this week,THE UNTETHERED SOUL;by Michael A. Singer;17 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;3 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;22 weeks on the list","ONE PIECE, VOL. 66;by Eiichiro Oda;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;75 weeks on the list",BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;12 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,HITMAKER;by Tommy Mottola with Cal Fussman;,DRIVE;by Daniel H. Pink;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
3,FROST BURNED;by Patricia Briggs;New this week,THE STORYTELLER;by Jodi Picoult;2 weeks on the list,THE SILVER LININGS PLAYBOOK;by Matthew Quick;8 weeks on the list,,,THE STORYTELLER;by Jodi Picoult;,SUM IT UP;by Pat Head Summitt with Sally Jenkins;New this week,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;23 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;4 weeks on the list,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;4 weeks on the list,ACTIVATE YOUR GOODNESS;by Shari Arison;New this week,OBAMACARE SURVIVAL GUIDE;by Nick Tate;6 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;85 weeks on the list",DRAMA;by Raina Telgemeier;24 weeks on the list,"VAMPIRE KNIGHT, VOL. 16;by Matsuri Hino;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;20 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;217 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,TO SELL IS HUMAN;by Daniel H. Pink;,GROW REGARDLESS;by Joe Mechlinski;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
4,"ALEX CROSS, RUN;by James Patterson;3 weeks on the list","ALEX CROSS, RUN;by James Patterson;3 weeks on the list",FIFTY SHADES FREED;by E. L. James;49 weeks on the list,,,"ALEX CROSS, RUN;by James Patterson;",AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;4 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;8 weeks on the list,QUIET;by Susan Cain;6 weeks on the list,LOST IN SHANGRI-LA;by Mitchell Zuckoff;21 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;10 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;603 weeks on the list,SUM IT UP;by Pat Head Summitt with Sally Jenkins;,KICK-ASS 2 PRELUDE: HIT-GIRL;by Mark Millar and John Romita Jr.;New this week,"ADVENTURE TIME, VOL. 2;by Ryan North and Shelli Paroline;New this week","BAKUMAN, VOL. 18;by Tsugumi Ohba;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;82 weeks on the list,DELIRIUM;by Lauren Oliver;New this week,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,TIPPING POINT;by Malcolm Gladwell;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
5,MIRROR IMAGE;by Sandra Brown;2 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;4 weeks on the list,FIFTY SHADES DARKER;by E. L. James;49 weeks on the list,,,A WEEK IN WINTER;by Maeve Binchy;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;23 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;27 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;New this week,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;23 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;2 weeks on the list,EAT TO LIVE;by Joel Fuhrman;86 weeks on the list,QUIET;by Susan Cain;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;19 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;13 weeks on the list","POKEMON ADVENTURES, VOL. 15;by Hidenori Kusaka and Satoshi Yamamoto;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;5 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;74 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,BAILOUT;by Neil Barofsky;,FUTURE;by Al Gore;
6,THE STORYTELLER;by Jodi Picoult;2 weeks on the list,GONE GIRL;by Gillian Flynn;40 weeks on the list,11TH HOUR;by James Patterson and Maxine Paetro;2 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,SALT SUGAR FAT;by Michael Moss;2 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;121 weeks on the list,SUM IT UP;by Pat Head Summitt with Sally Jenkins;New this week,THE BLOOD SUGAR SOLUTION;by Mark Hyman;27 weeks on the list,FROM MAMA'S TABLE TO MINE;by Bobby Deen;5 weeks on the list,SALT SUGAR FAT;by Michael Moss;,UNCANNY X-FORCE: OTHERWORLD;by Rick Remender and others;3 weeks on the list,"THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;13 weeks on the list","DEMON LOVE SPELL, VOL. 2;by Mayu Shinjo;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;44 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;217 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,REBOOTING WORK;by Maynard Webb and Carlye Adler;,END THIS DEPRESSION NOW!;by Paul Krugman;,NO EASY DAY;by Mark Owen with Kevin Maurer;
7,SAFE HAVEN;by Nicholas Sparks;15 weeks on the list,DAMASCUS COUNTDOWN;by Joel C. Rosenberg;New this week,SAFE HAVEN;by Nicholas Sparks;25 weeks on the list,,,GONE GIRL;by Gillian Flynn;,QUIET;by Susan Cain;16 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;27 weeks on the list,BOSSYPANTS;by Tina Fey;62 weeks on the list,THE REAGAN DIARIES;by Ronald Reagan;2 weeks on the list,WHEAT BELLY;by William Davis;46 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;18 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,ARE YOU MY MOTHER?;by Alison Bechdel;38 weeks on the list,"CATWOMAN, VOL. 2;by Judd Winick and Adriana Melo;New this week","PANDORA HEARTS, VOL. 14;by Jun Mochizuki;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;48 weeks on the list,WARRIORS;by Erin Hunter;115 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DETROIT;by Charlie LeDuff;,BOOMERANG;by Michael Lewis;,COOLIDGE;by Amity Shlaes;
8,THE STRIKER;by Clive Cussler and Justin Scott;New this week,THE CHANCE;by Karen Kingsbury;New this week,THE PARIS WIFE;by Paula McLain;15 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,MY BELOVED WORLD;by Sonia Sotomayor;8 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;76 weeks on the list,DRIFT;by Rachel Maddow;New this week,THE BEDWETTER;by Sarah Silverman;2 weeks on the list,EARN THE RIGHT TO WIN;by Tom Coughlin with David Fisher;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;103 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;,"FABLES - THE DELUXE EDITION BOOK SIX;by Bill Willingham, Mark Buckingham and others;2 weeks on the list","BATMAN, THE BLACK MIRROR;by Scott Snyder;New this week","YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;8 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,MY BROTHER'S BOOK;by Maurice Sendak;5 weeks on the list,THE 39 CLUES;by various authors;107 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,UNBROKEN;by Laura Hillenbrand;
9,GONE GIRL;by Gillian Flynn;40 weeks on the list,CALCULATED IN DEATH;by J. D. Robb;2 weeks on the list,WORLD WAR Z;by Max Brooks;37 weeks on the list,,,DAMASCUS COUNTDOWN;by Joel C. Rosenberg;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;75 weeks on the list,COOLIDGE;by Amity Shlaes;4 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;33 weeks on the list,UNBROKEN;by Laura Hillenbrand;111 weeks on the list,TOUGHNESS;by Jay Bilas;New this week,PRACTICAL PALEO;by Diane Sanfilippo;13 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,IRON MAN OMNIBUS;by David Michelinie and others;2 weeks on the list,"AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;16 weeks on the list","TRIAGE X, VOL. 2;by Shouji Sato;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,A LITTLE BOOK OF SLOTH;by Lucy Cooke;New this week,HEROES OF OLYMPUS;by Rick Riordan;23 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE CHECKLIST MANIFESTO;by Atul Gawande;,THOMAS JEFFERSON;by Jon Meacham;
10,A WEEK IN WINTER;by Maeve Binchy;4 weeks on the list,THE LAST THRESHOLD;by R. A. Salvatore;New this week,THE LANGUAGE OF FLOWERS;by Vanessa Diffenbaugh;40 weeks on the list,,,THE INNOCENT;by David Baldacci;,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;4 weeks on the list,UNBROKEN;by Laura Hillenbrand;121 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;105 weeks on the list,SALT SUGAR FAT;by Michael Moss;2 weeks on the list,THE VIRGIN DIET;by J. J. Virgin;8 weeks on the list,BEATING OBAMACARE;by Betsy McCaughey;4 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,BUILDING STORIES;by Chris Ware;23 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;145 weeks on the list","NARUTO, VOL. 60;by Masashi Kishimoto;5 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,SOFIA THE FIRST;by Cathy Hapka. Illustrated by Grace Lee.;New this week,BLOODLINES;by Richelle Mead;4 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,PREDICTABLY IRRATIONAL;by Dan Ariely;,A HIGHER CALL;by Adam Makos with Larry Alexander;
