,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,THE GREAT ALONE;by Kristin Hannah;2 weeks on the list,THE GREAT ALONE;by Kristin Hannah;2 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;20 weeks on the list,FIRE AND FURY;by Michael Wolff;7 weeks on the list,FIRE AND FURY;by Michael Wolff;7 weeks on the list,HORSE SOLDIERS;by Doug Stanton;10 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;62 weeks on the list,WONDER;by R.J. Palacio;132 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;18 weeks on the list,DOG MAN;by Dav Pilkey;25 weeks on the list,THE HATE U GIVE;by Angie Thomas;51 weeks on the list,READY PLAYER ONE;by Ernest Cline;,FIRE AND FURY;by Michael Wolff;,CRUSHING IT!;by Gary Vaynerchuk;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
2,UNRAVELED;by Helen Hardt;New this week,AN AMERICAN MARRIAGE;by Tayari Jones;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;97 weeks on the list,ENLIGHTENMENT NOW;by Steven Pinker;New this week,ENLIGHTENMENT NOW;by Steven Pinker;New this week,BEING MORTAL;by Atul Gawande;24 weeks on the list,YOU ARE A BADASS;by Jen Sincero;110 weeks on the list,LITTLE LEADERS;by Vashti Harrison;10 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;7 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;466 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;19 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,PRINCIPLES;by Ray Dalio;,ENLIGHTENMENT NOW;by Steven Pinker;,TB12 METHOD;by Tom Brady;
3,NIGHT MOVES;by Jonathan Kellerman;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;7 weeks on the list,READY PLAYER ONE;by Ernest Cline;46 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;41 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;42 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;353 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;230 weeks on the list,AUGGIE & ME;by R.J. Palacio;64 weeks on the list,LOVE;by Matt de la Peña. Illustrated by Loren Long;6 weeks on the list,HARRY POTTER;by J.K. Rowling;465 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;34 weeks on the list,THE GREAT ALONE;by Kristin Hannah;,THE LAST BLACK UNICORN;by Tiffany Haddish;,WHEN;by Daniel H. Pink;,LEONARDO DA VINCI;by Walter Isaacson;,ENDURE;by Alex Hutchinson;
4,AN AMERICAN MARRIAGE;by Tayari Jones;2 weeks on the list,STILL ME;by Jojo Moyes;3 weeks on the list,LINCOLN IN THE BARDO;by George Saunders;2 weeks on the list,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;4 weeks on the list,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;4 weeks on the list,EVICTED;by Matthew Desmond;23 weeks on the list,CRUSHING IT!;by Gary Vaynerchuk;3 weeks on the list,"HELLO, UNIVERSE;by Erin Entrada Kelly;New this week",DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;208 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;106 weeks on the list,LONG WAY DOWN;by Jason Reynolds;8 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;,THE POWER OF HABIT;by Charles Duhigg;,RISE AND GRIND;by Daymond John with Daniel Paisner;,WHEN;by Daniel H. Pink;,SHAKEN;by Tim Tebow;
5,THE WOMAN IN THE WINDOW;by A.J. Finn;7 weeks on the list,LOOK FOR ME;by Lisa Gardner;2 weeks on the list,WE WERE THE LUCKY ONES;by Georgia Hunter;7 weeks on the list,EVERYTHING HAPPENS FOR A REASON;by Kate Bowler;2 weeks on the list,"PROMISE ME, DAD;by Joe Biden;11 weeks on the list",JUST MERCY;by Bryan Stevenson;91 weeks on the list,PRINCIPLES;by Ray Dalio;20 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;20 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;6 weeks on the list,DORK DIARIES;by Rachel Renée Russell;239 weeks on the list,THUNDERHEAD;by Neal Shusterman;6 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;,BORN A CRIME;by Trevor Noah;,CAPITAL GAINES;by Chip Gaines;,LOST CONNECTIONS;by Johann Hari;,THE BOYS IN THE BOAT;by Daniel James Brown;
6,STILL ME;by Jojo Moyes;3 weeks on the list,NIGHT MOVES;by Jonathan Kellerman;New this week,THE UNDERGROUND RAILROAD;by Colson Whitehead;3 weeks on the list,ALL THE PIECES MATTER;by Jonathan Abrams;New this week,ALL THE PIECES MATTER;by Jonathan Abrams;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;159 weeks on the list",THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;110 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;34 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly. Illustrated by Laura Freeman;3 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;39 weeks on the list,BATMAN: NIGHTWALKER;by Marie Lu;7 weeks on the list,ZERO HOUR;by Craig Alanson;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE CULTURE CODE;by Daniel Coyle;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
7,READY PLAYER ONE;by Ernest Cline;13 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;22 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;52 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;36 weeks on the list,EVERYTHING HAPPENS FOR A REASON;by Kate Bowler;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;412 weeks on the list,THE WHOLE30 FAST & EASY;by Melissa Hartwig;8 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;29 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;37 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;464 weeks on the list,THE HAZEL WOOD;by Melissa Albert;3 weeks on the list,ARTEMIS;by Andy Weir;,ENLIGHTENMENT NOW;by Steven Pinker;,TRIBE OF MENTORS;by Timothy Ferriss;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
8,THE KREMLIN'S CANDIDATE;by Jason Matthews;New this week,ORIGIN;by Dan Brown;20 weeks on the list,BEARTOWN;by Fredrik Backman;2 weeks on the list,HORSE SOLDIERS;by Doug Stanton;8 weeks on the list,OBAMA;by Pete Souza;10 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;104 weeks on the list,MAKE YOUR BED;by William H. McRaven;40 weeks on the list,JACKY HA-HA: MY LIFE IS A JOKE;by James Patterson and Chris Grabenstein;6 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;121 weeks on the list,WHAT WAS . . . ?;by various authors;7 weeks on the list,TEMPESTS AND SLAUGHTER;by Tamora Pierce;2 weeks on the list,THE DISPATCHER;by John Scalzi;,SAPIENS;by Yuval Noah Harari;,THE POWER OF HABIT;by Charles Duhigg;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,FIERCE;by Aly Raisman;
9,LITTLE FIRES EVERYWHERE;by Celeste Ng;17 weeks on the list,DARK IN DEATH;by J.D. Robb;3 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;50 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;18 weeks on the list,DIRECTORATE S;by Steve Coll;2 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;166 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;120 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;40 weeks on the list,WHAT DO YOU DO WITH A CHANCE?;by Kobi Yamada. Illustrated by Mae Besom;2 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;28 weeks on the list,THE CRUEL PRINCE;by Holly Black;7 weeks on the list,DARK IN DEATH;by J.D. Robb;,LEONARDO DA VINCI;by Walter Isaacson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;
10,LOOK FOR ME;by Lisa Gardner;2 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;22 weeks on the list,CALL ME BY YOUR NAME;by André Aciman;7 weeks on the list,LOST CONNECTIONS;by Johann Hari;2 weeks on the list,THE LAST BLACK UNICORN;by Tiffany Haddish;10 weeks on the list,ON TYRANNY;by Timothy Snyder;46 weeks on the list,BRAVING THE WILDERNESS;by Brené Brown;13 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;58 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;228 weeks on the list,THE BAD GUYS;by Aaron Blabey;7 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;68 weeks on the list,ORIGIN;by Dan Brown;,THEFT BY FINDING;by David Sedaris;,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING KAREEM;by Kareem Abdul-Jabbar and Raymond Obstfeld;
