,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,THREAT VECTOR;by Tom Clancy with Mark Greaney;New this week,THREAT VECTOR;by Tom Clancy with Mark Greaney;New this week,FIFTY SHADES OF GREY;by E. L. James;39 weeks on the list,,,THREAT VECTOR;by Tom Clancy with Mark Greaney;,PROOF OF HEAVEN;by Eben Alexander;7 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;10 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;7 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;7 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;6 weeks on the list,EAT TO LIVE;by Joel Fuhrman;73 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,"TOTALLY MAD: 60 YEARS OF HUMOR, SATIRE, STUPIDITY AND STUPIDITY;by various;6 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;69 weeks on the list","YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;62 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;204 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,MASTERY;by Robert Greene;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,GONE GIRL;by Gillian Flynn;27 weeks on the list,GONE GIRL;by Gillian Flynn;27 weeks on the list,LIFE OF PI;by Yann Martel;10 weeks on the list,,,GONE GIRL;by Gillian Flynn;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;10 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;63 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;44 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;10 weeks on the list,GUINNESS WORLD RECORDS 2013;;13 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;9 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,BUILDING STORIES;by Chris Ware;10 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;9 weeks on the list","BLEACH, VOL. 52;by Tite Kubo;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;41 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;120 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,CUSTOM NATION;by Anthony Flynn and Emily Flynn Vencat;,THOMAS JEFFERSON;by Jon Meacham;
3,THE FORGOTTEN;by David Baldacci;3 weeks on the list,THE RACKETEER;by John Grisham;7 weeks on the list,FIFTY SHADES DARKER;by E. L. James;36 weeks on the list,,,THE RACKETEER;by John Grisham;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;62 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;108 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;63 weeks on the list,"HELP, THANKS, WOW;by Anne Lamott;4 weeks on the list",TO HEAVEN AND BACK;by Mary C. Neal;28 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;72 weeks on the list","THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;2 weeks on the list","BLEACH, VOL. 53;by Tite Kubo;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;11 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;10 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BOOMERANG;by Michael Lewis;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,THE RACKETEER;by John Grisham;7 weeks on the list,NOTORIOUS NINETEEN;by Janet Evanovich;3 weeks on the list,FIFTY SHADES FREED;by E. L. James;36 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,THOMAS JEFFERSON;by Jon Meacham;4 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;14 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;32 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;4 weeks on the list,THE SMITTEN KITCHEN COOKBOOK;by Deb Perelman;6 weeks on the list,"THE CHEW;by the staff of ""The Chew"";11 weeks on the list",THOMAS JEFFERSON;by Jon Meacham;,"THE WALKING DEAD, BOOK 3;by Robert Kirkman and Charlie Adlard;13 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;136 weeks on the list","NARUTO, VOL. 59;by Masashi Kishimoto;5 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,LLAMA LLAMA TIME TO SHARE;by Anna Dewdney;14 weeks on the list,MATCHED TRILOGY;by Ally Condie;4 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,STEVE JOBS;by Walter Isaacson;,TIPPING POINT;by Malcolm Gladwell;,NO EASY DAY;by Mark Owen with Kevin Maurer;
5,PRIVATE LONDON;by James Patterson and Mark Pearson;New this week,THE FORGOTTEN;by David Baldacci;3 weeks on the list,PRIVATE LONDON;by James Patterson and Mark Pearson;New this week,,,NOTORIOUS NINETEEN;by Janet Evanovich;,NO EASY DAY;by Mark Owen with Kevin Maurer;14 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;10 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;64 weeks on the list,DAMAGED;by Cathy Glass;4 weeks on the list,WHEAT BELLY;by William Davis;33 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;280 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;91 weeks on the list,THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;4 weeks on the list,"BAKUMAN, VOL. 17;by Tsugumi Ohba;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;69 weeks on the list,DORK DIARIES;by Rachel Renée Russell;62 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,WHY I LEFT GOLDMAN SACHS;by Greg Smith;,DRIVE;by Daniel H. Pink;,LAST LION;by William Manchester and Paul Reid;
6,THE BLACK BOX;by Michael Connelly;2 weeks on the list,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;4 weeks on the list",THE PERFECT HOPE;by Nora Roberts;5 weeks on the list,,,THE FORGOTTEN;by David Baldacci;,TEAM OF RIVALS;by Doris Kearns Goodwin;5 weeks on the list,BRUCE;by Peter Ames Carlin;6 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;92 weeks on the list,HEADS IN BEDS;by Jacob Tomsky;2 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;6 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;591 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,"THE WALKING DEAD, BOOK 8;by Robert Kirkman and Charlie Adlard;9 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;30 weeks on the list","BLACK BIRD, VOL. 15;by Kanoko Sakurakouji;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;31 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;272 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE CHECKLIST MANIFESTO;by Atul Gawande;,AMERICA AGAIN;by Stephen Colbert and others;
7,NOTORIOUS NINETEEN;by Janet Evanovich;3 weeks on the list,THE BLACK BOX;by Michael Connelly;2 weeks on the list,THE PARIS WIFE;by Paula McLain;2 weeks on the list,,,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;",AMERICA AGAIN;by Stephen Colbert and others;5 weeks on the list,ROLL ME UP AND SMOKE ME WHEN I DIE;by Willie Nelson;4 weeks on the list,"FATAL FRIENDS, DEADLY NEIGHBORS;by Ann Rule;2 weeks on the list",NO EASY DAY;by Mark Owen with Kevin Maurer;14 weeks on the list,FIFTY SHADES OF CHICKEN;by F.L. Fowler;4 weeks on the list,HUNGRY GIRL TO THE MAX!;by Lisa Lillien;8 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;,FABLES: WEREWOLVES OF THE HEARTLAND;by Bill Willingham and others;3 weeks on the list,NINJAGO: THE CHALLENGE OF SAMUKAI;by Greg Farshtey and Paulo Herique;11 weeks on the list,"NEON GENESIS EVANGELION, VOL. 13;by Yoshiyuki Sadamoto;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;41 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;211 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,UNBROKEN;by Laura Hillenbrand;
8,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;4 weeks on the list",AGENDA 21;by Glenn Beck with Harriet Parke;3 weeks on the list,CLOUD ATLAS;by David Mitchell;19 weeks on the list,,,THE BLACK BOX;by Michael Connelly;,THE SIGNAL AND THE NOISE;by Nate Silver;9 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;10 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;12 weeks on the list,ESCAPE FROM CAMP 14;by Blaine Harden;8 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;25 weeks on the list,THE UNTETHERED SOUL;by Michael A. Singer;16 weeks on the list,BRUCE;by Peter Ames Carlin;,"SCOTT PILGRIM, VOL. 1;by Bryan Lee O'Malley;6 weeks on the list",DRAMA;by Raina Telgemeier;13 weeks on the list,"SAKURA HIME: THE LEGEND OF PRINCESS SAKURA, VOL. 9;by Arina Tanemura;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,OLIVIA AND THE FAIRY PRINCESSES;by Ian Falconer;10 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;70 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,MONEYBALL;by Michael Lewis;,GENERALS;by Thomas E. Ricks;
9,THE EDGE OF NEVER;by  J.A. Redmerski;2 weeks on the list,WINTER OF THE WORLD;by Ken Follett;12 weeks on the list,REFLECTED IN YOU;by Sylvia Day;7 weeks on the list,,,LIFE OF PI;by Yann Martel;,UNBROKEN;by Laura Hillenbrand;98 weeks on the list,WAGING HEAVY PEACE;by Neil Young;10 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;43 weeks on the list,OUTLAW PLATOON;by Sean Parnell with John R. Bruning;6 weeks on the list,THE VIRGIN DIET;by J. J. Virgin;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;91 weeks on the list,ROLL ME UP AND SMOKE ME WHEN I DIE;by Willie Nelson;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;10 weeks on the list,SMILE;by Raina Telgemeier;43 weeks on the list,"VAMPIRE KNIGHT, VOL. 15;by Matsuri Hino;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;7 weeks on the list,THE 39 CLUES;by various authors;106 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;",SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,JOY OF HATE;by Greg Gutfeld;
10,FIFTY SHADES OF GREY;by E. L. James;41 weeks on the list,THE LAST MAN;by Vince Flynn;4 weeks on the list,THE HARBINGER;by Jonathan Cahn;49 weeks on the list,,,AGENDA 21;by Glenn Beck with Harriet Parke;,BRUCE;by Peter Ames Carlin;3 weeks on the list,UNBROKEN;by Laura Hillenbrand;108 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;21 weeks on the list,OH MYYY! (THERE GOES THE INTERNET);by George Takei;New this week,THE SCIENCE OF GOOD COOKING;by the editors of America's Test Kitchen and Guy Crosby;6 weeks on the list,F IN EXAMS;by Richard Benson;9 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;,ARE YOU MY MOTHER?;by Alison Bechdel;27 weeks on the list,MARBLES;by Ellen Forney;3 weeks on the list,"SAILOR MOON, VOL. 8;by Naoko Takeuchi;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LLAMA LLAMA HOLIDAY DRAMA;by Anna Dewdney;22 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;66 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE OUTPOST;by Jake Tapper;
