,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,THE TARGET;by David Baldacci;2 weeks on the list,THE TARGET;by David Baldacci;2 weeks on the list,GONE GIRL;by Gillian Flynn;2 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;114 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;181 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;136 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;32 weeks on the list,"THE UNCANNY X-MEN OMNIBUS, VOL. 2;by Chris Claremont, John Byrne and others;New this week","SEX CRIMINALS, VOL. 1;by Matt Fraction and Chip Zdarsky;New this week","ATTACK ON TITAN, VOL. 12;by Hajime Isayama;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;45 weeks on the list,DIVERGENT;by Veronica Roth;28 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,FLASH BOYS;by Michael Lewis;,THE DOCTOR'S DIET;by Travis Stork;,TWELVE YEARS A SLAVE;by Solomon Northup;,QUIET;by Susan Cain;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
2,NATCHEZ BURNING;by Greg Iles;New this week,NATCHEZ BURNING;by Greg Iles;New this week,ORPHAN TRAIN;by Christina Baker Kline;37 weeks on the list,,,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;2 weeks on the list,A FIGHTING CHANCE;by Elizabeth Warren;2 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;4 weeks on the list,LOOK ME IN THE EYE;by John Elder Robison;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;56 weeks on the list,OVER EASY;by Mimi Pond;2 weeks on the list,"SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;6 weeks on the list","NARUTO, VOL. 65;by Masashi Kishimoto;5 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE PIGEON NEEDS A BATH!;by Mo Willems;5 weeks on the list,THE MAZE RUNNER;by James Dashner;82 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THRIVE;by Arianna Huffington;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",A NICE LITTLE PLACE ON THE NORTH SIDE;by George Will;
3,THE GOLDFINCH;by Donna Tartt;28 weeks on the list,THE GOLDFINCH;by Donna Tartt;28 weeks on the list,THE ALCHEMIST;by Paulo Coelho;302 weeks on the list,,,FLASH BOYS;by Michael Lewis;5 weeks on the list,FLASH BOYS;by Michael Lewis;5 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;80 weeks on the list,UPSTAIRS AT THE WHITE HOUSE;by J. B. West with Mary Lynn Kotz;5 weeks on the list,OPTIMAL LIVING 360;by Sanjay Jain;2 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;120 weeks on the list,"SUPERIOR SPIDER-MAN, VOL. 5;by Dan Slott,  Humberto Ramos and others;New this week",WOLF CHILDREN: AME AND YUKI;by Mamoru Hosoda and Yu;5 weeks on the list,BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;135 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;138 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,SMART MONEY SMART KIDS;by Dave Ramsey and Rachel Cruze;,THE HUNGRY GIRL DIET;by Lisa Lillien;,THE DIVIDE;by Matt Taibbi;,DAVID AND GOLIATH;by Malcolm Gladwell;,WHY SOCCER MATTERS;by  Pele with Brian Winter;
4,GONE GIRL;by Gillian Flynn;75 weeks on the list,THE COLLECTOR;by Nora Roberts;3 weeks on the list,SHADOW SPELL;by Nora Roberts;6 weeks on the list,,,A FIGHTING CHANCE;by Elizabeth Warren;2 weeks on the list,EVERYBODY'S GOT SOMETHING;by Robin Roberts with Veronica Chambers;2 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;17 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;3 weeks on the list,SMART MONEY SMART KIDS;by Dave Ramsey and Rachel Cruze;2 weeks on the list,A GAME OF THRONES;by George R.R. Martin;22 weeks on the list,"THE WALKING DEAD, VOL. 20;by Robert Kirkman and Charlie Adlard;8 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;47 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,LOCOMOTIVE;by Brian Floca;14 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;193 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,THE POWER OF HABIT;by Charles Duhigg;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
5,THE COLLECTOR;by Nora Roberts;3 weeks on the list,CHESTNUT STREET;by Maeve Binchy;2 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;New this week,,,EVERYBODY'S GOT SOMETHING;by Robin Roberts with Veronica Chambers;2 weeks on the list,LET'S JUST SAY IT WASN'T PRETTY;by Diane Keaton;New this week,OUTLIERS;by Malcolm Gladwell;152 weeks on the list,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;7 weeks on the list,"CONGRATULATIONS, BY THE WAY;by George Saunders;2 weeks on the list","JUSTICE LEAGUE, VOL. 4;by Geoff Johns and Ivan Reis;4 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;61 weeks on the list","FAIRY TAIL, VOL. 37;by Hiro Mashima;3 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,HOW TO BABYSIT A GRANDMA;by Jean Reagan. Illustrated by Lee Wildish;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;276 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,SKINNY MEALS;by Bob Harper;,CALL TO ACTION;by Jimmy Carter;,THE FUTURE OF THE MIND;by Michio Kaku;,BEYOND TRAINING;by Ben Greenfield;
6,WHEN WE MET;by Susan Mallery;New this week,THE INVENTION OF WINGS;by Sue Monk Kidd;17 weeks on the list,WHISKEY BEACH;by Nora Roberts;5 weeks on the list,,,LOOK ME IN THE EYE;by John Elder Robison;New this week,THRIVE;by Arianna Huffington;6 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;107 weeks on the list,FLASH BOYS;by Michael Lewis;5 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;9 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;21 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;130 weeks on the list","ATTACK ON TITAN, VOL. 10;by Hajime Isayama;9 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;139 weeks on the list,SWEET;by Wendy Higgins;New this week,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",HOW CAN IT BE GLUTEN FREE COOKBOOK;by The Editors at America's Test Kitchen;,DON'T HURT PEOPLE AND DON'T TAKE THEIR STUFF;by Matt Kibbe;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;,THAT'S WHY I'M HERE;by Chris Spielman with Bruce Hooley;
7,ALPHA;by Jasinda Wilder;New this week,I'VE GOT YOU UNDER MY SKIN;by Mary Higgins Clark;5 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;9 weeks on the list,,,LET'S JUST SAY IT WASN'T PRETTY;by Diane Keaton;New this week,JOHN WAYNE;by Scott Eyman;3 weeks on the list,QUIET;by Susan Cain;66 weeks on the list,EVERYBODY'S GOT SOMETHING;by Robin Roberts with Veronica Chambers;2 weeks on the list,ANGEL INVESTING;by David S. Rose;New this week,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;23 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;65 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;27 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,JOURNEY;by Aaron Becker;25 weeks on the list,GIVER QUARTET;by Lois Lowry;37 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,"CREATIVITY, INC;by Ed Catmull with Amy Wallace;",WHEAT BELLY;by William Davis;,A FIGHTING CHANCE;by Elizabeth Warren;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,WHERE NOBODY KNOWS YOUR NAME;by John Feinstein;
8,LIVE TO SEE TOMORROW;by Iris Johansen;New this week,THE SERPENT OF VENICE;by Christopher Moore;2 weeks on the list,KING AND MAXWELL;by David Baldacci;6 weeks on the list,,,UPSTAIRS AT THE WHITE HOUSE;by J. B. West with Mary Lynn Kotz;5 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;58 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;35 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;30 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;52 weeks on the list,THE LOVE BUNGLERS;by Jaime Hernandez;New this week,SMILE;by Raina Telgemeier;101 weeks on the list,"DEVILS AND REALIST, VOL. 1;by Madoka Takadono and Utako Yukihiro;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,A BUCKET OF BLESSINGS;by Kabir Sehgal and Surishtha Sehgal. Illustrated by Jing Jing Tsong;New this week,HARRY POTTER;by J.K. Rowling;305 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,CONFIDENCE CODE;by Katty Kay and Claire Shipman;,THE END OF DIETING;by Joel Fuhrman;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,GULP;by Mary Roach;,WHEN PRIDE STILL MATTERED;by David Maraniss;
9,NASH;by Jay Crownover;New this week,KEEP QUIET;by Lisa Scottoline;4 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;112 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;151 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;31 weeks on the list,WILD;by Cheryl Strayed;58 weeks on the list,UNBROKEN;by Laura Hillenbrand;170 weeks on the list,THE BODY BOOK;by Cameron Diaz with Sandra Bark;17 weeks on the list,"A GAME OF THRONES, VOL. 3;by Daniel Abraham and Tommy Patterson;6 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;28 weeks on the list",SWORD ART ONLINE: AINCRAD;by Reki Kawahara and Tamako Nakamura;5 weeks on the list,GROUND ZERO;by Alan Gratz;10 weeks on the list,FANCY NANCY AND THE WEDDING OF THE CENTURY;by Jane O'Connor. Illustrated by Robin Preiss Glasser;4 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;70 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;,THE SIXTH EXTINCTION;by Elizabeth Kolbert;,FRANCONA;by Terry Francona and Dan Shaughnessy;
10,ORPHAN TRAIN;by Christina Baker Kline;15 weeks on the list,NYPD RED 2;by James Patterson and Marshall Karp;6 weeks on the list,A GAME OF THRONES;by George R.R. Martin;59 weeks on the list,,,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;7 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;32 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;57 weeks on the list",LET'S JUST SAY IT WASN'T PRETTY;by Diane Keaton;New this week,THE GIFTS OF IMPERFECTION;by Brené Brown;32 weeks on the list,JUSTICE LEAGUE: TRINITY WAR;by Geoff Johns and others;5 weeks on the list,THE HARLEM HELLFIGHTERS;by Max Brooks and Caanan White;5 weeks on the list,"ATTACK ON TITAN, VOL. 4;by Hajime Isayama;5 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;25 weeks on the list,WHATEVER AFTER;by Sarah Mlynowski;New this week,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,PRACTICAL PALEO;by Diane Sanfilippo;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,FORGOTTEN SUNDAYS;by Gerry Sandusky;
