,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,FIFTY SHADES OF GREY;by E. L. James;16 weeks on the list,CALICO JOE;by John Grisham;10 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;14 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,AMATEUR;by Edward Klein;5 weeks on the list,AMATEUR;by Edward Klein;5 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;7 weeks on the list,WILD;by Cheryl Strayed;13 weeks on the list,DARTH VADER AND SON;by Jeffrey Brown;2 weeks on the list,EAT TO LIVE;by Joel Fuhrman;49 weeks on the list,AMATEUR;by Edward Klein;,"DETECTIVE COMICS, VOL. 1;by Tony S. Daniel;New this week","AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;3 weeks on the list","NEON GENESIS EVANGELION, VOL. 11;by Osamu Takahashi;New this week",THE GOLDEN LILY;by Richelle Mead;New this week,DIVERGENT;by Veronica Roth;16 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;37 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;95 weeks on the list
2,FIFTY SHADES DARKER;by E. L. James;16 weeks on the list,MISSION TO PARIS;by Alan Furst;New this week,FIFTY SHADES DARKER;by E. L. James;11 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,COWARDS;by Glenn Beck and Kevin Balfe;New this week,COWARDS;by Glenn Beck and Kevin Balfe;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;67 weeks on the list,AMATEUR;by Edward Klein;5 weeks on the list,THE TOOLS;by Phil Stutz and Barry Michels;3 weeks on the list,TO HEAVEN AND BACK;by Mary C. Neal;3 weeks on the list,COWARDS;by Glenn Beck and Kevin Balfe;,ARE YOU MY MOTHER?;by Alison Bechdel;7 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 1;by Gene Luen Yang and others;14 weeks on the list","YU-GI-OH! ZEXAL, VOL. 1;by Kazuki Takahashi, Shin Yoshida and Naohito Miyoshi;2 weeks on the list",INSURGENT;by Veronica Roth;7 weeks on the list,ONE DIRECTION: DARE TO DREAM;by the members of One Direction;4 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;7 weeks on the list,DORK DIARIES;by Rachel Renée Russell;37 weeks on the list
3,FIFTY SHADES FREED;by E. L. James;15 weeks on the list,GONE GIRL;by Gillian Flynn;2 weeks on the list,FIFTY SHADES FREED;by E. L. James;11 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,WILD;by Cheryl Strayed;9 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;38 weeks on the list,OUTLIERS;by Malcolm Gladwell;54 weeks on the list,UNBROKEN;by Laura Hillenbrand;73 weeks on the list,THE SKINNY RULES;by Bob Harper with Greg Critser;5 weeks on the list,THE BOOK OF BURGER;by Rachael Ray;2 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;5 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;49 weeks on the list","BLACK BIRD, VOL. 14;by Kanoko Sakurakoji;New this week",MIDDLE SCHOOL: GET ME OUT OF HERE!;by James Patterson and Chris Tebbetts;6 weeks on the list,THE PERKS OF BEING A WALLFLOWER;by Stephen Chbosky;2 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;21 weeks on the list,FALLEN;by Lauren Kate;11 weeks on the list
4,GONE GIRL;by Gillian Flynn;2 weeks on the list,THE THIRD GATE;by Lincoln Child;New this week,BARED TO YOU;by Sylvia Day;New this week,,,CALICO JOE;by John Grisham;,UNBROKEN;by Laura Hillenbrand;73 weeks on the list,UNBROKEN;by Laura Hillenbrand;83 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;275 weeks on the list,NOT TACO BELL MATERIAL;by Adam Carolla;New this week,THE BLOOD SUGAR SOLUTION;by Mark Hyman;13 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;255 weeks on the list,UNBROKEN;by Laura Hillenbrand;,BATMAN: DEATH BY DESIGN;by Chip Kidd and Dave Taylor;2 weeks on the list,"DMZ, VOL. 12;by Brian Wood and Riccardo Burchielli;New this week","OURAN HIGH SCHOOL HOST CLUB, VOL. 18;by Bisco Hatori;2 weeks on the list",THE FAULT IN OUR STARS;by John Green;23 weeks on the list,THE BOOK THIEF;by Markus Zusak;249 weeks on the list,PRESS HERE;by Hervé Tullet;52 weeks on the list,KANE CHRONICLES;by Rick Riordan;7 weeks on the list
5,BARED TO YOU;by Sylvia Day;2 weeks on the list,PORCH LIGHTS;by Dorothea Benton Frank;New this week,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;16 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;37 weeks on the list,IT WORKED FOR ME;by Colin Powell with Tony Koltz;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;83 weeks on the list,COWARDS;by Glenn Beck and Kevin Balfe;New this week,AMERICAN GROWN;by Michelle Obama;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;566 weeks on the list,IT WORKED FOR ME;by Colin Powell with Tony Koltz;,KICK-ASS 2;by Mark Millar and John Romita Jr.;New this week,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;6 weeks on the list,"THE EARL AND THE FAIRY, VOL. 2;by  Ayuko;New this week",WONDER;by R.J. Palacio;13 weeks on the list,BRAVE: THE JUNIOR NOVELIZATION;adapted by Irene Trimble;2 weeks on the list,THE DUCKLING GETS A COOKIE!?;by Mo Willems;11 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;179 weeks on the list
6,FIFTY SHADES TRILOGY;by E. L. James;9 weeks on the list,CANADA;by Richard Ford;4 weeks on the list,THE LAST BOYFRIEND;by Nora Roberts;7 weeks on the list,,,MISSION TO PARIS;by Alan Furst;,NOT TACO BELL MATERIAL;by Adam Carolla;New this week,WILD;by Cheryl Strayed;9 weeks on the list,THE GREATER JOURNEY;by David McCullough;5 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;9 weeks on the list,I AM A POLE (AND SO CAN YOU!);by Stephen Colbert. Illustrated by Paul Hildebrand;6 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;18 weeks on the list",WILD;by Cheryl Strayed;,"WONDER WOMAN, VOL. 1;by Brian Azzarello and Cliff Chiang;2 weeks on the list",SMILE;by Raina Telgemeier;21 weeks on the list,"BLEACH, VOL. 40;by Tite Kubo;2 weeks on the list",THE SON OF NEPTUNE;by Rick Riordan;37 weeks on the list,"SNOW WHITE AND THE HUNTSMAN;by Lily Blake, Evan Daugherty, John Lee Hancock and Hossein Amini;2 weeks on the list",THE LORAX;by Dr. Seuss;18 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;64 weeks on the list
7,THE THIRD GATE;by Lincoln Child;New this week,THE STORM;by Clive Cussler and Graham Brown;3 weeks on the list,STATE OF WONDER;by Ann Patchett;6 weeks on the list,,,GONE GIRL;by Gillian Flynn;,IT WORKED FOR ME;by Colin Powell with Tony Koltz;4 weeks on the list,THE GREAT DESTROYER;by David Limbaugh;2 weeks on the list,BOSSYPANTS;by Tina Fey;24 weeks on the list,FULL SERVICE;by Scotty Bowers with Lionel Friedberg;5 weeks on the list,THE 17 DAY DIET;by Mike Moreno;57 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;67 weeks on the list,THE GREAT DESTROYER;by David Limbaugh;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;59 weeks on the list",NINJAGO: RISE OF THE SERPENTINE;by Greg Farshtey and Paul Lee;4 weeks on the list,"DAWN OF THE ARCANA, VOL. 4;by Rei Toma;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;54 weeks on the list,BETWEEN SHADES OF GRAY;by Ruta Sepetys;11 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;27 weeks on the list,THE SECRETS OF THE IMMORTAL NICHOLAS FLAMEL;by Michael Scott;18 weeks on the list
8,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;2 weeks on the list,A BLAZE OF GLORY;by Jeff Shaara;3 weeks on the list,THE DROP;by Michael Connelly;2 weeks on the list,,,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;,IN THE GARDEN OF BEASTS;by Erik Larson;42 weeks on the list,NOT TACO BELL MATERIAL;by Adam Carolla;New this week,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;3 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;38 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;14 weeks on the list,WEBER'S SMOKE;by Jamie Purviance;New this week,NOT TACO BELL MATERIAL;by Adam Carolla;,UNCANNY X-FORCE: OTHERWORLD;by Rick Remender and others;New this week,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;122 weeks on the list","ARATA: THE LEGEND, VOL. 10;by Yuu Watase;New this week",CHOMP;by Carl Hiaasen;10 weeks on the list,THE LOST HERO;by Rick Riordan;11 weeks on the list,LADYBUG GIRL AND BINGO;by David Soman and Jacky Davis;7 weeks on the list,THEODORE BOONE;by John Grisham;5 weeks on the list
9,MISSION TO PARIS;by Alan Furst;New this week,THE INNOCENT;by David Baldacci;9 weeks on the list,THE ALCHEMIST;by Paulo Coelho;223 weeks on the list,,,BARED TO YOU;by Sylvia Day;,THE GREAT DESTROYER;by David Limbaugh;2 weeks on the list,CRONKITE;by Douglas Brinkley;3 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;221 weeks on the list,STEVE JOBS;by Walter Isaacson;34 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;4 weeks on the list",THE RESOLUTION FOR MEN;by Stephen and Alex Kendrick with Randy Alcorn;11 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,"JUSTICE LEAGUE, VOL. 1;by Geoff Johns and Jim Lee;6 weeks on the list",FUN HOME;by Alison Bechdel;4 weeks on the list,"THREE WOLVES MOUNTAIN, VOL. 1;by Bohra Naouo;New this week","BINK AND GOLLIE, TWO FOR ONE;by Kate DiCamillo and Alison McGhee. Illustrated by Tony Fucile;New this week",THIRTEEN REASONS WHY;by Jay Asher;50 weeks on the list,A BALL FOR DAISY;by Chris Raschka;7 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;60 weeks on the list
10,A GAME OF THRONES;by George R.R. Martin;34 weeks on the list,11TH HOUR;by James Patterson and Maxine Paetro;6 weeks on the list,A GAME OF THRONES;by George R.R. Martin;40 weeks on the list,,,THE THIRD GATE;by Lincoln Child;,STEVE JOBS;by Walter Isaacson;34 weeks on the list,UNINTENDED CONSEQUENCES;by Edward Conard;New this week,BORN TO RUN;by Christopher McDougall;64 weeks on the list,IMPLOSION;by Joel C. Rosenberg;New this week,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;113 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;81 weeks on the list,CRONKITE;by Douglas Brinkley;,ABSOLUTE BATMAN: DARK VICTORY;by Jeph Loeb and Tim Sale;2 weeks on the list,"UNCANNY X-FORCE, VOL. 3;by Rick Remender;New this week","HONEY DARLING, VOL. 1;by Norikazu Akira;New this week","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;11 weeks on the list",MATCHED;by Ally Condie;39 weeks on the list,FANCY NANCY AND THE MERMAID BALLET;by Jane O'Connor. Illustrated by Robin Preiss Glasser;17 weeks on the list,THE MAZE RUNNER;by James Dashner;27 weeks on the list
