,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,FIFTY SHADES OF GREY;by E. L. James;New this week,LONE WOLF;by Jodi Picoult;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;2 weeks on the list,,,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;4 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;9 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;4 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;4 weeks on the list,THE BLOOD SUGAR SOLUTION;by Mark Hyman;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;240 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,"THE WALKING DEAD, BOOK 7;by Robert Kirkman and Charlie Adlard;9 weeks on the list",NINJAGO: MASK OF THE SENSEI;by Greg Farshtey and Paulo Herique;New this week,"XXXHOLIC, VOL. 19;by Clamp;2 weeks on the list",THE INVENTION OF HUGO CABRET;by Brian Selznick;103 weeks on the list,DIVERGENT;by Veronica Roth;New this week,THE LORAX;by Dr. Seuss;3 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;80 weeks on the list,STEVE JOBS;by Walter Isaacson;,OUTLIERS;by Malcolm Gladwell;,AMERITOPIA;by Mark R. Levin;
2,LONE WOLF;by Jodi Picoult;New this week,VICTIMS;by Jonathan Kellerman;New this week,THE HELP;by Kathryn Stockett;48 weeks on the list,,,LONE WOLF;by Jodi Picoult;,THE POWER OF HABIT;by Charles Duhigg;New this week,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;23 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;68 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;New this week,THE END OF ILLNESS;by David B. Agus with Kristin Loberg;7 weeks on the list,THE HUNGER GAMES TRIBUTE GUIDE;by Emily Seife;4 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;,"AMERICAN VAMPIRE, VOL. 3;by Scott Snyder and others;4 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;34 weeks on the list",SOULLESS;by Gail Carriger;New this week,THE FAULT IN OUR STARS;by John Green;8 weeks on the list,THE BOOK THIEF;by Markus Zusak;234 weeks on the list,FANCY NANCY AND THE MERMAID BALLET;by Jane O'Connor. Illustrated by Robin Preiss Glasser;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;164 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MONEYBALL;by Michael Lewis;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
3,REDWOOD BEND;by Robyn Carr;New this week,KILL SHOT;by Vince Flynn;4 weeks on the list,THE LUCKY ONE;by Nicholas Sparks;14 weeks on the list,,,THE LUCKY ONE;by Nicholas Sparks;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;58 weeks on the list,STEVE JOBS;by Walter Isaacson;19 weeks on the list,BOSSYPANTS;by Tina Fey;9 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;58 weeks on the list,WISHES FULFILLED;by Wayne W. Dyer;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;551 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,FANTASTIC FOUR: SEASON ONE;by Roberto Aguirre-Sacasa and David Marquez;2 weeks on the list,"THE WALKING DEAD, VOL. 15;by Robert Kirkman and Charlie Adlard;10 weeks on the list","SAYONARA, ZETSUBOU-SENSEI, VOL. 13;by Koji Kumeta;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;39 weeks on the list,WAR HORSE;by Michael Morpurgo;17 weeks on the list,A BALL FOR DAISY;by Chris Raschka;4 weeks on the list,INHERITANCE;by Christopher Paolini;38 weeks on the list,THE START-UP OF YOU;by Reid Hoffman and Ben Casnocha;,MONEY CLASS;by Suze Orman;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,VICTIMS;by Jonathan Kellerman;New this week,CELEBRITY IN DEATH;by J. D. Robb;2 weeks on the list,THE TIGER'S WIFE;by Téa Obreht;18 weeks on the list,,,REDWOOD BEND;by Robyn Carr;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;52 weeks on the list,STEVE JOBS;by Walter Isaacson;19 weeks on the list,LET IT GO;by T. D. Jakes;New this week,THE HUNGER GAMES;by Kate Egan;4 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"ULTIMATE COMICS SPIDER-MAN, VOL, 1;by Brian Michael Bendis and Sara Pichelli;2 weeks on the list",BATMAN VERSUS BANE;by Chuck Dixon and others;New this week,"GTO: THE EARLY YEARS, VOL. 11;by Tohru Fujisawa;New this week",PANDEMONIUM;by Lauren Oliver;New this week,SWITCHED;by Amanda Hocking;9 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;19 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;207 weeks on the list,TAKE THE STAIRS;by Rory Vaden;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
5,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;28 weeks on the list,PRIVATE GAMES;by James Patterson and Mark Sullivan;3 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;141 weeks on the list,,,THE HELP;by Kathryn Stockett;,STEVE JOBS;by Walter Isaacson;19 weeks on the list,BECOMING CHINA'S BITCH;by Peter D. Kiernan;New this week,MOONWALKING WITH EINSTEIN;by Joshua Foer;New this week,UNBROKEN;by Laura Hillenbrand;58 weeks on the list,THE WORLD OF DOWNTON ABBEY;by Jessica Fellowes;5 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;3 weeks on the list",STEVE JOBS;by Walter Isaacson;,SUPERMAN: REIGN OF DOOMSDAY;by Paul Cornell and others;New this week,BATMAN: GATES OF GOTHAM;by Scott Snyder and Kyle Higgins;4 weeks on the list,"MARDOCK SCRAMBLE, VOL. 4;by Tou Ubukata;New this week",THE SON OF NEPTUNE;by Rick Riordan;22 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;29 weeks on the list",THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;19 weeks on the list,THE MAZE RUNNER;by James Dashner;12 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE BIG SHORT;by Michael Lewis;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;
6,THE LUCKY ONE;by Nicholas Sparks;3 weeks on the list,THE WOLF GIFT;by Anne Rice;3 weeks on the list,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;11 weeks on the list,,,VICTIMS;by Jonathan Kellerman;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;23 weeks on the list,INDIVISIBLE;by James Robison and Jay W. Richards;2 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;7 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;9 weeks on the list,THE 17 DAY DIET;by Mike Moreno;46 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;52 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,HARK! A VAGRANT;by Kate Beaton;21 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 1;by Gene Luen Yang and others;4 weeks on the list","NARUTO, VOL. 54;by Masashi Kishimoto;7 weeks on the list",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;18 weeks on the list,A WORLD WITHOUT HEROES;by Brandon Mull;3 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;22 weeks on the list",HARRY POTTER;by J.K. Rowling;285 weeks on the list,LEAN STARTUP;by Eric Ries;,DRIVE;by Daniel H. Pink;,COMING APART;by Charles Murray;
7,THE DARKEST SEDUCTION;by Gena Showalter;New this week,CINNAMON ROLL MURDER;by Joanne Fluke;New this week,KILL ME IF YOU CAN;by James Patterson and Marshall Karp;2 weeks on the list,,,KILL SHOT;by Vince Flynn;,UNBROKEN;by Laura Hillenbrand;58 weeks on the list,UNBROKEN;by Laura Hillenbrand;68 weeks on the list,OUTLIERS;by Malcolm Gladwell;39 weeks on the list,AUSCHWITZ;by Miklos Nyiszli;29 weeks on the list,WHEAT BELLY;by William Davis;6 weeks on the list,HOW TO ARCHER;by Sterling Archer;2 weeks on the list,BECOMING CHINA'S BITCH;by Peter D. Kiernan;,THE STAND: THE NIGHT HAS COME;by Roberto Aguirre-Sacasa and Mike Perkins;New this week,MUHAMMAD ALI: THE KING OF THE RING;by Lewis Helfand and Lalit Kumar Sharma;New this week,"SOUL EATER, VOL. 8;by Atsushi Ohkubo;New this week",THE LOST HERO;by Rick Riordan;69 weeks on the list,MATCHED;by Ally Condie;24 weeks on the list,ME ... JANE;by Patrick McDonnell;12 weeks on the list,THE 39 CLUES;by various authors;96 weeks on the list,GREEDY BASTARDS;by Dylan Ratigan;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,ELIZABETH THE QUEEN;by Sally Bedell Smith;
8,DEFENDING JACOB;by William Landay;5 weeks on the list,A PERFECT BLOOD;by Kim Harrison;2 weeks on the list,RAINSHADOW ROAD;by Lisa Kleypas;New this week,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,BOSSYPANTS;by Tina Fey;39 weeks on the list,AMERITOPIA;by Mark R. Levin;7 weeks on the list,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;43 weeks on the list,FULL SERVICE;by Scotty Bowers with Lionel Friedberg;3 weeks on the list,THE START-UP OF YOU;by Reid Hoffman and Ben Casnocha;3 weeks on the list,EAT TO LIVE;by Joel Fuhrman;34 weeks on the list,BOSSYPANTS;by Tina Fey;,"BATMAN: THE DARK KNIGHT, VOL. 1;by David Finch;6 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;108 weeks on the list","SAILOR MOON, VOL. 3;by Naoko Takeuchi;7 weeks on the list",DEAD END IN NORVELT;by Jack Gantos;6 weeks on the list,DELIRIUM;by Lauren Oliver;New this week,PRESS HERE;by Hervé Tullet;37 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;241 weeks on the list,BOOMERANG;by Michael Lewis;,THE CHECKLIST MANIFESTO;by Atul Gawande;,INDIVISIBLE;by James Robison and Jay W. Richards;
9,KILL SHOT;by Vince Flynn;4 weeks on the list,DEFENDING JACOB;by William Landay;5 weeks on the list,THE DESCENDANTS;by Kaui Hart Hemmings;5 weeks on the list,,,THE DARKEST SEDUCTION;by Gena Showalter;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;4 weeks on the list,BRINGING UP BÉBÉ;by Pamela Druckerman;4 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;206 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;23 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;13 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;70 weeks on the list,INDIVISIBLE;by James Robison and Jay W. Richards;,BATMAN: THE BLACK MIRROR;by Scott Snyder and Jock;11 weeks on the list,"UNCANNY X-FORCE,  VOL. 2;by Rick Remender and others;New this week","BLUE EXORCIST, VOL. 6;by Kazue Kato;3 weeks on the list",WONDERSTRUCK;by Brian Selznick;23 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;38 weeks on the list,WHAT COLOR IS MY WORLD?;by Kareem Abdul-Jabbar and Raymond Obstfeld. Illustrated by Ben Boos and A.G. Ford;4 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;260 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,IN THE GARDEN OF BEASTS;by Erik Larson;
10,THE HELP;by Kathryn Stockett;55 weeks on the list,11/22/63;by Stephen King;17 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;91 weeks on the list,,,CELEBRITY IN DEATH;by J. D. Robb;,UNORTHODOX;by Deborah Feldman;3 weeks on the list,QUIET;by Susan Cain;6 weeks on the list,____ FINISH FIRST;by Tucker Max;19 weeks on the list,UNORTHODOX;by Deborah Feldman;3 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;37 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;26 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"FABLES: THE DELUXE EDITION, BOOK FOUR;by Bill Willingham and others;2 weeks on the list",BATMAN: TIME AND THE BATMAN;by Grant Morrison and others;2 weeks on the list,"YU-GI-OH 5D'S, VOL. 2;by Masahiro Hikokubo;3 weeks on the list",WONDER;by R.J. Palacio;New this week,CLOCKWORK ANGEL;by Cassandra Clare;22 weeks on the list,AND THEN IT’S SPRING;by Julie Fogliano. Illustrated by Erin E. Stead;2 weeks on the list,DORK DIARIES;by Rachel Renée Russell;32 weeks on the list,SWITCH;by Chip Heath and Dan Heath;,"I, STEVE;edited by George Beahm;",CATHERINE THE GREAT;by Robert K. Massie;
