,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,ONE WITH YOU;by Sylvia Day;New this week,AS TIME GOES BY;by Mary Higgins Clark;New this week,ONE WITH YOU;by Sylvia Day;New this week,,,THE RAINBOW COMES AND GOES;by Anderson Cooper and Gloria Vanderbilt;New this week,THE RAINBOW COMES AND GOES;by Anderson Cooper and Gloria Vanderbilt;New this week,DEAD WAKE;by Erik Larson;3 weeks on the list,THE RAINBOW COMES AND GOES;by Anderson Cooper and Gloria Vanderbilt;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;76 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;199 weeks on the list,"THE WALKING DEAD, VOL. 25;by Robert Kirkman and Charlie Adlard;New this week","ATTACK ON TITAN, VOL. 18;by Hajime Isayama;New this week",WOOF;by Spencer Quinn;3 weeks on the list,DEMIGODS AND MAGICIANS;by Rick Riordan;New this week,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;35 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;29 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;29 weeks on the list,PAPER PRINCESS;by Erin Watt;New this week,LADY MIDNIGHT;by Cassandra Clare;5 weeks on the list,THE 5TH WAVE;by Rick Yancey;34 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,THE BIG SHORT;by Michael Lewis;,YES PLEASE;by Amy Poehler;,A MOTHER'S RECKONING;by Sue Klebold;,AMERICAN GIRLS;by Nancy Jo Sales;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,PLAYING TO THE EDGE;by Michael V. Hayden;,DEAD WAKE;by Erik Larson;,PRETTY HAPPY;by Kate Hudson;,CRAVINGS;by Chrissy Teigen with Adeena Sussman;,HARRY POTTER COLORING BOOK;by various illustrators;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,DARK MONEY;by Jane Mayer;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,MIRACLES FROM HEAVEN;by Christy Beam;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE BOYS IN THE BOAT;by Daniel James Brown;,NEITHER HERE NOR THERE;by Bill Bryson;
2,THE BEAST;by J. R. Ward;New this week,THE BEAST;by J. R. Ward;New this week,ME BEFORE YOU;by Jojo Moyes;70 weeks on the list,,,THE SLEEP REVOLUTION;by Arianna Huffington;New this week,THE SLEEP REVOLUTION;by Arianna Huffington;New this week,ALEXANDER HAMILTON;by Ron Chernow;26 weeks on the list,BOOK OF AGES;by Jill Lepore;New this week,THE LONGEVITY BOOK;by Cameron Diaz and Sandra Bark;New this week,PATIENCE;by Daniel Clowes;5 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 3;by Robert Kirkman and Charlie Adlard;25 weeks on the list","FOOD WARS!, VOL. 11;by Yuto Tsukuda, Shun Saeki and Yuki Morisaki;New this week",THE FINISHER;by David Baldacci;14 weeks on the list,JACKY HA-HA;by James Patterson and Chris Grabenstein. Illustrated by Kerascoët;3 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;35 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;146 weeks on the list,HARRY POTTER;by J.K. Rowling;368 weeks on the list,THE GLITTERING COURT;by Richelle Mead;New this week,THE GLITTERING COURT;by Richelle Mead;New this week,THE INFINITE SEA;by Rick Yancey;23 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,ORIGINALS;by Adam Grant;,LEONARD;by William Shatner with David Fisher;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,DOWNTON ABBEY: A CELEBRATION;by Jessica Fellowes;,THING EXPLAINER;by Randall Munroe;,A MAN CALLED INTREPID;by William Stevenson;,FROZEN IN TIME;by Mitchell Zuckoff;,THE RESIDENCE;by Kate Andersen Brower;,"EAT FAT, GET THIN;by Mark Hyman;","DOCTOR WHO COLORING BOOK;illlustrated by James Newman Gray, Lee Teng Chew and Jan Smith;","EAT FAT, GET THIN;by Mark Hyman;",YES PLEASE;by Amy Poehler;,H IS FOR HAWK;by Helen Macdonald;,A MOTHER'S RECKONING;by Sue Klebold;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,JUST MERCY;by Bryan Stevenson;,THE NAME OF GOD IS MERCY;by Pope Francis with Andrea Tornielli;,SEVEN BRIEF LESSONS ON PHYSICS;by Carlo Rovelli;,THE LEGENDS CLUB;by John Feinstein;,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;
3,AS TIME GOES BY;by Mary Higgins Clark;New this week,THE NEST;by Cynthia D'Aprix Sweeney;3 weeks on the list,THE MURDER HOUSE;by James Patterson and David Ellis;New this week,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;13 weeks on the list,THE THIRD WAVE;by Steve Case;New this week,THE BOYS IN THE BOAT;by Daniel James Brown;98 weeks on the list,LOOK ME IN THE EYE;by John Elder Robison;5 weeks on the list,HUNGRY GIRL: CLEAN AND HUNGRY;by Lisa Lillien;New this week,"DC COMICS: SECRET HERO SOCIETY, VOL. 1;by Derek Fridolfs and Dustin Nguyen;11 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;172 weeks on the list","ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;32 weeks on the list",THE SWORD OF SUMMER;by Rick Riordan;27 weeks on the list,WONDER;by R.J. Palacio;35 weeks on the list,THE FOURTEENTH GOLDFISH;by Jennifer L. Holm;New this week,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;112 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;369 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;5 weeks on the list,RED QUEEN;by Victoria Aveyard;34 weeks on the list,THE BOOK THIEF;by Markus Zusak;35 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,OUTLIERS;by Malcolm Gladwell;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,JUST MERCY;by Bryan Stevenson;,AT THE EXISTENTIALIST CAFE;by Sarah Bakewell;,MISSOULA;by Jon Krakauer;,100 DEADLY SKILLS;by Clint Emerson;,THE WRIGHT BROTHERS;by David McCullough;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,LOST OCEAN;illustrated by Johanna Basford;,PRETTY HAPPY;by Kate Hudson;,BOSSYPANTS;by Tina Fey;,ALL THE SINGLE LADIES;by Rebecca Traister;,H IS FOR HAWK;by Helen Macdonald;,THE BIG SHORT;by Michael Lewis;,THE NEW JIM CROW;by Michelle Alexander;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,NOTES FROM A SMALL ISLAND;by Bill Bryson;
4,FOOL ME ONCE;by Harlan Coben;3 weeks on the list,FOOL ME ONCE;by Harlan Coben;3 weeks on the list,LUCKIEST GIRL ALIVE;by Jessica Knoll;New this week,,,THE THIRD WAVE;by Steve Case;New this week,WHEN BREATH BECOMES AIR;by Paul Kalanithi;13 weeks on the list,H IS FOR HAWK;by Helen Macdonald;6 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;13 weeks on the list,YOU ARE A BADASS;by Jen Sincero;13 weeks on the list,NATHAN HALE’S HAZARDOUS TALES: ALAMO ALL–STARS;by Nathan Hale;2 weeks on the list,DRAMA;by Raina Telgemeier;141 weeks on the list,"ONE-PUNCH MAN, VOL. 2;by ONE and Yusuke Murata;20 weeks on the list",THE KEEPER;by David Baldacci;21 weeks on the list,BOOKED;by Kwame Alexander;New this week,A LONG WALK TO WATER;by Linda Sue Park;35 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;80 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;382 weeks on the list,FLAMECASTER;by Cinda Williams Chima;New this week,GLASS SWORD;by Victoria Aveyard;9 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;28 weeks on the list,RESCUE ROAD;by Peter Zheutlin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BOSSYPANTS;by Tina Fey;,WRITING MY WRONGS;by Shaka Senghor;,IN OTHER WORDS;by Jhumpa Lahiri;,WHERE YOU GO IS NOT WHO YOU'LL BE;by Frank Bruni;,THE INFORMANT;by Kurt Eichenwald;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,GRACE AND STYLE;by Grace Helbig;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,ANIMORPHIA;illustrated by Kerby Rosanes;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,AMERICAN GIRLS;by Nancy Jo Sales;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,EVICTED;by Matthew Desmond;,THE RUN OF HIS LIFE;by Jeffrey Toobin;,FERVENT;by Priscilla Shirer;,THE WRIGHT BROTHERS;by David McCullough;,BOYS AMONG MEN;by Jonathan Abrams;,IN OTHER WORDS;by Jhumpa Lahiri;
5,FAMILY JEWELS;by Stuart Woods;New this week,THE 14TH COLONY;by Steve Berry;New this week,THE GUILTY;by David Baldacci;3 weeks on the list,,,BOOK OF AGES;by Jill Lepore;New this week,BECOMING GRANDMA;by Lesley Stahl;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;45 weeks on the list,DISRUPTED;by Dan Lyons;New this week,CRAVINGS;by Chrissy Teigen with Adeena Sussman;7 weeks on the list,POPTROPICA BOOK 1: MYSTERY OF THE MAP;by Jack Chabert and Kory Merritt;3 weeks on the list,SMILE;by Raina Telgemeier;200 weeks on the list,"NICHIJOU: MY ORDINARY LIFE, VOL. 1;by Keiichi Arawi;2 weeks on the list",WONDER;by R.J. Palacio;31 weeks on the list,THE WILD ROBOT;by Peter Brown;New this week,PERCY JACKSON'S GREEK GODS;by Rick Riordan. Illustrated by John Rocco;7 weeks on the list,PRESS HERE;by Hervé Tullet;232 weeks on the list,GIVER QUARTET;by Lois Lowry;110 weeks on the list,GLASS SWORD;by Victoria Aveyard;9 weeks on the list,FLAMECASTER;by Cinda Williams Chima;New this week,ME AND EARL AND THE DYING GIRL;by Jesse Andrews;35 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,#ASKGARYVEE;by Gary Vaynerchuk;,TROUBLE BOYS;by Bob Mehr;,THE RUN OF HIS LIFE;by Jeffrey Toobin;,THE ART OF ZOOTOPIA;by Jessica Julius;,IN OTHER WORDS;by Jhumpa Lahiri;,DARK INVASION;by Howard Blum;,INTO THE WILD;by Jon Krakauer;,EMPIRE OF COTTON;by Sven Beckert;,"LOVE, LOSS, AND WHAT WE ATE;by Padma Lakshmi;",ENCHANTED FOREST;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,WHY NOT ME?;by Mindy Kaling;,DARING GREATLY;by Brené Brown;,AMERICAN GIRLS;by Nancy Jo Sales;,PLAYING TO THE EDGE;by Michael V. Hayden;,FOR WHITE FOLKS WHO TEACH IN THE HOOD... AND THE REST OF Y'ALL TOO;by Christopher Emdin;,THE WAIT;by DeVon Franklin and Meagan Good with Tim Vandehey;,QUIET;by Susan Cain;,LIFE IS NOT AN ACCIDENT;by Jay Williams;,WILD;by Cheryl Strayed;
6,THE 14TH COLONY;by Steve Berry;New this week,MILLER'S VALLEY;by Anna Quindlen;New this week,A MAN CALLED OVE;by Fredrik Backman;15 weeks on the list,,,LOOK ME IN THE EYE;by John Elder Robison;3 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;39 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;81 weeks on the list,"MOTHER, CAN YOU NOT?;by Kate Siegel;New this week",THE FIVE LOVE LANGUAGES;by Gary Chapman;148 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;98 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;97 weeks on the list","TOKYO GHOUL, VOL. 1;by Sui Ishida;41 weeks on the list",,PAX;Sara Pennypacker. Illustrated by Jon Klassen;10 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;35 weeks on the list,FINDING WINNIE;by Lindsay Mattick. Illustrated by Sophie Blackall;13 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;113 weeks on the list,,THE SIREN;by Kiera Cass;11 weeks on the list,PAPER TOWNS;by John Green;35 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,BALANCING IN HEELS;by Kristin Cavallari;,BINGE;by Tyler Oakley;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,THE SELECTED LETTERS OF LAURA INGALLS WILDER;edited by William Anderson;,STUFF MATTERS;by Mark Miodownik;,THE LAST HIGHLANDER;by Sarah Fraser;,INTO THIN AIR;by Jon Krakauer;,TIMELESS BEAUTY;by Christie Brinkley;,THE FOOD LAB;by J. Kenji Lopez-Alt;,WORLD OF WARCRAFT : CHRONICLE VOLUME 1;by the staff of Blizzard Entertainment;,THE STASH PLAN;by Laura Prepon and Elizabeth Troy;,BINGE;by Tyler Oakley;,THE WAIT;by DeVon Franklin and Meagan Good with Tim Vandehey;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE BLACK PRESIDENCY;by Michael Eric Dyson;,THE POWER OF NOW;by Eckhart Tolle;,THING EXPLAINER;by Randall Munroe;,BACK FROM THE DEAD;by Bill Walton;,WEST OF EDEN;by Jean Stein;
7,THE NEST;by Cynthia D'Aprix Sweeney;3 weeks on the list,FAMILY JEWELS;by Stuart Woods;New this week,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;New this week,,,DEAD WAKE;by Erik Larson;31 weeks on the list,LAB GIRL;by Hope Jahren;New this week,JUST MERCY;by Bryan Stevenson;24 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;6 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;35 weeks on the list,THE IMITATION GAME;by Jim Ottaviani and Leland Purvis;2 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;46 weeks on the list,"AKAME GA KILL! ZERO, VOL. 1;by Takahiro and Kei Toru;3 weeks on the list",,SPACED OUT;by Stuart Gibbs;New this week,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;32 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;34 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;109 weeks on the list,,SALT TO THE SEA;by Ruta Sepetys;10 weeks on the list,LOOKING FOR ALASKA;by John Green;35 weeks on the list,DOG SONGS;by Mary Oliver;,SPRINT;by Jake Knapp with John Zeratsky and Braden Kowitz;,TURNING THE TABLES;by Teresa Giudice;,THE INFORMANT;by Kurt Eichenwald;,THE SECRET LIFE OF THE AMERICAN MUSICAL;by Jack Viertel;,FOR WHITE FOLKS WHO TEACH IN THE HOOD... AND THE REST OF Y'ALL TOO;by Christopher Emdin;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",THE FINEST HOURS;by Michael J. Tougias and Casey Sherman;,THE KINFOLK HOME;by Nathan Williams;,THE 20/20 DIET;by Phil McGraw;,SECRET GARDEN;illustrated by Johanna Basford;,HOW NOT TO DIE;by Michael Greger with Gene Stone;,SELP-HELF;by Miranda Sings;,LEONARD;by William Shatner with David Fisher;,UNTANGLED;by Lisa Damour;,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;,UNITED;by Cory Booker;,THE SECRET;by Rhonda Byrne;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",CONCUSSION;by Jeanne Marie Laskas;,DISPATCHES FROM PLUTO;by Richard Grant;
8,ME BEFORE YOU;by Jojo Moyes;10 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;58 weeks on the list,THE LITTLE PARIS BOOKSHOP;by Nina George;3 weeks on the list,,,DISRUPTED;by Dan Lyons;New this week,GIRLS AND SEX;by Peggy Orenstein;2 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;112 weeks on the list,THE THIRD WAVE;by Steve Case;New this week,SPARK JOY;by Marie Kondo;14 weeks on the list,STAR WARS: THE ORIGINAL TRILOGY;by the staff of the Lucas Film Book Group;6 weeks on the list,"AMULET, VOL. 7;by Kazu Kibuishi;7 weeks on the list","ONE-PUNCH MAN, VOL. 5;by ONE and Yusuke Murata;6 weeks on the list",,THE SWORD OF SUMMER;by Rick Riordan;27 weeks on the list,STELLA BY STARLIGHT;by Sharon M. Draper;New this week,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;67 weeks on the list",LUNAR CHRONICLES;by Marissa Meyer;28 weeks on the list,,THIS IS WHERE IT ENDS;by Marieke Nijkamp;6 weeks on the list,THE FAULT IN OUR STARS;by John Green;23 weeks on the list,DO UNTO ANIMALS;by Tracey Stewart;,THE POWER OF HABIT;by Charles Duhigg;,WHY NOT ME?;by Mindy Kaling;,MISSOULA;by Jon Krakauer;,THE SILK ROADS;by Peter Frankopan;,THE ORGANIZED MIND;by Daniel J. Levitin;,CLEVER GIRL;by Lauren Kessler;,ERUPTION;by Steve Olson;,THE LOST ART OF DRESS;by Linda Przybyszewski;,THUG KITCHEN;by the staff of Thug Kitchen;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,THE WIT AND WISDOM OF DOWNTON ABBEY;by Jessica Fellowes;,UNTANGLED;by Lisa Damour;,THE EXPECTANT FATHER;by Armin A. Brott and Jennifer Ash;,AND THEN ALL HELL BROKE LOOSE;by Richard Engel;,CITIZEN;by Claudia Rankine;,I SAID YES;by Emily Maynard Johnson;,ALWAYS HUNGRY?;by David Ludwig;,DEVIL AT MY HEELS;by Louis Zamperini and David Rensin;,MY SOUTHERN JOURNEY;by Rick Bragg;
9,VIRGINS;by Diana Gabaldon;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;101 weeks on the list,MY BRILLIANT FRIEND;by Elena Ferrante;32 weeks on the list,,,ALEXANDER HAMILTON;by Ron Chernow;15 weeks on the list,SMARTER FASTER BETTER;by Charles Duhigg;5 weeks on the list,MIRACLES FROM HEAVEN;by Christy Beam;5 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;100 weeks on the list,DREAM HOME;by Jonathan and Drew Scott;New this week,NATHAN HALE’S HAZARDOUS TALES: THE UNDERGROUND ABDUCTOR;by Nathan Hale;23 weeks on the list,"LUMBERJANES, VOL. 3;by Noelle Stevenson, Grace Ellis, and Brooke Allen;New this week","KISS HIM, NOT ME!, VOL. 4;by Junko;New this week",,THE GUTSY GIRL;by Caroline Paul. Illustrated by Wendy MacNaughton;3 weeks on the list,COUNTING BY 7s;by Holly Goldberg Sloan;28 weeks on the list,WAITING;by Kevin Henkes;16 weeks on the list,DORK DIARIES;by Rachel Renée Russell;163 weeks on the list,,THE WAY I USED TO BE;by Amber Smith;2 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;10 weeks on the list,OWLS;by Matt Sewell;,THE INDUSTRIES OF THE FUTURE;by Alec Ross;,ON THE MOVE;by Oliver Sacks;,IMBECILES;by Adam Cohen;,BAD FEMINIST;by Roxane Gay;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,THE GATEKEEPERS;by Dror Moreh;,81 DAYS BELOW ZERO;by Brian Murphy with Toula Vlahou;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",ALWAYS HUNGRY?;by David Ludwig;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE GLASS CASTLE;by Jeannette Walls;,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;,BROWN IS THE NEW WHITE;by Steve Phillips;,BOUNDARIES;by Henry Cloud and John Townsend;,THE POWER OF HABIT;by Charles Duhigg;,CATCH A STAR;by Tamika Catchings with Ken Petersen;,THE LOST ART OF READING NATURE'S SIGNS;by Tristan Gooley;
10,FINDING JAKE;by Bryan Reardon;New this week,THE SUMMER BEFORE THE WAR;by Helen Simonson;3 weeks on the list,BROOKLYN;by Colm Toibin;24 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;39 weeks on the list,SEVEN BRIEF LESSONS ON PHYSICS;by Carlo Rovelli;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;210 weeks on the list,LUST AND WONDER;by Augusten Burroughs;2 weeks on the list,THE END OF HEART DISEASE;by Joel Fuhrman;New this week,PLANTS VS. ZOMBIES: GARDEN WARFARE;by Paul Tobin and Jacob Chabot;7 weeks on the list,"PAPER GIRLS, VOL. 1;by Brian K. Vaughan and Cliff Chiang;New this week","TOKYO GHOUL, VOL. 3;by Sui Ishida;13 weeks on the list",,AUGGIE & ME;by R.J. Palacio;34 weeks on the list,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;24 weeks on the list,LET'S PLAY!;by Hervé Tullet;2 weeks on the list,TREEHOUSE;by Andy Griffiths. illustrated by Terry Denton;New this week,,SIX OF CROWS;by Leigh Bardugo;26 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;28 weeks on the list,MEN WITH CATS;by David Williams;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,CONVICTION;by Juan Martinez;,M TRAIN;by Patti Smith;,BETWEEN YOU & ME;by Mary Norris;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,PIRATE HUNTERS;by Robert Kurson;,STYLED;by Emily Henderson and Angelin Borsics;,FROM JUNK FOOD TO JOY FOOD;by Joy Bauer;,"ANIMAL KINGDOM: COLOR ME, DRAW ME;by Millie Marotta;",MEDICAL MEDIUM;by Anthony William;,NOT THAT KIND OF GIRL;by Lena Dunham;,F*CK FEELINGS;by Michael I. Bennett and Sarah Bennett;,GOODNIGHT DARTH VADER;by Jeffrey Brown;,JUST MERCY;by Bryan Stevenson;,GHETTOSIDE;by Jill Leovy;,IMAGINE HEAVEN;by John Burke;,WHAT IF?;by Randall Munroe;,INDENTURED;by Joe Nocera and Ben Strauss;,A WALK IN THE WOODS;by Bill Bryson;
