,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE GUARDIANS;by John Grisham;New this week,THE GUARDIANS;by John Grisham;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;59 weeks on the list,ME;by Elton John;New this week,ME;by Elton John;New this week,ON TYRANNY;by Timothy Snyder;58 weeks on the list,I REALLY NEEDED THIS TODAY;by Hoda Kotb with Jane Lorenzini;New this week,A TALE OF MAGIC...;by Chris Colfer;3 weeks on the list,"GOOD NIGHT, LITTLE BLUE TRUCK;by Alice Schertle and Jill McElmurry;New this week",DOG MAN;by Dav Pilkey;112 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;19 weeks on the list,THE GUARDIANS;by John Grisham;,TALKING TO STRANGERS;by Malcolm Gladwell;,STILLNESS IS THE KEY;by Ryan Holiday;,GUTS;by Raina Telgemeier;,HOLY GHOST;by John Sandford;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,LONG WAY DOWN;by Jason Reynolds;
2,WHERE THE CRAWDADS SING;by Delia Owens;58 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;59 weeks on the list,THE GREAT ALONE;by Kristin Hannah;4 weeks on the list,CATCH AND KILL;by Ronan Farrow;New this week,CATCH AND KILL;by Ronan Farrow;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;52 weeks on the list,THE INFINITE GAME;by Simon Sinek;New this week,ALLIES;by Alan Gratz;New this week,SULWE;by Lupita Nyong'o. Illustrated by Vashti Harrison;New this week,WINGS OF FIRE;by Tui T. Sutherland;61 weeks on the list,THE SECRET COMMONWEALTH;by Philip Pullman;3 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BLOWOUT;by Rachel Maddow;,TRAILBLAZER;by Marc Benioff and Monica Langley;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,TARGET: ALEX CROSS;by James Patterson;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
3,THE 19TH CHRISTMAS;by James Patterson and Maxine Paetro;2 weeks on the list,THE 19TH CHRISTMAS;by James Patterson and Maxine Paetro;2 weeks on the list,EVERY BREATH;by Nicholas Sparks;New this week,BLOWOUT;by Rachel Maddow;3 weeks on the list,BLOWOUT;by Rachel Maddow;3 weeks on the list,SAPIENS;by Yuval Noah Harari;75 weeks on the list,TRAILBLAZER;by Marc Benioff and Monica Langley;New this week,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;28 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;33 weeks on the list,HARRY POTTER;by J.K. Rowling;552 weeks on the list,THE HATE U GIVE;by Angie Thomas;138 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,CATCH AND KILL;by Ronan Farrow;,THE RIDE OF A LIFETIME;by Robert Iger;,"MY HERO ACADEMIA, VOL. 21;by Kohei Horikoshi;",DOCTOR SLEEP;by Stephen King;,RESTART;by Gordon Korman;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
4,"OLIVE, AGAIN;by Elizabeth Strout;New this week",THE WATER DANCER;by Ta-Nehisi Coates;4 weeks on the list,REDEMPTION;by David Baldacci;2 weeks on the list,THE WAY I HEARD IT;by Mike Rowe;New this week,THE WAY I HEARD IT;by Mike Rowe;New this week,BORN A CRIME;by Trevor Noah;36 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;149 weeks on the list,REFUGEE;by Alan Gratz;77 weeks on the list,PARKER LOOKS UP;by Parker Curry and Jessica Curry. Illustrated by Brittany Jackson;New this week,THE TRIALS OF APOLLO;by Rick Riordan;17 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;46 weeks on the list,THE NIGHT FIRE;by Michael Connelly;,INSIDE OUT;by Demi Moore;,THE INFINITE GAME;by Simon Sinek;,DRAMA;by Raina Telgemeier;,BEAUCHAMP HALL;by Danielle Steel;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,LOOKING FOR ALASKA;by John Green;
5,STEALTH;by Stuart Woods;New this week,THE INSTITUTE;by Stephen King;6 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;107 weeks on the list,THE BODY;by Bill Bryson;New this week,HOME WORK;by Julie Andrews and Emma Walton Hamilton;New this week,JUST MERCY;by Bryan Stevenson;175 weeks on the list,RACHAEL RAY 50;by Rachael Ray;New this week,LOOK BOTH WAYS;by Jason Reynolds;2 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;207 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;20 weeks on the list,THE FOUNTAINS OF SILENCE;by Ruta Sepetys;3 weeks on the list,THE INSTITUTE;by Stephen King;,EDUCATED;by Tara Westover;,DARE TO LEAD;by Brené Brown;,WATCHMEN;by Alan Moore. Illustrated by Dave Gibbons;,DARK SACRED NIGHT;by Michael Connelly;,FRONT DESK;by Kelly Yang;,THE SUN IS ALSO A STAR;by Nicola Yoon;
6,THE INSTITUTE;by Stephen King;6 weeks on the list,"OLIVE, AGAIN;by Elizabeth Strout;New this week",NINE PERFECT STRANGERS;by Liane Moriarty;3 weeks on the list,HOME WORK;by Julie Andrews and Emma Walton Hamilton;New this week,TALKING TO STRANGERS;by Malcolm Gladwell;6 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;67 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;292 weeks on the list,PROJECT MIDDLE SCHOOL;by Alyssa Milano with Debbie Rigaud. Illustrated by Eric S. Keyes;New this week,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;290 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;23 weeks on the list,WAYWARD SON;by Rainbow Rowell;4 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;,ME;by Elton John;,ATOMIC HABITS;by James Clear;,SMILE;by Raina Telgemeier;,YEAR ONE;by Nora Roberts;,OUT OF MY MIND;by Sharon M. Draper;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
7,THE DUTCH HOUSE;by Ann Patchett;4 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;4 weeks on the list,THE 18TH ABDUCTION;by James Patterson and Maxine Paetro;3 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;6 weeks on the list,THE BODY;by Bill Bryson;New this week,HOW TO CHANGE YOUR MIND;by Michael Pollan;13 weeks on the list,THE RIDE OF A LIFETIME;by Robert Iger;4 weeks on the list,WONDER;by R.J. Palacio;219 weeks on the list,HEY GRANDUDE!;by Paul McCartney. Illustrated by Kathryn Durst;7 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;193 weeks on the list,THE BEAUTIFUL;by Renée Ahdieh;2 weeks on the list,THE TESTAMENTS;by Margaret Atwood;,PERMANENT RECORD;by Edward Snowden;,FAIR PLAY;by Eve Rodsky;,WHITE BIRD;by R.J. Palacio;,THE RECKONING;by John Grisham;,CITY OF GHOSTS;by Victoria Schwab;,TURTLES ALL THE WAY DOWN;by John Green;
8,THE WATER DANCER;by Ta-Nehisi Coates;4 weeks on the list,THE TESTAMENTS;by Margaret Atwood;6 weeks on the list,A SPARK OF LIGHT;by Jodi Picoult;4 weeks on the list,DEAR GIRLS;by Ali Wong;New this week,DEAR GIRLS;by Ali Wong;New this week,THE LIBRARY BOOK;by Susan Orlean;3 weeks on the list,SUPER HUMAN;by Dave Asprey;2 weeks on the list,TRISTAN STRONG PUNCHES A HOLE IN THE SKY;by Kwame Mbalia;New this week,THIS IS BABY;by Jimmy Fallon. Illustrated by Miguel Ordóñez;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;553 weeks on the list,THE GRACE YEAR;by Kim Liggett;2 weeks on the list,BLUE MOON;by Lee Child;,BECOMING;by Michelle Obama;,WHAT IT TAKES;by Stephen A. Schwarzman;,OPEN BORDERS;by Bryan Caplan. Illustrated by Zach Weinersmith;,KISSES IN THE SNOW;by Debbie Macomber;,MINECRAFT: THE ISLAND;by Max Brooks;,THE SIMILARS;by Rebecca Hanover;
9,THE TESTAMENTS;by Margaret Atwood;6 weeks on the list,NINTH HOUSE;by Leigh Bardugo;2 weeks on the list,THE OVERSTORY;by Richard Powers;28 weeks on the list,EDUCATED;by Tara Westover;87 weeks on the list,EDUCATED;by Tara Westover;87 weeks on the list,CALYPSO;by David Sedaris;20 weeks on the list,YOU ARE A BADASS;by Jen Sincero;194 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;27 weeks on the list,JUST ASK!;by Sonia Sotomayor. Illustrated by Rafael López;7 weeks on the list,SCARY STORIES;by Alvin Schwartz. Illustrated by Stephen Gammell;7 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;85 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,DEAR GIRLS;by Ali Wong;,SHUT UP AND LISTEN!;by Tilman Fertitta;,SUNNY ROLLS THE DICE;by Jennifer L. Holm. Illustrated by Matthew Holm;,LOOK ALIVE TWENTY-FIVE;by Janet Evanovich;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,SALT TO THE SEA;by Ruta Sepetys;
10,BLOODY GENIUS;by John Sandford;3 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;2 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;22 weeks on the list,THE UNITED STATES OF TRUMP;by Bill O'Reilly;4 weeks on the list,THE UNITED STATES OF TRUMP;by Bill O'Reilly;4 weeks on the list,OUTLIERS;by Malcolm Gladwell;296 weeks on the list,SOUTH;by Sean Brock with Lucas Weir and Marion Sullivan;New this week,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;87 weeks on the list,THE CRAYONS' CHRISTMAS;by Drew Daywalt. Illustrated by Oliver Jeffers;New this week,THE BAD GUYS;by Aaron Blabey;52 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;36 weeks on the list",BLOODY GENIUS;by John Sandford;,OVER THE TOP;by Jonathan Van Ness;,OUTLIERS;by Malcolm Gladwell;,GHOSTS;by Raina Telgemeier;,ALASKAN HOLIDAY;by Debbie Macomber;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
