,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Science,Sports and Fitness,Young Adult Paperback
1,THE WATER DANCER;by Ta-Nehisi Coates;New this week,THE WATER DANCER;by Ta-Nehisi Coates;New this week,THE GREAT ALONE;by Kristin Hannah;New this week,INSIDE OUT;by Demi Moore;New this week,INSIDE OUT;by Demi Moore;New this week,BORN A CRIME;by Trevor Noah;33 weeks on the list,THE RIDE OF A LIFETIME;by Robert Iger;New this week,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;25 weeks on the list,HEY GRANDUDE!;by Paul McCartney. Illustrated by Kathryn Durst;4 weeks on the list,DOG MAN;by Dav Pilkey;109 weeks on the list,WAYWARD SON;by Rainbow Rowell;New this week,THE INSTITUTE;by Stephen King;,TALKING TO STRANGERS;by Malcolm Gladwell;,DARE TO LEAD;by Brené Brown;,GUTS;by Raina Telgemeier;,LOOK ALIVE TWENTY-FIVE;by Janet Evanovich;,A LONG WALK TO WATER;by Linda Sue Park;,,,SALT TO THE SEA;by Ruta Sepetys;
2,VINCE FLYNN: LETHAL AGENT;by Kyle Mills;New this week,THE INSTITUTE;by Stephen King;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;104 weeks on the list,THE UNITED STATES OF TRUMP;by Bill O'Reilly;New this week,TALKING TO STRANGERS;by Malcolm Gladwell;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;49 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;146 weeks on the list,"BEVERLY, RIGHT HERE;by Kate DiCamillo;New this week",P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;21 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;14 weeks on the list,THE HATE U GIVE;by Angie Thomas;135 weeks on the list,THE TESTAMENTS;by Margaret Atwood;,EDUCATED;by Tara Westover;,THE RIDE OF A LIFETIME;by Robert Iger;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,THE RECKONING;by John Grisham;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,,,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
3,THE INSTITUTE;by Stephen King;3 weeks on the list,THE TESTAMENTS;by Margaret Atwood;3 weeks on the list,IT;by Stephen King;25 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;3 weeks on the list,THE UNITED STATES OF TRUMP;by Bill O'Reilly;New this week,SAPIENS;by Yuval Noah Harari;72 weeks on the list,SUPER ATTRACTOR;by Gabrielle Bernstein;New this week,WONDER;by R.J. Palacio;216 weeks on the list,JUST ASK!;by Sonia Sotomayor. Illustrated by Rafael López;4 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;17 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;92 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,CALL SIGN CHAOS;by Jim Mattis and Bing West;,ATOMIC HABITS;by James Clear;,THE UMBRELLA ACADEMY: HOTEL OBLIVION;by Gerard Way. Illustrated by Gabriel Bá;,VINCE FLYNN: RED WAR;by Kyle Mills;,OUT OF MY MIND;by Sharon M. Draper;,,,LONG WAY DOWN;by Jason Reynolds;
4,THE DUTCH HOUSE;by Ann Patchett;New this week,VINCE FLYNN: LETHAL AGENT;by Kyle Mills;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;56 weeks on the list,OVER THE TOP;by Jonathan Van Ness;New this week,OVER THE TOP;by Jonathan Van Ness;New this week,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;289 weeks on the list,THE WILD ROBOT;by Peter Brown;55 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;204 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;20 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;43 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,INSIDE OUT;by Demi Moore;,WHAT IT TAKES;by Stephen A. Schwarzman;,"THEY CALLED US ENEMY;by George Takei, Justin Eisinger and Steven Scott. Illustrated by Harmony Becker;",SHADOW TYRANTS;by Clive Cussler and Boyd Morrison;,RESTART;by Gordon Korman;,,,SCYTHE;by Neal Shusterman;
5,WHERE THE CRAWDADS SING;by Delia Owens;55 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;56 weeks on the list,THE GOLDFINCH;by Donna Tartt;30 weeks on the list,KNOW MY NAME;by Chanel Miller;New this week,KNOW MY NAME;by Chanel Miller;New this week,JUST MERCY;by Bryan Stevenson;172 weeks on the list,DARE TO LEAD;by Brené Brown;36 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;84 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;13 weeks on the list,HARRY POTTER;by J.K. Rowling;549 weeks on the list,AMERICAN ROYALS;by Katharine McGee;4 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;,PERMANENT RECORD;by Edward Snowden;,OUTLIERS;by Malcolm Gladwell;,DRAMA;by Raina Telgemeier;,JUROR #3;by James Patterson and Nancy Allen;,FRONT DESK;by Kelly Yang;,,,DEAR MARTIN;by Nic Stone;
6,THE TESTAMENTS;by Margaret Atwood;3 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;New this week,BEFORE WE WERE YOURS;by Lisa Wingate;19 weeks on the list,EDUCATED;by Tara Westover;84 weeks on the list,PERMANENT RECORD;by Edward Snowden;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;64 weeks on the list,YOU ARE A BADASS;by Jen Sincero;191 weeks on the list,MAX EINSTEIN: REBELS WITH A CAUSE;by James Patterson and Chris Grabenstein;3 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;30 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;190 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;35 weeks on the list",VENDETTA IN DEATH;by J.D. Robb;,BECOMING;by Michelle Obama;,RANGE;by David Epstein;,PERSEPOLIS;by Marjane Satrapi;,TURNING POINT;by Danielle Steel;,WISH;by Barbara O'Connor;,,,TURTLES ALL THE WAY DOWN;by John Green;
7,IMMORTAL BORN;by Lynsay Sands;New this week,THE GIRL WHO LIVED TWICE;by David Lagercrantz;5 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;21 weeks on the list,PERMANENT RECORD;by Edward Snowden;2 weeks on the list,EDUCATED;by Tara Westover;84 weeks on the list,OUTLIERS;by Malcolm Gladwell;293 weeks on the list,BOBBY AT HOME;by Bobby Flay with Stephanie Banyas and Sally Jackson;New this week,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;24 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;287 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;550 weeks on the list,LOKI: WHERE MISCHIEF LIES;by Mackenzi Lee;4 weeks on the list,VINCE FLYNN: LETHAL AGENT;by Kyle Mills;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,BAD BLOOD;by John Carreyrou;,SMILE;by Raina Telgemeier;,HOT SHOT;by Fern Michaels;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,,,THE SUN IS ALSO A STAR;by Nicola Yoon;
8,ARCHANGEL'S WAR;by Nalini Singh;New this week,KILLER INSTINCT;by James Patterson and Howard Roughan;3 weeks on the list,A SPARK OF LIGHT;by Jodi Picoult;New this week,CALL SIGN CHAOS;by Jim Mattis and Bing West;4 weeks on the list,CALL SIGN CHAOS;by Jim Mattis and Bing West;4 weeks on the list,ON TYRANNY;by Timothy Snyder;55 weeks on the list,EVERYTHING IS FIGUREOUTABLE;by Marie Forleo;3 weeks on the list,REFUGEE;by Alan Gratz;74 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;289 weeks on the list,THE BAD GUYS;by Aaron Blabey;50 weeks on the list,PERMANENT RECORD;by Mary H. K. Choi;4 weeks on the list,THE GOLDFINCH;by Donna Tartt;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,PUMPKINHEADS;by Rainbow Rowell. Illustrated by Faith Erin Hicks;,CONNECTIONS IN DEATH;by J.D. Robb;,GHOST BOYS;by Jewell Parker Rhodes;,,,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
9,THE GOLDFINCH;by Donna Tartt;51 weeks on the list,THE ORACLE;by Jonathan Cahn;4 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;30 weeks on the list,THE ONLY PLANE IN THE SKY;by Garrett M. Graff;3 weeks on the list,YEAR OF THE MONKEY;by Patti Smith;New this week,CALYPSO;by David Sedaris;17 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;77 weeks on the list",THE FIRE KEEPER;by J.C. Cervantes;3 weeks on the list,THREE CHEERS FOR KID MCGEAR!;by Sherri Duskey Rinker. Illustarted by A. G. Ford;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;518 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;82 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;,SAPIENS;by Yuval Noah Harari;,TOOLS AND WEAPONS;by Brad Smith and Carol Ann Browne;,BATMAN: DAMNED;by Brian Azzarello. Illustrated by Lee Bermejo;,THE GOLDFINCH;by Donna Tartt;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,,,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
10,THE HANDMAID'S TALE;by Margaret Atwood;30 weeks on the list,THE SECRETS WE KEPT;by Lara Prescott;4 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;69 weeks on the list,EXONERATED;by Dan Bongino;New this week,THE ONLY PLANE IN THE SKY;by Garrett M. Graff;3 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;221 weeks on the list",ANTONI IN THE KITCHEN;by Antoni Porowski with Mindy Fox;3 weeks on the list,A BEAUTIFUL DAY IN THE NEIGHBORHOOD;by Fred Rogers. Illustrated by Luke Flowers;23 weeks on the list,PETE THE CAT AND THE PERFECT PIZZA PARTY;by Kimberly and James Dean;2 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;59 weeks on the list,ON THE COME UP;by Angie Thomas;32 weeks on the list,THE SECRETS WE KEPT;by Lara Prescott;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",MIGHTY JACK AND ZITA THE SPACEGIRL;by Ben Hatke;,CRUCIBLE;by James Rollins;,I AM MALALA;by Malala Yousafzai with Patricia McCormick;,,,"EVERYTHING, EVERYTHING;by Nicola Yoon;"
