,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,ORIGIN;by Dan Brown;12 weeks on the list,THE ROOSTER BAR;by John Grisham;9 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;12 weeks on the list,GRANT;by Ron Chernow;11 weeks on the list,GRANT;by Ron Chernow;11 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;92 weeks on the list,THE PIONEER WOMAN COOKS: COME AND GET IT!;by Ree Drummond;9 weeks on the list,WONDER;by R.J. Palacio;124 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;77 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;458 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;11 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
2,THE ROOSTER BAR;by John Grisham;9 weeks on the list,ORIGIN;by Dan Brown;12 weeks on the list,MILK AND HONEY;by Rupi Kaur;89 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;10 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;10 weeks on the list,HORSE SOLDIERS;by Doug Stanton;2 weeks on the list,YOU ARE A BADASS;by Jen Sincero;102 weeks on the list,AUGGIE & ME;by R.J. Palacio;56 weeks on the list,THROUGH YOUR EYES;by Ainsley Earhardt. Illustrated by Ji-Hyuk Kim;4 weeks on the list,HARRY POTTER;by J.K. Rowling;457 weeks on the list,THE HATE U GIVE;by Angie Thomas;43 weeks on the list,CAPITAL GAINES;by Chip Gaines;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
3,THE SUN AND HER FLOWERS;by Rupi Kaur;12 weeks on the list,THE PEOPLE VS. ALEX CROSS;by James Patterson;5 weeks on the list,DARKER;by E.L. James;4 weeks on the list,"PROMISE ME, DAD;by Joe Biden;6 weeks on the list",OBAMA;by Pete Souza;7 weeks on the list,ON TYRANNY;by Timothy Snyder;43 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;54 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;26 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;200 weeks on the list,DOG MAN;by Dav Pilkey;17 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;26 weeks on the list,PRINCIPLES;by Ray Dalio;,ENDURANCE;by Scott Kelly;,THE BOYS IN THE BOAT;by Daniel James Brown;
4,THE PEOPLE VS. ALEX CROSS;by James Patterson;5 weeks on the list,ARTEMIS;by Andy Weir;6 weeks on the list,READY PLAYER ONE;by Ernest Cline;38 weeks on the list,OBAMA;by Pete Souza;7 weeks on the list,"PROMISE ME, DAD;by Joe Biden;6 weeks on the list",THE BOYS IN THE BOAT;by Daniel James Brown;137 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;10 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;21 weeks on the list,HERE WE ARE;by Oliver Jeffers;6 weeks on the list,DORK DIARIES;by Rachel Renée Russell;231 weeks on the list,THE BOOK OF DUST: LA BELLE SAUVAGE;by Philip Pullman;10 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
5,MILK AND HONEY;by Rupi Kaur;45 weeks on the list,THE MIDNIGHT LINE;by Lee Child;7 weeks on the list,IT;by Stephen King;19 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;33 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;34 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;13 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;5 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS 2;by Elena Favilli and Francesca Cavallo;New this week,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;30 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;98 weeks on the list,RENEGADES;by Marissa Meyer;7 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,HIDDEN FIGURES;by Margot Lee Shetterly;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;
6,DARKER;by E.L. James;4 weeks on the list,YEAR ONE;by Nora Roberts;3 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;38 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;14 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;14 weeks on the list,ELON MUSK;by Ashlee Vance;2 weeks on the list,CAPITAL GAINES;by Chip Gaines;10 weeks on the list,THE MAGIC MISFITS;by Neil Patrick Harris;5 weeks on the list,HOW TO CATCH AN ELF;by Adam Wallace. Illustrated by Andy Elkerton;7 weeks on the list,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;12 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;15 weeks on the list,SOAR!;by T.D. Jakes;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,FIERCE;by Aly Raisman;
7,THE MIDNIGHT LINE;by Lee Child;7 weeks on the list,TOM CLANCY POWER AND EMPIRE;by Marc Cameron;4 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;42 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;9 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;9 weeks on the list,BEING MORTAL;by Atul Gawande;16 weeks on the list,MAKE YOUR BED;by William H. McRaven;33 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;50 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;113 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;459 weeks on the list,WARCROSS;by Marie Lu;14 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEING MORTAL;by Atul Gawande;,SHAKEN;by Tim Tebow;
8,ARTEMIS;by Andy Weir;6 weeks on the list,END GAME;by David Baldacci;6 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;36 weeks on the list,BOBBY KENNEDY;by Chris Matthews;8 weeks on the list,BOBBY KENNEDY;by Chris Matthews;8 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;404 weeks on the list,PRINCIPLES;by Ray Dalio;12 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;13 weeks on the list,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;11 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;33 weeks on the list,FIERCE;by Aly Raisman;6 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;,WHAT IF?;by Randall Munroe;,"SNEAKERS;by Rodrigo Corral, Alex French and Howie Kahn;"
9,YEAR ONE;by Nora Roberts;3 weeks on the list,SLEEPING BEAUTIES;by Stephen King and Owen King;13 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;88 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;28 weeks on the list,WHAT HAPPENED;by Hillary Clinton;15 weeks on the list,COLLUSION;by Luke Harding;6 weeks on the list,TB12 METHOD;by Tom Brady;7 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;37 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;121 weeks on the list",THE BAD GUYS;by Aaron Blabey;New this week,THE LANGUAGE OF THORNS;by Leigh Bardugo. Illustrated by Sara Kipin;12 weeks on the list,THE SILK ROADS;by Peter Frankopan;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,ALI: A LIFE;by Jonathan Eig;
10,READY PLAYER ONE;by Ernest Cline;6 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;14 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;44 weeks on the list,LET TRUMP BE TRUMP;by Corey R. Lewandowski and David N. Bossie;3 weeks on the list,LET TRUMP BE TRUMP;by Corey R. Lewandowski and David N. Bossie;3 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;152 weeks on the list",TASTY LATEST AND GREATEST;by Tasty;New this week,THE DARK PROPHECY;by Rick Riordan;31 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;18 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;95 weeks on the list,FAR FROM THE TREE;by Robin Benway;3 weeks on the list,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",RELENTLESS;by Julian Edelman with Tom E. Curran;
