,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,RHYTHM OF WAR;by Brandon Sanderson;New this week,RHYTHM OF WAR;by Brandon Sanderson;New this week,HOME BODY;by Rupi Kaur;New this week,A PROMISED LAND;by Barack Obama;New this week,A PROMISED LAND;by Barack Obama;New this week,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;18 weeks on the list,FORGIVING WHAT YOU CAN'T FORGET;by Lysa TerKeurst;New this week,THE ICKABOG;by J.K. Rowling;2 weeks on the list,THE WORLD NEEDS WHO YOU WERE MADE TO BE;by Joanna Gaines. Illustrated by Julianna Swaney;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;610 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;35 weeks on the list,READY PLAYER TWO;by Ernest Cline;,A PROMISED LAND;by Barack Obama;,ATOMIC HABITS;by James Clear;,A WEALTH OF PIGEONS;by Steve Martin and Harry Bliss;,LEOPARD'S RAGE;by Christine Feehan;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,DAYLIGHT;by David Baldacci;New this week,DAYLIGHT;by David Baldacci;New this week,THEN SHE WAS GONE;by Lisa Jewell;71 weeks on the list,GREENLIGHTS;by Matthew McConaughey;5 weeks on the list,GREENLIGHTS;by Matthew McConaughey;5 weeks on the list,NO ONE ASKED FOR THIS;by Cazzie David;New this week,MODERN COMFORT FOOD;by Ina Garten;7 weeks on the list,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;16 weeks on the list,CONSTRUCTION SITE ON CHRISTMAS NIGHT;by Sherri Duskey Rinker. Illustrated by A. G. Ford;20 weeks on the list,DOG MAN;by Dav Pilkey;169 weeks on the list,THE HATE U GIVE;by Angie Thomas;195 weeks on the list,RHYTHM OF WAR;by Brandon Sanderson;,GREENLIGHTS;by Matthew McConaughey;,PAPPYLAND;by Wright Thompson;,GUTS;by Raina Telgemeier;,THE NIGHT FIRE;by Michael Connelly;,A LONG WALK TO WATER;by Linda Sue Park;,THE BOOK THIEF;by Markus Zusak;
3,HOME BODY;by Rupi Kaur;New this week,A TIME FOR MERCY;by John Grisham;6 weeks on the list,SHUGGIE BAIN;by Douglas Stuart;New this week,"DOLLY PARTON, SONGTELLER;by Dolly Parton with Robert K. Oermann;New this week","DOLLY PARTON, SONGTELLER;by Dolly Parton with Robert K. Oermann;New this week",THE BODY KEEPS THE SCORE;by Bessel van der Kolk;109 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;51 weeks on the list",THIS IS YOUR TIME;by Ruby Bridges;2 weeks on the list,5 MORE SLEEPS 'TIL CHRISTMAS;by Jimmy Fallon. Illustrated by Rich Deas;4 weeks on the list,KEEPER OF THE LOST CITIES;by Shannon Messenger;6 weeks on the list,THESE VIOLENT DELIGHTS;by Chloe Gong;New this week,THE LAW OF INNOCENCE;by Michael Connelly;,THE BEST OF ME;by David Sedaris;,DARE TO LEAD;by Brené Brown;,NEW KID;by Jerry Craft;,SPY;by Danielle Steel;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,DEAR MARTIN;by Nic Stone;
4,THE LAW OF INNOCENCE;by Michael Connelly;2 weeks on the list,THE LAW OF INNOCENCE;by Michael Connelly;2 weeks on the list,THE QUEEN'S GAMBIT;by Walter Tevis;2 weeks on the list,NO TIME LIKE THE FUTURE;by Michael J. Fox;New this week,NO TIME LIKE THE FUTURE;by Michael J. Fox;New this week,THE TRUTHS WE HOLD;by Kamala Harris;9 weeks on the list,ATOMIC HABITS;by James Clear;52 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;31 weeks on the list,THE CRAYONS' CHRISTMAS;by Drew Daywalt. Illustrated by Oliver Jeffers;13 weeks on the list,HARRY POTTER;by J.K. Rowling;609 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;147 weeks on the list,A TIME FOR MERCY;by John Grisham;,CASTE;by Isabel Wilkerson;,TEN LESSONS FOR A POST-PANDEMIC WORLD;by Fareed Zakaria;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",WHEN YOU SEE ME;by Lisa Gardner;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THEY BOTH DIE AT THE END;by Adam Silvera;
5,A TIME FOR MERCY;by John Grisham;6 weeks on the list,THE RETURN;by Nicholas Sparks;8 weeks on the list,INTERIOR CHINATOWN;by Charles Yu;New this week,FRONTIER FOLLIES;by Ree Drummond;New this week,FRONTIER FOLLIES;by Ree Drummond;New this week,WHITE FRAGILITY;by Robin DiAngelo;116 weeks on the list,THINK LIKE A MONK;by Jay Shetty;11 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;84 weeks on the list,HOW TO CATCH AN ELF;by Adam Wallace. Illustrated by Andy Elkerton;20 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;242 weeks on the list,THE INHERITANCE GAMES;by Jennifer Lynn Barnes;4 weeks on the list,FORTUNE AND GLORY;by Janet Evanovich;,CLANLANDS;by Sam Heughan and Graham McTavish;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",CLASS ACT;by Jerry Craft;,A CHRISTMAS MESSAGE;by Debbie Macomber;,LOOK BOTH WAYS;by Jason Reynolds;,FIVE TOTAL STRANGERS;by Natalie D. Richards;
6,ALL THAT GLITTERS;by Danielle Steel;New this week,ALL THAT GLITTERS;by Danielle Steel;New this week,THE INSTITUTE;by Stephen King;12 weeks on the list,BECOMING;by Michelle Obama;86 weeks on the list,BECOMING;by Michelle Obama;93 weeks on the list,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;32 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;26 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;29 weeks on the list,AN ELEPHANT AND PIGGIE: BIGGIE-BIGGIE-BIGGIE!;by Mo Willems;2 weeks on the list,THE BAD GUYS;by Aaron Blabey;102 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;24 weeks on the list,THE SENTINEL;by Lee Child and Andrew Child;,BECOMING;by Michelle Obama;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,HAPPY NARWHALIDAYS;by Ben Clanton;,THE MUSEUM OF DESIRE;by Jonathan Kellerman;,WISH;by Barbara O'Connor;,SIX OF CROWS;by Leigh Bardugo;
7,TOM CLANCY: SHADOW OF THE DRAGON;by Marc Cameron;New this week,THE SENTINEL;by Lee Child and Andrew Child;4 weeks on the list,MILK AND HONEY;by Rupi Kaur;166 weeks on the list,CASTE;by Isabel Wilkerson;16 weeks on the list,CASTE;by Isabel Wilkerson;16 weeks on the list,SHADE;by Pete Souza;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;328 weeks on the list,"FOOD NETWORK MAGAZINE: THE BIG, FUN KIDS COOKBOOK;by Food Network Magazine;7 weeks on the list",HOW TO CATCH A TURKEY;by Adam Wallace. Illustrated by Andy Elkerton;8 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;50 weeks on the list,DEAR JUSTYCE;by Nic Stone;8 weeks on the list,DAYLIGHT;by David Baldacci;,UNTAMED;by Glennon Doyle;,LEADERSHIP;by Doris Kearns Goodwin;,BLADES OF FREEDOM;by Nathan Hale;,WYOMING TRUE;by Diana Palmer;,OUT OF MY MIND;by Sharon M. Draper;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
8,THE SENTINEL;by Lee Child and Andrew Child;4 weeks on the list,FORTUNE AND GLORY;by Janet Evanovich;3 weeks on the list,THIS TENDER LAND;by William Kent Krueger;21 weeks on the list,UNTAMED;by Glennon Doyle;37 weeks on the list,THE ANSWER IS ...;by Alex Trebek;8 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;47 weeks on the list,"HEROES' FEAST: THE OFFICIAL DUNGEONS & DRAGONS COOKBOOK;by Kyle Newman, Jon Peterson and Michael Witwer, with recipes by Adam Ried;4 weeks on the list",WONDER;by R.J. Palacio;275 weeks on the list,PETE THE CAT'S 12 GROOVY DAYS OF CHRISTMAS;by Kimberly and James Dean;16 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;54 weeks on the list,ALL THIS TIME;by Mikki Daughtry and Rachael Lippincott;8 weeks on the list,THE GUEST LIST;by Lucy Foley;,NO TIME LIKE THE FUTURE;by Michael J. Fox;,POST CORONA;by Scott Galloway;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,THE RIVER MURDERS;by James Patterson and James O. Born;,BLENDED;by Sharon M. Draper;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,THE RETURN;by Nicholas Sparks;8 weeks on the list,TOM CLANCY: SHADOW OF THE DRAGON;by Marc Cameron;New this week,CIRCE;by Madeline Miller;25 weeks on the list,THE ANSWER IS ...;by Alex Trebek;5 weeks on the list,UNTAMED;by Glennon Doyle;37 weeks on the list,SAPIENS;by Yuval Noah Harari;119 weeks on the list,PIEOMETRY;by Lauren Ko;New this week,BECOMING MUHAMMAD ALI;by James Patterson and Kwame Alexander;7 weeks on the list,THE OFFICE: A DAY AT DUNDER MIFFLIN ELEMENTARY;by Robb Pearlman. Illustrated by Melanie Demmer;8 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;554 weeks on the list,KINGDOM OF THE WICKED;by Kerri Maniscalco;4 weeks on the list,THE AWAKENING;by Nora Roberts;,"DOLLY PARTON, SONGTELLER;by Dolly Parton with Robert K. Oermann;",EDISON;by Edmund Morris;,SMILE;by Raina Telgemeier;,SPIRIT OF THE SEASON;by Fern Michaels;,A TALE OF MAGIC...;by Chris Colfer;,THE GRACE YEAR;by Kim Liggett;
10,FORTUNE AND GLORY;by Janet Evanovich;3 weeks on the list,PIECE OF MY HEART;by Mary Higgins Clark and Alafair Burke;New this week,WHAT KIND OF WOMAN;by Kate Baer;2 weeks on the list,HRH;by Elizabeth Holmes;New this week,HRH;by Elizabeth Holmes;New this week,WHAT UNITES US;by Dan Rather and Elliot Kirschner;6 weeks on the list,THIS JUST SPEAKS TO ME;by Hoda Kotb with Jane Lorenzini;5 weeks on the list,A TALE OF WITCHCRAFT...;by Chris Colfer;8 weeks on the list,AN ELEPHANT AND PIGGIE BIGGIE!;by Mo Willems;17 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;92 weeks on the list,LOVE & OLIVES;by Jenna Evans Welch;2 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BLACKOUT;by Candace Owens;,MAKE LIFE BEAUTIFUL;by Shea McGee and Syd McGee;,"MY HERO ACADEMIA, VOL. 2;by Kohei Horikoshi;",A MACGREGOR CHRISTMAS;by Nora Roberts;,THE WILD ROBOT;by Peter Brown;,SERPENT AND DOVE;by Shelby Mahurin;
