,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,THE 17TH SUSPECT;by James Patterson and Maxine Paetro;New this week,THE 17TH SUSPECT;by James Patterson and Maxine Paetro;New this week,INTO THE WATER;by Paula Hawkins;New this week,A HIGHER LOYALTY;by James Comey;3 weeks on the list,A HIGHER LOYALTY;by James Comey;3 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;New this week,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;2 weeks on the list,WONDER;by R.J. Palacio;143 weeks on the list,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;7 weeks on the list,COURT OF THORNS AND ROSES;by Sarah J. Maas;8 weeks on the list,THE HATE U GIVE;by Angie Thomas;62 weeks on the list,READY PLAYER ONE;by Ernest Cline;,A HIGHER LOYALTY;by James Comey;,DEAR MADAM PRESIDENT;by Jennifer Palmieri;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,TIGER WOODS;by Jeff Benedict and Armen Keteyian;
2,THE FALLEN;by David Baldacci;3 weeks on the list,THE FALLEN;by David Baldacci;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;62 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;10 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;10 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;5 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;73 weeks on the list,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;5 weeks on the list,LLAMA LLAMA LOVES TO READ;by Anna Dewdney and Reed Duncan. Illustrated by J.T. Morrow;New this week,THE TRIALS OF APOLLO;by Rick Riordan;New this week,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;9 weeks on the list,THE FALLEN;by David Baldacci;,I'LL BE GONE IN THE DARK;by Michelle McNamara;,PRINCIPLES;by Ray Dalio;,A BRIEF HISTORY OF TIME;by Stephen Hawking;,NORTH;by Scott Jurek with Jenny Jurek;
3,TWISTED PREY;by John Sandford;2 weeks on the list,TWISTED PREY;by John Sandford;2 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;31 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;74 weeks on the list,WAR ON PEACE;by Ronan Farrow;2 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;New this week,YOU ARE A BADASS;by Jen Sincero;121 weeks on the list,REBOUND;by Kwame Alexander. Illustrated by Dawud Anyabwile;5 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;132 weeks on the list,DOG MAN;by Dav Pilkey;36 weeks on the list,LEAH ON THE OFFBEAT;by Becky Albertalli;2 weeks on the list,SCOURGED;by Kevin Hearne;,BORN A CRIME;by Trevor Noah;,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,SAPIENS;by Yuval Noah Harari;,LET YOUR MIND RUN;by Deena Kastor and Michelle Hamilton;
4,THE MIDNIGHT LINE;by Lee Child;11 weeks on the list,THE MARS ROOM;by Rachel Kushner;New this week,COME SUNDOWN;by Nora Roberts;2 weeks on the list,EDUCATED;by Tara Westover;11 weeks on the list,FASCISM: A Warning;by Madeleine Albright with Bill Woodward;4 weeks on the list,SHOE DOG;by Phil Knight;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;241 weeks on the list,THE WILD ROBOT ESCAPES;by Peter Brown;8 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;34 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;477 weeks on the list,ASH PRINCESS;by Laura Sebastian;2 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;,THE POWER OF HABIT;by Charles Duhigg;,GRIT;by Angela Duckworth;,WHO WE ARE AND HOW WE GOT HERE;by David Reich;,THINGS THAT MAKE WHITE PEOPLE UNCOMFORTABLE;by Michael Bennett and Dave Zirin;
5,SOMEONE TO CARE;by Mary Balogh;New this week,THE PERFECT MOTHER;by Aimee Molloy;New this week,MILK AND HONEY;by Rupi Kaur;108 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;46 weeks on the list,EDUCATED;by Tara Westover;11 weeks on the list,BEHAVE;by Robert M. Sapolsky;New this week,"GIRL, WASH YOUR FACE;by Rachel Hollis;4 weeks on the list","HELLO, UNIVERSE;by Erin Entrada Kelly;12 weeks on the list",HOW TO BABYSIT A GRANDMA;by Jean Reagan. Illustrated by Lee Wildish;12 weeks on the list,HARRY POTTER;by J.K. Rowling;476 weeks on the list,THE FATES DIVIDE;by Veronica Roth;4 weeks on the list,THE GREAT ALONE;by Kristin Hannah;,EDUCATED;by Tara Westover;,RADICAL CANDOR;by Kim Scott;,ENLIGHTENMENT NOW;by Steven Pinker;,SHAKEN;by Tim Tebow;
6,DARK QUEEN;by Faith Hunter;New this week,THE FORGOTTEN ROAD;by Richard Paul Evans;New this week,READY PLAYER ONE;by Ernest Cline;57 weeks on the list,WAR ON PEACE;by Ronan Farrow;2 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;53 weeks on the list,JUST MERCY;by Bryan Stevenson;102 weeks on the list,EVERYBODY ALWAYS;by Bob Goff;3 weeks on the list,THE WILD ROBOT;by Peter Brown;25 weeks on the list,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR;by Eric Carle;5 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;117 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;30 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,ON GRAND STRATEGY;by John Lewis Gaddis;,BEING MORTAL;by Atul Gawande;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
7,THE PERFECT MOTHER;by Aimee Molloy;New this week,ADJUSTMENT DAY;by Chuck Palahniuk;New this week,TWO KINDS OF TRUTH;by Michael Connelly;New this week,FASCISM: A Warning;by Madeleine Albright with Bill Woodward;4 weeks on the list,THE LIGHT WITHIN ME;by Ainsley Earhardt with Mark Tabb;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;170 weeks on the list",I'VE BEEN THINKING ...;by Maria Shriver;10 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;65 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;141 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;469 weeks on the list,THE HAZEL WOOD;by Melissa Albert;14 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,THE LAST BLACK UNICORN;by Tiffany Haddish;,THE POWER OF HABIT;by Charles Duhigg;,ROCKET MEN;by Robert Kurson;,THE BOYS IN THE BOAT;by Daniel James Brown;
8,THE GREAT ALONE;by Kristin Hannah;13 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;33 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;2 weeks on the list,THE ASSAULT ON INTELLIGENCE;by Michael V. Hayden;New this week,THE ASSAULT ON INTELLIGENCE;by Michael V. Hayden;New this week,NOT THAT BAD;edited by Roxane Gay;New this week,THE CLEAN 20;by Ian K. Smith;4 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;24 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;219 weeks on the list,THE BAD GUYS;by Aaron Blabey;15 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;44 weeks on the list,ALL SYSTEMS RED;by Martha Wells;,THE LOST AIRMAN;by Seth Meyerowitz with Peter F. Stevens;,WHEN;by Daniel H. Pink;,DOES IT FART?;by Nick Caruso and Dani Rabaiotti. Illustrated by Ethan Kocak;,FROM THE OUTSIDE;by Ray Allen with Michael Arkush;
9,LITTLE FIRES EVERYWHERE;by Celeste Ng;28 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;33 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;11 weeks on the list,THE LAST CASTLE;by Denise Kiernan;2 weeks on the list,OBAMA;by Pete Souza;19 weeks on the list,BEING MORTAL;by Atul Gawande;35 weeks on the list,MAKE YOUR BED;by William H. McRaven;44 weeks on the list,ENDLING: THE LAST;by Katherine Applegate. Illustrated by Max Kostenko;New this week,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;14 weeks on the list,DORK DIARIES;by Rachel Renée Russell;250 weeks on the list,I HAVE LOST MY WAY;by Gayle Forman;6 weeks on the list,TWISTED PREY;by John Sandford;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE POWER OF HABIT;by Charles Duhigg;,HANG TIME;by Elgin Baylor with Alan Eisenstock;
10,ROBERT B. PARKER'S OLD BLACK MAGIC;by Ace Atkins;New this week,THE HELLFIRE CLUB;by Jake Tapper;2 weeks on the list,THE LYING GAME;by Ruth Ware;9 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;52 weeks on the list,SUICIDE OF THE WEST;by Jonah Goldberg;2 weeks on the list,THE LAST CASTLE;by Denise Kiernan;New this week,THE PLANT PARADOX;by Steven R. Gundry;14 weeks on the list,ARU SHAH AND THE END OF TIME;by Roshani Chokshi;6 weeks on the list,WHAT DO YOU DO WITH A CHANCE?;by Kobi Yamada. Illustrated by Mae Besom;3 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;141 weeks on the list,EMERGENCY CONTACT;by Mary H. K. Choi;4 weeks on the list,GONE TO DUST;by Matt Goldman;,SAPIENS;by Yuval Noah Harari;,MEASURE WHAT MATTERS;by John Doerr;,WHEN;by Daniel H. Pink;,BARBARIAN DAYS;by William Finnegan;
