,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,X;by Sue Grafton;New this week,X;by Sue Grafton;New this week,THE MARTIAN;by Andy Weir;44 weeks on the list,,,IT IS ABOUT ISLAM;by Glenn Beck;2 weeks on the list,PLUNDER AND DECEIT;by Mark R. Levin;4 weeks on the list,IT IS ABOUT ISLAM;by Glenn Beck;2 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;84 weeks on the list,RISING STRONG;by Brené Brown;New this week,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;168 weeks on the list,FUN HOME;by Alison Bechdel;37 weeks on the list,"ATTACK ON TITAN, VOL. 16;by Hajime Isayama;New this week",WONDER;by R.J. Palacio;3 weeks on the list,WONDER;by R.J. Palacio;3 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;3 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;2 weeks on the list,THE MAZE RUNNER;by James Dashner;151 weeks on the list,UNTIL FRIDAY NIGHT;by Abbi Glines;New this week,LAIR OF DREAMS;by Libba Bray;New this week,PAPER TOWNS;by John Green;3 weeks on the list,VOICES IN THE OCEAN;by Susan Casey;,OUTLIERS;by Malcolm Gladwell;,DOWN THE RABBIT HOLE;by Holly Madison;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE BILLION DOLLAR SPY;by David E. Hoffman;,THE WRIGHT BROTHERS;by David McCullough;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,SECRET GARDEN;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE GLASS CASTLE;by Jeannette Walls;,PLUNDER AND DECEIT;by Mark R. Levin;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,IT IS ABOUT ISLAM;by Glenn Beck;,THE WRIGHT BROTHERS;by David McCullough;,THE BOYS IN THE BOAT;by Daniel James Brown;,WILD;by Cheryl Strayed;
2,THE GIRL ON THE TRAIN;by Paula Hawkins;33 weeks on the list,GO SET A WATCHMAN;by Harper Lee;7 weeks on the list,GREY;by E. L. James;11 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;67 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;7 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;66 weeks on the list,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;10 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;44 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;69 weeks on the list,PERSEPOLIS;by Marjane Satrapi;56 weeks on the list,"TOKYO GHOUL, VOL. 2;by Sui Ishida;2 weeks on the list",SERAFINA AND THE BLACK CLOAK;by Robert Beatty;3 weeks on the list,THE ISLE OF THE LOST;by Melissa de la Cruz;2 weeks on the list,MAX;by Boaz Yakin and Sheldon Lettich;3 weeks on the list,WHAT PET SHOULD I GET?;by Dr. Seuss;5 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;56 weeks on the list,PAPER TOWNS;by John Green;3 weeks on the list,RED QUEEN;by Victoria Aveyard;3 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;3 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;",YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST);by Felicia Day;,JUST MERCY;by Bryan Stevenson;,BAD FEMINIST;by Roxane Gay;,HOW TO READ LITERATURE LIKE A PROFESSOR;by Thomas C. Foster;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,DEAD WAKE;by Erik Larson;,THE FRENCH BEAUTY SOLUTION;by Mathilde Thomas;,THUG KITCHEN;by the staff of Thug Kitchen;,ENCHANTED FOREST;illustrated by Johanna Basford;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,SELP-HELF;by Miranda Sings;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,JUST MERCY;by Bryan Stevenson;,FOR THE LOVE;by Jen Hatmaker;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,A WALK IN THE WOODS;by Bill Bryson;
3,THE MARTIAN;by Andy Weir;14 weeks on the list,THE NATURE OF THE BEAST;by Louise Penny;New this week,THE ALCHEMIST;by Paulo Coelho;369 weeks on the list,,,PLUNDER AND DECEIT;by Mark R. Levin;4 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;17 weeks on the list,A WALK IN THE WOODS;by Bill Bryson;96 weeks on the list,DEAD WAKE;by Erik Larson;25 weeks on the list,FOR THE LOVE;by Jen Hatmaker;2 weeks on the list,IN SEARCH OF LOST TIME: SWANN'S WAY;by Marcel Proust. Adapted and illustrated by Stéphane Heuet. Translated by Arthur Goldhammer;8 weeks on the list,DRAMA;by Raina Telgemeier;109 weeks on the list,"NARUTO, VOL. 71;by Masashi Kishimoto;4 weeks on the list",HITLER'S LAST DAYS;by Bill O'Reilly;3 weeks on the list,PERCY JACKSON'S GREEK HEROES;by Rick Riordan. Illustrated by John Rocco;2 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;3 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;114 weeks on the list,DESCENDANTS;by various authors;2 weeks on the list,THE FAULT IN OUR STARS;by John Green;2 weeks on the list,ELEANOR AND PARK;by Rainbow Rowell;3 weeks on the list,LOOKING FOR ALASKA;by John Green;3 weeks on the list,BEYOND WORDS;by Carl Safina;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE LAST LOVE SONG;by Tracy Daugherty;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,AVENUE OF SPIES;by Alex Kershaw;,INTO THE WILD;by Jon Krakauer;,THE RESIDENCE;by Kate Andersen Brower;,BRAIN MAKER;by David Perlmutter with Kristin Loberg;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,BLACKOUT;by Sarah Hepola;,YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST);by Felicia Day;,BORN TO RUN;by Christopher McDougall;,DARING GREATLY;by Brené Brown;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,IT IS ABOUT ISLAM;by Glenn Beck;,THE NEW JIM CROW;by Michelle Alexander;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,QUIET;by Susan Cain;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,THE OREGON TRAIL;by Rinker Buck;
4,THE NATURE OF THE BEAST;by Louise Penny;New this week,THE GIRL ON THE TRAIN;by Paula Hawkins;33 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;3 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;7 weeks on the list,BEING MORTAL;by Atul Gawande;47 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;13 weeks on the list,TELL ME WHERE IT HURTS;by Nick Trout;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;118 weeks on the list,BABA YAGA’S ASSISTANT;by Marika McCoola and Emily Carroll;3 weeks on the list,SMILE;by Raina Telgemeier;168 weeks on the list,"MONSTER MUSUME, VOL. 7;by Okayado;3 weeks on the list",THE ISLE OF THE LOST;by Melissa de la Cruz;2 weeks on the list,AUGGIE & ME;by R.J. Palacio;2 weeks on the list,COUNTING BY 7s;by Holly Goldberg Sloan;3 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;48 weeks on the list,GIVER QUARTET;by Lois Lowry;92 weeks on the list,THE BOOK THIEF;by Markus Zusak;2 weeks on the list,WE ALL LOOKED UP;by Tommy Wallach;3 weeks on the list,THE BOOK THIEF;by Markus Zusak;3 weeks on the list,TELL ME WHERE IT HURTS;by Nick Trout;,ELON MUSK;by Ashlee Vance;,SICK IN THE HEAD;by Judd Apatow;,ORANGE IS THE NEW BLACK;by Piper Kerman;,MARK TWAIN: MAN IN WHITE;by Michael Shelden;,"EVERYTHING'S AN ARGUMENT;by Andrea A. Lunsford, John J. Ruszkiewicz and Keith Walters;",OUR MAN IN CHARLESTON;by Christopher Dickey;,BARBARIAN DAYS;by William Finnegan;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK;Illustrated by Marty Noble;,THE BLUE ZONES SOLUTION;by Dan Buettner;,SICK IN THE HEAD;by Judd Apatow;,SHORT NIGHTS OF THE SHADOW CATCHER;by Timothy Egan;,LOVE DOES;by Bob Goff;,ETCHED IN SAND;by Regina Calcaterra;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE OTHER WES MOORE;by Wes Moore;,JESUS CALLING;by Sarah Young;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BARBARIAN DAYS;by William Finnegan;,BARBARIAN DAYS;by William Finnegan;
5,WILDEST DREAMS;by Robyn Carr;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;69 weeks on the list,GRAY MOUNTAIN;by John Grisham;2 weeks on the list,,,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;11 weeks on the list,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;11 weeks on the list,OUTLIERS;by Malcolm Gladwell;202 weeks on the list,MARK TWAIN: MAN IN WHITE;by Michael Shelden;New this week,SELP-HELF;by Miranda Sings;6 weeks on the list,SPACE DUMPLINS;by Craig Thompson;New this week,"FAIREST, VOL. 5;by Mark Buckingham, Bill Willingham and Russ Braun;New this week","TOKYO GHOUL, VOL. 1;by Sui Ishida;11 weeks on the list",THE FINISHER;by David Baldacci;3 weeks on the list,FRANCINE POULET MEETS THE GHOST RACCOON;by Kate DiCamillo. Illustrated by Chris Van Dusen;New this week,OUT OF MY MIND;by Sharon M. Draper;3 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;204 weeks on the list",I SURVIVED;by Lauren Tarshis;9 weeks on the list,OFF THE PAGE;by Jodi Picoult and Samantha van Leer;2 weeks on the list,P. S. I STILL LOVE YOU;by Jenny Han;3 weeks on the list,ME AND EARL AND THE DYING GIRL;by Jesse Andrews;3 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,THE POWER OF HABIT;by Charles Duhigg;,BOSSYPANTS;by Tina Fey;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,THE SECRET HISTORY OF WONDER WOMAN;by Jill Lepore;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,A SPY AMONG FRIENDS;by Ben Macintyre;,THE ASTRONAUT WIVES CLUB;by Lily Koppel;,HOW TO TIE A SCARF;by the staff of Potter Style;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,MONSTER MANUAL;by Wizards RPG Team;,MY LOBOTOMY;by Howard Dully and Charles Fleming;,BOSSYPANTS;by Tina Fey;,INDEPENDENCE LOST;by Kathleen DuVal;,H IS FOR HAWK;by Helen Macdonald;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,UNBROKEN;by Laura Hillenbrand;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE ROAD TO CHARACTER;by David Brooks;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,YES!;by Daniel Bryan and Craig Tello;,NINE LIVES;by Dan Baum;
6,GO SET A WATCHMAN;by Harper Lee;7 weeks on the list,THE TAMING OF THE QUEEN;by Philippa Gregory;New this week,EVERYTHING I NEVER TOLD YOU;by Celeste Ng;13 weeks on the list,,,DEAD WAKE;by Erik Larson;25 weeks on the list,YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST);by Felicia Day;3 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;298 weeks on the list,PRINCESS;by Jean Sasson;2 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;57 weeks on the list,THE THRILLING ADVENTURES OF LOVELACE AND BABBAGE;by Sydney Padua;19 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;56 weeks on the list","CITRUS, VOL. 3;by Saburouta;2 weeks on the list",,HITLER'S LAST DAYS;by Bill O'Reilly;3 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;3 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;84 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;372 weeks on the list,,FANGIRL;by Rainbow Rowell;3 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;3 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,MONEY: MASTER THE GAME;by Tony Robbins;,YES PLEASE;by Amy Poehler;,BRINGING ADAM HOME;by Les Standiford with Joe Matthews;,THE LIVES OF THE MUSES;by Francine Prose;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,THE STORM OF THE CENTURY;by Al Roker;,RED;by Jacky Colliss Harvey;,THE BLUE ZONES SOLUTION;by Dan Buettner;,PLAYER'S HANDBOOK;by Wizards RPG Team;,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,YES PLEASE;by Amy Poehler;,,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,THE ASTRONAUT WIVES CLUB;by Lily Koppel;,JUST MERCY;by Bryan Stevenson;,CITIZEN;by Claudia Rankine;,DESTINY;by T. D. Jakes;,ELON MUSK;by Ashlee Vance;,SABAN;by Monte Burke;,THE LOST ART OF READING NATURE'S SIGNS;by Tristan Gooley;
7,FRICTION;by Sandra Brown;2 weeks on the list,SECONDHAND SOULS;by Christopher Moore;New this week,READY PLAYER ONE;by Ernest Cline;10 weeks on the list,,,THE WRIGHT BROTHERS;by David McCullough;17 weeks on the list,DEAD WAKE;by Erik Larson;25 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;374 weeks on the list,WILD;by Cheryl Strayed;147 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;19 weeks on the list,THE SCULPTOR;by Scott McCloud;26 weeks on the list,AMERICAN BORN CHINESE;by Gene Luen Yang;2 weeks on the list,"IS IT WRONG TO TRY TO PICK UP GIRLS IN A DUNGEON?, VOL. 2;by Fujino Omori and Kunieda;New this week",,BROWN GIRL DREAMING;by Jacqueline Woodson;3 weeks on the list,THE FINISHER;by David Baldacci;3 weeks on the list,PRESS HERE;by Hervé Tullet;207 weeks on the list,THE SELECTION;by Kiera Cass;53 weeks on the list,,ALL THE BRIGHT PLACES;by Jennifer Niven;3 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;3 weeks on the list,WAR OF THE WHALES;by Joshua Horwitz;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,TINSELTOWN;by William J. Mann;,DYLAN GOES ELECTRIC!;by Elijah Wald;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,THE GOOD SPY;by Kai Bird;,ASTORIA;by Peter Stark;,AUDREY AT HOME;by Luca Dotti;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HACKS FOR MINECRAFTERS;by Megan Miller;,EAT TO LIVE;by Joel Fuhrman;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,CITIZEN;by Claudia Rankine;,H IS FOR HAWK;by Helen Macdonald;,THE NEW JIM CROW;by Michelle Alexander;,WARRIORS DON'T CRY;by Melba Pattillo Beals;,THE POWER OF NOW;by Eckhart Tolle;,DAVID AND GOLIATH;by Malcolm Gladwell;,FRIDAY NIGHT LIGHTS;by H. G. Bissinger;,PIRATE HUNTERS;by Robert Kurson;
8,GRAY MOUNTAIN;by John Grisham;18 weeks on the list,FRICTION;by Sandra Brown;2 weeks on the list,DARK PLACES;by Gillian Flynn;95 weeks on the list,,,THE DEVIL IN THE WHITE CITY;by Erik Larson;10 weeks on the list,NEUROTRIBES;by Steve Silberman;New this week,THE NEW JIM CROW;by Michelle Alexander;100 weeks on the list,UNBROKEN;by Laura Hillenbrand;222 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;96 weeks on the list,THE ESSENTIAL DYKES TO WATCH OUT FOR;by Alison Bechdel;2 weeks on the list,SISTERS;by Raina Telgemeier;54 weeks on the list,"TRINITY SEVEN, VOL. 2;by Kenji Saitou;New this week",,I AM MALALA;by Malala Yousafzai with Patricia McCormick;2 weeks on the list,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;3 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;New this week,HARRY POTTER;by J.K. Rowling;336 weeks on the list,,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;2 weeks on the list,REALLY PROFESSIONAL INTERNET PERSON;by Jenn McAllister;New this week,THE SECOND-CHANCE DOG;by Jon Katz;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,A WORK IN PROGRESS;by Connor Franta;,LYING IN WAIT;by Ann Rule;,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;,THE GIFT OF FAILURE;by Jessica Lahey;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",IN THE KINGDOM OF ICE;by Hampton Sides;,THE REASON FOR FLOWERS;by Stephen Buchmann;,FRANKLIN BARBECUE;by Aaron Franklin and Jordan Mackay;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE HORMONE RESET DIET;by Sara Gottfried;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,PRIMATES OF PARK AVENUE;by Wednesday Martin;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,BOUNDARIES;by Henry Cloud and John Townsend;,MY LOBOTOMY;by Howard Dully and Charles Fleming;,THE BEST TEAM MONEY CAN BUY;by Molly Knight;,THE HUNTING AND GATHERING SURVIVAL MANUAL;by Tim MacWelch;
9,SMALL WARS;by Lee Child;2 weeks on the list,ALERT;by James Patterson and Michael Ledwidge;4 weeks on the list,THE GOLDFINCH;by Donna Tartt;21 weeks on the list,,,BEING MORTAL;by Atul Gawande;45 weeks on the list,THE ROAD TO CHARACTER;by David Brooks;20 weeks on the list,JUST MERCY;by Bryan Stevenson;2 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;16 weeks on the list,DESTINY;by T. D. Jakes;4 weeks on the list,"BONE, NO. 1 (TRIBUTE EDITION);by Jeff Smith;13 weeks on the list",THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;17 weeks on the list,"ASSASSINATION CLASSROOM, VOL. 5;by Yusei Matsui;2 weeks on the list",,FISH IN A TREE;by Lynda Mullaly Hunt;3 weeks on the list,THE PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;3 weeks on the list,PRINCE FLY GUY;by Tedd Arnold;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;338 weeks on the list,,SAINT ANYTHING;by Sarah Dessen;3 weeks on the list,HOLLOW CITY;by Ransom Riggs;3 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,"TEAM OF TEAMS;by Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell;",DEAN & ME (A LOVE STORY);by Jerry Lewis and James Kaplan;,MISSOULA;by Jon Krakauer;,ON WRITING;by Stephen King;,THANK YOU FOR ARGUING;by Jay Heinrichs;,RED NOTICE;by Bill Browder;,SHADOW DIVERS;by Robert Kurson;,MADEMOISELLE;by Rhonda K. Garelick;,GOOD AND CHEAP;by Leanne Brown;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",AGING BACKWARDS;by Miranda Esmonde-White;,DEAN & ME (A LOVE STORY);by Jerry Lewis and James Kaplan;,,BAD FEMINIST;by Roxane Gay;,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,THE BILLION DOLLAR SPY;by David E. Hoffman;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,VOICES IN THE OCEAN;by Susan Casey;,"IT'S GOOD TO BE GRONK;by Rob ""Gronk"" Gronkowski with Jason Rosenhaus;",UGANDA BE KIDDING ME;by Chelsea Handler;
10,THE TAMING OF THE QUEEN;by Philippa Gregory;New this week,THE NIGHTINGALE;by Kristin Hannah;30 weeks on the list,STATION ELEVEN;by Emily St. John Mandel;12 weeks on the list,,,A WALK IN THE WOODS;by Bill Bryson;2 weeks on the list,A FULL LIFE;by Jimmy Carter;7 weeks on the list,WILD;by Cheryl Strayed;125 weeks on the list,A BRIEF HISTORY OF TIME;by Stephen Hawking;New this week,DARING GREATLY;by Brené Brown;54 weeks on the list,SECONDS;by Bryan Lee O'Malley;54 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;26 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;111 weeks on the list",,FUZZY MUD;by Louis Sachar;2 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;2 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;39 weeks on the list,DORK DIARIES;by Rachel Renée Russell;137 weeks on the list,,WE WERE LIARS;by E. Lockhart;2 weeks on the list,THE FAULT IN OUR STARS;by John Green;3 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,THIS CHANGES EVERYTHING;by Naomi Klein;,IT'S A LONG STORY;by Willie Nelson with David Ritz;,HOPE;by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan;,HOLD STILL;by Sally Mann;,BRAINSTORM;by Daniel J. Siegel;,OPERATION PAPERCLIP;by Annie Jacobsen;,PIRATE HUNTERS;by Robert Kurson;,MY PARIS DREAM;by Kate Betts;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",GUT;by Giulia Enders. Illustrations by Jill Enders;,HYPERBOLE AND A HALF;by Allie Brosh;,,HOW TO LOVE;by Thich Nhat Hanh. Illustrated by Jason DeAntonis;,THE GIFT OF FAILURE;by Jessica Lahey;,A FULL LIFE;by Jimmy Carter;,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;,THE GRATITUDE DIARIES;by Janice Kaplan;,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,"WHEN THE GAME WAS OURS;by Larry Bird, Earvin ""Magic"" Johnson and Jackie MacMullan;",THE ULTIMATE SURVIVAL MANUAL;by Rich Johnson and the editors of Outdoor Life;
