,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE LUCKY ONE;by Nicholas Sparks;New this week,THE SHACK;by William P. Young;20 weeks on the list,,THE SNOWBALL;by Alice Schroeder;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;88 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;26 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;2 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;New this week,THE BOOK THIEF;by Markus Zusak;56 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;4 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;61 weeks on the list
2,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;17 weeks on the list,THE SECRET LIFE OF BEES;by Sue Monk Kidd;16 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;3 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;89 weeks on the list",GIADA’S KITCHEN;by Giada De Laurentiis;New this week,A NEW EARTH;by Eckhart Tolle;36 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;77 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;36 weeks on the list,TEA FOR RUBY;by Sarah Ferguson. Illustrated by Robin Preiss Glasser;2 weeks on the list,INHERITANCE;by Christopher Paolini;3 weeks on the list
3,ONE FIFTH AVENUE;by Candace Bushnell;2 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;5 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;4 weeks on the list",THE AUDACITY OF HOPE;by Barack Obama;41 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;3 weeks on the list,SKINNY BITCH;by Kim Barnouin;65 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;38 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;9 weeks on the list,ON A SCARY SCARY NIGHT;by Walter Wick;4 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;6 weeks on the list
4,HEAT LIGHTNING;by John Sandford;2 weeks on the list,NIGHTS IN RODANTHE;by Nicholas Sparks;9 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;2 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;116 weeks on the list,THE SECRET;by Rhonda Byrne;91 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;381 weeks on the list,THE MAZE OF BONES;by Rick Riordan;4 weeks on the list,RULES;by Cynthia Lord;5 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;47 weeks on the list,INKHEART;by Cornelia Funke;2 weeks on the list
5,TSAR;by Ted Bell;2 weeks on the list,THE CHOICE;by Nicholas Sparks;7 weeks on the list,,THE LIMITS OF POWER;by Andrew Bacevich;8 weeks on the list,SARAH;by Kaylene Johnson;5 weeks on the list,BEFORE YOU DO;by T. D. Jakes;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;67 weeks on the list,NATION;by Terry Pratchett;New this week,THE ALCHEMYST;by Michael Scott;6 weeks on the list,WE THE PEOPLE;by Lynne Cheney. Illustrated by Greg Harlin;3 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;19 weeks on the list
6,THE OTHER QUEEN;by Philippa Gregory;3 weeks on the list,SUNSET;by Karen Kingsbury;2 weeks on the list,,PIECES OF MY HEART;by Robert J. Wagner and Scott Eyman;2 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;102 weeks on the list,BREAKTHROUGH;by Suzanne Somers;4 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;51 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;4 weeks on the list,NICK AND NORAH’S INFINITE PLAYLIST;by Rachel Cohn and David Levithan;3 weeks on the list,THE 7 HABITS OF HAPPY KIDS;by Sean Covey. Illustrated by Stacy Curtis;2 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;195 weeks on the list
7,A CEDAR COVE CHRISTMAS;by Debbie Macomber;New this week,WATER FOR ELEPHANTS;by Sara Gruen;57 weeks on the list,,LETTER TO MY DAUGHTER;by Maya Angelou;New this week,A LONG WAY GONE;by Ishmael Beah;9 weeks on the list,A SENSE OF URGENCY;by John P. Kotter;New this week,HUNGRY GIRL;by Lisa Lillien;20 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;79 weeks on the list,JUST LISTEN;by Sarah Dessen;18 weeks on the list,GOODNIGHT GOON;written and illustrated by Michael Rex;6 weeks on the list,CHARLIE BONE;by Jenny Nimmo;45 weeks on the list
8,HOT MAHOGANY;by Stuart Woods;2 weeks on the list,BAREFOOT;by Elin Hilderbrand;17 weeks on the list,,THE WAR WITHIN;by Bob Woodward;4 weeks on the list,THE SHOCK DOCTRINE;by Naomi Klein;8 weeks on the list,GREEN GOES WITH EVERYTHING;by Sloan Barnett;2 weeks on the list,THE PASSION TEST;by Janet Bray Attwood and Chris Attwood;New this week,THE DANGEROUS DAYS OF DANIEL X;by James Patterson and Michael Ledwidge;11 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;9 weeks on the list,BATS AT THE LIBRARY;written and illustrated by Brian Lies;8 weeks on the list,THE SPIDERWICK CHRONICLES;by Tony DiTerlizzi and Holly Black;102 weeks on the list
9,THE GIVEN DAY;by Dennis Lehane;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;56 weeks on the list,,21 NIGHTS;by Prince and Randee St. Nicholas;New this week,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;53 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;45 weeks on the list,"HELLO, CUPCAKE!;by Karen Tack;14 weeks on the list",THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;46 weeks on the list,THE LUXE;by Anna Godbersen;New this week,ENIGMA;written and illustrated by Graeme Base;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;75 weeks on the list
10,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;3 weeks on the list,LOVING FRANK;by Nancy Horan;25 weeks on the list,,MOTHER WARRIORS;by Jenny McCarthy;2 weeks on the list,MUSICOPHILIA;by Oliver Sacks;New this week,REAL LIFE;by Phil McGraw;3 weeks on the list,"MONEY, AND THE LAW OF ATTRACTION;by Esther and Jerry Hicks;8 weeks on the list",IDENTICAL;by Ellen Hopkins;6 weeks on the list,THE NAME OF THIS BOOK IS SECRET;by Pseu­donymous Bosch;New this week,"LOUISE, THE ADVENTURES OF A CHICKEN;by Kate DiCamillo. Illustrated by Harry Bliss;2 weeks on the list",WARRIORS;by Erin Hunter;61 weeks on the list
