,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,INFERNO;by Dan Brown;8 weeks on the list,INFERNO;by Dan Brown;8 weeks on the list,JOYLAND;by Stephen King;5 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;37 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;17 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;37 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;37 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;13 weeks on the list,BEFORE WATCHMEN: MINUTEMEN/SILK SPECTRE;by Darwyn Cooke and Amanda Conner;New this week,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;3 weeks on the list","BLEACH, VOL. 57;by Tite Kubo;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;2 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;95 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE GUNS AT LAST LIGHT;by Rick Atkinson;,QUIET;by Susan Cain;
2,SECOND HONEYMOON;by James Patterson and Howard Roughan;2 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;7 weeks on the list,WORLD WAR Z;by Max Brooks;54 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;17 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;9 weeks on the list",WILD;by Cheryl Strayed;15 weeks on the list,UNBREAKABLE;by Jenni Rivera with Marissa Mateo;New this week,WHEAT BELLY;by William Davis;13 weeks on the list,BEFORE WATCHMEN: OZYMANDIAS/CRIMSON CORSAIR;by Len Wein and Jae Lee;New this week,"THE WALKING DEAD, VOL. 18;by Robert Kirkman and Charlie Adlard;5 weeks on the list","BLUE EXORCIST, VOL. 10;by Kazue Kato;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;92 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;150 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",AMERICAN GUN;by Chris Kyle with William Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
3,THIS MAN CONFESSED;by Jodi Ellen Malpas;New this week,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;3 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;14 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;9 weeks on the list",LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;11 weeks on the list,UNBREAKABLE;by Jenni Rivera with Marissa Mateo;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;17 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;8 weeks on the list,PERCY JACKSON & THE OLYMPIANS: THE SEA OF MONSTERS;by Robert Venditti and Attila Futaki;New this week,"ADVENTURE TIME, VOL. 3;by Ryan North and others;New this week","POKEMON ADVENTURES, VOL. 17;by Hidenori Kusaka and Satoshi Yamamoto;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;12 weeks on the list",DORK DIARIES;by Rachel Renée Russell;78 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,DRIVE;by Daniel H. Pink;,KEEP IT PITHY;by Bill O'Reilly;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
4,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;7 weeks on the list,SECOND HONEYMOON;by James Patterson and Howard Roughan;2 weeks on the list,ENTWINED WITH YOU;by Sylvia Day;5 weeks on the list,,,UNBREAKABLE;by Jenni Rivera with Marissa Mateo;New this week,DAD IS FAT;by Jim Gaffigan;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;109 weeks on the list,BOSSYPANTS;by Tina Fey;102 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;4 weeks on the list,"SUPERMAN, VOL. 2;by Dan Jurgens and others;New this week","RED HOOD AND THE OUTLAWS, VOL. 2;by Scott Lobdell and Kenneth Rocafort;New this week","FAIRY TAIL, VOL. 27;by Hiro Mashima;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;2 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;5 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,COLLAPSE OF DIGNITY;by Napoleon Gomez;,TIPPING POINT;by Malcolm Gladwell;,THE UNWINDING;by George Packer;,THE HAPPINESS PROJECT;by Gretchen Rubin;
5,AFFLICTION;by Laurell K. Hamilton;New this week,AFFLICTION;by Laurell K. Hamilton;New this week,THE BAT;by Jo Nesbo;New this week,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;11 weeks on the list,UNBROKEN;by Laura Hillenbrand;136 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;319 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;11 weeks on the list,LIFE CODE;by Phil McGraw;13 weeks on the list,WOLVERINE BY MARK MILLAR OMNIBUS;by Mark Millar and others;New this week,PERSEPOLIS;by Marjane Satrapi;7 weeks on the list,"POKEMON ADVENTURES BLACK AND WHITE, VOL. 1;by Hidenori Kusaka;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;7 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;296 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,RUMSFELD'S RULES;by Donald Rumsfeld;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,UNBROKEN;by Laura Hillenbrand;,THE POWER OF HABIT;by Charles Duhigg;
6,UNSEEN;by Karin Slaughter;New this week,BAD MONKEY;by Carl Hiaasen;4 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;69 weeks on the list,,,WILD;by Cheryl Strayed;52 weeks on the list,AMERICAN GUN;by Chris Kyle with William Doyle;5 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;New this week,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;9 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;13 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;3 weeks on the list,SMILE;by Raina Telgemeier;66 weeks on the list,"PSYREN, VOL. 11;by Toshiaki Iwashiro;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;99 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;29 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,FINERMAN'S RULES;by Karen Finerman;,THE CHECKLIST MANIFESTO;by Atul Gawande;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,BIG DATA;by Viktor Mayer-Schonberger and Kenneth Cukier;
7,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;3 weeks on the list,GONE GIRL;by Gillian Flynn;57 weeks on the list,FLIGHT BEHAVIOR;by Barbara Kingsolver;5 weeks on the list,,,DAD IS FAT;by Jim Gaffigan;9 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;7 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;122 weeks on the list,HER BEST-KEPT SECRET;by Gabrielle Glaser;New this week,THE 100;by Jorge Cruise;7 weeks on the list,"A GAME OF THRONES, VOL. 2;by Daniel Abraham and Tommy Patterson;4 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;152 weeks on the list","ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 5;by QuinRose and Mamenosuke Fujimaru;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;37 weeks on the list,THE MAZE RUNNER;by James Dashner;53 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",REVOLUTIONARY SUMMER;by Joseph J. Ellis;,THE AUTISTIC BRAIN;by Temple Grandin and Richard Panek;
8,WORLD WAR Z;by Max Brooks;7 weeks on the list,BEAUTIFUL DAY;by Elin Hilderbrand;2 weeks on the list,"UNDER THE DOME, PART 1;by Stephen King;19 weeks on the list",,,BOSSYPANTS;by Tina Fey;56 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;8 weeks on the list,QUIET;by Susan Cain;23 weeks on the list,DAD IS FAT;by Jim Gaffigan;9 weeks on the list,DARING GREATLY;by Brené Brown;13 weeks on the list,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;22 weeks on the list","AQUAMAN, VOL. 1;by Geoff Johns and Ivan Reis;3 weeks on the list","SPICE AND WOLF, VOL. 8;by Isuna Hasekura;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;65 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;234 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,FOR WHAT IT'S WORTH;by Les Gold;,PREDICTABLY IRRATIONAL;by Dan Ariely;,BUNKER HILL;by Nathaniel Philbrick;,WHAT DO WOMEN WANT? Adventures in the Science of Female Desire;by Daniel Bergner;
9,ENTWINED WITH YOU;by Sylvia Day;5 weeks on the list,THE EYE OF GOD;by James Rollins;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;260 weeks on the list,,,THE GLASS CASTLE;by Jeannette Walls;32 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;14 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;23 weeks on the list,THE ASTRONAUT WIVES CLUB;by Lily Koppel;4 weeks on the list,EAT TO LIVE;by Joel Fuhrman;9 weeks on the list,A GAME OF THRONES;by George R.R. Martin;16 weeks on the list,DRAMA;by Raina Telgemeier;38 weeks on the list,"MOBILE SUIT GUNDAM: THE ORIGIN, VOL. 2;by Hajime Yatate and Hajime Yatate;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;10 weeks on the list,WARRIORS;by Erin Hunter;116 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,YOUTILITY;by Jay Baer;,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;",COLLAPSE OF DIGNITY;by Napoleon Gomez;,SUBLIMINALLY EXPOSED;by Steven Dayan;
10,MACRIEVE;by Kresley Cole;New this week,UNSEEN;by Karin Slaughter;New this week,LIFE OF PI;by Yann Martel;40 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;120 weeks on the list,GETTYSBURG;by Allen C. Guelzo;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;14 weeks on the list",UNBROKEN;by Laura Hillenbrand;128 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;13 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;4 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;29 weeks on the list","ATTACK ON TITAN, VOL. 5;by Hajime Isayama;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,IF YOU WANT TO SEE A WHALE;by Julie Fogliano. Illustrated by Erin E. Stead;New this week,GIVER QUARTET;by Lois Lowry;15 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,SMARTTRIBES;by Christine Comaford;,THE MILLIONAIRE DROPOUT;by Vince Stanzione;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE SIGNAL AND THE NOISE;by Nate Silver;
