,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE SECRET SERVANT;by Daniel Silva;2 weeks on the list,THE SHACK;by William P. Young;11 weeks on the list,,THE OBAMA NATION;by Jerome R. Corsi;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;79 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;17 weeks on the list,A NEW EARTH;by Eckhart Tolle;27 weeks on the list,THE DANGEROUS DAYS OF DANIEL X;by James Patterson and Michael Ledwidge;2 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;27 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;38 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;52 weeks on the list
2,THE BOURNE SANCTION;by Eric Van Lustbader;New this week,BAREFOOT;by Elin Hilderbrand;8 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;9 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;80 weeks on the list",THE SECRET;by Rhonda Byrne;82 weeks on the list,SKINNY BITCH;by Kim Barnouin;56 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;68 weeks on the list,THE BOOK THIEF;by Markus Zusak;47 weeks on the list,FAIRIES AND MAGICAL CREATURES;by Matthew Reinhart and Robert Sabuda;2 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;102 weeks on the list
3,THE HOST;by Stephenie Meyer;13 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;48 weeks on the list,,STORI TELLING;by Tori Spelling with Hilary Liftin;10 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;32 weeks on the list,JUST WHO WILL YOU BE?;by Maria Shriver;11 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;42 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;29 weeks on the list,KRISTEN;by Lisi Harrison;5 weeks on the list,ALPHABET;by Matthew Van Fleet;17 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;66 weeks on the list
4,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;8 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;48 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;15 weeks on the list",BIG RUSS AND ME;by Tim Russert;15 weeks on the list,DECEPTIVELY DELICIOUS;by Jessica Seinfeld;23 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;372 weeks on the list,THE CLONE WARS;by Jason Fry;New this week,THE NEW PADAWAN;by Eric Stevens;New this week,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;28 weeks on the list",THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;133 weeks on the list
5,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;New this week,THE ALCHEMIST;by Paulo Coelho;47 weeks on the list,,FLEECED;by Dick Morris and Eileen McGann;6 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;44 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;23 weeks on the list",SOUL WISDOM;by Zhi Gang Sha;4 weeks on the list,THE SUMMONING;by Kelley Armstrong;2 weeks on the list,THE CLONE WARS;by Tracey West;New this week,A VISITOR FOR BEAR;by Bonny Becker. Illustrated by Kady MacDonald Denton;8 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;21 weeks on the list
6,TRIBUTE;by Nora Roberts;4 weeks on the list,IN THE WOODS;by Tana French;10 weeks on the list,,THE DARK SIDE;by Jane Mayer;3 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;107 weeks on the list,GOODNIGHT BUSH;by Erich Origen and Gan Golan;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;58 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;70 weeks on the list,BETRAYED;by P. C. Cast and Kristin Cast;New this week,KNUFFLE BUNNY TOO;written and illustrated by Mo Willems;36 weeks on the list,HARRY POTTER;by J.K. Rowling;194 weeks on the list
7,THE LACE READER;by Brunonia Barry;New this week,THE ROAD;by Cormac McCarthy;48 weeks on the list,,LIFE WITH MY SISTER MADONNA;by Christopher Ciccone with Wendy Leigh;3 weeks on the list,WISDOM OF OUR FATHERS;by Tim Russert;12 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;36 weeks on the list,HUNGRY GIRL;by Lisa Lillien;14 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;37 weeks on the list,CHOSEN;by P. C. Cast and Kristin Cast;14 weeks on the list,YOU CAN DO IT!;by Tony Dungy. Illustrated by Amy June Bates;4 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;26 weeks on the list
8,THE LAST PATRIOT;by Brad Thor;5 weeks on the list,LOVING FRANK;by Nancy Horan;16 weeks on the list,,HAVANA NOCTURNE;by T. J. English;2 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;93 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;13 weeks on the list,"HELLO, CUPCAKE!;by Karen Tack;12 weeks on the list",THE MAGICIAN;by Michael Scott;6 weeks on the list,BATTLE AT TETH;by Kirsten Mayer;New this week,DON’T BUMP THE GLUMP!;written and illustrated by Shel Silverstein;17 weeks on the list,CLEMENTINE;by Sara Pennypacker. Illustrated by Marla Frazee;3 weeks on the list
9,SAIL;by James Patterson and Howard Roughan;8 weeks on the list,MY SISTER’S KEEPER;by Jodi Picoult;26 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;14 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;130 weeks on the list,THE WINNERS MANUAL;by Jim Tressel with Chris Fabry;3 weeks on the list,GRAMMAR GIRL'S QUICK AND DIRTY TIPS FOR BETTER WRITING;by Mignon Fogarty;New this week,THE MYSTERIOUS BENEDICT SOCIETY AND THE PERILOUS JOURNEY;by Trenton Lee Stewart. Illustrated by Diana Sudyka;7 weeks on the list,night world;by L. J. Smith;4 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;19 weeks on the list,KEYS TO THE KINGDOM;by Garth Nix;8 weeks on the list
10,CHASING HARRY WINSTON;by Lauren Weisberger;10 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;31 weeks on the list,,THE MONSTER OF FLORENCE;by Douglas Preston with Mario Spezi;8 weeks on the list,MARLEY AND ME;by John Grogan;21 weeks on the list,WHEN MARKETS COLLIDE;by Mohamed A. El-Erian;6 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;27 weeks on the list,SAVVY;by Ingrid Law;New this week,FAWN AND THE MYSTERIOUS TRICKSTER;by Laura Driscoll;New this week,DIRT ON MY SHIRT;by Jeff Foxworthy. Illustrated by Steve Bjorkman;19 weeks on the list,PENDRAGON;by D. J. MacHale;70 weeks on the list
