,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE GATE HOUSE;by Nelson DeMille;New this week,THE SHACK;by William P. Young;24 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;7 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;92 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;New this week,TWILIGHT;by Mark Cotta Vaz;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;81 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;40 weeks on the list,GOODNIGHT GOON;written and illustrated by Michael Rex;9 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;65 weeks on the list
2,EXTREME MEASURES;by Vince Flynn;2 weeks on the list,THE SECRET LIFE OF BEES;by Sue Monk Kidd;20 weeks on the list,,AGAINST MEDICAL ADVICE;by James Patterson and Hal Friedman;2 weeks on the list,MARLEY AND ME;by John Grogan;34 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;New this week,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;6 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;42 weeks on the list,THE BOOK THIEF;by Markus Zusak;60 weeks on the list,BATS AT THE LIBRARY;written and illustrated by Brian Lies;12 weeks on the list,INHERITANCE;by Christopher Paolini;7 weeks on the list
3,THE BRASS VERDICT;by Michael Connelly;3 weeks on the list,WORLD WITHOUT END;by Ken Follett;4 weeks on the list,,THE SNOWBALL;by Alice Schroeder;5 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;45 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;30 weeks on the list,SOUL COMMUNICATION;by Zhi Gang Sha;New this week,THE MAZE OF BONES;by Rick Riordan;8 weeks on the list,PLUM FANTASTIC;by Whoopi Goldberg with Deborah Underwood. Illustrated by Maryn Roos;New this week,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;8 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;10 weeks on the list
4,THE LUCKY ONE;by Nicholas Sparks;5 weeks on the list,THE ROAD;by Cormac McCarthy;61 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;6 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;120 weeks on the list,MARTHA STEWART’S COOKING SCHOOL;by Martha Stewart with Sarah Carey. Photographs by Marcus Nilsson and Ditte Isager;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;385 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;5 weeks on the list,SLAM;by Nick Hornby;4 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;51 weeks on the list,BLUE BLOODS;by Melissa de la Cruz;6 weeks on the list
5,A GOOD WOMAN;by Danielle Steel;New this week,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;9 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;8 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;93 weeks on the list",THE SECRET;by Rhonda Byrne;95 weeks on the list,A NEW EARTH;by Eckhart Tolle;40 weeks on the list,THE WAY WE WORK;by David Macaulay with Richard Walker;4 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;13 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;3 weeks on the list,INKHEART;by Cornelia Funke;23 weeks on the list
6,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;21 weeks on the list,THE ALCHEMIST;by Paulo Coelho;60 weeks on the list,,MY STROKE OF INSIGHT;by Jill Bolte Taylor;12 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;106 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;7 weeks on the list,SKINNY BITCH;by Kim Barnouin;69 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;8 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;13 weeks on the list,ABC3D;by Marion Bataille;3 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;199 weeks on the list
7,BONES;by Jonathan Kellerman;2 weeks on the list,LOVING FRANK;by Nancy Horan;29 weeks on the list,,LETTER TO MY DAUGHTER;by Maya Angelou;5 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;57 weeks on the list,GIADA’S KITCHEN;by Giada De Laurentiis;5 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;4 weeks on the list,PAPER TOWNS;by John Green;3 weeks on the list,RULES;by Cynthia Lord;8 weeks on the list,TEA FOR RUBY;by Sarah Ferguson. Illustrated by Robin Preiss Glasser;6 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;32 weeks on the list
8,ROUGH WEATHER;by Robert B. Parker;2 weeks on the list,THE WHITE TIGER;by Aravind Adiga;3 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;3 weeks on the list",THE ZOOKEEPER’S WIFE;by Diane Ackerman;8 weeks on the list,LOVE YOUR LIFE;by Victoria Osteen;3 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;55 weeks on the list,FREE TO BE . . . YOU AND ME;by Marlo Thomas and Friends;2 weeks on the list,JUST LISTEN;by Sarah Dessen;22 weeks on the list,"BRAVA, STREGA NONA!;written and illustrated by Tomie dePaola;New this week",BOOKS OF EMBER;by Jeanne DuPrau;78 weeks on the list
9,TESTIMONY;by Anita Shreve;2 weeks on the list,THE CHILDREN OF HÚRIN;by J. R. R. Tolkien. Edited by Christopher Tolkien. Illustrated by Alan Lee;2 weeks on the list,,THE LONGEST TRIP HOME;by John Grogan;2 weeks on the list,MUSICOPHILIA;by Oliver Sacks;5 weeks on the list,THE TEN ROADS TO RICHES;by Ken Fisher and Lara Hoffmans;New this week,"DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;New this week",PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;4 weeks on the list,THE NAME OF THIS BOOK IS SECRET;by Pseu­donymous Bosch;2 weeks on the list,GINGERBREAD FRIENDS;written and illustrated by Jan Brett;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;2 weeks on the list
10,A LION AMONG MEN;by Gregory Maguire;3 weeks on the list,REMEMBER ME?;by Sophie Kinsella;New this week,,JOHN LENNON;by Philip Norman;New this week,A LONG WAY GONE;by Ishmael Beah;13 weeks on the list,WHAT IN THE WORLD IS GOING ON?;by David Jeremiah;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;71 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;48 weeks on the list,THE ALCHEMYST;by Michael Scott;10 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;6 weeks on the list",HIGH SCHOOL MUSICAL;by various authors;
