,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,SKIN TRADE;by Laurell K. Hamilton;New this week,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;5 weeks on the list,,LIBERTY AND TYRANNY;by Mark R. Levin;11 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;123 weeks on the list,EXCUSES BEGONE!;by Wayne W. Dyer;2 weeks on the list,COOK YOURSELF THIN;by the staff of Lifetime Television;5 weeks on the list,"STORM FRONT;by Ardian Syaf, Jim Butcher and Mark J. Powers;New this week",WATCHMEN;by Alan Moore and Dave Gibbons;15 weeks on the list,"BLEACH, VOL. 27;by Tite Kubo;New this week",TWILIGHT: DIRECTOR’S NOTEBOOK;by Catherine Hardwicke;12 weeks on the list,THE BOOK THIEF;by Markus Zusak;91 weeks on the list,GOLDILICIOUS;written and illustrated by Victoria Kann;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;96 weeks on the list
2,MEDUSA;by Clive Cussler and Paul Kemprecos;New this week,THE SHACK;by William P. Young;55 weeks on the list,,OUTLIERS;by Malcolm Gladwell;29 weeks on the list,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;New this week,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;19 weeks on the list",MARTHA STEWART'S CUPCAKES;by the editors of Martha Stewart Living;New this week,DARK TOWER: TREACHERY;by Peter David and Robin Furth;7 weeks on the list,"THE PHOTOGRAPHER;by Emmanuel Guibert, Frederic Lemercier and Didier Lefevre;New this week",ROSARIO   VAMPIRE 7;by Akihisa Ikeda;New this week,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;36 weeks on the list,LOCK AND KEY;by Sarah Dessen;4 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;20 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;100 weeks on the list
3,THE SCARECROW;by Michael Connelly;2 weeks on the list,MY SISTER’S KEEPER;by Jodi Picoult;37 weeks on the list,,HORSE SOLDIERS;by Doug Stanton;4 weeks on the list,IN DEFENSE OF FOOD;by Michael Pollan;6 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;61 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;414 weeks on the list,Batman: R.I.P.;by Grant Morrison and Tony Daniel;15 weeks on the list,"BUFFY THE VAMPIRE SLAYER: SEASON 8, VOL. 4;by Joss Whedon, Jeph Loeb and Karl Moline;4 weeks on the list","OURAN HIGH SCHOOLHOST CLUB, VOL. 12;by Bisco Hatori;New this week",THE HUNGER GAMES;by Suzanne Collins;39 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;42 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;82 weeks on the list,THE 39 CLUES;by various authors;10 weeks on the list
4,SHANGHAI GIRLS;by Lisa See;2 weeks on the list,VISION IN WHITE;by Nora Roberts;6 weeks on the list,,RENEGADE;by Richard Wolffe;New this week,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;88 weeks on the list,MASTER YOUR METABOLISM;by Jillian Michaels with Mariska van Aalst;9 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;37 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;13 weeks on the list,"COUNTDOWN;by Robert Orci, Alex Kurtzman, Tim Jones and Mike Johnson;8 weeks on the list","NARUTO, VOL. 43;by Masashi Kishimoto;12 weeks on the list",THIRTEEN REASONS WHY;by Jay Asher;33 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;31 weeks on the list,FRECKLEFACE STRAWBERRY AND THE DODGEBALL BULLY;by Julianne Moore and LeUyen Pham;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;21 weeks on the list
5,MATTERS OF THE HEART;by Danielle Steel;New this week,PRIDE AND PREJUDICE AND ZOMBIES;by Jane Austen and Seth Grahame-Smith;10 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;34 weeks on the list,LIBERAL FASCISM;by Jonah Goldberg;New this week,THE G-FREE DIET;by Elisabeth Hasselbeck;5 weeks on the list,HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;8 weeks on the list,MARVEL ZOMBIES;by Fred Van Lente and Kev Walker;7 weeks on the list,"REVENGE OF THE FALLEN MOVIE PREQUEL - DEFIANCE;by Chris Mowry, Dan Khanna, Alex Milne and Josh Nizzi;New this week","NARUTO, VOL. 44;by Masashi Kishimoto;10 weeks on the list",WINGS;by Aprilynne Pike;5 weeks on the list,EVERMORE;by Alyson Noël;18 weeks on the list,EXPLORER EXTRAORDINAIRE!;by Jane O’Connor. Illustrated by Robin Preiss Glasser;6 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;41 weeks on the list
6,GONE TOMORROW;by Lee Child;3 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;7 weeks on the list,,THE GIRLS FROM AMES;by Jeffrey Zaslow;7 weeks on the list,BLINK;by Malcolm Gladwell;86 weeks on the list,THE SECRET;by Rhonda Byrne;126 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;97 weeks on the list,CIVIL WAR;by Mark Millar and Steve McNiven;7 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;11 weeks on the list,FULLMETAL ALCHEMIST 18;by Hiromu Arakawa;3 weeks on the list,THE AWAKENING;by Kelley Armstrong;6 weeks on the list,TWEAK;by Nic Sheff;17 weeks on the list,LLAMA LLAMA MISSES MAMA;written and illustrated by Anna Dewdney;6 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;11 weeks on the list
7,DEAD AND GONE;by Charlaine Harris;5 weeks on the list,SARAH’S KEY;by Tatiana de Rosnay;17 weeks on the list,,ALWAYS LOOKING UP;by Michael J. Fox;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;244 weeks on the list,THANK GOD IT'S MONDAY!;by Roxanne Emmerich;3 weeks on the list,NATURALLY THIN;by Bethenny Frankel with Eve Adamson;13 weeks on the list,"ANITA BLAKE - THE LAUGHING CORPSE BK 1 (ANIMATOR);by Laurell K. Hamilton, Ron Lim, Jess Ruffner-Booth and Ronald Lim;2 weeks on the list",TRANSFORMERS: REVENGE OF THE FALLEN — DEFIANCE;by Chris Mowry and Dan Khanna;New this week,NEGIMA! 22;by Ken Akamatsu;2 weeks on the list,MILES TO GO;by Miley Cyrus;14 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;11 weeks on the list,THE CURIOUS GARDEN;written and illustrated by Peter Brown;8 weeks on the list,NIGHT WORLD;by L. J. Smith;26 weeks on the list
8,THE 8TH CONFESSION;by James Patterson and Maxine Paetro;6 weeks on the list,THE ALCHEMIST;by Paulo Coelho;90 weeks on the list,,RESILIENCE;by Elizabeth Edwards;5 weeks on the list,AMERICAN LION;by Jon Meacham;5 weeks on the list,THE NOTICER;by Andy Andrews;4 weeks on the list,SKINNY BITCH;by Kim Barnouin;100 weeks on the list,JOKER;by Brian Azzarello and Lee Bermejo;13 weeks on the list,"THE Y (LAST MAN - UNMANNED) V. 1;by Brian K. Vaughan, Pia Guerra and Jose Marzan;6 weeks on the list","NARUTO, VOL. 42;by Masashi Kishimoto;11 weeks on the list",HUNGER;by Michael Grant;New this week,BEAUTIFUL DISASTER;by Kate Brian;New this week,SWING!;written and illustrated by Rufus Butler Seder;34 weeks on the list,THE SECRETS OF THE IMMORTAL NICHOLAS FLAMEL;by Michael Scott;2 weeks on the list
9,THE STRAIN;by Guillermo del Toro and Chuck Hogan;New this week,LOVE THE ONE YOU'RE WITH;by Emily Giffin;7 weeks on the list,,HOME GAME;by Michael Lewis;New this week,THE MIDDLE PLACE;by Kelly Corrigan;24 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;47 weeks on the list,SUZE ORMAN’S 2009 ACTION PLAN;by Suze Orman;17 weeks on the list,"THOR VOLUME 2;by J. Michael Straczynski, Marko Djurdjevic and Olivier Coipel;New this week",Wolverine: Origin;by Paul Jenkins and Andy Kubert;12 weeks on the list,"YU-GI-OH!, VOL. 3;by Kazuki Takahashi and Naoyuki Kageyama;New this week","ONCE DEAD, TWICE SHY;by Kim Harrison;2 weeks on the list",THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;20 weeks on the list,DUCK! RABBIT!;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;5 weeks on the list,PENDRAGON;by D. J. MacHale;75 weeks on the list
10,WICKED PREY;by John Sandford;4 weeks on the list,FIREFLY LANE;by Kristin Hannah;22 weeks on the list,,MY REMARKABLE JOURNEY;by Larry King with Cal Fussman;3 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;124 weeks on the list",WOMENOMICS;by Claire Shipman and Katty Kay;New this week,THE BIGGEST LOSER FAMILY COOKBOOK;by Devin Alexander and The Biggest Loser Experts and Cast with Melissa Roberson;12 weeks on the list,DARK TOWER: THE GUNSLINGER BORN;by Peter David and Robin Furth;5 weeks on the list,"ULTIMATES 3 -WHO KILLED THE SCARLET WITCH?;by Jeph Loeb, Joe Madureira and Christian Lichtner;New this week",ONE PIECE 21;by Eiichiro Oda;New this week,SCAT;by Carl Hiaasen;14 weeks on the list,UP;by Jasmine Jones;3 weeks on the list,LADYBUG GIRL AND BUMBLEBEE BOY;by David Soman and Jacky Davis. Illustrated by David Soman.;12 weeks on the list,MORGANVILLE VAMPIRES;by Rachel Caine;2 weeks on the list
