,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,THE HELP;by Kathryn Stockett;28 weeks on the list,FLASH AND BONES;by Kathy Reichs;New this week,THE HELP;by Kathryn Stockett;21 weeks on the list,,,THE HELP;by Kathryn Stockett;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;31 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;7 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;41 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;31 weeks on the list,THE 17 DAY DIET;by Mike Moreno;24 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;213 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,WE3: DELUXE EDITION;by Grant Morrison and Frank Quitely;New this week,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;12 weeks on the list","YU-GI-OH! GX, VOL. 7;by Naoyuki Kageyama;4 weeks on the list",THE POWER OF SIX;by Pittacus Lore;New this week,THE BOOK THIEF;by Markus Zusak;207 weeks on the list,LLAMA LLAMA HOME WITH MAMA;by Anna Dewdney;New this week,THE HUNGER GAMES;by Suzanne Collins;53 weeks on the list,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",OUTLIERS;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
2,BLIND FAITH;by CJ Lyons;New this week,A DANCE WITH DRAGONS;by George R. R. Martin;7 weeks on the list,ONE DAY;by David Nicholls;26 weeks on the list,,,ONE DAY;by David Nicholls;,A STOLEN LIFE;by Jaycee Dugard;7 weeks on the list,UNBROKEN;by Laura Hillenbrand;41 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;25 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;7 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;13 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;526 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;,"FABLES: DELUXE EDITION, BOOK THREE;by Mark Buckingham and Tony Akins;New this week",THE COMPLETE PERSEPOLIS;by Marjane Satrapi;8 weeks on the list,"BLUE EXORCIST, VOL. 3;by Kazue Kato;4 weeks on the list",BLOODLINES;by Richelle Mead;New this week,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;2 weeks on the list",PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;5 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;30 weeks on the list,"AFTERSHOCK;by David Wiedemer, Robert A. Wiedemer and Cindy Spitzer;",CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;,IN THE GARDEN OF BEASTS;by Erik Larson;
3,SECOND SON;by Lee Child;2 weeks on the list,THE MEASURE OF THE MAGIC;by Terry Brooks;New this week,SARAH’S KEY;by Tatiana de Rosnay;130 weeks on the list,,,WICKED APPETITE;by Janet Evanovich;,UNBROKEN;by Laura Hillenbrand;31 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;16 weeks on the list,OUTLIERS;by Malcolm Gladwell;12 weeks on the list,UNBROKEN;by Laura Hillenbrand;31 weeks on the list,THE DUKAN DIET;by Pierre Dukan;19 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;45 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;34 weeks on the list","THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;23 weeks on the list","FULLMETAL ALCHEMIST (3-IN-1 EDITION), VOL. 2;by Hiromu Arakawa;4 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;12 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;11 weeks on the list,PRESS HERE;by Hervé Tullet;19 weeks on the list,HARRY POTTER;by J.K. Rowling;267 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,TIPPING POINT;by Malcolm Gladwell;,AFTER AMERICA;by Mark Steyn;
4,WATER FOR ELEPHANTS;by Sara Gruen;31 weeks on the list,THE OMEN MACHINE;by Terry Goodkind;2 weeks on the list,SAFE HAVEN;by Nicholas Sparks;4 weeks on the list,,,SARAH’S KEY;by Tatiana de Rosnay;,IN THE GARDEN OF BEASTS;by Erik Larson;16 weeks on the list,AFTER AMERICA;by Mark Steyn;3 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;234 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;16 weeks on the list,PRIME TIME;by Jane Fonda;3 weeks on the list,EAT TO LIVE;by Joel Fuhrman;10 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;32 weeks on the list,VAMPIRE ACADEMY;by Leigh Dragoon and Emma Vieceli;New this week,"BAKUMAN, VOL. 6;by Tsugumi Ohba;4 weeks on the list",THE THRONE OF FIRE;by Rick Riordan;17 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;109 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;8 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;137 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE BIG SHORT;by Michael Lewis;,1493;by Charles C. Mann;
5,FLASH AND BONES;by Kathy Reichs;New this week,COLD VENGEANCE;by Douglas Preston and Lincoln Child;4 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;83 weeks on the list,,,THE CONFESSION;by John Grisham;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;31 weeks on the list,THE GREATER JOURNEY;by David McCullough;14 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;8 weeks on the list,BOSSYPANTS;by Tina Fey;21 weeks on the list,"AFTERSHOCK;by David Wiedemer, Robert A. Wiedemer and Cindy Spitzer;2 weeks on the list",CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;4 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,"THE WALKING DEAD, BOOK 6;by Robert Kirkman and Charlie Adlard;14 weeks on the list","THE ADVENTURES OF OOK AND GLUK, KUNG-FU CAVEMEN FROM THE FUTURE;by Dav Pilkey;4 weeks on the list","NARUTO, VOL. 49;by Masashi Kishimoto;21 weeks on the list",DARTH PAPER STRIKES BACK: AN ORIGAMI YODA BOOK;by Tom Angleberger;New this week,SOUL SURFER;by Bethany Hamilton with Sheryl Berk and Rick Bundschuh;17 weeks on the list,"SKIPPYJON JONES, CLASS ACTION;by Judy Schachner;7 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;216 weeks on the list,SWITCH;by Chip Heath and Dan Heath;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;
6,ONE DAY;by David Nicholls;4 weeks on the list,FULL BLACK;by Brad Thor;5 weeks on the list,ROOM;by Emma Donoghue;17 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,BOSSYPANTS;by Tina Fey;21 weeks on the list,1493;by Charles C. Mann;3 weeks on the list,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;16 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;31 weeks on the list,THE WEALTH CURE;by Hill Harper;New this week,RADICAL;by David Platt;62 weeks on the list,AFTER AMERICA;by Mark Steyn;,"WOLVERINE, THE BEST THERE IS: CONTAGION;by Charlie Huston and Juan Jose Ryp;New this week",KICK-ASS;by Mark Millar and John Romita Jr.;4 weeks on the list,"BLEACH (3-IN-1 EDITION), VOL. 2;by Tite Kubo;3 weeks on the list","MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE;by James Patterson and Chris Tebbetts;9 weeks on the list",THE NINE LIVES OF CHLOE KING;by Liz Braswell;11 weeks on the list,SHOULD I SHARE MY ICE CREAM? (AN ELEPHANT AND PIGGIE BOOK);written and illustrated by Mo Willems;10 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;245 weeks on the list,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;,DRIVE;by Daniel H. Pink;,THE SECRETS OF THE FBI;by Ronald Kessler;
7,THE ABBEY;by Chris Culver;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;66 weeks on the list,THE ALCHEMIST;by Paulo Coelho;191 weeks on the list,,,FLASH AND BONES;by Kathy Reichs;,AFTER AMERICA;by Mark Steyn;3 weeks on the list,COCKTAIL HOUR UNDER THE TREE OF FORGETFULNESS;by Alexandra Fuller;New this week,A LONG WAY GONE;by Ishmael Beah;43 weeks on the list,AFTER AMERICA;by Mark Steyn;3 weeks on the list,THE SECRET;by Rhonda Byrne;190 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;104 weeks on the list,OUTLIERS;by Malcolm Gladwell;,CAPTAIN AMERICA: MAN OUT OF TIME;by Mark Waid and Jorge Molina;6 weeks on the list,THE GRIFF;by Christopher Moore and Ian Corson;6 weeks on the list,"KARAKURIDOJI ULTIMO, VOL. 1;by Stan Lee and Hiroyuki Takei;New this week",MICHAEL VEY: THE PRISONER OF CELL 25;by Richard Paul Evans;3 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;17 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;32 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;54 weeks on the list,MONEY CLASS;by Suze Orman;,MONEYBALL;by  Michael Lewis;,LOST IN SHANGRI-LA;by Mitchell Zuckoff;
8,THE MILL RIVER RECLUSE;by Darcie Chan;New this week,THE HELP;by Kathryn Stockett;106 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;116 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,COCKTAIL HOUR UNDER THE TREE OF FORGETFULNESS;by Alexandra Fuller;New this week,BOSSYPANTS;by Tina Fey;21 weeks on the list,THE BOY WHO CAME BACK FROM HEAVEN;by Kevin Malarkey and Alex Malarkey;8 weeks on the list,AUSCHWITZ;by Miklos Nyiszli;3 weeks on the list,THE POWER;by Rhonda Byrne;16 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;26 weeks on the list,THE GREATER JOURNEY;by David McCullough;,"AMERICAN VAMPIRE, VOL. 2;by Scott Snyder and Rafael Albuquereque;6 weeks on the list","COWBOYS AND ALIENS;by Scott M. Rosenberg, Fred Van Lente and others;7 weeks on the list","K-ON, VOL. 3;by kakifly;New this week",NEVER HAVE I EVER;by Sara Shepard;4 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;New this week,LEGO HARRY POTTER;by the DK staff;15 weeks on the list,WARRIORS;by Erin Hunter;106 weeks on the list,DELIVERING HAPPINESS;by Tony Hsieh;,OLD RULES OF MARKETING ARE DEAD;by  Timothy R. Pearson;,DEMONIC;by Ann Coulter;
9,SARAH’S KEY;by Tatiana de Rosnay;6 weeks on the list,GHOST STORY;by Jim Butcher;5 weeks on the list,A GAME OF THRONES;by George R.R. Martin;15 weeks on the list,,,A DANCE WITH DRAGONS;by George R. R. Martin;,THE GREATER JOURNEY;by David McCullough;14 weeks on the list,RAFA;by Rafael Nadal and John Carlin;New this week,MONEYBALL;by  Michael Lewis;18 weeks on the list,COCKTAIL HOUR UNDER THE TREE OF FORGETFULNESS;by Alexandra Fuller;New this week,THE 4-HOUR BODY;by Timothy Ferriss;37 weeks on the list,ERASING HELL;by Francis Chan and Preston Sprinkle;8 weeks on the list,1493;by Charles C. Mann;,TRUE BLOOD: ALL TOGETHER NOW;by Alan Ball and others;11 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;77 weeks on the list,"NEGIMA! MAGISTER NEGI MAGI, OMNIBUS 1;by Ken Akamatsu;New this week",THE LOST HERO;by Rick Riordan;46 weeks on the list,THE MAZE RUNNER;by James Dashner;23 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;29 weeks on the list,PERFECT CHEMISTRY;by Simone Elkeles;2 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;
10,A GAME OF THRONES;by George R.R. Martin;20 weeks on the list,THE PARIS WIFE;by Paula McLain;22 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;100 weeks on the list,,,THE REVERSAL;by Michael Connelly;,1493;by Charles C. Mann;3 weeks on the list,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;New this week,BORN TO RUN;by Christopher McDougall;22 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;16 weeks on the list,LOVE WINS;by Rob Bell;23 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;2 weeks on the list,COCKTAIL HOUR UNDER THE TREE OF FORGETFULNESS;by Alexandra Fuller;,GREEN LANTERN: SECRET ORIGIN;by Geoff Johns and Ivan Reis;12 weeks on the list,DARK TOWER: TREACHERY;by Robin Furth and Peter David;New this week,"NARUTO, VOL. 47;by Masashi Kishimoto;22 weeks on the list",THEODORE BOONE: THE ABDUCTION;by John Grisham;12 weeks on the list,"NERDS (BOOK ONE: NATIONAL ESPIONAGE, RESCUE, AND DEFENSE SOCIETY);by Michael Buckley;9 weeks on the list","DREAM BIG, LITTLE PIG!;by Kristi Yamaguchi. Illustrated by Tim Bowers;8 weeks on the list",THE 39 CLUES;by various authors;86 weeks on the list,ENCHANTMENT;by Guy Kawasaki;,THE CHECKLIST MANIFESTO;by Atul Gawande;,A FIRST-RATE MADNESS;by Nassir Ghaemi;
