,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,NIGHT BROKEN;by Patricia Briggs;New this week,POWER PLAY;by Danielle Steel;New this week,ORPHAN TRAIN;by Christina Baker Kline;30 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;14 weeks on the list,UGANDA BE KIDDING ME;by Chelsea Handler;2 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;100 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;23 weeks on the list,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;3 weeks on the list,"A GAME OF THRONES, VOL. 3;by Daniel Abraham and Tommy Patterson;New this week","THE WALKING DEAD, VOL. 20;by Robert Kirkman and Charlie Adlard;New this week","ATTACK ON TITAN: BEFORE THE FALL, VOL. 1;by Hajime Isayama, Ryo Suzukaze and Satoshi Shiki;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;38 weeks on the list,DIVERGENT;by Veronica Roth;21 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,DAVID AND GOLIATH;by Malcolm Gladwell;,SLOW GETTING UP;by Nate Jackson;
2,AFTERSHOCK;by Sylvia Day;New this week,NIGHT BROKEN;by Patricia Briggs;New this week,ME BEFORE YOU;by Jojo Moyes;33 weeks on the list,,,10% HAPPIER;by Dan Harris;New this week,10% HAPPIER;by Dan Harris;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;174 weeks on the list,10% HAPPIER;by Dan Harris;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;25 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;11 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE RIFT, PART 1;by Gene Luen Yang, Gurihiru and others;2 weeks on the list","ONE PIECE, VOL. 70;by Eiichiro Oda;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,LOCOMOTIVE;by Brian Floca;7 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;186 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;,SUPER SHRED;by Ian K. Smith;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,QUIET;by Susan Cain;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
3,POWER PLAY;by Danielle Steel;New this week,BE CAREFUL WHAT YOU WISH FOR;by Jeffrey Archer;New this week,AMERICANAH;by Chimamanda Ngozi Adichie;2 weeks on the list,,,UGANDA BE KIDDING ME;by Chelsea Handler;2 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;25 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;13 weeks on the list,UGANDA BE KIDDING ME;by Chelsea Handler;2 weeks on the list,THE BODY BOOK;by Cameron Diaz with Sandra Bark;10 weeks on the list,NATHAN HALE'S HAZARDOUS TALES: ONE DEAD SPY;by Nathan Hale;3 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;123 weeks on the list","NISEKOI: FALSE LOVE, VOL. 2;by Naoshi Komi;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;128 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;269 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,TWELVE YEARS A SLAVE;by Solomon Northup;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
4,BE CAREFUL WHAT YOU WISH FOR;by Jeffrey Archer;New this week,STONE COLD;by C. J. Box;New this week,FIFTY SHADES OF GREY;by E. L. James;105 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;17 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;24 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;73 weeks on the list,UNBROKEN;by Laura Hillenbrand;163 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;25 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE SEARCH;by Gene Luen Yang and others;5 weeks on the list",PEARLS FALLS FAST;by Stephan Pastis;New this week,"BLUE EXORCIST, VOL. 11;by Kazue Kato;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,JOURNEY;by Aaron Becker;18 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;131 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",DUTY;by Robert M. Gates;,THE SIXTH EXTINCTION;by Elizabeth Kolbert;,ORR;by Bobby Orr;
5,STONE COLD;by C. J. Box;New this week,WORDS OF RADIANCE;by Brandon Sanderson;2 weeks on the list,AFTERBURN / AFTERSHOCK;by Sylvia Day;New this week,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;107 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;51 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;10 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;25 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;49 weeks on the list,"LOCKE & KEY, VOL. 6;by Joe Hill and Gabriel Rodriguez;6 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;58 weeks on the list","BLACK BIRD, VOL. 18;by Kanoko Sakurakouji;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,GOODNIGHT SONGS;by Margaret Wise Brown;New this week,BIG NATE;written and illustrated by Lincoln Peirce;87 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE DOCTOR'S DIET;by Travis Stork;,UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",WHERE NOBODY KNOWS YOUR NAME;by John Feinstein;
6,THE GOLDFINCH;by Donna Tartt;21 weeks on the list,THE GOLDFINCH;by Donna Tartt;21 weeks on the list,THE ALCHEMIST;by Paulo Coelho;295 weeks on the list,,,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;10 weeks on the list,UNBROKEN;by Laura Hillenbrand;161 weeks on the list,OUTLIERS;by Malcolm Gladwell;145 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;129 weeks on the list,SUCCESS THROUGH STILLNESS;by Russell Simmons with Chris Morrow;2 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;40 weeks on the list,"THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;13 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;40 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;132 weeks on the list,ORIGAMI YODA;by Tom Angleberger. Illustrated;21 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;,WHEAT BELLY;by William Davis;,THINGS THAT MATTER;by Charles Krauthammer;,THE POWER OF HABIT;by Charles Duhigg;,WOODEN;by Seth Davis;
7,THE INVENTION OF WINGS;by Sue Monk Kidd;10 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;10 weeks on the list,BEAUTIFUL DAY;by Elin Hilderbrand;2 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;25 weeks on the list,THE FUTURE OF THE MIND;by Michio Kaku;3 weeks on the list,WILD;by Cheryl Strayed;51 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;47 weeks on the list,DARING GREATLY;by Brené Brown;36 weeks on the list,BEAUTIFUL DARKNESS;by Fabien Vehlmann and Kerascoët;3 weeks on the list,"HIP HOP FAMILY TREE: BOOK 1, 1975-1981;by Ed Piskor;New this week","ATTACK ON TITAN, VOL. 11;by Hajime Isayama;6 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;10 weeks on the list",THE MAZE RUNNER;by James Dashner;75 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TRIPLE PACKAGE;by Amy Chua and Jed Rubenfeld;,THE VIRGIN DIET COOKBOOK;by J. J. Virgin;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,THE FUTURE OF THE MIND;by Michio Kaku;,THE KID;by Ben Bradlee Jr.;
8,THE HUSBAND'S SECRET;by Liane Moriarty;30 weeks on the list,THE BOOTLEGGER;by Clive Cussler and Justin Scott;2 weeks on the list,DON'T GO;by Lisa Scottoline;2 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;144 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;21 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;14 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;10 weeks on the list,WHEAT BELLY;by William Davis;43 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;19 weeks on the list,SMILE;by Raina Telgemeier;96 weeks on the list,"FAIRY TAIL, VOL. 35;by Hiro Mashima;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;14 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;54 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DECIDE;by Steve McClatchy;,WHEAT BELLY 30-MINUTE (OR LESS!) COOKBOOK;by William Davis;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,MY AGE OF ANXIETY;by Scott Stossel;,MANNING;by Peyton Manning and Archie Manning with John Underwood;
9,ORPHAN TRAIN;by Christina Baker Kline;8 weeks on the list,PRIVATE L.A.;by James Patterson and Mark Sullivan;5 weeks on the list,LIFE AFTER LIFE;by Kate Atkinson;10 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;49 weeks on the list,JESUS;by James Martin;New this week,QUIET;by Susan Cain;59 weeks on the list,HOW TO BE A WOMAN;by Caitlin Moran;9 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;15 weeks on the list","INJUSTICE: GODS AMONG US, VOL. 1;by Tom Taylor and Jheremy Raapack;10 weeks on the list",DRAMA;by Raina Telgemeier;55 weeks on the list,"MIDNIGHT SECRETARY, VOL. 4;by Tomu Ohmi;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;14 weeks on the list,PARTIALS SEQUENCE;by Dan Wells;New this week,LEGENDBORN;by Tracy Deonn;9 weeks on the list,DECODED COMPANY;by Leerom Segal and others;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,THE BULLY PULPIT;by Doris Kearns Goodwin;,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;,BORN TO RUN;by Christopher McDougall;
10,SYCAMORE ROW;by John Grisham;21 weeks on the list,THE CHASE;by Janet Evanovich and Lee Goldberg;3 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;50 weeks on the list",,,DAVID AND GOLIATH;by Malcolm Gladwell;24 weeks on the list,OVERWHELMED;by Brigid Schulte;New this week,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;52 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;45 weeks on the list,"GUARDIANS OF THE GALAXY, VOL. 1;by Brian Michael Bendis and Steve McNiven;5 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;54 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;23 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"HI, KOO!;by Jon J. Muth;New this week",HEROES OF OLYMPUS;by Rick Riordan;65 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;,THE FAST METABOLISM DIET COOKBOOK;by Haylie Pomroy;,HRC;by Jonathan Allen and Amie Parnes;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,EAT AND RUN;by Scott Jurek with Steve Friedman;
