,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,BURN;by Maya Banks;New this week,THE CUCKOO'S CALLING;by Robert Galbraith;4 weeks on the list,BURN;by Maya Banks;New this week,,,ZEALOT;by Reza Aslan;4 weeks on the list,ZEALOT;by Reza Aslan;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;42 weeks on the list,ZEALOT;by Reza Aslan;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;18 weeks on the list,THE ANIMAL MAN OMNIBUS;by Grant Morrison and Chas Trouog;New this week,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;8 weeks on the list","NARUTO, VOL. 62;by Masashi Kishimoto;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;7 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;100 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THIS TOWN;by Mark Leibovich;,QUIET;by Susan Cain;
2,MISTRESS;by James Patterson and David Ellis;New this week,MISTRESS;by James Patterson and David Ellis;New this week,THE CASUAL VACANCY;by J. K. Rowling;3 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;42 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;22 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;4 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;5 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;5 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;8 weeks on the list,PERSEPOLIS;by Marjane Satrapi;12 weeks on the list,"BAKUMAN, VOL. 20;by Tsugumi Ohba;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;7 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;301 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
3,THE CUCKOO'S CALLING;by Robert Galbraith;4 weeks on the list,INFERNO;by Dan Brown;13 weeks on the list,"ALEX CROSS, RUN;by James Patterson;2 weeks on the list",,,ORANGE IS THE NEW BLACK;by Piper Kerman;4 weeks on the list,THIS TOWN;by Mark Leibovich;4 weeks on the list,OUTLIERS;by Malcolm Gladwell;114 weeks on the list,MERLE'S DOOR;by Ted Kerasote;New this week,WHEAT BELLY;by William Davis;18 weeks on the list,"THE KILLER, VOL. 4;by Matz and Luc Jacamon;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;103 weeks on the list","FAIRY TAIL, VOL. 28;by Hiro Mashima;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;New this week,THE HUNGER GAMES;by Suzanne Collins;155 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,TIPPING POINT;by Malcolm Gladwell;,AMERICAN GUN;by Chris Kyle with William Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
4,HIGH HEAT;by Lee Child;New this week,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;12 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;19 weeks on the list,,,THIS TOWN;by Mark Leibovich;4 weeks on the list,INFILTRATED;by Jay W. Richards;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;127 weeks on the list,THIS TOWN;by Mark Leibovich;4 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;18 weeks on the list,MOUSE GUARD: THE BLACK AXE;by David Petersen;3 weeks on the list,BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;38 weeks on the list,ALICE IN THE COUNTRY OF HEARTS: THE CLOCKMAKER'S STORY;by Quinrose and Soumei Hoshino;11 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;97 weeks on the list",ORIGAMI YODA;by Tom Angleberger. Illustrated;13 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,BREAKPOINT;by Jeff Stibel;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE GUNS AT LAST LIGHT;by Rick Atkinson;,BREAKPOINT;by Jeff Stibel;
5,HOTSHOT;by Julie Garwood;New this week,GONE GIRL;by Gillian Flynn;62 weeks on the list,JOYLAND;by Stephen King;10 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;22 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;14 weeks on the list",THE GLASS CASTLE;by Jeannette Walls;324 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;42 weeks on the list,LIFE CODE;by Phil McGraw;18 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;30 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;5 weeks on the list","POKEMON ADVENTURES, HEARTGOLD & SOULSILVER, VOL. 1;by Hidenori Kusaka;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;104 weeks on the list,DORK DIARIES;by Rachel Renée Russell;83 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,GETTYSBURG;by Allen C. Guelzo;,THE POWER OF HABIT;by Charles Duhigg;
6,THE HUSBAND'S SECRET;by Liane Moriarty;New this week,HOTSHOT;by Julie Garwood;New this week,FIFTY SHADES OF GREY;by E. L. James;74 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;14 weeks on the list",LAWRENCE IN ARABIA;by Scott Anderson;New this week,QUIET;by Susan Cain;28 weeks on the list,BUTLER;by Wil Haygood;2 weeks on the list,E-SQUARED;by Pam Grout;4 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;94 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;34 weeks on the list","BLACK BUTLER, VOL. 14;by Yana Toboso;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;17 weeks on the list",GIVER QUARTET;by Lois Lowry;19 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,THE CHECKLIST MANIFESTO;by Atul Gawande;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE HAPPINESS PROJECT;by Gretchen Rubin;
7,INFERNO;by Dan Brown;13 weeks on the list,THE ENGLISH GIRL;by Daniel Silva;4 weeks on the list,THE SILENT WIFE;by A. S. A. Harrison;3 weeks on the list,,,THESE FEW PRECIOUS DAYS;by Christopher Andersen;New this week,UNBROKEN;by Laura Hillenbrand;141 weeks on the list,WILD;by Cheryl Strayed;20 weeks on the list,THESE FEW PRECIOUS DAYS;by Christopher Andersen;New this week,EAT TO LIVE;by Joel Fuhrman;14 weeks on the list,BEFORE WATCHMEN: COMEDIAN/RORSCHACH;by various;4 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;35 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;9 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;70 weeks on the list,THE MAZE RUNNER;by James Dashner;58 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",REVOLUTIONARY SUMMER;by Joseph J. Ellis;,HALLUCINATIONS;by Oliver Sacks;
8,THE ENGLISH GIRL;by Daniel Silva;4 weeks on the list,THE LAST WITNESS;by W.E.B. Griffin and William E. Butterworth IV;New this week,THE ALCHEMIST;by Paulo Coelho;265 weeks on the list,,,COLLISION 2012;by Dan Balz;New this week,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;16 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;New this week,COLLISION 2012;by Dan Balz;New this week,DARING GREATLY;by Brené Brown;18 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;16 weeks on the list","HAWKEYE, VOL. 2;by Matt Fraction and David Aja;3 weeks on the list","KINGDOM HEARTS II, VOL. 1;by Shiro Amano;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,JOURNEY;by Aaron Becker;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;239 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,4-HOUR WORKWEEK;by Timothy Ferriss;,"TRIBAL LEADERSHIP;by Dave Logan, John King and Halee Fischer-Wright;",KEEP IT PITHY;by Bill O'Reilly;,THE GREATEST SHOW ON EARTH;by Richard Dawkins;
9,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;12 weeks on the list,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;8 weeks on the list,FIFTY SHADES DARKER;by E. L. James;71 weeks on the list,,,LAWRENCE IN ARABIA;by Scott Anderson;New this week,THE SPORTS GENE;by David Epstein;New this week,HOW CHILDREN SUCCEED;by Paul Tough;6 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;22 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;9 weeks on the list,"A GAME OF THRONES, VOL. 2;by Daniel Abraham and Tommy Patterson;7 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;116 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;23 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;10 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,BOOMERANG;by Michael Lewis;,THE UNWINDING;by George Packer;,THE DISAPPEARING SPOON;by Sam Kean;
10,THE SILENT WIFE;by A. S. A. Harrison;3 weeks on the list,THE COMPANIONS;by R. A. Salvatore;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;19 weeks on the list",,,INFILTRATED;by Jay W. Richards;New this week,THESE FEW PRECIOUS DAYS;by Christopher Andersen;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;28 weeks on the list,MANSON;by Jeff Guinn;New this week,THE VIRGIN DIET;by J. J. Virgin;6 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;8 weeks on the list,"NIGHTWING, VOL. 2;by Eddy Barrows;2 weeks on the list","ATTACK ON TITAN, VOL. 3;by Hajime Isayama;New this week",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;12 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;38 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,LEAN STARTUP;by Eric Ries;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE CHECKLIST MANIFESTO;by Atul Gawande;
