,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,INFERNO;by Dan Brown;3 weeks on the list,INFERNO;by Dan Brown;3 weeks on the list,WORLD WAR Z;by Max Brooks;49 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;12 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;12 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;32 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;32 weeks on the list,THE 100;by Jorge Cruise;2 weeks on the list,"BATMAN INCORPORATED, VOL. 1;by Grant Morrison and Chris Burnham;2 weeks on the list","LEGO NINJAGO #7, STONE COLD;by Greg Farshtey and Jolyton Yates;New this week","SAILOR MOON, VOL. 11;by Naoko Takeuchi;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;87 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;145 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,QUIET;by Susan Cain;
2,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;2 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;9 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;4 weeks on the list","HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;4 weeks on the list",WILD;by Cheryl Strayed;10 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;6 weeks on the list,WHEAT BELLY;by William Davis;8 weeks on the list,"AQUAMAN, VOL. 2;by Geoff Johns and Ivan Reis;2 weeks on the list",PERSEPOLIS;by Marjane Satrapi;5 weeks on the list,"NARUTO, VOL. 61;by Masashi Kishimoto;4 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,A BIG GUY TOOK MY BALL!;by Mo Willems;2 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;90 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;",BUNKER HILL;by Nathaniel Philbrick;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
3,THE HIT;by David Baldacci;6 weeks on the list,DEEPLY ODD;by Dean Koontz;New this week,FIFTY SHADES OF GREY;by E. L. James;64 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;32 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;2 weeks on the list,CONTROL;by Glenn Beck and others;5 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;4 weeks on the list",LIFE CODE;by Phil McGraw;8 weeks on the list,IN THE KITCHEN WITH ALAIN PASSARD;by Christophe Blain;2 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;94 weeks on the list","DURARARA: SAIKA ARC, VOL. 2;by Ryohgo Narita and Akiyo Satorigi;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;7 weeks on the list",BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;24 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,OUTLIERS;by Malcolm Gladwell;,MY GREEK DRAMA;by Gianna Angelopoulos;,BRAIN ON FIRE;by Susannah Cahalan;
4,DEEPLY ODD;by Dean Koontz;New this week,ZERO HOUR;by Clive Cussler and Graham Brown;New this week,THE ALCHEMIST;by Paulo Coelho;255 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;6 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;6 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;16 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;12 weeks on the list,SMARTTRIBES;by Christine Comaford;New this week,"THE COMPLETE MAUS, A SURVIVOR'S TALE;by Art Spiegelman;3 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;34 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;32 weeks on the list,THEODORE BOONE;by John Grisham;10 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,THE MILLIONAIRE DROPOUT;by Vince Stanzione;,KEEP IT PITHY;by Bill O'Reilly;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;
5,THE FOREVER OF ELLA AND MICHA;by Jessica Sorensen;New this week,THE HIT;by David Baldacci;6 weeks on the list,ZOO;by James Patterson and Michael Ledwidge;3 weeks on the list,,,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;2 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;3 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;18 weeks on the list,BEHIND THE CANDELABRA;by Scott Thorson with Alex Thorleifson;New this week,EAT TO LIVE;by Joel Fuhrman;4 weeks on the list,"SCOTT PILGRIM COLOR, VOL. 3;by Bryan Lee O'Malley;3 weeks on the list",SMILE;by Raina Telgemeier;61 weeks on the list,"ALICE IN THE COUNTRY OF JOKER: CIRCUS AND LIAR'S GAME, VOL. 2;by QuinRose;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THAT IS NOT A GOOD IDEA!;by Mo Willems;6 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;229 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,REALITY-BASED RULES OF THE WORKPLACE;by Cy Wakeman;,DRIVE;by Daniel H. Pink;,UNBROKEN;by Laura Hillenbrand;,GULP;by Mary Roach;
6,ZERO HOUR;by Clive Cussler and Graham Brown;New this week,DEAD EVER AFTER;by Charlaine Harris;4 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;9 weeks on the list,,,THE GUNS AT LAST LIGHT;by Rick Atkinson;3 weeks on the list,MY GREEK DRAMA;by Gianna Angelopoulos;3 weeks on the list,QUIET;by Susan Cain;18 weeks on the list,BOSSYPANTS;by Tina Fey;97 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;8 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;10 weeks on the list",DRAMA;by Raina Telgemeier;33 weeks on the list,"CAGE OF EDEN, VOL. 10;by Yashinobu Yamada;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;94 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;291 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,UNSTOPPABLES;by Bill Schley;,TIPPING POINT;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,WHOLE;by T. Colin Campbell with Howard Jacobson;
7,WORLD WAR Z;by Max Brooks;2 weeks on the list,SILKEN PREY;by John Sandford;4 weeks on the list,FIFTY SHADES DARKER;by E. L. James;61 weeks on the list,,,THE UNWINDING;by George Packer;New this week,KEEP IT PITHY;by Bill O'Reilly;4 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;314 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;3 weeks on the list,THE 12 WEEK YEAR;by Brian P. Moran and Michael Lennington;2 weeks on the list,"THE AUTHORITY, VOL. 1;by Warren Ellis and Bryan Hitch;2 weeks on the list","AQUAMAN, VOL. 1;by Geoff Johns and Ivan Reis;New this week","BLACK BIRD, VOL. 16;by Kanoko Sakurakoji;4 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;60 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;84 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE CHECKLIST MANIFESTO;by Atul Gawande;,MY BELOVED WORLD;by Sonia Sotomayor;,THE HAPPINESS PROJECT;by Gretchen Rubin;
8,SEA GLASS ISLAND;by Sherryl Woods;New this week,12TH OF NEVER;by James Patterson and Maxine Paetro;5 weeks on the list,FIFTY SHADES FREED;by E. L. James;61 weeks on the list,,,WILD;by Cheryl Strayed;49 weeks on the list,THE UNWINDING;by George Packer;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;9 weeks on the list",_____ MY DAD SAYS;by Justin Halpern;26 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;8 weeks on the list,"TWILIGHT: NEW MOON, VOL. 1;by Stephenie Meyer and Young Kim;5 weeks on the list",BATMAN: DEATH BY DESIGN;by Chip Kidd and Dave Taylor;New this week,"GHOST IN THE SHELL: STAND ALONE COMPLEX, VOL. 4;by Yu Kinutani;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;10 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;33 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,START;by Jon Acuff;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
9,SILKEN PREY;by John Sandford;4 weeks on the list,GONE GIRL;by Gillian Flynn;52 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;9 weeks on the list",,,DAD IS FAT;by Jim Gaffigan;4 weeks on the list,DAD IS FAT;by Jim Gaffigan;4 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;117 weeks on the list,THE UNWINDING;by George Packer;2 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;5 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;92 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;25 weeks on the list","BLOOD LAD, VOL. 3;by Yuuki Kodama;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;11 weeks on the list,THE MAZE RUNNER;by James Dashner;48 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,RUMSFELD'S RULES;by Donald Rumsfeld;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,DIRTY WARS;by Jeremy Scahill;,THE POWER OF HABIT;by Charles Duhigg;
10,12TH OF NEVER;by James Patterson and Maxine Paetro;5 weeks on the list,THE SON;by Philipp Meyer;New this week,LIFE OF PI;by Yann Martel;35 weeks on the list,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;34 weeks on the list,THE OUTSIDER;by Jimmy Connors;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;104 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;2 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;8 weeks on the list,"ACTION COMICS, VOL. 2;by Grant Morrison and Rags Morales;4 weeks on the list","AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;19 weeks on the list","BLACK BUTLER, VOL. 13;by Yana Toboso;6 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;52 weeks on the list,KINGDOM KEEPERS;by Ridley Pearson;10 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GIVE AND TAKE;by Adam Grant;,HOW TO RETIRE HAPPY;by Stan Hinden;,FROZEN IN TIME;by Mitchell Zuckoff;,THE AUTISTIC BRAIN;by Temple Grandin and Richard Panek;
