,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,TRIBUTE;by Nora Roberts;New this week,THE SHACK;by William P. Young;8 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;6 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;76 weeks on the list,DECEPTIVELY DELICIOUS;by Jessica Seinfeld;20 weeks on the list,A NEW EARTH;by Eckhart Tolle;24 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;65 weeks on the list,KRISTEN;by Lisi Harrison;2 weeks on the list,YOU CAN DO IT!;by Tony Dungy. Illustrated by Amy June Bates;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;49 weeks on the list
2,FEARLESS FOURTEEN;by Janet Evanovich;4 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;45 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;12 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;77 weeks on the list",THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;14 weeks on the list,SKINNY BITCH;by Kim Barnouin;53 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;26 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;24 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;35 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;63 weeks on the list
3,THE LAST PATRIOT;by Brad Thor;2 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;45 weeks on the list,,FLEECED;by Dick Morris and Eileen McGann;3 weeks on the list,BIG RUSS AND ME;by Tim Russert;12 weeks on the list,THE SECRET;by Rhonda Byrne;79 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;39 weeks on the list,WARRIORS: CATS OF THE CLANS;by Erin Hunter. Illustrated by Wayne McLoughlin;3 weeks on the list,ALICIA;by Lisi Harrison.;6 weeks on the list,ALPHABET;by Matthew Van Fleet;14 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;18 weeks on the list
4,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;5 weeks on the list,THE ALCHEMIST;by Paulo Coelho;44 weeks on the list,,WHAT HAPPENED;by Scott McClellan;7 weeks on the list,WISDOM OF OUR FATHERS;by Tim Russert;9 weeks on the list,GOODNIGHT BUSH;by Erich Origen and Gan Golan;2 weeks on the list,SOUL WISDOM;by Zhi Gang Sha;2 weeks on the list,LOCK AND KEY;by Sarah Dessen;12 weeks on the list,THE BOOK THIEF;by Markus Zusak;44 weeks on the list,A VISITOR FOR BEAR;by Bonny Becker. Illustrated by Kady MacDonald Denton;5 weeks on the list,HARRY POTTER;by J.K. Rowling;191 weeks on the list
5,SWAN PEAK;by James Lee Burke;New this week,NINETEEN MINUTES;by Jodi Picoult;23 weeks on the list,,STORI TELLING;by Tori Spelling with Hilary Liftin;7 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;29 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;10 weeks on the list,PERFECT SELLING;by Linda Richardson;New this week,THE WILLOUGHBYS;by Lois Lowry;New this week,TEMPTED;by Cecily von Ziegesar;6 weeks on the list,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;25 weeks on the list",THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;130 weeks on the list
6,SAIL;by James Patterson and Howard Roughan;5 weeks on the list,THE ROAD;by Cormac McCarthy;45 weeks on the list,,THE MONSTER OF FLORENCE;by Douglas Preston with Mario Spezi;5 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;104 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;33 weeks on the list,YOU CAN HEAL YOUR LIFE;by Louise L. Hay;29 weeks on the list,SEEKERS: THE QUEST BEGINS;by Erin Hunter;7 weeks on the list,CAMP ROCK;by Lucy Ruggles;7 weeks on the list,KNUFFLE BUNNY TOO;written and illustrated by Mo Willems;33 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;99 weeks on the list
7,THE HOST;by Stephenie Meyer;10 weeks on the list,IN THE WOODS;by Tana French;7 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;11 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;90 weeks on the list,WOMEN AND MONEY;by Suze Orman;22 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;369 weeks on the list,THE MAGICIAN;by Michael Scott;3 weeks on the list,MASSIE;by Lisi Harrison;15 weeks on the list,ZEN TIES;written and illustrated by Jon J. Muth;26 weeks on the list,PENDRAGON;by D. J. MacHale;67 weeks on the list
8,TAILSPIN;by Catherine Coulter;3 weeks on the list,LOVING FRANK;by Nancy Horan;13 weeks on the list,,AUDITION;by Barbara Walters;10 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;41 weeks on the list,GHOSTS AMONG US;by James Van Praagh;6 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;55 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;67 weeks on the list,DYLAN;by Lisi Harrison;10 weeks on the list,DIRT ON MY SHIRT;by Jeff Foxworthy. Illustrated by Steve Bjorkman;18 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;23 weeks on the list
9,THE BEACH HOUSE;by Jane Green;4 weeks on the list,BAREFOOT;by Elin Hilderbrand;5 weeks on the list,,THE PROSECUTION OF GEORGE W. BUSH FOR MURDER;by Vincent Bugliosi;5 weeks on the list,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;11 weeks on the list",TOTAL MONEY MAKEOVER;by Dave Ramsey;3 weeks on the list,HUNGRY GIRL;by Lisa Lillien;11 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY AND THE PERILOUS JOURNEY;by Trenton Lee Stewart. Illustrated by Diana Sudyka;5 weeks on the list,CHOSEN;by P. C. Cast and Kristin Cast;11 weeks on the list,READ ALL ABOUT IT!;by Laura Bush and Jenna Bush;12 weeks on the list,CONFESSIONS OF GEORGIA NICOLSON;by Louise Rennison;14 weeks on the list
10,LOVE THE ONE YOU'RE WITH;by Emily Giffin;9 weeks on the list,THE LAST SUMMER (OF YOU AND ME);by Ann Brashares;10 weeks on the list,,MY STROKE OF INSIGHT;by Jill Bolte Taylor;6 weeks on the list,MARLEY AND ME;by John Grogan;18 weeks on the list,WHEN MARKETS COLLIDE;by Mohamed A. El-Erian;4 weeks on the list,"HELLO, CUPCAKE!;by Karen Tack;9 weeks on the list",THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;34 weeks on the list,WALL-E;by Irene Trimble;6 weeks on the list,DON’T BUMP THE GLUMP!;written and illustrated by Shel Silverstein;14 weeks on the list,D’ Lacey’s Dragons;by Chris d Lacey;12 weeks on the list
11,CHASING DARKNESS;by Robert Crais;2 weeks on the list,THE SECRET LIFE OF BEES;by Sue Monk Kidd;4 weeks on the list,,ROME 1960;by David Maraniss;2 weeks on the list,THE INNOCENT MAN;by John Grisham;34 weeks on the list,DEBT CURES “THEY” DON’T WANT YOU TO KNOW ABOUT;by Kevin Trudeau;,THE PURPOSE-DRIVEN LIFE;by Rick Warren;,,,,
12,CHASING HARRY WINSTON;by Lauren Weisberger;7 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;28 weeks on the list,,SOMEWHERE IN HEAVEN;by Christopher Andersen;New this week,THE OMNIVORE’S DILEMMA;by Michael Pollan;46 weeks on the list,END OF DAYS;by Sylvia Browne;,THE DAILY CANDY LEXICON;by Daily Candy Editors;,,,,
13,ROGUE;by Danielle Steel;3 weeks on the list,MY SISTER’S KEEPER;by Jodi Picoult;23 weeks on the list,,IN DEFENSE OF FOOD;by Michael Pollan;20 weeks on the list,TIPPING POINT;by Malcolm Gladwell;204 weeks on the list,BECOME A BETTER YOU;by Joel Osteen;,THE SPEED OF TRUST;by Stephen M. R. Covey;,,,,
14,DEATH ANGEL;by Linda Howard;2 weeks on the list,SECOND CHANCE;by Jane Green;7 weeks on the list,,I AM AMERICA (AND SO CAN YOU!);by Stephen Colbert;28 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;New this week,QUANTUM WELLNESS;by Kathy Freston;,SNEAKY CHEF;by Missy Chase Lapine and Anastassios Koumbourlis;,,,,
15,SILENT THUNDER;by Iris Johansen and Roy Johansen;New this week,THE MEMORY KEEPER’S DAUGHTER;by Kim Edwards;45 weeks on the list,,ME OF LITTLE FAITH;by Lewis Black;6 weeks on the list,STUFF WHITE PEOPLE LIKE;by Christian Lander;2 weeks on the list,THE POCKET DANGEROUS BOOK FOR BOYS (THINGS TO DO);by Conn Iggulden;,HOW TO READ LITERATURE LIKE A PROFESSOR;by Thomas C. Foster;,,,,
