,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,ONE GOOD DEED;by David Baldacci;New this week,ONE GOOD DEED;by David Baldacci;New this week,BEFORE WE WERE YOURS;by Lisa Wingate;10 weeks on the list,EDUCATED;by Tara Westover;75 weeks on the list,EDUCATED;by Tara Westover;75 weeks on the list,THE MUELLER REPORT;with related materials by The Washington Post;14 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;137 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;16 weeks on the list,WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;15 weeks on the list,DOG MAN;by Dav Pilkey;100 weeks on the list,THE HATE U GIVE;by Angie Thomas;126 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,EDUCATED;by Tara Westover;,DARE TO LEAD;by Brené Brown;,SAPIENS;by Yuval Noah Harari;,RANGE;by David Epstein;
2,WHERE THE CRAWDADS SING;by Delia Owens;46 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;47 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;47 weeks on the list,BECOMING;by Michelle Obama;37 weeks on the list,BECOMING;by Michelle Obama;37 weeks on the list,BORN A CRIME;by Trevor Noah;24 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;68 weeks on the list",WONDER;by R.J. Palacio;207 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;541 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;34 weeks on the list,CITY OF GIRLS;by Elizabeth Gilbert;,BECOMING;by Michelle Obama;,ATOMIC HABITS;by James Clear;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,THE SIXTH MAN;by Andre Iguodala with Carvell Wallace;
3,THE NEW GIRL;by Daniel Silva;2 weeks on the list,THE NICKEL BOYS;by Colson Whitehead;2 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;12 weeks on the list,THREE WOMEN;by Lisa Taddeo;3 weeks on the list,THE PIONEERS;by David McCullough;12 weeks on the list,SAPIENS;by Yuval Noah Harari;63 weeks on the list,YOU ARE A BADASS;by Jen Sincero;182 weeks on the list,REFUGEE;by Alan Gratz;65 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;195 weeks on the list,HARRY POTTER;by J.K. Rowling;540 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE RISE OF KYOSHI;by F.C. Yee with Michael Dante DiMartino;2 weeks on the list",UNDER CURRENTS;by Nora Roberts;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,BAD BLOOD;by John Carreyrou;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,THE BOYS IN THE BOAT;by Daniel James Brown;
4,THE NICKEL BOYS;by Colson Whitehead;2 weeks on the list,THE NEW GIRL;by Daniel Silva;2 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;60 weeks on the list,THE PIONEERS;by David McCullough;12 weeks on the list,THREE WOMEN;by Lisa Taddeo;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;40 weeks on the list,DARE TO LEAD;by Brené Brown;27 weeks on the list,KATT VS. DOGG;by James Patterson and Chris Grabenstein. Illustrated by Anuki Lopez;17 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;282 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;181 weeks on the list,ON THE COME UP;by Angie Thomas;25 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,BORN A CRIME;by Trevor Noah;,RANGE;by David Epstein;,BEING MORTAL;by Atul Gawande;,SHOE DOG;by Phil Knight;
5,THE RECKONING;by John Grisham;24 weeks on the list,THRAWN: TREASON;by Timothy Zahn;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;21 weeks on the list,THE MUELLER REPORT;with related materials by The Washington Post;14 weeks on the list,UNFREEDOM OF THE PRESS;by Mark R. Levin;10 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;55 weeks on the list,"GIRL, STOP APOLOGIZING;by Rachel Hollis;21 weeks on the list",A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;11 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;60 weeks on the list,THE BAD GUYS;by Aaron Blabey;41 weeks on the list,"GHOSTS OF THE SHADOW MARKET;by Cassandra Clare, Sarah Rees Brennan, Maureen Johnson, Kelly Link and Robin Wasserman;8 weeks on the list",THRAWN: TREASON;by Timothy Zahn;,SAPIENS;by Yuval Noah Harari;,OUTLIERS;by Malcolm Gladwell;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,FOR THE GOOD OF THE GAME;by Bud Selig with Phil Rogers;
6,THRAWN: TREASON;by Timothy Zahn;New this week,SUMMER OF '69;by Elin Hilderbrand;6 weeks on the list,THE ADVENTURE ZONE: MURDER ON THE ROCKPORT LIMITED!;by Clint McElroy et al. Illustrated by Carey Pietsch;2 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;87 weeks on the list,JUSTICE ON TRIAL;by Mollie Hemingway and Carrie Severino;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;284 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;280 weeks on the list,POPULARMMOS PRESENTS ENTER THE MINE;by Pat and Jen from PopularMMOs. Illustrated by Dani Jones;8 weeks on the list,MOON'S FIRST FRIENDS;by Susanna Leonard Hill. Illustrated by Elisa Paganelli;4 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;512 weeks on the list,THE REST OF THE STORY;by Sarah Dessen;8 weeks on the list,SUMMER OF '69;by Elin Hilderbrand;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",IF THESE WALLS COULD TALK;by Jerry Remy and Nick Cafardo;
7,UNDER CURRENTS;by Nora Roberts;3 weeks on the list,UNDER CURRENTS;by Nora Roberts;3 weeks on the list,AMBUSH;by James Patterson and James O. Born;New this week,UNFREEDOM OF THE PRESS;by Mark R. Levin;10 weeks on the list,AMERICAN CARNAGE;by Tim Alberta;2 weeks on the list,JUST MERCY;by Bryan Stevenson;163 weeks on the list,MAKE YOUR BED;by William H. McRaven;72 weeks on the list,A BEAUTIFUL DAY IN THE NEIGHBORHOOD;by Fred Rogers. Illustrated by Luke Flowers;15 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;280 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;51 weeks on the list,WITH THE FIRE ON HIGH;by Elizabeth Acevedo;11 weeks on the list,ONE GOOD DEED;by David Baldacci;,THREE WOMEN;by Lisa Taddeo;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,WOLFPACK;by Abby Wambach;
8,SUMMER OF '69;by Elin Hilderbrand;6 weeks on the list,WINDOW ON THE BAY;by Debbie Macomber;2 weeks on the list,THE RECKONING;by John Grisham;6 weeks on the list,JUSTICE ON TRIAL;by Mollie Hemingway and Carrie Severino;3 weeks on the list,AMERICA'S RELUCTANT PRINCE;by Steven M. Gillon;3 weeks on the list,"THEY CALLED US ENEMY;by George Takei, Justin Eisinger and Steven Scott. Illustrated by Harmony Becker;2 weeks on the list",STAY SEXY AND DON'T GET MURDERED;by Karen Kilgariff and Georgia Hardstark;9 weeks on the list,GHOST BOYS;by Jewell Parker Rhodes;4 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;163 weeks on the list",WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;85 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;73 weeks on the list,THE NEW GIRL;by Daniel Silva;,AMERICAN CARNAGE;by Tim Alberta;,GRIT;by Angela Duckworth;,WHY WE SLEEP;by Matthew Walker;,FLY GIRLS;by Keith O'Brien;
9,BEFORE WE WERE YOURS;by Lisa Wingate;46 weeks on the list,CITY OF GIRLS;by Elizabeth Gilbert;8 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;161 weeks on the list,SAPIENS;by Yuval Noah Harari;79 weeks on the list,BECAUSE INTERNET;by Gretchen McCulloch;New this week,CALYPSO;by David Sedaris;8 weeks on the list,EVERYTHING IS F*CKED;by Mark Manson;11 weeks on the list,BLENDED;by Sharon M. Draper;16 weeks on the list,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;19 weeks on the list,GIVER QUARTET;by Lois Lowry;156 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;84 weeks on the list,WHISPER NETWORK;by Chandler Baker;,"EVIL HAS A NAME;by Paul Holes, Jim Clemente and Peter McDonnell;",PRINCIPLES;by Ray Dalio;,THE POWER OF HABIT;by Charles Duhigg;,ALL THE WAY;by Joe Namath with Sean Mortimer and Don Yaeger;
10,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;46 weeks on the list,"ASK AGAIN, YES;by Mary Beth Keane;3 weeks on the list",A GENTLEMAN IN MOSCOW;by Amor Towles;18 weeks on the list,BORN A CRIME;by Trevor Noah;54 weeks on the list,RANGE;by David Epstein;5 weeks on the list,TELL ME MORE;by Kelly Corrigan;3 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;25 weeks on the list,ARU SHAH AND THE SONG OF DEATH;by Roshani Chokshi;13 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;7 weeks on the list,DORK DIARIES;by Rachel Renée Russell;295 weeks on the list,WILDER GIRLS;by Rory Power;3 weeks on the list,MISSING MOLLY;by Natalie Barelli;,I CAN'T MAKE THIS UP;by Kevin Hart with Neil Strauss;,RADICAL CANDOR;by Kim Scott;,QUIET;by Susan Cain;,BALLPARK;by Paul Goldberger;
