,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,HOUSE OF SPIES;by Daniel Silva;New this week,HOUSE OF SPIES;by Daniel Silva;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;14 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;51 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;11 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;382 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;31 weeks on the list,WONDER;by R.J. Palacio;101 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;7 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;34 weeks on the list,THE HATE U GIVE;by Angie Thomas;20 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,PAPI;by David Ortiz with Michael Holley;
2,CAMINO ISLAND;by John Grisham;6 weeks on the list,CAMINO ISLAND;by John Grisham;6 weeks on the list,MILK AND HONEY;by Rupi Kaur;66 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;11 weeks on the list,REDISCOVERING AMERICANISM;by Mark R. Levin;3 weeks on the list,ON TYRANNY;by Timothy Snyder;20 weeks on the list,YOU ARE A BADASS;by Jen Sincero;79 weeks on the list,THE DARK PROPHECY;by Rick Riordan;11 weeks on the list,WHAT DO YOU DO WITH A PROBLEM?;by Kobi Yamada. Illustrated by Mae Besom;11 weeks on the list,HARRY POTTER;by J.K. Rowling;434 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;4 weeks on the list,OUTLIERS;by Malcolm Gladwell;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE BOYS IN THE BOAT;by Daniel James Brown;
3,THE WHISTLER;by John Grisham;17 weeks on the list,MURDER GAMES;by James Patterson and Howard Roughan;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;23 weeks on the list,REDISCOVERING AMERICANISM;by Mark R. Levin;3 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;51 weeks on the list,DUNKIRK;by Joshua Levine;2 weeks on the list,MAKE YOUR BED;by William H. McRaven;15 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;29 weeks on the list,WE ARE IN A BOOK!;written and illustrated by Mo Willems;16 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;75 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;8 weeks on the list,GRIT;by Angela Duckworth;,SAPIENS;by Yuval Noah Harari;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
4,THE WOMAN IN CABIN 10;by Ruth Ware;25 weeks on the list,INTO THE WATER;by Paula Hawkins;11 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;20 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;7 weeks on the list","AL FRANKEN, GIANT OF THE SENATE;by Al Franken;7 weeks on the list",THE ZOOKEEPER’S WIFE;by Diane Ackerman;50 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;209 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;47 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;94 weeks on the list,MERCY WATSON;by Kate DiCamillo. Illustrated by Chris Van Dusen;5 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;6 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHOE DOG;by Phil Knight;
5,THE HANDMAID'S TALE;by Margaret Atwood;17 weeks on the list,USE OF FORCE;by Brad Thor;3 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;15 weeks on the list,DANGEROUS;by Milo Yiannopoulos;2 weeks on the list,DANGEROUS;by Milo Yiannopoulos;2 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;344 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;6 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;6 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;178 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;435 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,TEAMMATE;by David Ross with Don Yaeger;
6,STILL LIFE;by Louise Penny;New this week,THE IDENTICALS;by Elin Hilderbrand;5 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;7 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;47 weeks on the list,THE SWAMP;by Eric Bolling;3 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;83 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;92 weeks on the list,DOG MAN;by Dav Pilkey;46 weeks on the list,MOTHER BRUCE;by Ryan T. Higgins;New this week,DESCENDANTS;by Melissa de la Cruz;8 weeks on the list,BECAUSE YOU LOVE TO HATE ME;edited by  Ameriie;New this week,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;
7,THE IDENTICALS;by Elin Hilderbrand;5 weeks on the list,THE DUCHESS;by Danielle Steel;3 weeks on the list,BEHIND CLOSED DOORS;by B. A. Paris;2 weeks on the list,THE SWAMP;by Eric Bolling;3 weeks on the list,UNDERSTANDING TRUMP;by Newt Gingrich;5 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;32 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;135 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;3 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;51 weeks on the list,DORK DIARIES;by Rachel Renée Russell;215 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;56 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,HOMO DEUS;by Yuval Noah Harari;,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;
8,A GAME OF THRONES;by George R.R. Martin;47 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;34 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;81 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;12 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;12 weeks on the list,JUST MERCY;by Bryan Stevenson;69 weeks on the list,THE LOSE YOUR BELLY DIET;by Travis Stork;14 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;5 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;11 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;437 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;51 weeks on the list,ORIGINALS;by Adam Grant;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,A LIFE WELL PLAYED;by Arnold Palmer;
9,USE OF FORCE;by Brad Thor;3 weeks on the list,SEVEN STONES TO STAND OR FALL;by Diana Gabaldon;3 weeks on the list,THE WHISTLER;by John Grisham;New this week,KILLERS OF THE FLOWER MOON;by David Grann;13 weeks on the list,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;40 weeks on the list,NO IS NOT ENOUGH;by Naomi Klein;5 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;60 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;28 weeks on the list,"MIGHTY, MIGHTY CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;10 weeks on the list",WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;17 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;14 weeks on the list,LEADERS EAT LAST;by Simon Sinek;,THE POWER OF HABIT;by Charles Duhigg;,BUT SERIOUSLY;by John McEnroe;
10,MURDER GAMES;by James Patterson and Howard Roughan;3 weeks on the list,TWO NIGHTS;by Kathy Reichs;New this week,BEHOLD THE DREAMERS;by ﻿Imbolo Mbue;3 weeks on the list,UNDERSTANDING TRUMP;by Newt Gingrich;5 weeks on the list,I CAN'T MAKE THIS UP;by Kevin Hart with Neil Strauss;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;236 weeks on the list,UNINVITED;by Lysa TerKeurst;30 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;36 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;41 weeks on the list",SERAFINA;by Robert Beatty;2 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;35 weeks on the list,GET YOUR ------ TOGETHER;by Sarah Knight;,QUIET;by Susan Cain;,SHAKEN;by Tim Tebow;
