,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;4 weeks on the list,TAKEN;by Robert Crais;New this week,THE HELP;by Kathryn Stockett;43 weeks on the list,,,TAKEN;by Robert Crais;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;53 weeks on the list,AMERITOPIA;by Mark R. Levin;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;63 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;53 weeks on the list,THE END OF ILLNESS;by David B. Agus with Kristin Loberg;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;235 weeks on the list,AMERITOPIA;by Mark R. Levin;,BATMAN: THE BLACK MIRROR;by Scott Snyder and Jock;6 weeks on the list,"THE WALKING DEAD, VOL. 15;by Robert Kirkman and Charlie Adlard;5 weeks on the list","SAILOR MOON, VOL. 3;by Naoko Takeuchi;2 weeks on the list",THE FAULT IN OUR STARS;by John Green;3 weeks on the list,WAR HORSE;by Michael Morpurgo;12 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;10 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;75 weeks on the list,STEVE JOBS;by Walter Isaacson;,OUTLIERS;by Malcolm Gladwell;,AMERITOPIA;by Mark R. Levin;
2,TAKEN;by Robert Crais;New this week,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;4 weeks on the list,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;6 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,AMERITOPIA;by Mark R. Levin;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;4 weeks on the list,BOSSYPANTS;by Tina Fey;4 weeks on the list,FAIRY TALE INTERRUPTED;by RoseMarie Terenzio;New this week,TAKING PEOPLE WITH YOU;by David Novak;4 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;546 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,WAR OF THE GREEN LANTERNS: AFTERMATH;by Tony Bedard and others;New this week,HEALTH CARE REFORM;by Jonathan Gruber;3 weeks on the list,"BLACK BUTLER, VOL. 8;by Yana Toboso;New this week",THE SON OF NEPTUNE;by Rick Riordan;17 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;33 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;17 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;159 weeks on the list,TAKING PEOPLE WITH YOU;by David Novak;,MONEYBALL;by Michael Lewis;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
3,THE HELP;by Kathryn Stockett;50 weeks on the list,DEATH COMES TO PEMBERLEY;by P. D. James;8 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;136 weeks on the list,,,THE HELP;by Kathryn Stockett;,STEVE JOBS;by Walter Isaacson;14 weeks on the list,STEVE JOBS;by Walter Isaacson;14 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;47 weeks on the list,STEVE JOBS;by Walter Isaacson;14 weeks on the list,DELICIOUSLY G-FREE;by Elisabeth Hasselbeck;3 weeks on the list,4 ESSENTIALS OF ENTREPRENEURIAL THINKING;by Cliff Michaels;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,The DARKTOWER: THE BATTLE OF TULL;by Peter David and Michael Lark;New this week,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;19 weeks on the list","HIGHSCHOOL OF THE DEAD, VOL. 5;by Daisuke Sato and Shouji Sato;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;34 weeks on the list,THE BOOK THIEF;by Markus Zusak;229 weeks on the list,A BALL FOR DAISY;by Chris Raschka;New this week,INHERITANCE;by Christopher Paolini;33 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MONEY CLASS;by Suze Orman;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;24 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;76 weeks on the list,THE TIGER'S WIFE;by Téa Obreht;13 weeks on the list,,,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;,QUIET;by Susan Cain;New this week,QUIET;by Susan Cain;New this week,OUTLIERS;by Malcolm Gladwell;34 weeks on the list,QUIET;by Susan Cain;New this week,PSYCHOLOGY OF WEALTH;by Charles Richards;2 weeks on the list,THE BOOK OF AWAKENING;by Mark Nepo;9 weeks on the list,STEVE JOBS;by Walter Isaacson;,FEAR ITSELF;by Matt Fraction and Stuart Immonen;2 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;12 weeks on the list,"DURARARA!!, VOL. 1;by Ryohgo Narita and Akiyo Satorigi;New this week",THE INVENTION OF HUGO CABRET;by Brian Selznick;98 weeks on the list,SWITCHED;by Amanda Hocking;4 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;14 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;256 weeks on the list,PSYCHOLOGY OF WEALTH;by Charles Richards;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
5,ONE FOR THE MONEY;by Janet Evanovich;New this week,11/22/63;by Stephen King;12 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;86 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;4 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;18 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;53 weeks on the list,STRATEGY FOR YOU;by Richard Horwath;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;47 weeks on the list,QUIET;by Susan Cain;,THE DARK CRYSTAL;by Brian Holguin and Alex Sheikman;New this week,MAUS: A SURVIVOR'S TALE;by Art Spiegelman;3 weeks on the list,"PANDORA HEARTS, VOL. 8;by Jun Mochizuki;New this week",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;13 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;126 weeks on the list,ME ... JANE;by Patrick McDonnell;9 weeks on the list,FALLEN;by Lauren Kate;9 weeks on the list,BOOMERANG;by Michael Lewis;,THE BIG SHORT;by Michael Lewis;,CATHERINE THE GREAT;by Robert K. Massie;
6,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;4 weeks on the list,BELIEVING THE LIE;by Elizabeth George;3 weeks on the list,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;3 weeks on the list,,,BONNIE;by Iris Johansen;,FAIRY TALE INTERRUPTED;by RoseMarie Terenzio;New this week,UNBROKEN;by Laura Hillenbrand;63 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;28 weeks on the list,INSIDE APPLE;by Adam Lashinsky;New this week,HOW DO YOU KILL 11 MILLION PEOPLE?;by Andy Andrews;2 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;65 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BATMAN: THROUGH THE LOOKING GLASS;by Bruce Jones and Sam Keith;2 weeks on the list,THE SILENCE OF OUR FRIENDS;by Mark Long and Jim Demonakos;New this week,"NARUTO, VOL. 54;by Masashi Kishimoto;4 weeks on the list",DEAD END IN NORVELT;by Jack Gantos;New this week,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;24 weeks on the list",IF YOU GIVE A DOG A DONUT;by Laura Numeroff. Illustrated by Felicia Bond;17 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;236 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,IN THE GARDEN OF BEASTS;by Erik Larson;
7,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;16 weeks on the list,RAYLAN;by Elmore Leonard;2 weeks on the list,THE HARBINGER;by Jonathan Cahn;4 weeks on the list,,,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;18 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;21 weeks on the list,"BLOOD, BONES AND BUTTER;by Gabrielle Hamilton;New this week",AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;4 weeks on the list,THE 17 DAY DIET;by Mike Moreno;41 weeks on the list,THE RESOLUTION FOR MEN;by Stephen and Alex Kendrick with Randy Alcorn;6 weeks on the list,BOSSYPANTS;by Tina Fey;,ROMEO AND JULIET: THE WAR;by Stan Lee and Terry Dougas;New this week,ROMEO AND JULIET: THE WAR;by Stan Lee and Terry Dougas;New this week,"ARISA, VOL. 6;by Natsumi Ando;New this week",EVERY THING ON IT;by Shel Silverstein;18 weeks on the list,CLOCKWORK ANGEL;by Cassandra Clare;17 weeks on the list,THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;15 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;45 weeks on the list,GREEDY BASTARDS;by Dylan Ratigan;,4 ESSENTIALS OF ENTREPRENEURIAL THINKING;by Cliff Michaels;,THE OBAMAS;by Jodi Kantor;
8,DARKER AFTER MIDNIGHT;by Lara Adrian;New this week,THE LITIGATORS;by John Grisham;14 weeks on the list,LETHAL;by Sandra Brown;New this week,,,THE TIGER'S WIFE;by Téa Obreht;,UNBROKEN;by Laura Hillenbrand;53 weeks on the list,FAIRY TALE INTERRUPTED;by RoseMarie Terenzio;New this week,MONEYBALL;by Michael Lewis;40 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;18 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;8 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;22 weeks on the list,UNBROKEN;by Laura Hillenbrand;,SPIDER-MAN: SPIDER-ISLAND;by Dan Slott and others;New this week,"TWILIGHT, VOL. 1;by Stephenie Meyer;New this week","BLACK GOD, VOL. 15;by Dall-Young Lim and Sung-Woo Park;New this week",THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;4 weeks on the list,MATCHED;by Ally Condie;19 weeks on the list,GRANDPA GREEN;by Lane Smith;New this week,THE MAZE RUNNER;by James Dashner;7 weeks on the list,EMOTIONAL EQUATIONS;by Chip Conley;,DRIVE;by Daniel H. Pink;,HOW DO YOU KILL 11 MILLION PEOPLE?;by Andy Andrews;
9,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;23 weeks on the list,DARKER AFTER MIDNIGHT;by Lara Adrian;New this week,TINKER TAILOR SOLDIER SPY;by John le Carré;5 weeks on the list,,,DEATH COMES TO PEMBERLEY;by P. D. James;,BOSSYPANTS;by Tina Fey;34 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;14 weeks on the list",LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;2 weeks on the list,BOSSYPANTS;by Tina Fey;43 weeks on the list,I GOT THIS;by Jennifer Hudson;3 weeks on the list,EAT TO LIVE;by Joel Fuhrman;32 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;,"BATMAN: THE DARK KNIGHT, VOL. 1;by David Finch;3 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;105 weeks on the list,"NARUTO, VOL. 53;by Masashi Kishimoto;8 weeks on the list",THE LOST HERO;by Rick Riordan;64 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;23 weeks on the list,THE ARTIST WHO PAINTED A BLUE HORSE;by Eric Carle;17 weeks on the list,BAD KITTY;by Nick Bruel;2 weeks on the list,ENTRELEADERSHIP;by Dave Ramsey;,THE CHECKLIST MANIFESTO;by Atul Gawande;,ELIZABETH THE QUEEN;by Sally Bedell Smith;
10,11/22/63;by Stephen King;12 weeks on the list,LOCKED ON;by Tom Clancy with Mark Greaney;7 weeks on the list,NIGHT ROAD;by Kristin Hannah;4 weeks on the list,,,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;49 weeks on the list,STRATEGIC VISION;by Zbigniew Brzezinski;New this week,THE DEVIL IN THE WHITE CITY;by Erik Larson;201 weeks on the list,AMERITOPIA;by Mark R. Levin;2 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;32 weeks on the list,THE RESOLUTION FOR WOMEN;by Priscilla Shirer;2 weeks on the list,FAIRY TALE INTERRUPTED;by RoseMarie Terenzio;,ANNOTATED SANDMAN VOL. 1;by Leslie S. Klinger;2 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;105 weeks on the list","ROSARIO+VAMPIRE SEASON II, VOL. 7;by Akihisa Ikeda;4 weeks on the list",WONDERSTRUCK;by Brian Selznick;20 weeks on the list,THE GENIUS FILES: MISSION UNSTOPPABLE;by Dan Gutman;New this week,EXTRA YARN;by Mac Barnett. Illustrated by Jon Klassen;2 weeks on the list,NIGHTSHADE;by Andrea Cremer;3 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;,JACK KENNEDY;by Chris Matthews;
