,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,READY PLAYER TWO;by Ernest Cline;3 weeks on the list,READY PLAYER TWO;by Ernest Cline;3 weeks on the list,HOME BODY;by Rupi Kaur;4 weeks on the list,A PROMISED LAND;by Barack Obama;4 weeks on the list,A PROMISED LAND;by Barack Obama;4 weeks on the list,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;21 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;54 weeks on the list",THE ICKABOG;by J.K. Rowling;5 weeks on the list,5 MORE SLEEPS 'TIL CHRISTMAS;by Jimmy Fallon. Illustrated by Rich Deas;7 weeks on the list,DOG MAN;by Dav Pilkey;172 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;150 weeks on the list,READY PLAYER TWO;by Ernest Cline;,A PROMISED LAND;by Barack Obama;,ATOMIC HABITS;by James Clear;,A WEALTH OF PIGEONS;by Steve Martin and Harry Bliss;,LEOPARD'S RAGE;by Christine Feehan;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,A TIME FOR MERCY;by John Grisham;9 weeks on the list,A TIME FOR MERCY;by John Grisham;9 weeks on the list,THE QUEEN'S GAMBIT;by Walter Tevis;5 weeks on the list,GREENLIGHTS;by Matthew McConaughey;8 weeks on the list,GREENLIGHTS;by Matthew McConaughey;8 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;58 weeks on the list,MODERN COMFORT FOOD;by Ina Garten;10 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;87 weeks on the list,THE WORLD NEEDS WHO YOU WERE MADE TO BE;by Joanna Gaines. Illustrated by Julianna Swaney;5 weeks on the list,HARRY POTTER;by J.K. Rowling;612 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;38 weeks on the list,RHYTHM OF WAR;by Brandon Sanderson;,GREENLIGHTS;by Matthew McConaughey;,PAPPYLAND;by Wright Thompson;,GUTS;by Raina Telgemeier;,THE NIGHT FIRE;by Michael Connelly;,A LONG WALK TO WATER;by Linda Sue Park;,THE BOOK THIEF;by Markus Zusak;
3,DEADLY CROSS;by James Patterson;3 weeks on the list,DEADLY CROSS;by James Patterson;3 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;74 weeks on the list,BAG MAN;by Rachel Maddow and Michael Yarvitz;New this week,BAG MAN;by Rachel Maddow and Michael Yarvitz;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;112 weeks on the list,DESSERT PERSON;by Claire Saffitz;3 weeks on the list,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;19 weeks on the list,CONSTRUCTION SITE ON CHRISTMAS NIGHT;by Sherri Duskey Rinker. Illustrated by A. G. Ford;22 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;613 weeks on the list,THE HATE U GIVE;by Angie Thomas;198 weeks on the list,THE LAW OF INNOCENCE;by Michael Connelly;,THE BEST OF ME;by David Sedaris;,DARE TO LEAD;by Brené Brown;,NEW KID;by Jerry Craft;,SPY;by Danielle Steel;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,DEAR MARTIN;by Nic Stone;
4,THE VANISHING HALF;by Brit Bennett;28 weeks on the list,THE RETURN;by Nicholas Sparks;11 weeks on the list,THE OVERSTORY;by Richard Powers;70 weeks on the list,THE LAST DAYS OF JOHN LENNON;by James Patterson with Casey Sherman and Dave Wedge;New this week,THE LAST DAYS OF JOHN LENNON;by James Patterson with Casey Sherman and Dave Wedge;New this week,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;35 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;39 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;32 weeks on the list,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;25 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;245 weeks on the list,THE COUSINS;by Karen M. McManus;2 weeks on the list,A TIME FOR MERCY;by John Grisham;,CASTE;by Isabel Wilkerson;,TEN LESSONS FOR A POST-PANDEMIC WORLD;by Fareed Zakaria;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",WHEN YOU SEE ME;by Lisa Gardner;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THEY BOTH DIE AT THE END;by Adam Silvera;
5,THE RETURN;by Nicholas Sparks;11 weeks on the list,THE VANISHING HALF;by Brit Bennett;28 weeks on the list,MILK AND HONEY;by Rupi Kaur;169 weeks on the list,WORLD OF WONDERS;by Aimee Nezhukumatathil;New this week,WORLD OF WONDERS;by Aimee Nezhukumatathil;New this week,SAPIENS;by Yuval Noah Harari;122 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;29 weeks on the list","FOOD NETWORK MAGAZINE: THE BIG, FUN KIDS COOKBOOK;by Food Network Magazine;10 weeks on the list",THE CRAYONS' CHRISTMAS;by Drew Daywalt. Illustrated by Oliver Jeffers;16 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;57 weeks on the list,ESSENTIALLY CHARLI;by Charli D’Amelio;New this week,FORTUNE AND GLORY;by Janet Evanovich;,CLANLANDS;by Sam Heughan and Graham McTavish;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",CLASS ACT;by Jerry Craft;,A CHRISTMAS MESSAGE;by Debbie Macomber;,LOOK BOTH WAYS;by Jason Reynolds;,FIVE TOTAL STRANGERS;by Natalie D. Richards;
6,DAYLIGHT;by David Baldacci;4 weeks on the list,DAYLIGHT;by David Baldacci;4 weeks on the list,THE SONG OF ACHILLES;by Madeline Miller;8 weeks on the list,CASTE;by Isabel Wilkerson;19 weeks on the list,BECOMING;by Michelle Obama;96 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;50 weeks on the list,THE HAPPY IN A HURRY COOKBOOK;by Steve and Kathy Doocy;7 weeks on the list,WONDER;by R.J. Palacio;278 weeks on the list,THE OFFICE: A DAY AT DUNDER MIFFLIN ELEMENTARY;by Robb Pearlman. Illustrated by Melanie Demmer;11 weeks on the list,THE BAD GUYS;by Aaron Blabey;105 weeks on the list,THE BLACK FRIEND;by Frederick Joseph;2 weeks on the list,THE SENTINEL;by Lee Child and Andrew Child;,BECOMING;by Michelle Obama;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,HAPPY NARWHALIDAYS;by Ben Clanton;,THE MUSEUM OF DESIRE;by Jonathan Kellerman;,WISH;by Barbara O'Connor;,SIX OF CROWS;by Leigh Bardugo;
7,THE LAW OF INNOCENCE;by Michael Connelly;5 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;119 weeks on the list,THE CHICKEN SISTERS;by KJ Dell'Antonia;2 weeks on the list,BECOMING;by Michelle Obama;89 weeks on the list,CASTE;by Isabel Wilkerson;19 weeks on the list,THE TRUTHS WE HOLD;by Kamala Harris;12 weeks on the list,ATOMIC HABITS;by James Clear;55 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;84 weeks on the list,HOW TO CATCH A MERMAID;by Adam Wallace. Illustrated by Andy Elkerton;2 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;53 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE SHADOW OF KYOSHI;by F.C. Yee;4 weeks on the list",DAYLIGHT;by David Baldacci;,UNTAMED;by Glennon Doyle;,LEADERSHIP;by Doris Kearns Goodwin;,BLADES OF FREEDOM;by Nathan Hale;,WYOMING TRUE;by Diana Palmer;,OUT OF MY MIND;by Sharon M. Draper;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
8,THE SENTINEL;by Lee Child and Andrew Child;7 weeks on the list,THE LAW OF INNOCENCE;by Michael Connelly;5 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;65 weeks on the list,UNTAMED;by Glennon Doyle;40 weeks on the list,UNTAMED;by Glennon Doyle;40 weeks on the list,BORN A CRIME;by Trevor Noah;96 weeks on the list,STUFF YOU SHOULD KNOW;by Josh Clark and Chuck Bryant with Nils Parker;3 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;34 weeks on the list,PETE THE CAT'S 12 GROOVY DAYS OF CHRISTMAS;by Kimberly and James Dean;19 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;258 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE RISE OF KYOSHI;by F.C. Yee with Michael Dante DiMartino;8 weeks on the list",THE GUEST LIST;by Lucy Foley;,NO TIME LIKE THE FUTURE;by Michael J. Fox;,POST CORONA;by Scott Galloway;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,THE RIVER MURDERS;by James Patterson and James O. Born;,BLENDED;by Sharon M. Draper;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,THE AWAKENING;by Nora Roberts;3 weeks on the list,THE AWAKENING;by Nora Roberts;3 weeks on the list,READY PLAYER ONE;by Ernest Cline;66 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;28 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;28 weeks on the list,JUST MERCY;by Bryan Stevenson;232 weeks on the list,THE MEATEATER GUIDE TO WILDERNESS SKILLS AND SURVIVAL;by Steven Rinella;2 weeks on the list,BECOMING MUHAMMAD ALI;by James Patterson and Kwame Alexander;10 weeks on the list,"SHARE SOME KINDNESS, BRING SOME LIGHT;by Apryl Stott;2 weeks on the list",MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;299 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;125 weeks on the list,THE AWAKENING;by Nora Roberts;,"DOLLY PARTON, SONGTELLER;by Dolly Parton with Robert K. Oermann;",EDISON;by Edmund Morris;,SMILE;by Raina Telgemeier;,SPIRIT OF THE SEASON;by Fern Michaels;,A TALE OF MAGIC...;by Chris Colfer;,THE GRACE YEAR;by Kim Liggett;
10,HOME BODY;by Rupi Kaur;4 weeks on the list,THE SENTINEL;by Lee Child and Andrew Child;7 weeks on the list,CIRCE;by Madeline Miller;28 weeks on the list,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;10 weeks on the list,IS THIS ANYTHING?;by Jerry Seinfeld;10 weeks on the list,A WOMAN OF NO IMPORTANCE;by Sonia Purnell;12 weeks on the list,WHAT IT'S LIKE TO BE A BIRD;by David Allen Sibley;3 weeks on the list,A TALE OF WITCHCRAFT...;by Chris Colfer;10 weeks on the list,THE SPIDER WHO SAVED CHRISTMAS;by Raymond Arroyo. Illustrated by Randy Gallegos;5 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;555 weeks on the list,KINGDOM OF THE WICKED;by Kerri Maniscalco;7 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BLACKOUT;by Candace Owens;,MAKE LIFE BEAUTIFUL;by Shea McGee and Syd McGee;,"MY HERO ACADEMIA, VOL. 2;by Kohei Horikoshi;",A MACGREGOR CHRISTMAS;by Nora Roberts;,THE WILD ROBOT;by Peter Brown;,SERPENT AND DOVE;by Shelby Mahurin;
