,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,CROSS COUNTRY;by James Patterson;New this week,THE SHACK;by William P. Young;27 weeks on the list,,OUTLIERS;by Malcolm Gladwell;New this week,THE AUDACITY OF HOPE;by Barack Obama;48 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;33 weeks on the list,TWILIGHT;by Mark Cotta Vaz;6 weeks on the list,"BURNING UP;by Joe, Kevin and Nick Jonas;New this week",THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;43 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;9 weeks on the list",THE TWILIGHT SAGA;by Stephenie Meyer;68 weeks on the list
2,THE CHRISTMAS SWEATER;by Glenn Beck with Kevin Balfe and Jason Wright.;2 weeks on the list,THE APPEAL;by John Grisham;New this week,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;2 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;123 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;4 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;9 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;84 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;3 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;54 weeks on the list,INHERITANCE;by Christopher Paolini;10 weeks on the list
3,THE PRIVATE PATIENT;by P. D. James;New this week,THE SECRET LIFE OF BEES;by Sue Monk Kidd;23 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;10 weeks on the list,MARLEY AND ME;by John Grogan;37 weeks on the list,THE PURPOSE OF CHRISTMAS;by Rick Warren;3 weeks on the list,RACHAEL RAY’S BIG ORANGE BOOK;by Rachael Ray;3 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;45 weeks on the list,THE BOOK THIEF;by Markus Zusak;63 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;6 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;13 weeks on the list
4,THE HOUR I FIRST BELIEVED;by Wally Lamb;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;63 weeks on the list,,AMERICAN LION;by Jon Meacham;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;95 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;10 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;388 weeks on the list,THE MAZE OF BONES;by Rick Riordan;11 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;16 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;11 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;26 weeks on the list
5,DIVINE JUSTICE;by David Baldacci;3 weeks on the list,WORLD WITHOUT END;by Ken Follett;7 weeks on the list,,DO THE RIGHT THING;by Mike Huckabee;New this week,TEAM OF RIVALS;by Doris Kearns Goodwin;17 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;2 weeks on the list",THE FIVE LOVE LANGUAGES;by Gary Chapman;74 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;8 weeks on the list,SLAM;by Nick Hornby;7 weeks on the list,GINGERBREAD FRIENDS;written and illustrated by Jan Brett;6 weeks on the list,INKHEART;by Cornelia Funke;9 weeks on the list
6,JUST AFTER SUNSET;by Stephen King;2 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;12 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;11 weeks on the list",CHANGE WE CAN BELIEVE IN;with a foreword by Barack Obama;6 weeks on the list,THE SECRET;by Rhonda Byrne;98 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;58 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;11 weeks on the list,THE LITTLEST PILGRIM;by Brandi Dougherty. Illustrated by Kirsten Richards;3 weeks on the list,ABC3D;by Marion Bataille;6 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;2 weeks on the list
7,A MERCY;by Toni Morrison;2 weeks on the list,LOVING FRANK;by Nancy Horan;32 weeks on the list,,THE SNOWBALL;by Alice Schroeder;8 weeks on the list,TIPPING POINT;by Malcolm Gladwell;216 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;4 weeks on the list,A NEW EARTH;by Eckhart Tolle;43 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;84 weeks on the list,THANKS FOR THANKSGIVING;by Julie Markes;3 weeks on the list,"BRAVA, STREGA NONA!;written and illustrated by Tomie dePaola;3 weeks on the list",RANGER’S APPRENTICE;by John Flanagan;27 weeks on the list
8,THE GATE HOUSE;by Nelson DeMille;4 weeks on the list,REMEMBER ME?;by Sophie Kinsella;4 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;9 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;96 weeks on the list",GIADA’S KITCHEN;by Giada De Laurentiis;8 weeks on the list,THE BRO CODE;by Barney Stinson with Matt Kuhn;3 weeks on the list,THE WAY WE WORK;by David Macaulay with Richard Walker;7 weeks on the list,THE ALCHEMYST;by Michael Scott;12 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;6 weeks on the list,NIGHT WORLD;by L. J. Smith;3 weeks on the list
9,DASHING THROUGH THE SNOW;by Mary Higgins Clark and Carol Higgins Clark;New this week,WATER FOR ELEPHANTS;by Sara Gruen;64 weeks on the list,,WHY WE SUCK;by Denis Leary;New this week,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;60 weeks on the list,ENOUGH;by John C. Bogle;New this week,SKINNY BITCH;by Kim Barnouin;72 weeks on the list,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;7 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;16 weeks on the list,A VERY MARLEY CHRISTMAS;by John Grogan. Illustrated by Richard Cowdrey;New this week,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;31 weeks on the list
10,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;24 weeks on the list,THE ROAD;by Cormac McCarthy;64 weeks on the list,,ANNIE LEIBOVITZ AT WORK;by Annie Leibovitz;New this week,BLINK;by Malcolm Gladwell;58 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;7 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;7 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;8 weeks on the list,YES WE CAN;by Garen Thomas;3 weeks on the list,WABI SABI;by Mark Reibstein. Illustrated by Ed Young;2 weeks on the list,WARRIORS;by Erin Hunter;62 weeks on the list
