,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,A DOG'S PURPOSE;by W. Bruce Cameron;6 weeks on the list,THE MISTRESS;by Danielle Steel;2 weeks on the list,A DOG'S PURPOSE;by W. Bruce Cameron;23 weeks on the list,,,HIDDEN FIGURES;by Margot Lee Shetterly;5 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;25 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;6 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;5 weeks on the list,THE LOSE YOUR BELLY DIET;by Travis Stork;3 weeks on the list,"KINDRED;by Octavia E. Butler, Damian Duffy and John Jennings;New this week",GHOSTS;by Raina Telgemeier;18 weeks on the list,"THE LEGEND OF ZELDA: LEGENDARY EDITION, VOL. 2;by Akira Himekawa;New this week",THE HAMMER OF THOR;by Rick Riordan;15 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;3 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;6 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;19 weeks on the list",HARRY POTTER;by J.K. Rowling;408 weeks on the list,BURNING GLASS;by Kathryn Purdie;New this week,ROSEBLOOD;by A. G. Howard;New this week,THE BOOK THIEF;by Markus Zusak;75 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",ROGUE HEROES;by Ben Macintyre;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;",GOOP CLEAN BEAUTY;by the editors of Goop;,COOKING FOR JEFFREY;by Ina Garten;,STRESS RELIEF COLORING BOOK;by the Adult Coloring Book Designs staff;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,TALKING AS FAST AS I CAN;by Lauren Graham;,THE UNDOING PROJECT;by Michael Lewis;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;,BORN A CRIME;by Trevor Noah;,SHAKEN;by Tim Tebow;,THE UNDOING PROJECT;by Michael Lewis;,SHAKEN;by Tim Tebow;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;"
2,A MAN CALLED OVE;by Fredrik Backman;34 weeks on the list,THE WHISTLER;by John Grisham;12 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;55 weeks on the list,,,HILLBILLY ELEGY;by J.D. Vance;25 weeks on the list,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;New this week,ALEXANDER HAMILTON;by Ron Chernow;66 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;25 weeks on the list,"FOOD, HEALTH AND HAPPINESS;by Oprah Winfrey;2 weeks on the list","DANTDM: TRAYAURUS AND THE ENCHANTED CRYSTAL;by Dan Middleton, Doreen Mulryan and Mike Love;12 weeks on the list",DRAMA;by Raina Telgemeier;179 weeks on the list,"ONE-PUNCH MAN, VOL. 10;by ONE and Yusuke Murata;2 weeks on the list",WONDER;by R.J. Palacio;58 weeks on the list,WONDER;by R.J. Palacio;75 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;75 weeks on the list,I AM JIM HENSON;by Brad Meltzer. Illustrated by Christopher Eliopoulos;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;409 weeks on the list,FLAMECASTER;by Cinda Williams Chima;2 weeks on the list,WINDWITCH;by Susan Dennard;New this week,A MONSTER CALLS;by Patrick Ness. Illustrated by Jim Kay;23 weeks on the list,LET ME TELL YOU ABOUT JASPER ...;by Dana Perino;,THE UNDOING PROJECT;by Michael Lewis;,BORN TO RUN;by Bruce Springsteen;,JUST MERCY;by Bryan Stevenson;,BORN A CRIME;by Trevor Noah;,GRIT;by Angela Duckworth;,THE SECRET HISTORY OF WORLD WAR II;by Neil Kagan and Stephen G. Hyslop;,DEAD WAKE;by Erik Larson;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,APPETITES;by Anthony Bourdain with Laurie Woolever;,THE LEGO IDEAS BOOK;by Daniel Lipkowitz;,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;,BORN A CRIME;by Trevor Noah;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,HILLBILLY ELEGY;by J.D. Vance;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHOE DOG;by Phil Knight;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;
3,FULL PACKAGE;by Lauren Blakely;New this week,THE UNDERGROUND RAILROAD;by Colson Whitehead;23 weeks on the list,MILK AND HONEY;by Rupi Kaur;40 weeks on the list,,,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;New this week,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;18 weeks on the list,WISHFUL DRINKING;by Carrie Fisher;5 weeks on the list,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;7 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;6 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;239 weeks on the list,SMILE;by Raina Telgemeier;240 weeks on the list,"THE ANCIENT MAGUS' BRIDE, VOL. 6;by Kore Yamazaki;2 weeks on the list",THE HIDDEN ORACLE;by Rick Riordan;37 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;25 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;75 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;119 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;69 weeks on the list,MISTRUST;by Margaret McHeyzer;New this week,COURAGE TO SOAR;by Simone Biles with Michelle Burford;9 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;24 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,TOOLS OF TITANS;by Tim Ferriss;,SETTLE FOR MORE;by Megyn Kelly;,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;,THE DAILY SHOW (THE BOOK);by Chris Smith;,THING EXPLAINER;by Randall Munroe;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;,HOW TO TIE A SCARF;by the staff of Potter Style;,THUG KITCHEN;by the staff of Thug Kitchen;,HARRY POTTER COLORING BOOK;by various illustrators;,THE WHOLE30 COOKBOOK;by Melissa Hartwig;,THE DAILY SHOW (THE BOOK);by Chris Smith;,UNINVITED;by Lysa TerKeurst;,LOVE WARRIOR;by Glennon Doyle Melton;,SETTLE FOR MORE;by Megyn Kelly;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,"THINK BETTER, LIVE BETTER;by Joel Osteen;",HIDDEN FIGURES;by Margot Lee Shetterly;,A LIFE WELL PLAYED;by Arnold Palmer;,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;
4,THE MISTRESS;by Danielle Steel;2 weeks on the list,TWO BY TWO;by Nicholas Sparks;15 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;27 weeks on the list,,,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;18 weeks on the list,THE PRINCESS DIARIST;by Carrie Fisher;3 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;119 weeks on the list",THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;2 weeks on the list,YOU ARE A BADASS;by Jen Sincero;53 weeks on the list,SNOW WHITE;by Matt Phelan;12 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;66 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;80 weeks on the list",THE SWORD OF SUMMER;by Rick Riordan;55 weeks on the list,THE HAMMER OF THOR;by Rick Riordan;15 weeks on the list,STORY THIEVES;by James Riley;23 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;152 weeks on the list,DORK DIARIES;by Rachel Renée Russell;190 weeks on the list,AND I DARKEN;by Kiersten White;New this week,HEARTLESS;by Marissa Meyer;10 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;62 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,TALKING AS FAST AS I CAN;by Lauren Graham;,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;,THE CASE OF BEASTS;by Mark Salisbury;,SPEAKING AMERICAN;by Josh Katz;,THE SECRET WAR;by Max Hastings;,WILD;by Cheryl Strayed;,JOHN DERIAN PICTURE BOOK;by John Derian;,CRAVINGS;by Chrissy Teigen with Adeena Sussman;,PLAYER'S HANDBOOK;by Wizards RPG Team;,THE LOSE YOUR BELLY DIET;by Travis Stork;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,DARING GREATLY;by Brené Brown;,LUCKY BASTARD;by Joe Buck;,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,THE NEW JIM CROW;by Michelle Alexander;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK;by Brandon Stanton;
5,THE WHISTLER;by John Grisham;12 weeks on the list,CROSS THE LINE;by James Patterson;8 weeks on the list,THE GAMES;by James Patterson and Mark Sullivan;2 weeks on the list,,,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;2 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;13 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;144 weeks on the list,WISHFUL DRINKING;by Carrie Fisher;3 weeks on the list,THE ZERO SUGAR DIET;by David Zinczenko with Stephen Perrine;2 weeks on the list,THE BEST AMERICAN COMICS 2016;edited by Roz Chast and Bill Kartalopoulos;15 weeks on the list,LOVE IS LOVE;by various;2 weeks on the list,"THE LEGEND OF ZELDA: LEGENDARY EDITION, VOL. 1;by Akira Himekawa;11 weeks on the list",THE FINISHER;by David Baldacci;18 weeks on the list,PAX;Sara Pennypacker. Illustrated by Jon Klassen;47 weeks on the list,PERCY JACKSON'S GREEK GODS;by Rick Riordan. Illustrated by John Rocco;26 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;68 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;27 weeks on the list,WINDWITCH;by Susan Dennard;New this week,THE SUN IS ALSO A STAR;by Nicola Yoon;11 weeks on the list,RED QUEEN;by Victoria Aveyard;32 weeks on the list,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;,SHOE DOG;by Phil Knight;,BORN A CRIME;by Trevor Noah;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,SECRET SERVICE DOGS;by Maria Goodavage;,BARBARIAN DAYS;by William Finnegan;,A FIELD GUIDE TO REDHEADS;written and illustrated by Elizabeth Graeber;,THE WHOLE30 COOKBOOK;by Melissa Hartwig;,SECRET GARDEN;illustrated by Johanna Basford;,THE GENE;by Siddhartha Mukherjee;,SCRAPPY LITTLE NOBODY;by Anna Kendrick;,WHY NOT ME?;by Mindy Kaling;,GOODNIGHT DARTH VADER;by Jeffrey Brown;,ALL THE GALLANT MEN;by Donald Stratton with Ken Gire;,JUST MERCY;by Bryan Stevenson;,UNINVITED;by Lysa TerKeurst;,WHAT IF?;by Randall Munroe;,COURAGE TO SOAR;by Simone Biles with Michelle Burford;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;
6,THE GIRL ON THE TRAIN;by Paula Hawkins;99 weeks on the list,BELOW THE BELT;by Stuart Woods;2 weeks on the list,SILENCE;by Shusaku Endo;New this week,,,THE PRINCESS DIARIST;by Carrie Fisher;3 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;6 weeks on the list,TROUBLEMAKER;by Leah Remini and Rebecca Paley;New this week,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;New this week,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;67 weeks on the list,NATHAN HALE’S HAZARDOUS TALES: ALAMO ALL–STARS;by Nathan Hale;32 weeks on the list,FUN HOME;by Alison Bechdel;50 weeks on the list,"SERAPH OF THE END, VOL. 11;by Takaya Kagami and Yamato Yamamoto;New this week",,RAD AMERICAN WOMEN A-Z;by Kate Schatz. Illustrated by Miriam Klein Stahl;4 weeks on the list,SERAFINA AND THE BLACK CLOAK;by Robert Beatty;27 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;7 weeks on the list,A SERIES OF UNFORTUNATE EVENTS;by Lemony Snicket;140 weeks on the list,,SCYTHE;by Neal Shusterman;5 weeks on the list,FIVE NIGHTS AT FREDDY'S: THE SILVER EYES;by Scott Cawthon and Kira Breed-Wrisley;16 weeks on the list,THE GENIUS OF BIRDS;by Jennifer Ackerman;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE DAILY SHOW (THE BOOK);by Chris Smith;,THE MIDNIGHT ASSASSIN;by Skip Hollandsworth;,SAPIENS;by Yuval Noah Harari;,ON WRITING;by Stephen King;,THE PIGEON TUNNEL;by John le Carré;,THE INVENTION OF NATURE;by Andrea Wulf;,DOMINO;by the editors of domino;,SKINNYTASTE FAST AND SLOW;by Gina Homolka with Heather K. Jones;,ENCHANTED FOREST;illustrated by Johanna Basford;,MEDICAL MEDIUM LIFE-CHANGING FOODS;by Anthony William;,SUPERFICIAL;by Andy Cohen;,LOVE WARRIOR;by Glennon Doyle Melton;,THE 36-HOUR DAY;by Nancy L. Mace and Peter V. Rabins;,OUR REVOLUTION;by Bernie Sanders;,MARCH TRILOGY;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE BROKEN WAY;by Ann Voskamp;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",LUCKY BASTARD;by Joe Buck;,DESTINATIONS OF A LIFETIME;by the staff of National Geographic;
7,MILK AND HONEY;by Rupi Kaur;5 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;14 weeks on the list,THE ALCHEMIST;by Paulo Coelho;423 weeks on the list,,,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;13 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;2 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;94 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;17 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;183 weeks on the list,"ROLLING BLACKOUTS: DISPATCHES FROM TURKEY, SYRIA AND IRAQ;by Sarah Glidden;7 weeks on the list",PERSEPOLIS;by Marjane Satrapi;81 weeks on the list,"TOKYO GHOUL, VOL. 10;by Sui Ishida;4 weeks on the list",,WOMEN IN SCIENCE;by Rachel Ignotofsky;15 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;71 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;186 weeks on the list,BAD KITTY;by Nick Bruel;5 weeks on the list,,WAYFARER;by Alexandra Bracken;2 weeks on the list,THE CABIN;by Natasha Preston;18 weeks on the list,THE LION IN THE LIVING ROOM;by Abigail Tucker;,GRIT;by Angela Duckworth;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,ADNAN'S STORY;by Rabia Chaudry;,HUMANS OF NEW YORK;by Brandon Stanton;,WEAPONS OF MATH DESTRUCTION;by Cathy O'Neil;,RED NOTICE;by Bill Browder;,THE WRIGHT BROTHERS;by David McCullough;,UNMENTIONABLE;by Therese Oneill;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,LOST OCEAN;illustrated by Johanna Basford;,GREEN SMOOTHIES FOR LIFE;by J. J. Smith;,WISHFUL DRINKING;by Carrie Fisher;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,DARTH VADER AND SON;by Jeffrey Brown;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE BOOK OF MYSTERIES;by Jonathan Cahn;,THE GENE;by Siddhartha Mukherjee;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;,SPEAKING AMERICAN;by Josh Katz;
8,CROSS THE LINE;by James Patterson;8 weeks on the list,THE CHEMIST;by Stephenie Meyer;10 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;39 weeks on the list,,,WISHFUL DRINKING;by Carrie Fisher;3 weeks on the list,THE GREAT EQUALIZER;by David M. Smick;New this week,OUTLIERS;by Malcolm Gladwell;230 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;48 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;111 weeks on the list,STAR WARS: THE ORIGINAL TRILOGY;by the staff of the Lucas Film Book Group;18 weeks on the list,SISTERS;by Raina Telgemeier;117 weeks on the list,"ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;71 weeks on the list",,WORD OF MOUSE;by James Patterson and Chris Grabenstein. Illustrated by Joe Sutphin;5 weeks on the list,THE WAR THAT SAVED MY LIFE;by Kimberly Brubaker Bradley;22 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;83 weeks on the list",WINGS OF FIRE;by Tui T. Sutherland;17 weeks on the list,,THIS IS WHERE IT ENDS;by Marieke Nijkamp;34 weeks on the list,BEFORE I FALL;by Lauren Oliver;2 weeks on the list,RESCUE ME;by Richard Phibbs;,OUTLIERS;by Malcolm Gladwell;,SCRAPPY LITTLE NOBODY;by Anna Kendrick;,ORANGE IS THE NEW BLACK;by Piper Kerman;,AT THE EXISTENTIALIST CAFE;by Sarah Bakewell;,BEST AMERICAN NONREQUIRED READING 2016;edited by Rachel Kushner;,THE BILLION DOLLAR SPY;by David E. Hoffman;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,PEACOCK AND VINE;by A. S. Byatt;,THE LOSE YOUR BELLY DIET;by Travis Stork;,MONSTER MANUAL;by Wizards RPG Team;,THE ZERO SUGAR DIET;by David Zinczenko with Stephen Perrine;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BAD FEMINIST;by Roxane Gay;,H IS FOR HAWK;by Helen Macdonald;,WHITE TRASH;by Nancy Isenberg;,MISADVENTURES OF AWKWARD BLACK GIRL;by Issa Rae;,PRESENT OVER PERFECT;by Shauna Niequist;,SAPIENS;by Yuval Noah Harari;,LIVING OUT LOUD;by Craig Sager with Craig Sager II and Brian Curtis;,WILD;by Cheryl Strayed;
9,SMALL GREAT THINGS;by Jodi Picoult;14 weeks on the list,NO MAN'S LAND;by David Baldacci;9 weeks on the list,FIFTY SHADES DARKER;by E. L. James;111 weeks on the list,,,THE UNDOING PROJECT;by Michael Lewis;6 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;13 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;13 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;5 weeks on the list,THE WHOLE30 COOKBOOK;by Melissa Hartwig;4 weeks on the list,ONE HUNDRED NIGHTS OF HERO;by Isabel Greenberg;3 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;77 weeks on the list,"DEATH NOTE BLACK, VOL. 1;by Tsugumi Ohba and Takeshi Obata;12 weeks on the list",,DOG MAN;by Dav Pilkey;20 weeks on the list,BROWN GIRL DREAMING;by Jacqueline Woodson;10 weeks on the list,"TAKE HEART, MY CHILD;by Ainsley Earhardt with Kathryn Cristaldi. Illustrated by Jaime Kim;9 weeks on the list",MIDDLE SCHOOL;by James Patterson and others;32 weeks on the list,,MOON CHOSEN;by P. C. Cast;13 weeks on the list,THE CELLAR;by Natasha Preston;19 weeks on the list,A STREET CAT NAMED BOB;by James Bowen;,DESIGNING YOUR LIFE;by Bill Burnett and Dave Evans;,THE PRINCESS DIARIST;by Carrie Fisher;,RED NOTICE;by Bill Browder;,SPQR;by Mary Beard;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,AVENUE OF SPIES;by Alex Kershaw;,THE OREGON TRAIL;by Rinker Buck;,MIDCENTURY CHRISTMAS;by Sarah Archer;,THE FOOD LAB;by J. Kenji Lopez-Alt;,CREATIVE HAVEN DAZZLING DOGS COLORING BOOK;illustrated by Marjorie Sarnat;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,WHY NOT ME?;by Mindy Kaling;,TRIBE;by Sebastian Junger;,"MOTHER, CAN YOU NOT?;by Kate Siegel;",THE NEW JIM CROW;by Michelle Alexander;,YOU CAN'T TOUCH MY HAIR;by Phoebe Robinson;,THE POWER OF NOW;by Eckhart Tolle;,LAB GIRL;by Hope Jahren;,THE AMERICAN FISHERMAN;by Willie Robertson and William Doyle;,LION;by Saroo Brierley;
10,BELOW THE BELT;by Stuart Woods;2 weeks on the list,THE GUESTS ON SOUTH BATTERY;by Karen White;New this week,BIG LITTLE LIES;by Liane Moriarty;14 weeks on the list,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;47 weeks on the list,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;9 weeks on the list,JUST MERCY;by Bryan Stevenson;60 weeks on the list,THE PRINCESS DIARIST;by Carrie Fisher;3 weeks on the list,UNINVITED;by Lysa TerKeurst;17 weeks on the list,FIGHT CLUB 2;by Chuck Palahniuk and Cameron Stewart;29 weeks on the list,ROLLER GIRL;by Victoria Jamieson;37 weeks on the list,"ATTACK ON TITAN, VOL. 20;by Hajime Isayama;3 weeks on the list",,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;2 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;72 weeks on the list,PRESS HERE;by Hervé Tullet;248 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;419 weeks on the list,,CROOKED KINGDOM;by Leigh Bardugo;8 weeks on the list,PASSENGER;by Alexandra Bracken;2 weeks on the list,REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME;by Cynthia L. Copeland;,THE POWER OF HABIT;by Charles Duhigg;,SUPERFICIAL;by Andy Cohen;,SISTERS IN LAW;by Linda Hirshman;,SPEAKING AMERICAN;by Josh Katz;,OTHER-WORDLY;by Yee-Lum Mak;,THE SPY WHO COULDN'T SPELL;by Yudhijit Bhattacharjee;,PACIFIC;by Simon Winchester;,EMPIRE OF COTTON;by Sven Beckert;,ALTON BROWN:  EVERYDAYCOOK;by Alton Brown;,"DOCTOR WHO COLORING BOOK;illlustrated by James Newman Gray, Lee Teng Chew and Jan Smith;",BEING MORTAL;by Atul Gawande;,KATHY GRIFFIN'S CELEBRITY RUN-INS;by Kathy Griffin;,MEN EXPLAIN THINGS TO ME;by Rebecca Solnit;,GIRLS AND SEX;by Peggy Orenstein;,JUST MERCY;by Bryan Stevenson;,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;,THE AMERICAN MIRACLE;by Michael Medved;,THING EXPLAINER;by Randall Munroe;,JEFF GORDON;by Joe Garner;,NONSTOP METROPOLIS;by Rebecca Solnit and Joshua Jelly-Schapiro;
