,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,THE GOLDFINCH;by Donna Tartt;14 weeks on the list,THE GOLDFINCH;by Donna Tartt;14 weeks on the list,LIFE AFTER LIFE;by Kate Atkinson;3 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;10 weeks on the list,DUTY;by Robert M. Gates;2 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;93 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;40 weeks on the list,SUPER SHRED;by Ian K. Smith;4 weeks on the list,X-MEN: BATTLE OF THE ATOM;by Brian Michael Bendis and others;New this week,PERSEPOLIS;by Marjane Satrapi;24 weeks on the list,"NARUTO, VOL. 64;by Masashi Kishimoto;3 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;31 weeks on the list,DIVERGENT;by Veronica Roth;14 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE WOLF OF WALL STREET;by Jordan Belfort;,SUPER SHRED;by Ian K. Smith;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,THE INVENTION OF WINGS;by Sue Monk Kidd;3 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;3 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;3 weeks on the list,,,DUTY;by Robert M. Gates;2 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;14 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;6 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;16 weeks on the list,THE BODY BOOK;by Cameron Diaz with Sandra Bark;3 weeks on the list,"CEMETERY GIRL, BOOK 1;by Charlaine Harris, Christopher Golden and Don Kramer;3 weeks on the list",FUN HOME;by Alison Bechdel;21 weeks on the list,"BLACK BUTLER, VOL. 16;by Yana Toboso;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;7 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;179 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;,THE DOCTOR'S DIET;by Travis Stork;,DUTY;by Robert M. Gates;,QUIET;by Susan Cain;
3,SYCAMORE ROW;by John Grisham;14 weeks on the list,FIRST LOVE;by James Patterson and Emily Raymond;2 weeks on the list,WINTER'S TALE;by Mark Helprin;New this week,,,TWELVE YEARS A SLAVE;by Solomon Northup;7 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;17 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;7 weeks on the list,DUTY;by Robert M. Gates;2 weeks on the list,THE DOCTOR'S DIET;by Travis Stork;3 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;113 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;43 weeks on the list","MONSTER MUSUME, VOL. 2;by Okayado;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,I AM ABRAHAM LINCOLN;by Brad Meltzer. Illustrated by Christopher Eliopoulos;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;262 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE POUND A DAY DIET;by Rocco DiSpirito;,TWELVE YEARS A SLAVE;by Solomon Northup;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;
4,THE ROSIE PROJECT;by Graeme Simsion;3 weeks on the list,SYCAMORE ROW;by John Grisham;14 weeks on the list,DARK PLACES;by Gillian Flynn;29 weeks on the list,,,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;3 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;18 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;66 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;3 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;18 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;12 weeks on the list",BLUE IS THE WARMEST COLOR;by Julie Maroh;14 weeks on the list,"NO MATTER HOW I LOOK AT IT, IT'S YOU GUYS' FAULT I'M NOT POPULAR!, VOL. 2;by Nico Tanigawa;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,I AM AMELIA EARHART;by Brad Meltzer. Illustrated by Christopher Eliopoulos;2 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;124 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,THINGS THAT MATTER;by Charles Krauthammer;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,THE HUSBAND'S SECRET;by Liane Moriarty;23 weeks on the list,LOST LAKE;by Sarah Addison Allen;New this week,ORPHAN TRAIN;by Christina Baker Kline;23 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;18 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;44 weeks on the list,OUTLIERS;by Malcolm Gladwell;138 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;18 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;8 weeks on the list",FAIRY TALE COMICS: CLASSIC TALES TOLD BY EXTRAORDINARY CARTOONISTS;by Chris Duffy and others;4 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;47 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;33 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;121 weeks on the list",THE MAZE RUNNER;by James Dashner;68 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,OUTLIERS;by Malcolm Gladwell;,WHEAT BELLY;by William Davis;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,THE POWER OF HABIT;by Charles Duhigg;
6,FIRST LOVE;by James Patterson and Emily Raymond;2 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;11 weeks on the list,LABOR DAY;by Joyce Maynard;2 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;14 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;16 weeks on the list,WILD;by Cheryl Strayed;44 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;13 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;42 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;14 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;22 weeks on the list,"ATTACK ON TITAN, VOL. 10;by Hajime Isayama;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,JOURNEY;by Aaron Becker;11 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;325 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,WHEAT BELLY 30-MINUTE (OR LESS!) COOKBOOK;by William Davis;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,MY AGE OF ANXIETY;by Scott Stossel;
7,GONE GIRL;by Gillian Flynn;70 weeks on the list,THE DAYS OF ANNA MADRIGAL;by Armistead Maupin;New this week,FIFTY SHADES OF GREY;by E. L. James;98 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;17 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;12 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;167 weeks on the list,FOLLOWING ATTICUS;by  Tom Ryan;6 weeks on the list,PEOPLE TOOLS;by Alan C. Fox;New this week,"INJUSTICE: GODS AMONG US, VOL. 1;by Tom Taylor and Jheremy Raapack;8 weeks on the list",APHRODITE: GODDESS OF LOVE;by George O'Connor;2 weeks on the list,"FAIRY TAIL, VOL. 34;by Hiro Mashima;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;126 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;58 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,FINANCIALLY FEARLESS;by Alexa Von Tobel;,THE DASH DIET WEIGHT LOSS SOLUTION;by Marla Heller;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,BRAINSTORM;by Daniel J. Siegel;
8,FINAL VOW;by Kathleen Brooks;New this week,GONE GIRL;by Gillian Flynn;73 weeks on the list,ME BEFORE YOU;by Jojo Moyes;26 weeks on the list,,,THE WOLF OF WALL STREET;by Jordan Belfort;5 weeks on the list,MY AGE OF ANXIETY;by Scott Stossel;3 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;3 weeks on the list,WILD;by Cheryl Strayed;85 weeks on the list,SAY GOODBYE TO SURVIVAL MODE;by Crystal Paine;New this week,"NEW AVENGERS, VOL. 2;by Jonathan Hickman and Mike Deodato;New this week",SMILE;by Raina Telgemeier;89 weeks on the list,"DICTATORIAL GRIMOIRE, VOL. 2;by Ayumi Kanou;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;88 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;47 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,PEOPLE TOOLS;by Alan C. Fox;,THE FAST METABOLISM DIET COOKBOOK;by Haylie Pomroy;,UNBROKEN;by Laura Hillenbrand;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
9,LABOR DAY;by Joyce Maynard;New this week,UNDER THE WIDE AND STARRY SKY;by Nancy Horan;New this week,MORTAL DICTATA;by Karen Traviss;New this week,,,WILD;by Cheryl Strayed;61 weeks on the list,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;28 weeks on the list,PRACTICE TO DECEIVE;by Ann Rule;4 weeks on the list,THE POUND A DAY DIET;by Rocco DiSpirito;3 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;103 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;123 weeks on the list,"YU-GI-OH! ZEXAL, VOL. 4;by Shin Yoshida and Naohito Miyoshi;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;38 weeks on the list",GIVER QUARTET;by Lois Lowry;30 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,ON THE EDGE;by Alison Levine;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THE BULLY PULPIT;by Doris Kearns Goodwin;,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;
10,"THE PROFESSIONAL, PART 3;by Kresley Cole;New this week",COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;8 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;43 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;42 weeks on the list,UNBROKEN;by Laura Hillenbrand;154 weeks on the list,QUIET;by Susan Cain;52 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;17 weeks on the list,FOUR BLOOD MOONS;by John Hagee;2 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;6 weeks on the list,BOXERS AND SAINTS BOXED SET;by Gene Luen Yang;7 weeks on the list,"NISEKOI: FALSE LOVE, VOL. 1;by Naoshi Komi;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,I'M A FROG!;by Mo Willems;8 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;275 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE DOCTOR WORE PETTICOATS;by Chris Enss;
