,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,JUROR #3;by James Patterson and Nancy Allen;New this week,JUROR #3;by James Patterson and Nancy Allen;New this week,CRAZY RICH ASIANS;by Kevin Kwan;21 weeks on the list,FEAR;by Bob Woodward;New this week,FEAR;by Bob Woodward;New this week,SAPIENS;by Yuval Noah Harari;18 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;23 weeks on the list",WONDER;by R.J. Palacio;162 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;3 weeks on the list,DOG MAN;by Dav Pilkey;55 weeks on the list,THE HATE U GIVE;by Angie Thomas;81 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;,EDUCATED;by Tara Westover;,BAD BLOOD;by John Carreyrou;,SAPIENS;by Yuval Noah Harari;,FLY GIRLS;by Keith O'Brien;
2,SHADOW TYRANTS;by Clive Cussler and Boyd Morrison;New this week,SHADOW TYRANTS;by Clive Cussler and Boyd Morrison;New this week,CHINA RICH GIRLFRIEND;by Kevin Kwan;8 weeks on the list,EDUCATED;by Tara Westover;30 weeks on the list,THE RESTLESS WAVE;by John McCain and Mark Salter;7 weeks on the list,GRIT;by Angela Duckworth;4 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;92 weeks on the list,REFUGEE;by Alan Gratz;30 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;238 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;9 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;28 weeks on the list,SHARP OBJECTS;by Gillian Flynn;,BORN A CRIME;by Trevor Noah;,DOPESICK;by Beth Macy;,DOPESICK;by Beth Macy;,SHOE DOG;by Phil Knight;
3,CRAZY RICH ASIANS;by Kevin Kwan;14 weeks on the list,LEVERAGE IN DEATH;by J.D. Robb;2 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;2 weeks on the list,THE RESTLESS WAVE;by John McCain and Mark Salter;7 weeks on the list,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;2 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;20 weeks on the list,YOU ARE A BADASS;by Jen Sincero;140 weeks on the list,THE WILD ROBOT;by Peter Brown;44 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;245 weeks on the list,HARRY POTTER;by J.K. Rowling;495 weeks on the list,LONG WAY DOWN;by Jason Reynolds;27 weeks on the list,SOMETHING IN THE WATER;by Catherine Steadman;,UNHINGED;by Omarosa Manigault Newman;,PRINCIPLES;by Ray Dalio;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,UNBROKEN;by Laura Hillenbrand;
4,THE FORBIDDEN DOOR;by Dean Koontz;New this week,IN HIS FATHER'S FOOTSTEPS;by Danielle Steel;2 weeks on the list,THE FALLEN;by David Baldacci;New this week,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;2 weeks on the list,EDUCATED;by Tara Westover;30 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;24 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;260 weeks on the list,MINECRAFT: THE CRASH;by Tracey Baptiste;10 weeks on the list,BE KIND;by Pat Zietlow Miller. Illustrated by Jen Hill;8 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;496 weeks on the list,IMPOSTORS;by Scott Westerfeld;New this week,THE OUTSIDER;by Stephen King;,THE POWER OF HABIT;by Charles Duhigg;,GRIT;by Angela Duckworth;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,BELIEVE IT;by Nick Foles with Joshua Cooley;
5,LEVERAGE IN DEATH;by J.D. Robb;2 weeks on the list,THE FORBIDDEN DOOR;by Dean Koontz;New this week,RICH PEOPLE PROBLEMS;by Kevin Kwan;6 weeks on the list,UNHINGED;by Omarosa Manigault Newman;5 weeks on the list,UNHINGED;by Omarosa Manigault Newman;5 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;10 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;21 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;42 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;150 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;136 weeks on the list,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;7 weeks on the list,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;,CALYPSO;by David Sedaris;,OUTLIERS;by Malcolm Gladwell;,AWARE;by Daniel Siegel;,ENDURE;by Alex Hutchinson;
6,CHINA RICH GIRLFRIEND;by Kevin Kwan;6 weeks on the list,TEXAS RANGER;by James Patterson and Andrew Bourelle;5 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;15 weeks on the list,ACCESSORY TO WAR;by Neil deGrasse Tyson and Avis Lang;New this week,THE RUSSIA HOAX;by Gregg Jarrett;8 weeks on the list,KITCHEN CONFIDENTIAL;by Anthony Bourdain;50 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;29 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;47 weeks on the list,I AM NEIL ARMSTRONG;by Brad Meltzer. Illustrated by Christopher Eliopoulos;New this week,MAGISTERIUM;by Holly Black and Cassandra Clare;3 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;49 weeks on the list,READY PLAYER ONE;by Ernest Cline;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,FEARLESS;by Doug Pederson with Dan Pompei;
7,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;2 weeks on the list,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;15 weeks on the list,LESS;by Andrew Sean Greer;17 weeks on the list,THE RUSSIA HOAX;by Gregg Jarrett;8 weeks on the list,ACCESSORY TO WAR;by Neil deGrasse Tyson and Avis Lang;New this week,THE GLASS CASTLE;by Jeannette Walls;438 weeks on the list,UNFU*K YOURSELF;by Gary John Bishop;3 weeks on the list,"MAC B., KID SPY: MAC UNDERCOVER;by Mac Barnett. Illustrated by Mike Lowery;New this week",THE BOOK WITH NO PICTURES;by B.J. Novak;144 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;485 weeks on the list,THUNDERHEAD;by Neal Shusterman;20 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BEING MORTAL;by Atul Gawande;,THE BOYS IN THE BOAT;by Daniel James Brown;
8,A SIMPLE FAVOR;by Darcey Bell;2 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;2 weeks on the list,A SIMPLE FAVOR;by Darcey Bell;3 weeks on the list,SAPIENS;by Yuval Noah Harari;39 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;71 weeks on the list,SHOE DOG;by Phil Knight;18 weeks on the list,EVERYBODY ALWAYS;by Bob Goff;22 weeks on the list,POPULARMMOS PRESENTS A HOLE NEW WORLD;by Pat and Jen from PopularMMOs. Illustrated by Dani Jones;11 weeks on the list,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;24 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;3 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;61 weeks on the list,WHAT ALICE FORGOT;by Liane Moriarty;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,RED NOTICE;by Bill Browder;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNNECESSARY ROUGHNESS;by Jose Baez with George Willis;
9,IN HIS FATHER'S FOOTSTEPS;by Danielle Steel;2 weeks on the list,THE FALL OF GONDOLIN;by J.R.R. Tolkien;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;81 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;62 weeks on the list,EVERY DAY IS EXTRA;by John Kerry;2 weeks on the list,BLACK KLANSMAN;by Ron Stallworth;7 weeks on the list,MAKE YOUR BED;by William H. McRaven;60 weeks on the list,AUGGIE & ME;by R.J. Palacio;80 weeks on the list,PRESS HERE;by Hervé Tullet;256 weeks on the list,GIVER QUARTET;by Lois Lowry;152 weeks on the list,THE HAZEL WOOD;by Melissa Albert;33 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,BAD BLOOD;by John Carreyrou;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",TANGLED TREE;by David Quammen;,ASTROBALL;by Ben Reiter;
10,RICH PEOPLE PROBLEMS;by Kevin Kwan;5 weeks on the list,THE OUTSIDER;by Stephen King;17 weeks on the list,MILK AND HONEY;by Rupi Kaur;127 weeks on the list,THE CODDLING OF THE AMERICAN MIND;by Greg Lukianoff and Jonathan Haidt;2 weeks on the list,THE CODDLING OF THE AMERICAN MIND;by Greg Lukianoff and Jonathan Haidt;2 weeks on the list,JUST MERCY;by Bryan Stevenson;121 weeks on the list,PRINCIPLES;by Ray Dalio;29 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;68 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;141 weeks on the list",THE BAD GUYS;by Aaron Blabey;20 weeks on the list,SADIE;by Courtney Summers;New this week,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;,"ENGLISH HISTORY MADE BRIEF, IRREVERENT, AND PLEASURABLE;by Lacey Baldwin Smith;",WINNERS TAKE ALL;by Anand Giridharadas;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,12;by Casey Sherman and Dave Wedge;
