,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,GONE GIRL;by Gillian Flynn;98 weeks on the list,DEADLINE;by John Sandford;New this week,GONE GIRL;by Gillian Flynn;25 weeks on the list,,,KILLING PATTON;by Bill O'Reilly and Martin Dugard;3 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;3 weeks on the list,UNBROKEN;by Laura Hillenbrand;11 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;3 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;New this week,"BATMAN, VOL. 5;by Scott Snyder and Greg Capullo;New this week",SISTERS;by Raina Telgemeier;8 weeks on the list,"NARUTO, VOL. 67;by Masashi Kishimoto;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE BOOK WITH NO PICTURES;by B.J. Novak;2 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;74 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;,ZERO TO ONE;by Peter Thiel with Blake Masters;,STILL FOOLIN' 'EM;by Billy Crystal;,ORANGE IS THE NEW BLACK;by Piper Kerman;,BAD FEMINIST;by Roxane Gay;,THE ORGANIZED MIND;by Daniel J. Levitin;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",100 DAYS OF REAL FOOD;by Lisa Leake;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",SMOKE GETS IN YOUR EYES;by Caitlin Doughty;,DIARY OF A MAD DIVA;by Joan Rivers;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,KILLING PATTON;by Bill O'Reilly and Martin Dugard;,WHAT I KNOW FOR SURE;by Oprah Winfrey;,WHAT IF?;by Randall Munroe;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,DEADLINE;by John Sandford;New this week,BURN;by James Patterson and Michael Ledwidge;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;325 weeks on the list,,,NOT THAT KIND OF GIRL;by Lena Dunham;2 weeks on the list,NOT THAT KIND OF GIRL;by Lena Dunham;2 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;20 weeks on the list,THE INNOVATORS;by Walter Isaacson;New this week,AGENTS OF THE APOCALYPSE;by David Jeremiah;New this week,"THE GRAVEYARD BOOK, VOL. 2;by Neil Gaiman, P. Craig Russell and others;New this week",SMILE;by Raina Telgemeier;122 weeks on the list,"ATTACK ON TITAN, VOL. 13;by Hajime Isayama;7 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;68 weeks on the list,THE MAZE RUNNER;by James Dashner;105 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ANIMAL WISE;by Virginia Morell;,OUTLIERS;by Malcolm Gladwell;,ELVIS AND GINGER;by Ginger Alden;,MANSON;by Jeff Guinn;,COSBY: HIS LIFE AND TIMES;by Mark Whitaker;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,FLEA MARKET FABULOUS;by Lara Spencer;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,PLAYER'S HANDBOOK;by Wizards RPG Team;,THE HOT ZONE;by Richard Preston;,STILL FOOLIN' 'EM;by Billy Crystal;,AN INVISIBLE THREAD;by Laura L. Schroff;,THE CONSCIOUS PARENT;by Shefali Tsabary;,UNBROKEN;by Laura Hillenbrand;,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;,IN THE KINGDOM OF ICE;by Hampton Sides;,THE BOYS IN THE BOAT;by Daniel James Brown;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;"
3,THE BEST OF ME;by Nicholas Sparks;6 weeks on the list,EDGE OF ETERNITY;by Ken Follett;4 weeks on the list,DARK PLACES;by Gillian Flynn;63 weeks on the list,,,THE INNOVATORS;by Walter Isaacson;New this week,BEING MORTAL;by Atul Gawande;New this week,WILD;by Cheryl Strayed;81 weeks on the list,NOT THAT KIND OF GIRL;by Lena Dunham;2 weeks on the list,"YOU CAN, YOU WILL;by Joel Osteen;2 weeks on the list","FABLES: THE DELUXE EDITION, BOOK NINE;by Bill Willingham, Mark Buckingham and others;New this week","AMULET, VOL. 6;by Kazu Kibuishi;8 weeks on the list",SWORD ART ONLINE: AINCRAD;by Reki Kawahara and Tamako Nakamura;10 weeks on the list,BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,LITTLE HUMANS;by Brandon Stanton;New this week,DIVERGENT;by Veronica Roth;51 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"PAW PRINTS IN OMAN: DOGS, MOGS AND ME;by Charlotte Smith;",THIS CHANGES EVERYTHING;by Naomi Klein;,BOSSYPANTS;by Tina Fey;,MY BELOVED WORLD;by Sonia Sotomayor;,CAPOTE;by Gerald Clarke;,DATACLYSM;by Christian Rudder;,"WOMEN IN CLOTHES;by Sheila Heti, Heidi Julavits, Leanne Shapton & 639 Others;",THE ALL-DAY ENERGY DIET;by Yuri Elkaim;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;,I HATE EVERYONE...STARTING WITH ME;by Joan Rivers;,DARING GREATLY;by Brené Brown;,THE GLASS CASTLE;by Jeannette Walls;,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;,JESUS ON TRIAL;by David Limbaugh;,QUIET;by Susan Cain;,THE TERRIBLE AND WONDERFUL REASONS WHY I RUN LONG DISTANCES;by The Oatmeal;,TALES OF A FEMALE NOMAD;by Rita Golden Gelman;
4,BURN;by James Patterson and Michael Ledwidge;2 weeks on the list,LILA;by Marilynne Robinson;New this week,SHARP OBJECTS;by Gillian Flynn;26 weeks on the list,,,BEING MORTAL;by Atul Gawande;New this week,THE INNOVATORS;by Walter Isaacson;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;50 weeks on the list,BEING MORTAL;by Atul Gawande;New this week,ZERO TO ONE;by Peter Thiel with Blake Masters;4 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;23 weeks on the list,DRAMA;by Raina Telgemeier;65 weeks on the list,"FAIRY TAIL, VOL. 42;by Hiro Mashima;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;158 weeks on the list",DORK DIARIES;by Rachel Renée Russell;107 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",COSBY: HIS LIFE AND TIMES;by Mark Whitaker;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,GENGHIS KHAN AND THE MAKING OF THE MODERN WORLD;by Jack Weatherford;,THE TEACHER WARS;by Dana Goldstein;,TOSS THE GLOSS;by Andrea Q. Robinson and Chesley McLaren;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HACKS FOR MINECRAFTERS;by Megan Miller;,UNHOOKED;by Frederick Woolverton and Susan Shapiro;,BOSSYPANTS;by Tina Fey;,TALES OF A FEMALE NOMAD;by Rita Golden Gelman;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,WORLD ORDER;by Henry Kissinger;,THE BEST YES;by Lysa TerKeurst;,THIS CHANGES EVERYTHING;by Naomi Klein;,BUSHCRAFT 101;by Dave Canterbury;,THE ULTIMATE SURVIVAL GUIDE;by Chris McNab;
5,PARIS MATCH;by Stuart Woods;New this week,SOMEWHERE SAFE WITH SOMEBODY GOOD;by Jan Karon;6 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;60 weeks on the list,,,STOP THE COMING CIVIL WAR;by Michael Savage;New this week,STOP THE COMING CIVIL WAR;by Michael Savage;New this week,THE HOT ZONE;by Richard Preston;51 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;38 weeks on the list,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;2 weeks on the list,THE BEST AMERICAN COMICS 2014;by Scott McCloud and others;New this week,"BATMAN, VOL. 4;by Scott Snyder and Greg Capullo;New this week","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;70 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;161 weeks on the list,GIVER QUARTET;by Lois Lowry;60 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,DOGS I HAVE MET AND THE PEOPLE THEY FOUND;by Ken Foster;,THE POWER OF HABIT;by Charles Duhigg;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,LAW OF THE JUNGLE;by Paul M. Barrett;,GEEK SUBLIME;by Vikram Chandra;,HOW CHILDREN SUCCEED;by Paul Tough;,THE BEAUTY DETOX DIET;by the editors of Rockridge Press;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,BAD FEMINIST;by Roxane Gay;,HOW CHILDREN SUCCEED;by Paul Tough;,ONE NATION;by Ben Carson with Candy Carson;,UNPHILTERED;by Phil Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBREAKABLE RUNNER;by T. J. Murphy and Brian MacKenzie;,THE IRON ROAD;by Christian Wolmar;
6,STEPBROTHER DEAREST;by Penelope Ward;2 weeks on the list,PERSONAL;by Lee Child;6 weeks on the list,THE BEST OF ME;by Nicholas Sparks;33 weeks on the list,,,WORTHY FIGHTS;by Leon Panetta with Jim Newton;New this week,WORTHY FIGHTS;by Leon Panetta with Jim Newton;New this week,OUTLIERS;by Malcolm Gladwell;174 weeks on the list,WORTHY FIGHTS;by Leon Panetta with Jim Newton;New this week,HOW GOOGLE WORKS;by Eric Schmidt and Jonathan Rosenberg;3 weeks on the list,SUGAR SKULL;by Charles Burns;4 weeks on the list,"FAIREST, VOL. 4;by Marc Andreyko and Shawn McManus;New this week","SWORD ART ONLINE: FAIRY DANCE, VOL. 1;by Reki Kawahara and Tsubasa Haduki;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,IVAN;by Katherine Applegate. Illustrated by G. Brian Karas;New this week,CONFESSIONS;by James Patterson and Maxine Paetro;New this week,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,UNDERWATER DOGS;by Seth Casteel;,THE ORGANIZED MIND;by Daniel J. Levitin;,WILD TALES;by Graham Nash;,I WEAR THE BLACK HAT;by Chuck Klosterman;,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;,EXCELLENT SHEEP;by William Deresiewicz;,MEN ARE STUPID . . . AND THEY LIKE BIG BOOBS;by Joan Rivers;,ONE POT;by the editors of Martha Stewart Living;,,SLOW DANCING WITH A STRANGER;by Meryl Comer;,COSBY: HIS LIFE AND TIMES;by Mark Whitaker;,LOVE DOES;by Bob Goff;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,THIS CHANGES EVERYTHING;by Naomi Klein;,WAKING UP;by Sam Harris;,THE POWER OF HABIT;by Charles Duhigg;,THE COMPLETE NINJA;by Masaaki Hatsumi;,THE REPUBLIC OF PIRATES;by Colin Woodard;
7,EDGE OF ETERNITY;by Ken Follett;4 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;23 weeks on the list,THE TARGET;by David Baldacci;4 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;21 weeks on the list,WHAT IF?;by Randall Munroe;6 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;40 weeks on the list,UNBROKEN;by Laura Hillenbrand;193 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;79 weeks on the list,SECONDS;by Bryan Lee O'Malley;13 weeks on the list,EL DEAFO;by Cece Bell;5 weeks on the list,"ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;15 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,HORTON AND THE KWUGGERBUG AND MORE LOST STORIES;by Dr. Seuss;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;292 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,HOW GOOGLE WORKS;by Eric Schmidt and Jonathan Rosenberg;,PADDLE YOUR OWN CANOE;by Nick Offerman;,JUST MERCY;by Bryan Stevenson;,SO WE READ ON;by Maureen Corrigan;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,WORN STORIES;by Emily Spivack;,THE GRAIN BRAIN COOKBOOK;by David Perlmutter;,,DR. MUTTER'S MARVELS;by Cristin O'Keefe Aptowicz;,HYPERBOLE AND A HALF;by Allie Brosh;,THE PROMISE;by Rachelle Friedman;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,THE ROOSEVELTS;by Geoffrey C. Ward and Ken Burns;,AN INVISIBLE THREAD;by Laura L. Schroff;,THE ORGANIZED MIND;by Daniel J. Levitin;,WHEN THE GAME STANDS TALL;by Neil Hayes;,HUMANS OF NEW YORK;by Brandon Stanton;
8,MR. MIRACLE;by Debbie Macomber;New this week,SOME LUCK;by Jane Smiley;New this week,OUTLANDER;by Diana Gabaldon;10 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;174 weeks on the list,ROCKS;by Joe Perry with David Ritz;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;62 weeks on the list,STOP THE COMING CIVIL WAR;by Michael Savage;New this week,WHAT I KNOW FOR SURE;by Oprah Winfrey;6 weeks on the list,MEGAHEX;by Simon Hanselmann;New this week,"THE RISE OF AURORA WEST;by Paul Pope, JT Petty and David Rubín;2 weeks on the list","MAXIMUM RIDE, VOL. 8;by James Patterson and NaRae Lee;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,MIX IT UP!;by Hervé Tullet;4 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;209 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME;by Cynthia L. Copeland;,#GIRLBOSS;by Sophia Amoruso;,TIBETAN PEACH PIE;by Tom Robbins;,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;,TENNESSEE WILLIAMS;by John Lahr;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,VOGUE AND THE METROPOLITAN MUSEUM OF ART COSTUME INSTITUTE;by Hamish Bowles;,WHEAT BELLY TOTAL HEALTH;by Williams Davis;,,THE END OF BACK PAIN;by Patrick Roth;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,FIRE SHUT UP IN MY BONES;by Charles M. Blow;,NO-DRAMA DISCIPLINE;by Daniel J. Siegel and Tina Payne Bryson;,RISE OF ISIS;by Jay Sekulow with Jordan Sekulow and others;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,DATACLYSM;by Christian Rudder;,MY CONFERENCE CAN BEAT YOUR CONFERENCE;by Paul Finebaum and Gene Wojciechowski;,BUSHCRAFT 101;by Dave Canterbury;
9,REAPER'S STAND;by Joanna Wylde;New this week,PARIS MATCH;by Stuart Woods;New this week,THIS IS WHERE I LEAVE YOU;by Jonathan Tropper;11 weeks on the list,,,WHAT IF?;by Randall Munroe;6 weeks on the list,JESUS ON TRIAL;by David Limbaugh;4 weeks on the list,QUIET;by Susan Cain;88 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;57 weeks on the list,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;5 weeks on the list,KILL MY MOTHER;by Jules Feiffer;8 weeks on the list,"HEROES OF OLYMPUS: BOOK ONE;by Rick Riordan, Robert Venditti and Nate Powell;New this week","SOUL EATER, VOL. 22;by Atsushi Ohkubo;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;31 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;348 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,DARING: MY PASSAGES;by Gail Sheehy;,THE HILLSIDE STRANGLERS;by  Darcy O'Brien;,I WEAR THE BLACK HAT;by Chuck Klosterman;,THINKING IN NUMBERS;by Daniel Tammet;,CHAMPAGNE SUPERNOVAS;by Maureen Callahan;,DANIELLE WALKER'S AGAINST ALL GRAIN: MEALS MADE SIMPLE;by Danielle Walker;,,COCONUT OIL FOR BEGINNERS;by the editors of Rockridge Press;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE NARCISSIST NEXT DOOR;by Jeffrey Kluger;,ALL JOY AND NO FUN;by Jennifer Senior;,AMERICA;by Dinesh D'Souza;,THE WAY OF SERENITY;by Jonathan Morris;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE WISDOM OF FAITH;by Bobby Bowden with Steve Bowden;,UGANDA BE KIDDING ME;by Chelsea Handler;
10,PERSONAL;by Lee Child;6 weeks on the list,THE CHILDREN ACT;by Ian McEwan;5 weeks on the list,THE BEST AMERICAN SHORT STORIES 2014;edited by Jennifer Egan with Heidi Pitlor;New this week,,,ROCKS;by Joe Perry with David Ritz;New this week,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;5 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;204 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;8 weeks on the list,"ACT LIKE A SUCCESS, THINK LIKE A SUCCESS;by Steve Harvey;5 weeks on the list","THE GRAVEYARD BOOK, VOL. 1;by Neil Gaiman, P. Craig Russell and others;9 weeks on the list",BATMAN 75TH ANNIVERSARY BOX SET;by various;New this week,"MANGA DOGS, VOL. 1;by Ema Toyama;New this week",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,OTIS AND THE SCARECROW;by Loren Long;6 weeks on the list,SPIRIT ANIMALS;by various authors;4 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,DEATH PUNCH'D;by Jeremy Spencer;,DEAL WITH THE DEVIL;by Peter Lance;,LIVE FROM NEW YORK;by Tom Shales and James Andrew Miller;,HOW WE LEARN;by Benedict Carey;,HOW TO TIE A SCARF;by the staff of Potter Style;,WHEAT BELLY;by William Davis;,,TOTAL RECOVERY;by Gary Kaplan;,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,"GROWING UP DUGGAR;by Jana, Jill, Jessa and Jinger Duggar;",OFF THE SIDELINES;by Kirsten Gillibrand with Elizabeth Weil;,ESCAPE;by Carolyn Jessop;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,CARSICK;by John Waters;
11,DARK PLACES;by Gillian Flynn;2 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;10 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;40 weeks on the list,WAKING UP;by Sam Harris;5 weeks on the list,ZEALOT;by Reza Aslan;,THE HOT ZONE;by Richard Preston;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,,,,,,,,SGT. RECKLESS: AMERICA'S WAR HORSE;by Robin Hutton;,,LIFE;by Keith Richards with James Fox;,UNCERTAIN JUSTICE;by Laurence Tribe and Joshua Matz;,MARK TWAIN: A LIFE;by Ron Powers;,A MIND FOR NUMBERS;by Barbara Oakley;,COCONUT OIL FOR BEGINNERS;by the editors of Rockridge Press;,THE FORKS OVER KNIVES PLAN;by Alona Pulde and Matthew Lederman and others;,,,UGANDA BE KIDDING ME;by Chelsea Handler;,THE ENERGIES OF LOVE;by Donna Eden and David Feinstein;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,,BETWEEN HEAVEN AND GROUND ZERO;by Leslie Haskin;,THE HOT ZONE;by Richard Preston;,THE STORM AND THE TIDE;by Lars Anderson;,"THE BEST AMERICAN TRAVEL WRITING 2013;edited by Elizabeth Gilbert, series editor Jason Wilson;"
12,OUTLANDER;by Diana Gabaldon;11 weeks on the list,THE GOLDFINCH;by Donna Tartt;51 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;,,,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;5 weeks on the list,REBEL YELL;by S. C. Gwynne;2 weeks on the list,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,WAKING UP;by Sam Harris;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,,,,,,,,A FRIEND LIKE HENRY;by Nuala Gardner;,,JUST KIDS;by Patti Smith;,AFTER SILENCE;by Nancy Venable Raine;,THE HUMAN AGE;by Diane Ackerman;,"EVERYTHING'S AN ARGUMENT;by Andrea A. Lunsford, John J. Ruszkiewicz and Keith Walters;",PRETTY TAKES PRACTICE;by Charla Muller;,AGAINST ALL GRAIN;by Danielle Walker;,,,MY DRUNK KITCHEN;by Hannah Hart;,SLOW DANCING WITH A STRANGER;by Meryl Comer;,I HEART MY LITTLE A-HOLES;by Karen Alpert;,,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,I NEVER HAD IT MADE;by Jackie W. Robinson;,COCKPIT CONFIDENTIAL;by Patrick Smith;
13,ADDICTED;by Zane;New this week,THE PAYING GUESTS;by Sarah Waters;4 weeks on the list,THE ROSIE PROJECT;by Graeme Simsion;,,,THE HOT ZONE;by Richard Preston;4 weeks on the list,DANCING WITH MYSELF;by Billy Idol;New this week,PROOF OF HEAVEN;by Eben Alexander;,WILD;by Cheryl Strayed;,YOU CAN'T MAKE THIS STUFF UP;by Theresa Caputo with Kristina Grish;,,,,,,,,GRUMPY CAT;by Grumpy Cat staff;,,THE CLOSER;by Mariano Rivera with Wayne Coffey;,THE GOOD NURSE;by Charles Graeber;,WHAT WE SEE WHEN WE READ;by Peter Mendelsund;,BUILDING A BETTER TEACHER;by Elizabeth Green;,"PANTONE ON FASHION;by Leatrice Eiseman, E.P. Cutler and Julien Tomasello;",THE MAKE-AHEAD COOK;by editors at America's Test Kitchen;,,,THE SIMPSONS FAMILY HISTORY;by Matt Groening;,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,SUNLIGHT ON MY SHADOW;by  Judy Liautaud;,,THE POWER OF NOW;by Eckhart Tolle;,AN APPETITE FOR WONDER;by Richard Dawkins;,WHAT I TALK ABOUT WHEN I TALK ABOUT RUNNING;by Haruki Murakami;,THE FOREST FEAST;by Erin Gleeson;
14,SHARP OBJECTS;by Gillian Flynn;New this week,NORA WEBSTER;by Colm Toibin;New this week,CROSS MY HEART;by James Patterson;,,,WAKING UP;by Sam Harris;3 weeks on the list,HOW WE GOT TO NOW;by Steven Johnson;2 weeks on the list,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,NOT MY FATHER'S SON;by Alan Cumming;,THE CONSCIOUS PARENT;by Shefali Tsabary;,,,,,,,,UNLIKELY LOVES;by Jennifer Holland;,,WORN STORIES;by Emily Spivack;,THE MURDER OF MAGGIE HUME;by Blaine Pardoe and Victoria Hester;,"LOVE, FIERCELY;by Jean Zimmerman;",SO WE READ ON;by Maureen Corrigan;,THE ART OF ASKING;by Amanda Palmer;,A LOVE AFFAIR WITH SOUTHERN COOKING;by Jean Anderson;,,,PEOPLE I WANT TO PUNCH IN THE THROAT;by Jen Mann;,THANKS FOR THE FEEDBACK;by Douglas Stone and Sheila Heen;,FIRE SHUT UP IN MY BONES;by Charles M. Blow;,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;,THINKING IN NUMBERS;by Daniel Tammet;,THE EMERALD MILE;by Kevin Fedarko;,NYC BASIC TIPS AND ETIQUETTE;by Nathan W. Pyle;
15,IMMORTAL;by J. R. Ward;New this week,THE ASSASSINATION OF MARGARET THATCHER;by Hilary Mantel;New this week,ME BEFORE YOU;by Jojo Moyes;,,,WILD;by Cheryl Strayed;82 weeks on the list,WORLD ORDER;by Henry Kissinger;5 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,ROCKS;by Joe Perry with David Ritz;,HOW TO COOK EVERYTHING FAST;by Mark Bittman;,,,,,,,,DOG SHAMING;by Pascale Lemire;,,JOHN LENNON;by Philip Norman;,BLOOD ACES;by Doug J. Swanson;,"CREATIVITY, INC;by Ed Catmull with Amy Wallace;",WHAT WE SEE WHEN WE READ;by Peter Mendelsund;,DIOR: THE LEGENDARY IMAGES;by Florence Muller;,TRIM HEALTHY MAMA;by Serene Allison and Pearl P. Barrett;,,,ANGRY OPTIMIST;by Lisa Rogak;,THE EMPATHY EXAMS;by Leslie Jamison;,RARE BIRD;by Anna Whiston-Donaldson;,,ZEALOT;by Reza Aslan;,THE MARSHMALLOW TEST;by Walter Mischel;,AGAINST FOOTBALL: ONE MAN'S RELUCTANT MANIFESTO;by Steve Almond;,FLIRTING WITH FRENCH;by William Alexander;
