,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,THE GOLDFINCH;by Donna Tartt;16 weeks on the list,THE GOLDFINCH;by Donna Tartt;16 weeks on the list,WINTER'S TALE;by Mark Helprin;3 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;12 weeks on the list,DUTY;by Robert M. Gates;4 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;95 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;5 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;20 weeks on the list,"LOCKE & KEY, VOL. 6;by Joe Hill and Gabriel Rodriguez;New this week","THE UNWRITTEN, VOL. 8;by Mike Carey and Peter Gross;New this week","BLEACH, VOL. 59;by Tite Kubo;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;33 weeks on the list,DIVERGENT;by Veronica Roth;16 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE WOLF OF WALL STREET;by Jordan Belfort;,SUPER SHRED;by Ian K. Smith;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,THE INVENTION OF WINGS;by Sue Monk Kidd;5 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;5 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;25 weeks on the list,,,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;5 weeks on the list,GLITTER AND GLUE;by Kelly Corrigan;New this week,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;8 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;18 weeks on the list,DECIDE;by Steve McClatchy;New this week,"AVATAR, THE LAST AIRBENDER: THE SEARCH;by Gene Luen Yang and others;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;53 weeks on the list","SOUL EATER, VOL. 18;by Atsushi Ohkubo;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,JOURNEY;by Aaron Becker;13 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;49 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;,THE DOCTOR'S DIET;by Travis Stork;,DUTY;by Robert M. Gates;,QUIET;by Susan Cain;
3,LETTING GO;by Maya Banks;New this week,STILL LIFE WITH BREAD CRUMBS;by Anna Quindlen;2 weeks on the list,LIFE AFTER LIFE;by Kate Atkinson;5 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;9 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;19 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;68 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;42 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;44 weeks on the list,"PRINCE VALIANT, VOL. 8;by Hal Foster;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;118 weeks on the list","ATTACK ON TITAN, VOL. 11;by Hajime Isayama;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"I'D KNOW YOU ANYWHERE, MY LOVE;by Nancy Tillman;6 weeks on the list",LUNAR CHRONICLES;by Marissa Meyer;New this week,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE POUND A DAY DIET;by Rocco DiSpirito;,TWELVE YEARS A SLAVE;by Solomon Northup;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;
4,SYCAMORE ROW;by John Grisham;16 weeks on the list,ONE MORE THING;by B. J. Novak;New this week,LETTING GO;by Maya Banks;New this week,,,DUTY;by Robert M. Gates;4 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;16 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;9 weeks on the list,DUTY;by Robert M. Gates;4 weeks on the list,SUPER SHRED;by Ian K. Smith;6 weeks on the list,ANT COLONY;by Michael DeForge;New this week,APHRODITE: GODDESS OF LOVE;by George O'Connor;3 weeks on the list,"DURARARA: SAIKA ARC, VOL. 3;by Ryohgo Narita and Akiyo Satorigi;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,FOUNDING MOTHERS;by Cokie Roberts. Illustrated by Diane Goode;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;181 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,THINGS THAT MATTER;by Charles Krauthammer;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,BE WITH ME;by J. Lynn;New this week,SYCAMORE ROW;by John Grisham;16 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;5 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;20 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;20 weeks on the list,WILD;by Cheryl Strayed;46 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;20 weeks on the list,WHEAT BELLY;by William Davis;38 weeks on the list,THE PLANETARY OMNIBUS;by Warren Ellis and John Cassaday;2 weeks on the list,OLYMPIANS: POSEIDON;by George O'Connor;4 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;35 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,LOCOMOTIVE;by Brian Floca;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;264 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,OUTLIERS;by Malcolm Gladwell;,WHEAT BELLY;by William Davis;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,THE POWER OF HABIT;by Charles Duhigg;
6,THE HUSBAND'S SECRET;by Liane Moriarty;25 weeks on the list,FIRST LOVE;by James Patterson and Emily Raymond;4 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;100 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;19 weeks on the list,ALL JOY AND NO FUN;by Jennifer Senior;New this week,OUTLIERS;by Malcolm Gladwell;140 weeks on the list,SLOW GETTING UP;by Nate Jackson;4 weeks on the list,THE DOCTOR'S DIET;by Travis Stork;5 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;14 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;24 weeks on the list,"NARUTO, VOL. 64;by Masashi Kishimoto;5 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,MR. WUFFLES!;by David Wiesner;7 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;126 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,WHEAT BELLY 30-MINUTE (OR LESS!) COOKBOOK;by William Davis;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,MY AGE OF ANXIETY;by Scott Stossel;
7,BULLSEYE;by David Baldacci;New this week,GONE GIRL;by Gillian Flynn;75 weeks on the list,DARK PLACES;by Gillian Flynn;31 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;16 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;46 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;169 weeks on the list,UNBROKEN;by Laura Hillenbrand;158 weeks on the list,THE BODY BOOK;by Cameron Diaz with Sandra Bark;5 weeks on the list,"CEMETERY GIRL, BOOK 1;by Charlaine Harris, Christopher Golden and Don Kramer;5 weeks on the list",SMILE;by Raina Telgemeier;91 weeks on the list,"BLACK BUTLER, VOL. 16;by Yana Toboso;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;123 weeks on the list",SHATTER ME;by Tahereh Mafi;New this week,LORE;by Alexandra Bracken;18 weeks on the list,FINANCIALLY FEARLESS;by Alexa Von Tobel;,THE DASH DIET WEIGHT LOSS SOLUTION;by Marla Heller;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,BRAINSTORM;by Daniel J. Siegel;
8,THE ARRANGEMENT 13;by H. M. Ward;New this week,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;13 weeks on the list,THE ALCHEMIST;by Paulo Coelho;290 weeks on the list,,,ALL JOY AND NO FUN;by Jennifer Senior;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;18 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;5 weeks on the list,TENDER AT THE BONE;by Ruth Reichl;New this week,THE UNTETHERED SOUL;by Michael A. Singer;6 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;115 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;49 weeks on the list","DRAGONAR ACADEMY, VOL. 1;by Shiki Mizuchi and Ran;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;9 weeks on the list,THE MAZE RUNNER;by James Dashner;70 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,PEOPLE TOOLS;by Alan C. Fox;,THE FAST METABOLISM DIET COOKBOOK;by Haylie Pomroy;,UNBROKEN;by Laura Hillenbrand;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
9,STILL LIFE WITH BREAD CRUMBS;by Anna Quindlen;2 weeks on the list,AN OFFICER AND A SPY;by Robert Harris;2 weeks on the list,ME BEFORE YOU;by Jojo Moyes;28 weeks on the list,,,GLITTER AND GLUE;by Kelly Corrigan;New this week,TRIPLE PACKAGE;by Amy Chua and Jed Rubenfeld;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;30 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;19 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;10 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;8 weeks on the list,DRAMA;by Raina Telgemeier;53 weeks on the list,"KAMISAMA KISS, VOL. 14;by Julietta Suzuki;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,MR. TIGER GOES WILD;by Peter Brown;6 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;327 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,ON THE EDGE;by Alison Levine;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THE BULLY PULPIT;by Doris Kearns Goodwin;,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;
10,KALEIDOSCOPE;by Kristen Ashley;New this week,THE HUSBAND'S SECRET;by Liane Moriarty;12 weeks on the list,LABOR DAY;by Joyce Maynard;4 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;139 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;14 weeks on the list,QUIET;by Susan Cain;54 weeks on the list,ALL JOY AND NO FUN;by Jennifer Senior;New this week,IMPACT;by Tim Irwin;New this week,"SNOWPIERCER, VOL. 1;by Jacques Lob and Jean-Marc Rochette;2 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;23 weeks on the list","ATTACK ON TITAN, VOL. 10;by Hajime Isayama;6 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PRESS HERE;by Hervé Tullet;127 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;60 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE DOCTOR WORE PETTICOATS;by Chris Enss;
