,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,THE LONGEST RIDE;by Nicholas Sparks;New this week,THE LONGEST RIDE;by Nicholas Sparks;New this week,THE HIT;by David Baldacci;New this week,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;3 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;3 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;10 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;31 weeks on the list,DARING GREATLY;by Brené Brown;24 weeks on the list,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;New this week",PERSEPOLIS;by Marjane Satrapi;18 weeks on the list,"SAILOR MOON SHORT STORIES, VOL. 1;by Naoko Takeuchi;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;103 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;106 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE LIBERTY AMENDMENTS;by Mark R. Levin;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
2,THANKLESS IN DEATH;by J. D. Robb;New this week,THE QUEST;by Nelson DeMille;New this week,FIFTY SHADES OF GREY;by E. L. James;80 weeks on the list,,,STILL FOOLIN' 'EM;by Billy Crystal;2 weeks on the list,STILL FOOLIN' 'EM;by Billy Crystal;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;48 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;11 weeks on the list,E-SQUARED;by Pam Grout;10 weeks on the list,AGE OF ULTRON;by Brian Michael Bendis and various;New this week,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;6 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;15 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;13 weeks on the list,MICHAEL VEY;by Richard Paul Evans;New this week,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THIS TOWN;by Mark Leibovich;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
3,THE FINAL CUT;by Catherine Coulter and J.T. Ellison;New this week,THANKLESS IN DEATH;by J. D. Robb;New this week,THE CASUAL VACANCY;by J. K. Rowling;9 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;10 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;28 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;133 weeks on the list,STILL FOOLIN' 'EM;by Billy Crystal;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;24 weeks on the list,"THE UNCANNY X-MEN OMNIBUS, VOL. 1;by Chris Claremont, Dave Cockrum and John Byrne;New this week","YOUNG AVENGERS, VOL. 1;by Kieron Gillen and Jamie McKelvie;New this week","ATTACK ON TITAN, VOL. 6;by Hajime Isayama;4 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;7 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;161 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,WHEAT BELLY;by William Davis;,BEFORE HAPPINESS;by Shawn Achor;,STEVE JOBS;by Walter Isaacson;,LAWRENCE IN ARABIA;by Scott Anderson;,QUIET;by Susan Cain;
4,THE QUEST;by Nelson DeMille;New this week,W IS FOR WASTED;by Sue Grafton;2 weeks on the list,THE RACKETEER;by John Grisham;4 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;20 weeks on the list",ZEALOT;by Reza Aslan;10 weeks on the list,OUTLIERS;by Malcolm Gladwell;120 weeks on the list,EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;2 weeks on the list,LOOPTAIL;by Bruce Poon Tip;New this week,"WONDER WOMAN, VOL. 3;by Brian Azzarello and Cliff Chiang;New this week",SMILE;by Raina Telgemeier;72 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;33 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,FROG TROUBLE;by Sandra Boynton;3 weeks on the list,GALLAGHER GIRLS;by Ally Carter;13 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,MICHAEL SYMON'S 5 IN 5;by Michael Symon with Douglas Trattner;,LOOPTAIL;by Bruce Poon Tip;,CONVERT EVERY CLICK;by Benji Rabhan;,UNBROKEN;by Laura Hillenbrand;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
5,NEVER GO BACK;by Lee Child;3 weeks on the list,NEVER GO BACK;by Lee Child;3 weeks on the list,FIFTY SHADES DARKER;by E. L. James;77 weeks on the list,,,EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;2 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;20 weeks on the list",THE GLASS CASTLE;by Jeannette Walls;330 weeks on the list,THE WITNESS WORE RED;by Rebecca Musser with Bridget Cook;2 weeks on the list,VALUE OF DEBT;by Thomas J. Anderson;New this week,"GUARDIANS OF THE GALAXY, VOL. 1;by Brian Michael Bendis and Steve McNiven;New this week","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;14 weeks on the list","ONE PIECE, VOL. 68;by Eiichiro Oda;3 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;110 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;307 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,EAT TO LIVE;by Joel Fuhrman;,GREAT WORK;by David Sturt;,TIPPING POINT;by Malcolm Gladwell;,WILSON;by A. Scott Berg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
6,THE HUSBAND'S SECRET;by Liane Moriarty;7 weeks on the list,BLEEDING EDGE;by Thomas Pynchon;New this week,THE SILENT WIFE;by A. S. A. Harrison;9 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;28 weeks on the list,THE LIBERTY AMENDMENTS;by Mark R. Levin;6 weeks on the list,STEVE JOBS;by Walter Isaacson;2 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;20 weeks on the list",THE SHIFT;by Tory Johnson;2 weeks on the list,GREEN LANTERN: RISE OF THE THIRD ARMY;by Geoff Johns and various;New this week,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;39 weeks on the list","DEMON LOVE SPELL, VOL. 4;by Mayu Shinjo;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;76 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;13 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;,HEADS IN BEDS;by Jacob Tomsky;,FIVE DAYS AT MEMORIAL;by Sheri Fink;,BRILLIANT BLUNDERS;by Mario Livio;
7,W IS FOR WASTED;by Sue Grafton;2 weeks on the list,THE FINAL CUT;by Catherine Coulter and J.T. Ellison;New this week,FIFTY SHADES FREED;by E. L. James;76 weeks on the list,,,ZEALOT;by Reza Aslan;10 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;New this week,WILD;by Cheryl Strayed;26 weeks on the list,SYSTEM;by Jeff Benedict and Armen Keteyian;New this week,MASTERMINDS AND WINGMEN;by Rosalind Wiseman;2 weeks on the list,RASL;by Jeff Smith;New this week,THE LOST BOY;by Greg Ruth;New this week,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;9 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;23 weeks on the list",DORK DIARIES;by Rachel Renée Russell;88 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;,SYSTEM;by Jeff Benedict and Armen Keteyian;,DRIVE;by Daniel H. Pink;,BUTLER;by Wil Haygood;,THE POWER OF HABIT;by Charles Duhigg;
8,DEADLY HEAT;by Richard Castle;New this week,DEADLY HEAT;by Richard Castle;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;25 weeks on the list",,,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;New this week,EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;2 weeks on the list,QUIET;by Susan Cain;34 weeks on the list,SIMPLE DREAMS;by Linda Ronstadt;New this week,GUINNESS WORLD RECORDS 2014.;;2 weeks on the list,ONCE UPON A TIME;by Daniel T. Thomsen and Corinna Bechko;3 weeks on the list,DRAMA;by Raina Telgemeier;43 weeks on the list,"NARUTO, VOL. 62;by Masashi Kishimoto;7 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;12 weeks on the list,GIVER QUARTET;by Lois Lowry;25 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;",YOU FIRST;by Liane Davey;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,A HOUSE IN THE SKY;by Amanda Lindhout and Sara Corbett;,THE HAPPINESS PROJECT;by Gretchen Rubin;
9,THE RACKETEER;by John Grisham;18 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;10 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;25 weeks on the list,,,SIMPLE DREAMS;by Linda Ronstadt;New this week,SIMPLE DREAMS;by Linda Ronstadt;New this week,BRAIN ON FIRE;by Susannah Cahalan;7 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;24 weeks on the list,"FABLES: THE DELUXE EDITION, BOOK SEVEN;by Bill Willingham and Mark Buckingham;3 weeks on the list",ROMEO AND JULIET;by Gareth Hinds;New this week,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;7 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;15 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;244 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;,VALUE OF DEBT;by Thomas J. Anderson;,THE CHECKLIST MANIFESTO;by Atul Gawande;,REIGN OF ERROR;by Diane Ravitch;,AN APPETITE FOR WONDER;by Richard Dawkins;
10,OUT OF LINE;by Jen McLaughlin;New this week,INFERNO;by Dan Brown;19 weeks on the list,THE ALCHEMIST;by Paulo Coelho;271 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;48 weeks on the list,REIGN OF ERROR;by Diane Ravitch;New this week,HOW CHILDREN SUCCEED;by Paul Tough;12 weeks on the list,FIVE DAYS AT MEMORIAL;by Sheri Fink;2 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;4 weeks on the list,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;3 weeks on the list,FUN HOME;by Alison Bechdel;18 weeks on the list,"NARUTO, VOL. 61;by Masashi Kishimoto;10 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MR. TIGER GOES WILD;by Peter Brown;3 weeks on the list,ORIGAMI YODA;by Tom Angleberger. Illustrated;19 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,THE POWER OF HABIT;by Charles Duhigg;,WHY NATIONS FAIL;by Daron Acemoglu and James A. Robinson;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,KNOCKING ON HEAVEN'S DOOR;by Katy Butler;
