,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;New this week,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;New this week,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;New this week,KITCHEN CONFIDENTIAL;by Anthony Bourdain;2 weeks on the list,CALYPSO;by David Sedaris;2 weeks on the list,KITCHEN CONFIDENTIAL;by Anthony Bourdain;36 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;7 weeks on the list,WONDER;by R.J. Palacio;148 weeks on the list,I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR;by Eric Carle;4 weeks on the list,DOG MAN;by Dav Pilkey;41 weeks on the list,THE HATE U GIVE;by Angie Thomas;67 weeks on the list,THE OUTSIDER;by Stephen King;,I'LL BE GONE IN THE DARK;by Michelle McNamara;,MEASURE WHAT MATTERS;by John Doerr;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,SHOE DOG;by Phil Knight;
2,THE OUTSIDER;by Stephen King;3 weeks on the list,THE OUTSIDER;by Stephen King;3 weeks on the list,INTO THE WATER;by Paula Hawkins;6 weeks on the list,CALYPSO;by David Sedaris;2 weeks on the list,TRUMP'S AMERICA;by Newt Gingrich;New this week,KILLERS OF THE FLOWER MOON;by David Grann;10 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;78 weeks on the list,"HELLO, UNIVERSE;by Erin Entrada Kelly;17 weeks on the list",A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;12 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;482 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;14 weeks on the list,NORSE MYTHOLOGY;by Neil Gaiman;,BORN A CRIME;by Trevor Noah;,BAD BLOOD;by John Carreyrou;,SAPIENS;by Yuval Noah Harari;,MEN IN BLAZERS PRESENT ENCYCLOPEDIA BLAZERTANNICA;by Roger Bennett and Michael Davies;
3,SHELTER IN PLACE;by Nora Roberts;2 weeks on the list,SHELTER IN PLACE;by Nora Roberts;2 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;7 weeks on the list,TRUMP'S AMERICA;by Newt Gingrich;New this week,THE SUN DOES SHINE;by Anthony Ray Hinton with Lara Love Hardin;New this week,SAPIENS;by Yuval Noah Harari;4 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;15 weeks on the list,REFUGEE;by Alan Gratz;16 weeks on the list,HOW TO BABYSIT A GRANDPA;by Jean Reagan. Illustrated by Lee Wildish;13 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;6 weeks on the list,LEGENDARY;by Stephanie Garber;2 weeks on the list,THE FALLEN;by David Baldacci;,A HIGHER LOYALTY;by James Comey;,PRINCIPLES;by Ray Dalio;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,I'M KEITH HERNANDEZ;by Keith Hernandez;
4,TURBULENCE;by Stuart Woods;New this week,THE DEATH OF MRS. WESTAWAY;by Ruth Ware;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;67 weeks on the list,THE SUN DOES SHINE;by Anthony Ray Hinton with Lara Love Hardin;New this week,HOW TO CHANGE YOUR MIND;by Michael Pollan;4 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;6 weeks on the list,YOU ARE A BADASS;by Jen Sincero;126 weeks on the list,WILD RESCUERS: GUARDIANS OF THE TAIGA;by StacyPlays. Illustrated by Vivienne To;New this week,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;224 weeks on the list,HARRY POTTER;by J.K. Rowling;481 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;35 weeks on the list,READY PLAYER ONE;by Ernest Cline;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,SHOE DOG;by Phil Knight;,THE ORDER OF TIME;by Carlo Rovelli;,TIGER WOODS;by Jeff Benedict and Armen Keteyian;
5,BRIEF CASES;by Jim Butcher;New this week,BRIEF CASES;by Jim Butcher;New this week,LESS;by Andrew Sean Greer;3 weeks on the list,THE WORLD AS IT IS;by Ben Rhodes;New this week,THE SOUL OF AMERICA;by Jon Meacham;5 weeks on the list,JUST MERCY;by Bryan Stevenson;107 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;9 weeks on the list",THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;10 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;137 weeks on the list,DORK DIARIES;by Rachel Renée Russell;255 weeks on the list,SAVE THE DATE;by Morgan Matson;New this week,THE HANDMAID'S TALE;by Margaret Atwood;,CALYPSO;by David Sedaris;,I LOVE CAPITALISM!;by Ken Langone;,LEONARDO DA VINCI;by Walter Isaacson;,THE IF IN LIFE;by Rashad Jennings with Margot Starbuck;
6,WHEN LIFE GIVES YOU LULULEMONS;by Lauren Weisberger;New this week,THE FALLEN;by David Baldacci;8 weeks on the list,MILK AND HONEY;by Rupi Kaur;113 weeks on the list,HOW TO CHANGE YOUR MIND;by Michael Pollan;4 weeks on the list,THE WORLD AS IT IS;by Ben Rhodes;New this week,OUTLIERS;by Malcolm Gladwell;256 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;246 weeks on the list,THE WILD ROBOT;by Peter Brown;30 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;39 weeks on the list,RED QUEEN;by Victoria Aveyard;21 weeks on the list,LEAH ON THE OFFBEAT;by Becky Albertalli;7 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;,THE POWER OF HABIT;by Charles Duhigg;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BEING MORTAL;by Atul Gawande;,THE BOYS IN THE BOAT;by Daniel James Brown;
7,THE FALLEN;by David Baldacci;8 weeks on the list,THE GRAY GHOST;by Clive Cussler and Robin Burcell;2 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;36 weeks on the list,FACTFULNESS;by Hans Rosling with Ola Rosling and Anna Rosling Ronnlund;8 weeks on the list,THE RESTLESS WAVE;by John McCain and Mark Salter;3 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;424 weeks on the list,EVERYBODY ALWAYS;by Bob Goff;8 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;29 weeks on the list,AN ELEPHANT AND PIGGIE BIGGIE!;by Mo Willems;7 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;122 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;47 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,THE SOUL OF AMERICA;by Jon Meacham;,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SHAKEN;by Tim Tebow;
8,THE DEATH OF MRS. WESTAWAY;by Ruth Ware;2 weeks on the list,WHEN LIFE GIVES YOU LULULEMONS;by Lauren Weisberger;New this week,A STRANGER IN THE HOUSE;by Shari Lapena;2 weeks on the list,THE SOUL OF AMERICA;by Jon Meacham;5 weeks on the list,FACTFULNESS;by Hans Rosling with Ola Rosling and Anna Rosling Ronnlund;7 weeks on the list,MEDIUM RAW;by Anthony Bourdain;5 weeks on the list,MAKE YOUR BED;by William H. McRaven;49 weeks on the list,ENDLING: THE LAST;by Katherine Applegate. Illustrated by Max Kostenko;6 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;14 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;474 weeks on the list,THE HAZEL WOOD;by Melissa Albert;19 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;,EDUCATED;by Tara Westover;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE POWER OF HABIT;by Charles Duhigg;,UPON FURTHER REVIEW;by Mike Pesca;
9,SOMETHING IN THE WATER;by Catherine Steadman;New this week,US AGAINST YOU;by Fredrik Backman;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;51 weeks on the list,LINCOLN'S LAST TRIAL;by Dan Abrams and David Fisher;New this week,LINCOLN'S LAST TRIAL;by Dan Abrams and David Fisher;New this week,SHOE DOG;by Phil Knight;6 weeks on the list,PRINCIPLES;by Ray Dalio;28 weeks on the list,ARU SHAH AND THE END OF TIME;by Roshani Chokshi;10 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;40 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;50 weeks on the list,FURYBORN;by Claire Legrand;2 weeks on the list,SHELTER IN PLACE;by Nora Roberts;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,THE PERFECTIONISTS;by Simon Winchester;,BARBARIAN DAYS;by William Finnegan;
10,THE 17TH SUSPECT;by James Patterson and Maxine Paetro;6 weeks on the list,TURBULENCE;by Stuart Woods;New this week,THE NIGHTINGALE;by Kristin Hannah;13 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;51 weeks on the list,A HIGHER LOYALTY;by James Comey;8 weeks on the list,BEING MORTAL;by Atul Gawande;40 weeks on the list,THE PLANT PARADOX COOKBOOK;by Steven R. Gundry;3 weeks on the list,AUGGIE & ME;by R.J. Palacio;72 weeks on the list,LLAMA LLAMA LOVES TO READ;by Anna Dewdney and Reed Duncan. Illustrated by J.T. Morrow;6 weeks on the list,TRACK;by Jason Reynolds;3 weeks on the list,ASH PRINCESS;by Laura Sebastian;6 weeks on the list,THE GREAT ALONE;by Kristin Hannah;,SAPIENS;by Yuval Noah Harari;,GRIT;by Angela Duckworth;,WHY WE SLEEP;by Matthew Walker;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
