,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE NIGHT FIRE;by Michael Connelly;New this week,THE NIGHT FIRE;by Michael Connelly;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;60 weeks on the list,ME;by Elton John;2 weeks on the list,ME;by Elton John;2 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;53 weeks on the list,THE PIONEER WOMAN COOKS: THE NEW FRONTIER;by Ree Drummond;New this week,A TALE OF MAGIC...;by Chris Colfer;4 weeks on the list,SULWE;by Lupita Nyong'o. Illustrated by Vashti Harrison;2 weeks on the list,DOG MAN;by Dav Pilkey;113 weeks on the list,THE HATE U GIVE;by Angie Thomas;139 weeks on the list,THE GUARDIANS;by John Grisham;,TALKING TO STRANGERS;by Malcolm Gladwell;,STILLNESS IS THE KEY;by Ryan Holiday;,GUTS;by Raina Telgemeier;,HOLY GHOST;by John Sandford;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,LONG WAY DOWN;by Jason Reynolds;
2,THE GUARDIANS;by John Grisham;2 weeks on the list,THE GUARDIANS;by John Grisham;2 weeks on the list,THE GREAT ALONE;by Kristin Hannah;5 weeks on the list,CATCH AND KILL;by Ronan Farrow;2 weeks on the list,CATCH AND KILL;by Ronan Farrow;2 weeks on the list,SAPIENS;by Yuval Noah Harari;76 weeks on the list,NOTHING FANCY;by Alison Roman;New this week,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;29 weeks on the list,"GOOD NIGHT, LITTLE BLUE TRUCK;by Alice Schertle and Jill McElmurry;2 weeks on the list",HARRY POTTER;by J.K. Rowling;553 weeks on the list,THE SECRET COMMONWEALTH;by Philip Pullman;4 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BLOWOUT;by Rachel Maddow;,TRAILBLAZER;by Marc Benioff and Monica Langley;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,TARGET: ALEX CROSS;by James Patterson;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
3,THE DESERTER;by Nelson DeMille and Alex DeMille;New this week,WHERE THE CRAWDADS SING;by Delia Owens;60 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;4 weeks on the list,THREE DAYS AT THE BRINK;by Bret Baier with Catherine Whitney;New this week,DUMPTY;by John Lithgow;New this week,BORN A CRIME;by Trevor Noah;37 weeks on the list,I REALLY NEEDED THIS TODAY;by Hoda Kotb with Jane Lorenzini;2 weeks on the list,WONDER;by R.J. Palacio;220 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;34 weeks on the list,DORK DIARIES;by Rachel Renée Russell;297 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;20 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,CATCH AND KILL;by Ronan Farrow;,THE RIDE OF A LIFETIME;by Robert Iger;,"MY HERO ACADEMIA, VOL. 21;by Kohei Horikoshi;",DOCTOR SLEEP;by Stephen King;,RESTART;by Gordon Korman;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
4,THE BURNING WHITE;by Brent Weeks;New this week,THE DESERTER;by Nelson DeMille and Alex DeMille;New this week,THE HANDMAID'S TALE;by Margaret Atwood;108 weeks on the list,BLOWOUT;by Rachel Maddow;4 weeks on the list,BLOWOUT;by Rachel Maddow;4 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;68 weeks on the list,BINGING WITH BABISH;by Andrew Rea;New this week,LOOK BOTH WAYS;by Jason Reynolds;3 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;208 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;62 weeks on the list,THE FOUNTAINS OF SILENCE;by Ruta Sepetys;4 weeks on the list,THE NIGHT FIRE;by Michael Connelly;,INSIDE OUT;by Demi Moore;,THE INFINITE GAME;by Simon Sinek;,DRAMA;by Raina Telgemeier;,BEAUCHAMP HALL;by Danielle Steel;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,LOOKING FOR ALASKA;by John Green;
5,AGENT RUNNING IN THE FIELD;by John le Carré;New this week,AGENT RUNNING IN THE FIELD;by John le Carré;New this week,EVERY BREATH;by Nicholas Sparks;2 weeks on the list,DUMPTY;by John Lithgow;New this week,THREE DAYS AT THE BRINK;by Bret Baier with Catherine Whitney;New this week,JUST MERCY;by Bryan Stevenson;176 weeks on the list,FOOD: WHAT THE HECK SHOULD I COOK?;by Mark Hyman;New this week,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;28 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;291 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;21 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;47 weeks on the list,THE INSTITUTE;by Stephen King;,EDUCATED;by Tara Westover;,DARE TO LEAD;by Brené Brown;,WATCHMEN;by Alan Moore. Illustrated by Dave Gibbons;,DARK SACRED NIGHT;by Michael Connelly;,FRONT DESK;by Kelly Yang;,THE SUN IS ALSO A STAR;by Nicola Yoon;
6,WHERE THE CRAWDADS SING;by Delia Owens;59 weeks on the list,THE 19TH CHRISTMAS;by James Patterson and Maxine Paetro;3 weeks on the list,THE 18TH ABDUCTION;by James Patterson and Maxine Paetro;4 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;7 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;7 weeks on the list,ON TYRANNY;by Timothy Snyder;59 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;New this week",WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;88 weeks on the list,THE CRAYONS' CHRISTMAS;by Drew Daywalt. Illustrated by Oliver Jeffers;2 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;18 weeks on the list,WAYWARD SON;by Rainbow Rowell;5 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;,ME;by Elton John;,ATOMIC HABITS;by James Clear;,SMILE;by Raina Telgemeier;,YEAR ONE;by Nora Roberts;,OUT OF MY MIND;by Sharon M. Draper;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
7,THE 19TH CHRISTMAS;by James Patterson and Maxine Paetro;3 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;5 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;23 weeks on the list,EDUCATED;by Tara Westover;88 weeks on the list,PERMANENT RECORD;by Edward Snowden;4 weeks on the list,THE LIBRARY BOOK;by Susan Orlean;4 weeks on the list,THE OFFICIAL BRIGHT LINE EATING COOKBOOK;by Susan Peirce Thompson;New this week,ALLIES;by Alan Gratz;2 weeks on the list,JUST ASK!;by Sonia Sotomayor. Illustrated by Rafael López;8 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;24 weeks on the list,THE BEAUTIFUL;by Renée Ahdieh;3 weeks on the list,THE TESTAMENTS;by Margaret Atwood;,PERMANENT RECORD;by Edward Snowden;,FAIR PLAY;by Eve Rodsky;,WHITE BIRD;by R.J. Palacio;,THE RECKONING;by John Grisham;,CITY OF GHOSTS;by Victoria Schwab;,TURTLES ALL THE WAY DOWN;by John Green;
8,THE DUTCH HOUSE;by Ann Patchett;5 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;5 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;25 weeks on the list,PERMANENT RECORD;by Edward Snowden;4 weeks on the list,EDUCATED;by Tara Westover;88 weeks on the list,OUTLIERS;by Malcolm Gladwell;297 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;150 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;18 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;292 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;194 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;86 weeks on the list,BLUE MOON;by Lee Child;,BECOMING;by Michelle Obama;,WHAT IT TAKES;by Stephen A. Schwarzman;,OPEN BORDERS;by Bryan Caplan. Illustrated by Zach Weinersmith;,KISSES IN THE SNOW;by Debbie Macomber;,MINECRAFT: THE ISLAND;by Max Brooks;,THE SIMILARS;by Rebecca Hanover;
9,THE INSTITUTE;by Stephen King;7 weeks on the list,THE INSTITUTE;by Stephen King;7 weeks on the list,THE OVERSTORY;by Richard Powers;29 weeks on the list,TOUCHED BY THE SUN;by Carly Simon;New this week,THE WAY I HEARD IT;by Mike Rowe;2 weeks on the list,WHY WE SLEEP;by Matthew Walker;29 weeks on the list,TRAILBLAZER;by Marc Benioff and Monica Langley;2 weeks on the list,"BEVERLY, RIGHT HERE;by Kate DiCamillo;3 weeks on the list",CREEPY PAIR OF UNDERWEAR;by Aaron Reynolds. Illustrated by Peter Brown;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;554 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;94 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,DEAR GIRLS;by Ali Wong;,SHUT UP AND LISTEN!;by Tilman Fertitta;,SUNNY ROLLS THE DICE;by Jennifer L. Holm. Illustrated by Matthew Holm;,LOOK ALIVE TWENTY-FIVE;by Janet Evanovich;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,SALT TO THE SEA;by Ruta Sepetys;
10,THE TESTAMENTS;by Margaret Atwood;7 weeks on the list,THE TESTAMENTS;by Margaret Atwood;7 weeks on the list,IT;by Stephen King;29 weeks on the list,THE WAY I HEARD IT;by Mike Rowe;2 weeks on the list,TOUCHED BY THE SUN;by Carly Simon;New this week,HOW TO CHANGE YOUR MIND;by Michael Pollan;14 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;293 weeks on the list,TRISTAN STRONG PUNCHES A HOLE IN THE SKY;by Kwame Mbalia;2 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;16 weeks on the list,SCARY STORIES;by Alvin Schwartz. Illustrated by Stephen Gammell;8 weeks on the list,FRANKLY IN LOVE;by David Yoon;4 weeks on the list,BLOODY GENIUS;by John Sandford;,OVER THE TOP;by Jonathan Van Ness;,OUTLIERS;by Malcolm Gladwell;,GHOSTS;by Raina Telgemeier;,ALASKAN HOLIDAY;by Debbie Macomber;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
