,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,INVISIBLE;by James Patterson and David Ellis;2 weeks on the list,INVISIBLE;by James Patterson and David Ellis;2 weeks on the list,GONE GIRL;by Gillian Flynn;11 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;160 weeks on the list,BLOOD FEUD;by Edward Klein;2 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;48 weeks on the list,UNBROKEN;by Laura Hillenbrand;179 weeks on the list,LAUNCH;by Jeff Walker;New this week,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;9 weeks on the list,THE HARLEM HELLFIGHTERS;by Max Brooks and Caanan White;6 weeks on the list,"NARUTO, VOL. 66;by Masashi Kishimoto;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;54 weeks on the list,DIVERGENT;by Veronica Roth;37 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,HARD CHOICES;by Hillary Rodham Clinton;,QUIET;by Susan Cain;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,TOP SECRET TWENTY-ONE;by Janet Evanovich;3 weeks on the list,THE SILKWORM;by Robert Galbraith;3 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;46 weeks on the list,,,BLOOD FEUD;by Edward Klein;2 weeks on the list,HARD CHOICES;by Hillary Rodham Clinton;4 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;6 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;49 weeks on the list,HOW THE WORLD SEES YOU;by Sally Hogshead;New this week,"INJUSTICE: GODS AMONG US, VOL. 2;by Tom Taylor, Mike S. Miller, Tom Derenick;New this week",PERSEPOLIS;by Marjane Satrapi;28 weeks on the list,"ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;144 weeks on the list",THE MAZE RUNNER;by James Dashner;91 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,WHEAT BELLY;by William Davis;,ONE NATION;by Ben Carson with Candy Carson;,DAVID AND GOLIATH;by Malcolm Gladwell;,"TIGER, MEET MY SISTER;by Rick Reilly;"
3,THE SILKWORM;by Robert Galbraith;3 weeks on the list,TOP SECRET TWENTY-ONE;by Janet Evanovich;3 weeks on the list,THE SIGNATURE OF ALL THINGS;by Elizabeth Gilbert;2 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;27 weeks on the list,UNBROKEN;by Laura Hillenbrand;176 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;190 weeks on the list,BLOOD FEUD;by Edward Klein;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;65 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;3 weeks on the list,"SUPERIOR SPIDER-MAN, VOL. 6;by  Dan Slott, Christos Gage and Giuseppe Camuncoli;New this week","NISEKOI: FALSE LOVE, VOL. 4;by Naoshi Komi;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;14 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;147 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,FLASH BOYS;by Michael Lewis;,THE EVERYGIRL'S GUIDE TO DIET AND FITNESS;by Maria Menounos;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MICHAEL JORDAN: THE LIFE;by Roland Lazenby;
4,BEAUTIFUL OBLIVION;by Jamie McGuire;New this week,MR. MERCEDES;by Stephen King;5 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;5 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;7 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;7 weeks on the list,OUTLIERS;by Malcolm Gladwell;161 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;24 weeks on the list,ALL IN STARTUP;by Diana Kander;New this week,A GAME OF THRONES;by George R.R. Martin;25 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;69 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;56 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,MY NEW FRIEND IS SO FUN!;by Mo Willems;5 weeks on the list,GIVER QUARTET;by Lois Lowry;46 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE PALEO KITCHEN;by Juli Bauer and George Bryant;,UNBROKEN;by Laura Hillenbrand;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,"WHEN THE GAME WAS OURS;by Larry Bird, Earvin ""Magic"" Johnson and Jackie MacMullan;"
5,THE CITY;by Dean Koontz;New this week,THE CITY;by Dean Koontz;New this week,THE ALCHEMIST;by Paulo Coelho;311 weeks on the list,,,HARD CHOICES;by Hillary Rodham Clinton;4 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;13 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;354 weeks on the list,WE TWO;by Gillian Gill;New this week,THE DOCTOR'S DIET;by Travis Stork;18 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;122 weeks on the list,"SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;15 weeks on the list","YU-GI-OH! ZEXAL, VOL. 5;by Shin Yoshida and Naohito Miyoshi;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;29 weeks on the list,THE SELECTION;by Kiera Cass;9 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,THE POWER OF HABIT;by Charles Duhigg;,THE SPORTS GENE;by David Epstein;
6,THE GOLDFINCH;by Donna Tartt;37 weeks on the list,THE GOLDFINCH;by Donna Tartt;37 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;10 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;123 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;8 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;89 weeks on the list,FRANKLIN AND WINSTON;by Jon Meacham;New this week,INSTINCT;by T. D. Jakes;9 weeks on the list,"BATMAN, VOL. 4;by Scott Snyder and Greg Capullo;8 weeks on the list",SMILE;by Raina Telgemeier;109 weeks on the list,"POKEMON ADVENTURES, VOL. 23;by Hidenori Kusaka and Satoshi Yamamoto;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;147 weeks on the list,DORK DIARIES;by Rachel Renée Russell;102 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,BLOOD FEUD;by Edward Klein;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
7,THE NEIGHBOR;by Dean Koontz;New this week,WRITTEN IN MY OWN HEART'S BLOOD;by Diana Gabaldon;4 weeks on the list,THE SILVER STAR;by Jeannette Walls;5 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;26 weeks on the list,DIARY OF A MAD DIVA;by Joan Rivers;New this week,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;116 weeks on the list,I KNOW WHY THE CAGED BIRD SINGS;by Maya Angelou;6 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;41 weeks on the list,"SNOWPIERCER, VOL. 1;by Jacques Lob and Jean-Marc Rochette;5 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;35 weeks on the list","SWORD ART ONLINE: FAIRY DANCE, VOL. 1;by Reki Kawahara and Tsubasa Haduki;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,LOCOMOTIVE;by Brian Floca;23 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;12 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",PRACTICAL PALEO;by Diane Sanfilippo;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,STUFF MATTERS;by Mark Miodownik;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
8,GONE GIRL;by Gillian Flynn;84 weeks on the list,ALL FALL DOWN;by Jennifer Weiner;3 weeks on the list,DARK PLACES;by Gillian Flynn;49 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;7 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;28 weeks on the list,A LONG WAY GONE;by Ishmael Beah;81 weeks on the list,I DIDN'T COME HERE TO MAKE FRIENDS;by Courtney Robertson with Deb Baer;2 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;18 weeks on the list,"NATHAN HALE'S HAZARDOUS TALES: TREATIES, TRENCHES, MUD, AND BLOOD;by Nathan Hale;8 weeks on the list","VELVET, VOL. 1;by Ed Brubaker and Steve Epting;New this week","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;32 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,JOURNEY;by Aaron Becker;33 weeks on the list,SHIVER;by Maggie Stiefvater;6 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,STRESS TEST;by Timothy F. Geithner;,GUY ON FIRE;by Guy Fieri with Ann Volkwein;,THE ROMANOV SISTERS;by Helen Rappaport;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,STRONGER;by Jeff Bauman with Bret Witter;
9,"SPICE BOX;by Raine Miller, Cathryn Fox and others;New this week",ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;9 weeks on the list,DOCTOR SLEEP;by Stephen King;4 weeks on the list,,,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;8 weeks on the list,FLASH BOYS;by Michael Lewis;14 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;5 weeks on the list,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;16 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;41 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;43 weeks on the list,"SEX CRIMINALS, VOL. 1;by Matt Fraction and Chip Zdarsky;6 weeks on the list",SWORD ART ONLINE: AINCRAD;by Reki Kawahara and Tamako Nakamura;7 weeks on the list,GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;13 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;285 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE BIG FAT SURPRISE;by Nina Teicholz;,NO PLACE TO HIDE;by Glenn Greenwald;,PROOF: THE SCIENCE OF BOOZE;by Adam Rogers;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
10,MR. MERCEDES;by Stephen King;5 weeks on the list,THE VACATIONERS;by Emma Straub;4 weeks on the list,THE PRIME MINISTER'S SECRET AGENT;by Susan Elia MacNeal;New this week,,,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;11 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;38 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;26 weeks on the list,IT LOOKED DIFFERENT ON THE MODEL;by Laurie Notaro;2 weeks on the list,#GIRLBOSS;by Sophia Amoruso;9 weeks on the list,NATHAN HALE'S HAZARDOUS TALES: BIG BAD IRONCLAD!;by Nathan Hale;New this week,THIS ONE SUMMER;by Mariko Tamaki and Jillian Tamaki;6 weeks on the list,"FAIRY TAIL, VOL. 39;by Hiro Mashima;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,DUCK AND GOOSE GO TO THE BEACH;by Tad Hills;2 weeks on the list,GRISHA TRILOGY;by Leigh Bardugo;2 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THRIVE;by Arianna Huffington;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,STRESS TEST;by Timothy F. Geithner;,THE SPORTS GENE;by David Epstein;,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;
