,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,CONNECTIONS IN DEATH;by J.D. Robb;New this week,THE SILENT PATIENT;by Alex Michaelides;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;23 weeks on the list,BECOMING;by Michelle Obama;13 weeks on the list,BECOMING;by Michelle Obama;13 weeks on the list,SAPIENS;by Yuval Noah Harari;39 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;44 weeks on the list",WONDER;by R.J. Palacio;183 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;23 weeks on the list,DOG MAN;by Dav Pilkey;76 weeks on the list,ON THE COME UP;by Angie Thomas;New this week,WHERE THE CRAWDADS SING;by Delia Owens;,BECOMING;by Michelle Obama;,BAD BLOOD;by John Carreyrou;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
2,WHERE THE CRAWDADS SING;by Delia Owens;22 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;23 weeks on the list,THE LOST GIRLS OF PARIS;by Pam Jenoff;2 weeks on the list,EDUCATED;by Tara Westover;51 weeks on the list,EDUCATED;by Tara Westover;51 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;31 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;152 weeks on the list,LITTLE LEADERS;by Vashti Harrison;21 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;11 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;517 weeks on the list,THE HATE U GIVE;by Angie Thomas;102 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;,EDUCATED;by Tara Westover;,ATOMIC HABITS;by James Clear;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
3,THE SILENT PATIENT;by Alex Michaelides;New this week,CONNECTIONS IN DEATH;by J.D. Robb;New this week,AN AMERICAN MARRIAGE;by Tayari Jones;New this week,BAD BLOOD;by John Carreyrou;27 weeks on the list,WOMEN ROWING NORTH;by Mary Pipher;4 weeks on the list,THE COLLECTED SCHIZOPHRENIAS;by Esmé Weijun Wang;New this week,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;113 weeks on the list,MERCI SUÁREZ CHANGES GEARS;by Meg Medina;2 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;171 weeks on the list,HARRY POTTER;by J.K. Rowling;516 weeks on the list,KING OF SCARS;by Leigh Bardugo;2 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;,SAPIENS;by Yuval Noah Harari;,DARE TO LEAD;by Brené Brown;,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;,THE MAMBA MENTALITY;by Kobe Bryant;
4,THE WEDDING GUEST;by Jonathan Kellerman;New this week,"BLACK LEOPARD, RED WOLF;by Marlon James;New this week",ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;36 weeks on the list,SAPIENS;by Yuval Noah Harari;59 weeks on the list,FROM THE GROUND UP;by Howard Schultz with Joanne Gordon;2 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;45 weeks on the list,YOU ARE A BADASS;by Jen Sincero;158 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;61 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;258 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;157 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;10 weeks on the list,THE RECKONING;by John Grisham;,BAD BLOOD;by John Carreyrou;,MAID;by Stephanie Land;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,ENDURE;by Alex Hutchinson;
5,"BLACK LEOPARD, RED WOLF;by Marlon James;New this week",DEVOTIONS;by Mary Oliver;2 weeks on the list,THE PROPOSAL;by Jasmine Guillory;3 weeks on the list,THE FIRST CONSPIRACY;by Brad Meltzer and Josh Mensch;5 weeks on the list,FIGURING;by Maria Popova;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;16 weeks on the list,DIGITAL MINIMALISM;by Cal Newport;New this week,DOG DIARIES;by James Patterson with Steven Butler. Illustrated by Richard Watson;9 weeks on the list,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;10 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;63 weeks on the list,"THE FORK, THE WITCH, AND THE WORM;by Christopher Paolini with Angela Paolini;6 weeks on the list",CIRCE;by Madeline Miller;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,LEADERSHIP;by Doris Kearns Goodwin;,BEING MORTAL;by Atul Gawande;,RACING TO THE FINISH;by Dale Earnhardt Jr. with Ryan McGee;
6,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;22 weeks on the list,AN ANONYMOUS GIRL;by Greer Hendricks and Sarah Pekkanen;5 weeks on the list,EMPTY BOTTLES FULL OF STORIES;by Robert M. Drake and R.H. Sin;New this week,THE UNWINDING OF THE MIRACLE;by Julie Yip-Williams;New this week,THE FIRST CONSPIRACY;by Brad Meltzer and Josh Mensch;5 weeks on the list,GRIT;by Angela Duckworth;24 weeks on the list,IT'S NOT SUPPOSED TO BE THIS WAY;by Lysa TerKeurst;8 weeks on the list,REFUGEE;by Alan Gratz;44 weeks on the list,HAPPY BIRTHDAY FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;New this week,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;30 weeks on the list,TWO CAN KEEP A SECRET;by Karen M. McManus;5 weeks on the list,NEVERWHERE;by Neil Gaiman;,BORN A CRIME;by Trevor Noah;,BEST SELF;by Mike Bayer;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,TB12 METHOD;by Tom Brady;
7,THE LOST GIRLS OF PARIS;by Pam Jenoff;2 weeks on the list,THE WEDDING GUEST;by Jonathan Kellerman;New this week,MILK AND HONEY;by Rupi Kaur;148 weeks on the list,WOMEN ROWING NORTH;by Mary Pipher;4 weeks on the list,BAD BLOOD;by John Carreyrou;17 weeks on the list,JUST MERCY;by Bryan Stevenson;139 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;267 weeks on the list,MAX AND THE MIDKNIGHTS;by Lincoln Peirce;5 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;262 weeks on the list,I SURVIVED;by Lauren Tarshis;48 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;18 weeks on the list",VERSES FOR THE DEAD;by Douglas Preston and Lincoln Child;,THE POWER OF HABIT;by Charles Duhigg;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,THE BIG FELLA;by Jane Leavy;
8,I OWE YOU ONE;by Sophie Kinsella;New this week,THE RECKONING;by John Grisham;16 weeks on the list,THE IMMORTALISTS;by Chloe Benjamin;New this week,FIGURING;by Maria Popova;New this week,THE UNWINDING OF THE MIRACLE;by Julie Yip-Williams;New this week,GO AHEAD IN THE RAIN: NOTES TO A TRIBE CALLED QUEST;by Hanif Abdurraqib;2 weeks on the list,DREYER'S ENGLISH;by Benjamin Dreyer;2 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;84 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;154 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;496 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;49 weeks on the list,A GAME OF THRONES;by George R.R. Martin;,THE FIRST CONSPIRACY;by Brad Meltzer and Josh Mensch;,PRINCIPLES;by Ray Dalio;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FLY GIRLS;by Keith O'Brien;
9,AN ANONYMOUS GIRL;by Greer Hendricks and Sarah Pekkanen;5 weeks on the list,FIRE AND BLOOD;by George R.R. Martin;12 weeks on the list,LESS;by Andrew Sean Greer;38 weeks on the list,FROM THE GROUND UP;by Howard Schultz with Joanne Gordon;2 weeks on the list,THE LIBRARY BOOK;by Susan Orlean;13 weeks on the list,THE INNOCENT MAN;by John Grisham;48 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;17 weeks on the list,BLENDED;by Sharon M. Draper;4 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;151 weeks on the list",DORK DIARIES;by Rachel Renée Russell;278 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;75 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;,GRIT;by Angela Duckworth;,THE POWER OF HABIT;by Charles Duhigg;,BELICHICK;by Ian O'Connor;
10,AN AMERICAN MARRIAGE;by Tayari Jones;11 weeks on the list,LIAR LIAR;by James Patterson and Candice Fox;4 weeks on the list,THE HOUSE NEXT DOOR;by James Patterson;5 weeks on the list,A SERIAL KILLER'S DAUGHTER;by Kerri Rawson;2 weeks on the list,LET ME FINISH;by Chris Christie with Ellis Henican;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;201 weeks on the list",CAN'T HURT ME;by David Goggins;7 weeks on the list,LOUISIANA'S WAY HOME;by Kate DiCamillo;15 weeks on the list,LOVE: FROM SESAME STREET;by Sesame Workshop. Illustrated by Ernie Kwiat;New this week,THE BAD GUYS;by Aaron Blabey;25 weeks on the list,THE POET X;by Elizabeth Acevedo;8 weeks on the list,THE NAME OF THE WIND;by Patrick Rothfuss;,THE TRUTHS WE HOLD;by Kamala Harris;,THE BULLET JOURNAL METHOD;by Ryder Carroll;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,UNBROKEN;by Laura Hillenbrand;
11,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;25 weeks on the list,STRANGER THINGS: SUSPICIOUS MINDS;by Gwenda Bond;New this week,A DOG'S WAY HOME;by W. Bruce Cameron;11 weeks on the list,THE LIBRARY BOOK;by Susan Orlean;12 weeks on the list,THE TRUTHS WE HOLD;by Kamala Harris;5 weeks on the list,SHOE DOG;by Phil Knight;30 weeks on the list,,,,,,ON THE SHOULDERS OF TITANS;by Andrew Rowe;,THE LIBRARY BOOK;by Susan Orlean;,,,
12,THE RECKONING;by John Grisham;16 weeks on the list,THE LAST ROMANTICS;by Tara Conklin;New this week,THE FRIEND;by Sigrid Nunez;New this week,INHERITANCE;by Dani Shapiro;3 weeks on the list,TEAM OF VIPERS;by Cliff Sims;2 weeks on the list,BEING MORTAL;by Atul Gawande;72 weeks on the list,,,,,,OUTLANDER;by Diana Gabaldon;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,,,
13,VENGEANCE ROAD;by Christine Feehan;2 weeks on the list,THE LOST MAN;by Jane Harper;New this week,THEN SHE WAS GONE;by Lisa Jewell;6 weeks on the list,LET ME FINISH;by Chris Christie with Ellis Henican;2 weeks on the list,MAID;by Stephanie Land;3 weeks on the list,BEAUTIFUL BOY;by David Sheff;22 weeks on the list,,,,,,HOLDING;by Graham Norton;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,,,
14,THE LOST MAN;by Jane Harper;New this week,CIRCE;by Madeline Miller;10 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;14 weeks on the list,ZUCKED;by Roger McNamee;New this week,"THE POINT OF IT ALL;by Charles Krauthammer, edited by Daniel Krauthammer;10 weeks on the list",THE POWER OF HABIT;by Charles Duhigg;125 weeks on the list,,,,,,EVERY BREATH;by Nicholas Sparks;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",,,
15,THE CAST;by Danielle Steel;3 weeks on the list,I OWE YOU ONE;by Sophie Kinsella;New this week,THE SUN AND HER FLOWERS;by Rupi Kaur;71 weeks on the list,MAID;by Stephanie Land;3 weeks on the list,ZUCKED;by Roger McNamee;New this week,HILLBILLY ELEGY;by J.D. Vance;32 weeks on the list,,,,,,ONE DAY IN DECEMBER;by Josie Silver;,I'LL BE GONE IN THE DARK;by Michelle McNamara;,,,
