,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,DEAD EVER AFTER;by Charlaine Harris;New this week,DEAD EVER AFTER;by Charlaine Harris;New this week,BEAUTIFUL RUINS;by Jess Walter;6 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;New this week","HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;New this week",CONTROL;by Glenn Beck and others;2 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;New this week",IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;5 weeks on the list,"ACTION COMICS, VOL. 2;by Grant Morrison and Rags Morales;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;91 weeks on the list","NARUTO, VOL. 61;by Masashi Kishimoto;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;7 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;142 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GREAT DEFORMATION;by David Stockman;,BRAIN ON FIRE;by Susannah Cahalan;
2,SILKEN PREY;by John Sandford;New this week,SILKEN PREY;by John Sandford;New this week,FIFTY SHADES OF GREY;by E. L. James;61 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;3 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;9 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;29 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;3 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;5 weeks on the list,"UNCANNY AVENGERS, VOL. 1;by Rick Remender and John Cassaday;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;31 weeks on the list","DANCE IN THE VAMPIRE BUND, VOL. 14;by Nozomu Tamaki;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;84 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;87 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,OUTLIERS;by Malcolm Gladwell;,WAY OF THE KNIFE;by Mark Mazzetti;,GULP;by Mary Roach;
3,THE HIT;by David Baldacci;3 weeks on the list,12TH OF NEVER;by James Patterson and Maxine Paetro;2 weeks on the list,WORLD WAR Z;by Max Brooks;46 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;9 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;3 weeks on the list,WILD;by Cheryl Strayed;7 weeks on the list,WAITING TO BE HEARD;by Amanda Knox;2 weeks on the list,UNSTOPPABLES;by Bill Schley;New this week,"THE JACK KIRBY OMNIBUS, VOL. 2;by Jack Kirby;New this week","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;22 weeks on the list","BLACK BIRD, VOL. 16;by Kanoko Sakurakoji;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;4 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;226 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GIVE AND TAKE;by Adam Grant;,TIPPING POINT;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,QUIET;by Susan Cain;
4,12TH OF NEVER;by James Patterson and Maxine Paetro;2 weeks on the list,THE HIT;by David Baldacci;3 weeks on the list,BRING UP THE BODIES;by Hilary Mantel;New this week,,,CONTROL;by Glenn Beck and others;2 weeks on the list,COOKED;by Michael Pollan;3 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;13 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;9 weeks on the list,LIFE CODE;by Phil McGraw;5 weeks on the list,"100 BULLETS: DELUXE EDITION, BOOK FOUR;by Brian Azzarello and Eduardo Risso;4 weeks on the list",SMILE;by Raina Telgemeier;58 weeks on the list,"BAKUMAN, VOL. 19;by Takeshi Obata;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THAT IS NOT A GOOD IDEA!;by Mo Willems;3 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;81 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,GREAT DEFORMATION;by David Stockman;,DRIVE;by Daniel H. Pink;,UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,WHISKEY BEACH;by Nora Roberts;4 weeks on the list,A STEP OF FAITH;by Richard Paul Evans;New this week,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;6 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;29 weeks on the list,DAD IS FAT;by Jim Gaffigan;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;15 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;44 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;5 weeks on the list,RAVEN GIRL;by Audrey Niffenegger;New this week,"THE MANHATTAN PROJECTS, VOL. 2;by Jonathan Hickman and Nick Pitarra;2 weeks on the list","POKEMON ADVENTURES, VOL. 16;by Hidenori Kusaka;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,FANCY NANCY: FANCIEST DOLL IN THE UNIVERSE;by Jane O'Connor. Illustrated by Robin Preiss Glasser;3 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;21 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,LEADERSHIFT;by Orrin Woodward and Oliver DeMille;,HOW TO RETIRE HAPPY;by Stan Hinden;,MY BELOVED WORLD;by Sonia Sotomayor;,SALT SUGAR FAT;by Michael Moss;
6,THE BET;by Rachel Van Dyken;6 weeks on the list,A DELICATE TRUTH;by John le Carre;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;6 weeks on the list",,,WAITING TO BE HEARD;by Amanda Knox;2 weeks on the list,WAITING TO BE HEARD;by Amanda Knox;2 weeks on the list,QUIET;by Susan Cain;15 weeks on the list,OBSESSED;by Mika Brzezinski with Diane Smith;New this week,DARING GREATLY;by Brené Brown;5 weeks on the list,"TWILIGHT: NEW MOON, VOL. 1;by Stephenie Meyer and Young Kim;2 weeks on the list",DRAMA;by Raina Telgemeier;30 weeks on the list,"NEGIMA MAGISTER NEGI MAGI, VOL. 38;by Ken Akamatsu;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;91 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;288 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,SALT SUGAR FAT;by Michael Moss;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",A HIGHER CALL;by Adam Makos with Larry Alexander;,CLEAN;by David Sheff;
7,A STEP OF FAITH;by Richard Paul Evans;New this week,WHISKEY BEACH;by Nora Roberts;4 weeks on the list,LIFE OF PI;by Yann Martel;32 weeks on the list,,,COOKED;by Michael Pollan;3 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;6 weeks on the list,WAKING UP IN HEAVEN;by Crystal McVea;4 weeks on the list,DAD IS FAT;by Jim Gaffigan;New this week,HUNGRY GIRL 200 UNDER 200 JUST DESSERTS;by Lisa Lillien;New this week,"AVENGERS, VOL. 1;by Jonathan Hickman and Jerome Opena;2 weeks on the list","BATMAN, VOL. 1;by Scott Snyder and Greg Capullo;3 weeks on the list","BLACK BUTLER, VOL. 13;by Yana Toboso;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;29 weeks on the list,MORGANVILLE VAMPIRES;by Rachel Caine;11 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ATHENA DOCTRINE;by John Gerzema and Michael D’Antonio;,OUTSOURCE SMART;by Daven Michaels;,TRIDENT K9 WARRIORS;by Michael Ritland with Gary Brozek;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;
8,THE ORACLE GLASS;by Judith Merkle Riley;New this week,GONE GIRL;by Gillian Flynn;49 weeks on the list,FIFTY SHADES DARKER;by E. L. James;58 weeks on the list,,,DAD IS FAT;by Jim Gaffigan;New this week,OBSESSED;by Mika Brzezinski with Diane Smith;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;6 weeks on the list",PROOF OF HEAVEN;by Eben Alexander;29 weeks on the list,OBAMACARE SURVIVAL GUIDE;by Nick Tate;5 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;7 weeks on the list",ARE YOU MY MOTHER?;by Alison Bechdel;New this week,"DENGEKI DAISY, VOL. 12;by Kyousuke Motomi;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;9 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;30 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,THE POWER OF HABIT;by Charles Duhigg;
9,A DELICATE TRUTH;by John le Carre;New this week,DADDY'S GONE A HUNTING;by Mary Higgins Clark;5 weeks on the list,FIFTY SHADES FREED;by E. L. James;58 weeks on the list,,,OBSESSED;by Mika Brzezinski with Diane Smith;New this week,BUNKER HILL;by Nathaniel Philbrick;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;130 weeks on the list,I'LL SEE YOU AGAIN;by Jackie Hance with Janice Kaplan;3 weeks on the list,WHOLE;by T. Colin Campbell with Howard Jacobson;New this week,MARSHAL LAW: THE DELUXE EDITION;by Pat Mills and Kevin O'Neill;3 weeks on the list,"DIAL H, VOL. 1;by China Mieville and Mateus Santolouco;2 weeks on the list","IS THIS A ZOMBIE, VOL. 4;by Shinichi Kimura and Sacchi;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;57 weeks on the list,KINGDOM KEEPERS;by Ridley Pearson;8 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,START;by Jon Acuff;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;
10,GONE GIRL;by Gillian Flynn;49 weeks on the list,ROBERT B. PARKER'S WONDERLAND;by Ace Atkins;New this week,THE BLACK BOX;by Michael Connelly;4 weeks on the list,,,WILD;by Cheryl Strayed;46 weeks on the list,KEEP IT PITHY;by Bill O'Reilly;New this week,BOSSYPANTS;by Tina Fey;71 weeks on the list,CONTROL;by Glenn Beck and others;2 weeks on the list,MIND OVER MEDICINE;by Lissa Rankin;New this week,MARBLE SEASON;by Gilbert Hernandez;2 weeks on the list,FUN HOME;by Alison Bechdel;14 weeks on the list,"FAIRY TAIL, VOL. 25;by Hiro Mashima;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;6 weeks on the list,THE INFERNAL DEVICES;by Cassandra Clare;7 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,DECISIVE;by Chip Heath and Dan Heath;,THE CHECKLIST MANIFESTO;by Atul Gawande;,DIRTY WARS;by Jeremy Scahill;,THE DRUNKEN BOTANIST;by Amy Stewart;
